Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-02-03,16:25:00,34.57,34.61,34.57,34.59,2000,0
2015-02-03,16:30:00,34.63,34.67,34.58,34.58,2223,0
2015-02-03,16:35:00,34.62,34.65,34.57,34.57,5200,0
2015-02-03,16:40:00,34.57,34.57,34.42,34.47,24975,0
2015-02-03,16:45:00,34.51,34.51,34.39,34.39,11470,0
2015-02-03,16:50:00,34.42,34.44,34.35,34.41,2836,0
2015-02-03,16:55:00,34.39,34.46,34.32,34.42,2950,0
2015-02-03,17:00:00,34.42,34.45,34.31,34.38,8150,0
2015-02-03,17:05:00,34.32,34.37,34.31,34.33,2850,0
2015-02-03,17:10:00,34.26,34.35,34.26,34.34,6475,0
2015-02-03,17:15:00,34.34,34.36,34.23,34.29,15062,0
2015-02-03,17:20:00,34.28,34.32,34.21,34.3,7015,0
2015-02-03,17:25:00,34.3,34.3,34.14,34.14,8879,0
2015-02-03,17:30:00,34.14,34.34,34.14,34.31,7188,0
2015-02-03,17:35:00,34.29,34.3,34.24,34.3,5675,0
2015-02-03,17:40:00,34.27,34.3,34.27,34.3,5200,0
2015-02-03,17:45:00,34.3,34.41,34.3,34.35,4900,0
2015-02-03,17:50:00,34.39,34.48,34.34,34.4,2300,0
2015-02-03,17:55:00,34.4,34.5,34.4,34.4,3000,0
2015-02-03,18:00:00,34.39,34.4,34.36,34.38,1900,0
2015-02-03,18:05:00,34.36,34.36,34.24,34.32,2944,0
2015-02-03,18:10:00,34.34,34.42,34.34,34.39,2300,0
2015-02-03,18:15:00,34.4,34.42,34.39,34.4,2200,0
2015-02-03,18:20:00,34.4,34.41,34.31,34.38,5308,0
2015-02-03,18:25:00,34.38,34.41,34.37,34.38,3900,0
2015-02-03,18:30:00,34.31,34.4,34.3,34.37,5244,0
2015-02-03,18:35:00,34.34,34.36,34.34,34.34,1800,0
2015-02-03,18:40:00,34.27,34.32,34.26,34.29,4100,0
2015-02-03,18:45:00,34.29,34.3,34.29,34.3,1700,0
2015-02-03,18:50:00,34.3,34.31,34.25,34.25,3015,0
2015-02-03,18:55:00,34.22,34.24,34.17,34.2,4495,0
2015-02-03,19:00:00,34.2,34.21,34.19,34.19,3800,0
2015-02-03,19:05:00,34.18,34.18,34.16,34.17,5023,0
2015-02-03,19:10:00,34.17,34.2,34.17,34.2,3067,0
2015-02-03,19:15:00,34.19,34.23,34.19,34.23,4826,0
2015-02-03,19:20:00,34.2,34.21,34.2,34.2,2600,0
2015-02-03,19:25:00,34.19,34.23,34.18,34.2,10314,0
2015-02-03,19:30:00,34.19,34.2,34.16,34.18,3900,0
2015-02-03,19:35:00,34.17,34.17,34.13,34.15,7000,0
2015-02-03,19:40:00,34.15,34.18,34.15,34.17,5100,0
2015-02-03,19:45:00,34.16,34.16,34.1,34.1,9582,0
2015-02-03,19:50:00,34.1,34.12,34.1,34.12,5800,0
2015-02-03,19:55:00,34.12,34.12,34.1,34.12,9230,0
2015-02-03,20:00:00,34.11,34.14,34.11,34.14,11250,0
2015-02-03,20:05:00,34.14,34.16,34.13,34.14,34057,0
2015-02-03,20:10:00,34.14,34.14,34.11,34.12,11729,0
2015-02-03,20:15:00,34.12,34.12,34.11,34.12,3712,0
2015-02-03,20:20:00,34.12,34.12,34.09,34.09,8600,0
2015-02-03,20:25:00,34.08,34.08,34.0,34.0,6881,0
2015-02-03,20:30:00,33.98,34.0,33.96,33.96,8852,0
2015-02-03,20:35:00,33.97,34.0,33.95,33.98,12900,0
2015-02-03,20:40:00,33.99,34.01,33.97,34.0,6800,0
2015-02-03,20:45:00,34.0,34.01,34.0,34.0,2400,0
2015-02-03,20:50:00,34.01,34.05,34.0,34.05,7690,0
2015-02-03,20:55:00,34.05,34.12,34.05,34.06,4507,0
2015-02-03,21:00:00,34.07,34.07,34.05,34.06,4700,0
2015-02-03,21:05:00,34.06,34.08,34.06,34.08,2900,0
2015-02-03,21:10:00,34.08,34.08,34.02,34.03,13765,0
2015-02-03,21:15:00,34.03,34.03,33.99,34.01,8900,0
2015-02-03,21:20:00,34.01,34.01,33.99,33.99,10204,0
2015-02-03,21:25:00,33.99,34.0,33.97,33.98,7320,0
2015-02-03,21:30:00,33.98,33.99,33.96,33.99,16582,0
2015-02-03,21:35:00,33.98,33.99,33.97,33.97,15267,0
2015-02-03,21:40:00,33.97,33.98,33.97,33.97,12580,0
2015-02-03,21:45:00,33.97,33.98,33.97,33.97,13688,0
2015-02-03,21:50:00,33.98,34.01,33.98,34.0,28696,0
2015-02-03,21:55:00,34.0,34.06,34.0,34.03,35212,0
2015-02-03,22:00:00,34.03,34.05,34.02,34.05,264016,0
2015-02-04,15:35:00,34.0,34.0,33.72,33.88,2534,0
2015-02-04,15:40:00,33.86,33.95,33.86,33.95,1200,0
2015-02-04,15:45:00,33.9,34.0,33.9,33.9,700,0
