Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-10-15,20:05:00,24.89,24.91,24.89,24.91,1450,0
2014-10-15,20:25:00,24.895,24.895,24.895,24.895,726,0
2014-10-15,21:35:00,24.887,24.887,24.887,24.887,208,0
2014-10-15,21:55:00,24.857,24.857,24.857,24.857,5905,0
2014-10-15,22:00:00,24.857,24.857,24.857,24.857,1243,0
2014-10-16,15:50:00,24.857,24.857,24.857,24.857,200,0
2014-10-16,16:25:00,24.857,24.857,24.857,24.857,932,0
2014-10-16,17:40:00,24.713,24.771,24.713,24.761,1243,0
2014-10-16,18:50:00,24.857,24.857,24.857,24.857,414,0
2014-10-16,19:10:00,24.829,24.829,24.829,24.829,208,0
2014-10-16,20:05:00,24.857,24.857,24.857,24.857,3626,0
2014-10-16,21:00:00,24.857,24.857,24.857,24.857,1243,0
2014-10-17,16:10:00,24.973,25.003,24.973,25.003,208,0
2014-10-17,17:35:00,25.003,25.003,25.003,25.003,4143,0
2014-10-17,18:45:00,25.003,25.003,25.003,25.003,202,0
2014-10-17,18:50:00,25.003,25.003,25.003,25.003,208,0
2014-10-17,19:10:00,24.993,25.003,24.973,24.973,1839,0
2014-10-17,19:35:00,24.857,24.857,24.857,24.857,15004,0
2014-10-17,21:40:00,24.819,24.819,24.819,24.819,1036,0
2014-10-20,16:35:00,24.819,24.819,24.819,24.819,3211,0
2014-10-20,19:55:00,25.349,25.349,25.349,25.349,208,0
2014-10-20,20:50:00,24.905,24.905,24.905,24.905,456,0
2014-10-20,20:55:00,25.099,25.099,25.099,25.099,2797,0
2014-10-20,21:30:00,25.263,25.263,25.233,25.263,932,0
2014-10-21,16:10:00,25.233,25.243,25.233,25.243,208,0
2014-10-21,16:55:00,25.003,25.003,25.003,25.003,1094,0
2014-10-21,18:10:00,25.205,25.205,25.205,25.205,2072,0
2014-10-21,21:25:00,25.233,25.233,25.233,25.233,208,0
2014-10-21,21:50:00,25.233,25.233,25.233,25.233,984,0
2014-10-22,17:25:00,25.195,25.195,25.195,25.195,622,0
2014-10-22,19:20:00,25.195,25.195,25.195,25.195,1336,0
2014-10-22,20:25:00,25.185,25.185,25.185,25.185,3108,0
2014-10-23,15:35:00,25.195,25.195,25.195,25.195,104,0
2014-10-23,16:00:00,25.118,25.118,25.118,25.118,622,0
2014-10-23,16:55:00,25.099,25.099,25.099,25.099,310,0
2014-10-23,17:25:00,25.147,25.147,25.118,25.118,1450,0
2014-10-23,19:15:00,25.109,25.109,25.099,25.099,9024,0
2014-10-23,20:05:00,25.099,25.099,25.099,25.099,208,0
2014-10-23,20:45:00,25.167,25.167,25.167,25.167,404,0
2014-10-23,21:35:00,25.069,25.069,25.069,25.069,518,0
2014-10-23,22:00:00,25.069,25.069,25.021,25.021,766,0
2014-10-24,16:05:00,25.089,25.089,25.089,25.089,104,0
2014-10-24,16:10:00,25.109,25.109,25.109,25.109,104,0
2014-10-24,16:35:00,25.099,25.099,25.099,25.099,1968,0
2014-10-24,17:50:00,25.099,25.099,25.099,25.099,623,0
2014-10-24,18:05:00,25.099,25.175,25.06,25.099,4067,0
2014-10-24,19:25:00,25.109,25.175,25.051,25.167,3108,0
2014-10-24,19:30:00,25.167,25.195,25.099,25.195,13323,0
2014-10-24,20:20:00,25.195,25.195,25.195,25.195,13674,0
2014-10-24,22:00:00,25.051,25.051,25.051,25.051,966,0
2014-10-27,16:00:00,25.109,25.137,25.099,25.137,2072,0
2014-10-27,16:55:00,25.175,25.175,25.175,25.175,623,0
2014-10-27,17:20:00,25.167,25.167,25.157,25.157,1244,0
2014-10-27,17:35:00,25.167,25.167,25.167,25.167,311,0
2014-10-27,17:55:00,25.167,25.175,25.167,25.175,519,0
2014-10-27,18:00:00,25.167,25.167,25.167,25.167,311,0
2014-10-27,19:35:00,25.167,25.167,25.157,25.157,623,0
2014-10-27,19:45:00,25.021,25.021,25.021,25.021,2071,0
2014-10-28,14:50:00,25.021,25.021,25.021,25.021,414,0
2014-10-28,15:50:00,25.079,25.079,25.051,25.051,829,0
2014-10-28,16:00:00,25.069,25.069,25.069,25.069,415,0
2014-10-28,17:00:00,25.109,25.109,25.109,25.109,208,0
2014-10-28,17:50:00,25.118,25.118,25.118,25.118,830,0
2014-10-28,18:10:00,25.118,25.118,25.118,25.118,621,0
2014-10-28,18:30:00,25.118,25.118,25.118,25.118,415,0
2014-10-28,18:45:00,25.118,25.175,25.079,25.099,15421,0
2014-10-28,18:50:00,25.099,25.099,25.099,25.099,830,0
2014-10-28,19:30:00,25.167,25.167,25.099,25.099,1605,0
2014-10-28,19:50:00,25.175,25.175,25.175,25.175,5501,0
2014-10-28,20:50:00,25.233,25.243,25.233,25.243,208,0
2014-10-28,20:55:00,25.243,25.243,25.243,25.243,1036,0
2014-10-28,21:00:00,25.225,25.233,25.157,25.233,1682,0
2014-10-29,16:55:00,25.456,25.456,25.456,25.456,2076,0
2014-10-29,20:10:00,25.263,25.263,25.243,25.243,938,0
2014-10-29,20:15:00,25.243,25.243,25.243,25.243,428,0
2014-10-30,14:50:00,25.243,25.243,25.243,25.243,104,0
2014-10-30,15:00:00,25.215,25.243,25.127,25.243,2694,0
2014-10-30,18:45:00,25.243,25.243,25.243,25.243,165,0
2014-10-30,18:55:00,25.137,25.137,25.137,25.137,830,0
2014-10-30,20:35:00,25.243,25.243,25.243,25.243,3109,0
2014-10-30,21:00:00,25.147,25.147,25.147,25.147,310,0
2014-10-31,17:10:00,25.127,25.127,25.127,25.127,3108,0
2014-10-31,19:15:00,25.243,25.243,25.243,25.243,4738,0
2014-10-31,20:45:00,25.195,25.195,25.195,25.195,623,0
2014-10-31,20:50:00,25.175,25.175,25.175,25.175,200,0
2014-11-03,15:45:00,25.233,25.233,25.233,25.233,208,0
2014-11-03,16:05:00,25.233,25.233,25.233,25.233,208,0
2014-11-03,16:15:00,25.243,25.243,25.243,25.243,232,0
2014-11-03,16:45:00,25.349,25.349,25.349,25.349,522,0
2014-11-03,17:30:00,25.34,25.34,25.34,25.34,482,0
2014-11-03,20:05:00,25.34,25.34,25.34,25.34,311,0
2014-11-03,20:35:00,25.331,25.331,25.331,25.331,104,0
2014-11-03,20:45:00,25.301,25.301,25.291,25.291,1038,0
2014-11-04,19:35:00,25.321,25.34,25.321,25.34,622,0
2014-11-04,19:40:00,25.215,25.215,25.215,25.215,141,0
2014-11-04,19:50:00,25.321,25.321,25.321,25.321,104,0
2014-11-04,20:05:00,25.215,25.215,25.215,25.215,259,0
2014-11-04,20:35:00,25.34,25.34,25.34,25.34,310,0
2014-11-04,21:00:00,25.282,25.282,25.282,25.282,50865,0
2014-11-04,21:05:00,25.331,25.331,25.331,25.331,50865,0
2014-11-04,21:20:00,25.321,25.321,25.321,25.321,208,0
2014-11-04,22:00:00,25.34,25.34,25.34,25.34,104,0
2014-11-05,16:00:00,25.34,25.34,25.34,25.34,6210,0
2014-11-05,16:35:00,25.359,25.359,25.359,25.359,714,0
2014-11-05,19:10:00,25.321,25.34,25.321,25.331,1551,0
2014-11-05,20:00:00,25.34,25.34,25.34,25.34,519,0
2014-11-05,21:20:00,25.34,25.34,25.34,25.34,208,0
2014-11-05,21:55:00,25.273,25.273,25.273,25.273,519,0
2014-11-06,16:05:00,25.273,25.273,25.273,25.273,3206,0
2014-11-06,16:15:00,25.379,25.379,25.379,25.379,104,0
2014-11-06,16:30:00,25.379,25.379,25.379,25.379,964,0
2014-11-06,16:50:00,25.349,25.349,25.349,25.349,777,0
2014-11-06,17:05:00,25.349,25.349,25.349,25.349,518,0
2014-11-06,17:15:00,25.263,25.263,25.253,25.253,2650,0
2014-11-06,18:55:00,25.282,25.282,25.282,25.282,326,0
2014-11-06,19:05:00,25.359,25.359,25.359,25.359,1580,0
2014-11-06,20:15:00,25.291,25.349,25.273,25.273,2731,0
2014-11-06,20:45:00,25.359,25.359,25.34,25.34,1386,0
2014-11-06,21:30:00,25.273,25.273,25.273,25.273,105,0
2014-11-06,21:45:00,25.291,25.291,25.291,25.291,208,0
2014-11-06,21:55:00,25.291,25.291,25.291,25.291,622,0
2014-11-06,22:00:00,25.301,25.359,25.301,25.359,208,0
2014-11-07,15:50:00,25.252,25.38,25.252,25.38,4289,0
2014-11-07,16:00:00,25.429,25.429,25.38,25.38,1527,0
2014-11-07,16:20:00,25.449,25.449,25.439,25.449,916,0
2014-11-07,16:45:00,25.449,25.449,25.449,25.449,13841,0
2014-11-07,19:10:00,25.468,25.488,25.468,25.488,1827,0
2014-11-07,19:15:00,25.488,25.488,25.488,25.488,6514,0
2014-11-10,19:35:00,25.39,25.527,25.39,25.527,662,0
2014-11-10,20:10:00,25.527,25.527,25.527,25.527,712,0
2014-11-10,21:45:00,25.547,25.547,25.547,25.547,318,0
2014-11-10,21:55:00,25.36,25.36,25.36,25.36,352,0
2014-11-10,22:00:00,25.547,25.547,25.547,25.547,102,0
2014-11-11,16:35:00,25.458,25.458,25.458,25.458,1018,0
2014-11-11,17:20:00,25.537,25.537,25.537,25.537,407,0
2014-11-11,18:20:00,25.586,25.586,25.527,25.527,1453,0
2014-11-11,18:25:00,25.468,25.468,25.468,25.468,407,0
2014-11-11,18:55:00,25.508,25.508,25.508,25.508,102,0
2014-11-11,19:20:00,25.567,25.567,25.567,25.567,529,0
2014-11-11,19:35:00,25.38,25.39,25.38,25.38,916,0
2014-11-11,19:55:00,25.449,25.449,25.449,25.449,712,0
2014-11-11,20:15:00,25.36,25.39,25.36,25.37,1311,0
2014-11-11,20:50:00,25.36,25.39,25.36,25.36,712,0
2014-11-11,21:00:00,25.478,25.498,25.478,25.498,1018,0
2014-11-11,21:45:00,25.478,25.478,25.478,25.478,407,0
2014-11-11,21:55:00,25.449,25.449,25.449,25.449,1393,0
2014-11-11,22:00:00,25.449,25.449,25.449,25.449,102,0
2014-11-12,15:35:00,25.449,25.449,25.449,25.449,5015,0
2014-11-12,17:55:00,25.537,25.547,25.458,25.458,1555,0
2014-11-12,18:00:00,25.527,25.527,25.527,25.527,305,0
2014-11-12,19:10:00,25.527,25.527,25.527,25.527,407,0
2014-11-12,19:55:00,25.547,25.547,25.547,25.547,611,0
2014-11-12,20:35:00,25.449,25.449,25.4,25.4,3694,0
2014-11-12,20:40:00,25.449,25.449,25.449,25.449,804,0
2014-11-12,21:25:00,25.449,25.458,25.449,25.458,1526,0
2014-11-12,21:30:00,25.449,25.449,25.449,25.449,1221,0
2014-11-12,21:35:00,25.449,25.449,25.449,25.449,204,0
2014-11-12,21:45:00,25.449,25.449,25.449,25.449,611,0
2014-11-12,21:55:00,25.429,25.429,25.429,25.429,204,0
2014-11-12,22:00:00,25.449,25.449,25.449,25.449,204,0
2014-11-13,15:40:00,25.527,25.547,25.517,25.547,712,0
2014-11-13,16:30:00,25.537,25.537,25.537,25.537,407,0
2014-11-13,18:20:00,25.449,25.449,25.449,25.449,1221,0
2014-11-13,19:00:00,25.449,25.547,25.449,25.547,5793,0
