Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-02-03,16:50:00,28.64,28.67,28.51,28.51,31132,0
2015-02-03,16:55:00,28.51,28.53,28.49,28.52,18305,0
2015-02-03,17:00:00,28.52,28.63,28.52,28.62,9132,0
2015-02-03,17:05:00,28.64,28.67,28.57,28.64,14687,0
2015-02-03,17:10:00,28.63,28.82,28.62,28.79,9982,0
2015-02-03,17:15:00,28.78,28.8,28.74,28.76,7500,0
2015-02-03,17:20:00,28.76,28.84,28.75,28.82,7603,0
2015-02-03,17:25:00,28.82,28.87,28.79,28.79,10500,0
2015-02-03,17:30:00,28.8,28.8,28.65,28.65,56139,0
2015-02-03,17:35:00,28.65,28.67,28.65,28.67,6295,0
2015-02-03,17:40:00,28.66,28.73,28.64,28.71,11564,0
2015-02-03,17:45:00,28.7,28.7,28.65,28.65,11730,0
2015-02-03,17:50:00,28.63,28.64,28.53,28.55,26029,0
2015-02-03,17:55:00,28.54,28.55,28.43,28.45,11732,0
2015-02-03,18:00:00,28.45,28.49,28.43,28.49,10200,0
2015-02-03,18:05:00,28.49,28.61,28.49,28.59,17097,0
2015-02-03,18:10:00,28.61,28.62,28.58,28.58,7397,0
2015-02-03,18:15:00,28.57,28.58,28.53,28.58,11552,0
2015-02-03,18:20:00,28.58,28.65,28.57,28.62,7300,0
2015-02-03,18:25:00,28.62,28.63,28.59,28.6,4470,0
2015-02-03,18:30:00,28.61,28.61,28.57,28.58,7700,0
2015-02-03,18:35:00,28.58,28.6,28.55,28.6,7052,0
2015-02-03,18:40:00,28.59,28.62,28.59,28.61,7806,0
2015-02-03,18:45:00,28.62,28.68,28.62,28.67,11455,0
2015-02-03,18:50:00,28.67,28.69,28.66,28.67,6550,0
2015-02-03,18:55:00,28.66,28.69,28.63,28.69,5383,0
2015-02-03,19:00:00,28.69,28.71,28.69,28.7,4134,0
2015-02-03,19:05:00,28.71,28.73,28.7,28.7,7020,0
2015-02-03,19:10:00,28.7,28.71,28.69,28.7,5488,0
2015-02-03,19:15:00,28.69,28.75,28.67,28.73,7005,0
2015-02-03,19:20:00,28.71,28.72,28.7,28.71,3100,0
2015-02-03,19:25:00,28.71,28.74,28.71,28.72,19930,0
2015-02-03,19:30:00,28.73,28.74,28.7,28.72,6432,0
2015-02-03,19:35:00,28.72,28.76,28.72,28.75,4000,0
2015-02-03,19:40:00,28.76,28.76,28.74,28.74,12383,0
2015-02-03,19:45:00,28.73,28.78,28.73,28.78,6425,0
2015-02-03,19:50:00,28.79,28.84,28.79,28.83,13118,0
2015-02-03,19:55:00,28.83,28.86,28.79,28.85,12059,0
2015-02-03,20:00:00,28.86,28.93,28.85,28.93,11174,0
2015-02-03,20:05:00,28.92,28.92,28.9,28.91,8604,0
2015-02-03,20:10:00,28.91,28.91,28.8,28.83,21672,0
2015-02-03,20:15:00,28.82,28.82,28.67,28.67,8556,0
2015-02-03,20:20:00,28.67,28.67,28.61,28.61,9974,0
2015-02-03,20:25:00,28.6,28.63,28.57,28.61,17060,0
2015-02-03,20:30:00,28.59,28.62,28.56,28.57,6756,0
2015-02-03,20:35:00,28.58,28.59,28.52,28.55,9983,0
2015-02-03,20:40:00,28.54,28.57,28.52,28.55,14895,0
2015-02-03,20:45:00,28.57,28.6,28.52,28.55,8641,0
2015-02-03,20:50:00,28.54,28.58,28.54,28.57,26610,0
2015-02-03,20:55:00,28.59,28.66,28.58,28.66,9543,0
2015-02-03,21:00:00,28.66,28.81,28.65,28.81,8429,0
2015-02-03,21:05:00,28.81,28.82,28.76,28.79,18233,0
2015-02-03,21:10:00,28.78,28.82,28.75,28.81,9651,0
2015-02-03,21:15:00,28.83,28.84,28.81,28.84,16454,0
2015-02-03,21:20:00,28.84,28.86,28.83,28.83,16307,0
2015-02-03,21:25:00,28.84,28.88,28.83,28.88,9767,0
2015-02-03,21:30:00,28.89,28.89,28.81,28.81,12449,0
2015-02-03,21:35:00,28.81,28.81,28.74,28.75,25011,0
2015-02-03,21:40:00,28.75,28.85,28.74,28.84,15900,0
2015-02-03,21:45:00,28.84,28.93,28.84,28.91,24479,0
2015-02-03,21:50:00,28.9,28.94,28.9,28.94,9511,0
2015-02-03,21:55:00,28.94,28.96,28.88,28.92,33965,0
2015-02-03,22:00:00,28.91,28.96,28.9,28.92,102805,0
2015-02-04,15:35:00,28.82,28.92,28.67,28.84,19510,0
2015-02-04,15:40:00,28.84,28.86,28.66,28.66,9000,0
2015-02-04,15:45:00,28.64,28.79,28.53,28.72,44266,0
2015-02-04,15:50:00,28.71,28.73,28.63,28.63,4770,0
2015-02-04,15:55:00,28.64,28.68,28.63,28.67,4694,0
2015-02-04,16:00:00,28.68,28.79,28.68,28.73,8500,0
2015-02-04,16:05:00,28.72,28.76,28.7,28.76,6283,0
2015-02-04,16:10:00,28.75,28.82,28.75,28.8,8418,0
2015-02-04,16:15:00,28.78,28.81,28.76,28.78,2200,0
2015-02-04,16:20:00,28.76,28.8,28.75,28.79,3500,0
2015-02-04,16:25:00,28.81,28.85,28.8,28.82,4364,0
2015-02-04,16:30:00,28.83,28.93,28.83,28.91,9100,0
2015-02-04,16:35:00,28.9,29.01,28.9,28.98,31724,0
2015-02-04,16:40:00,28.97,29.0,28.9,29.0,25500,0
2015-02-04,16:45:00,28.99,29.05,28.97,29.04,13391,0
2015-02-04,16:50:00,29.05,29.05,28.97,28.97,14694,0
2015-02-04,16:55:00,28.96,28.98,28.96,28.98,4155,0
2015-02-04,17:00:00,29.0,29.03,28.98,28.98,6682,0
2015-02-04,17:05:00,28.97,29.01,28.95,29.01,6298,0
2015-02-04,17:10:00,29.0,29.09,28.99,29.08,7839,0
2015-02-04,17:15:00,29.09,29.09,29.03,29.07,14402,0
2015-02-04,17:20:00,29.08,29.09,29.06,29.08,5814,0
2015-02-04,17:25:00,29.09,29.16,29.08,29.15,7759,0
2015-02-04,17:30:00,29.15,29.15,29.1,29.11,2985,0
2015-02-04,17:35:00,29.11,29.13,29.08,29.12,2906,0
2015-02-04,17:40:00,29.13,29.15,29.12,29.14,2346,0
2015-02-04,17:45:00,29.13,29.19,29.13,29.17,4651,0
2015-02-04,17:50:00,29.17,29.2,29.16,29.18,3914,0
2015-02-04,17:55:00,29.16,29.16,29.12,29.13,1000,0
2015-02-04,18:00:00,29.11,29.11,29.09,29.09,69700,0
2015-02-04,18:05:00,29.09,29.09,29.07,29.08,5334,0
2015-02-04,18:10:00,29.07,29.09,29.05,29.09,2794,0
2015-02-04,18:15:00,29.08,29.1,29.06,29.09,1578,0
2015-02-04,18:20:00,29.09,29.09,29.04,29.05,6400,0
2015-02-04,18:25:00,29.01,29.14,29.01,29.11,25114,0
2015-02-04,18:30:00,29.12,29.12,29.06,29.06,1600,0
2015-02-04,18:35:00,29.05,29.05,29.01,29.01,1500,0
2015-02-04,18:40:00,29.02,29.02,28.97,28.98,1200,0
2015-02-04,18:45:00,28.97,29.0,28.96,28.97,2395,0
2015-02-04,18:50:00,28.95,28.96,28.94,28.94,1600,0
2015-02-04,18:55:00,28.95,28.95,28.94,28.94,5302,0
2015-02-04,19:00:00,28.94,28.95,28.94,28.94,2200,0
2015-02-04,19:05:00,28.94,28.95,28.93,28.95,4600,0
2015-02-04,19:10:00,28.95,28.95,28.92,28.93,2300,0
2015-02-04,19:15:00,28.93,28.94,28.92,28.92,5400,0
2015-02-04,19:20:00,28.93,28.96,28.92,28.96,2700,0
2015-02-04,19:25:00,28.97,28.97,28.96,28.96,1800,0
2015-02-04,19:30:00,28.97,28.98,28.97,28.97,2958,0
2015-02-04,19:35:00,28.96,28.98,28.96,28.98,4216,0
2015-02-04,19:40:00,28.97,28.98,28.94,28.95,2404,0
2015-02-04,19:45:00,28.94,28.99,28.93,28.98,5037,0
2015-02-04,19:50:00,28.98,28.98,28.94,28.94,1900,0
2015-02-04,19:55:00,28.94,28.96,28.93,28.96,9400,0
2015-02-04,20:00:00,28.95,28.96,28.9,28.93,10391,0
2015-02-04,20:05:00,28.93,28.94,28.93,28.94,2300,0
2015-02-04,20:10:00,28.94,28.94,28.91,28.92,5231,0
2015-02-04,20:15:00,28.92,28.92,28.88,28.88,4720,0
2015-02-04,20:20:00,28.87,28.87,28.8,28.8,8399,0
2015-02-04,20:25:00,28.8,28.85,28.79,28.84,5280,0
2015-02-04,20:30:00,28.83,28.9,28.83,28.9,7440,0
2015-02-04,20:35:00,28.9,29.01,28.9,28.99,15918,0
2015-02-04,20:40:00,29.0,29.06,28.98,29.05,19518,0
2015-02-04,20:45:00,29.06,29.11,29.05,29.09,19519,0
2015-02-04,20:50:00,29.09,29.16,29.09,29.16,10063,0
2015-02-04,20:55:00,29.15,29.16,29.09,29.1,8286,0
2015-02-04,21:00:00,29.1,29.11,29.06,29.07,11462,0
2015-02-04,21:05:00,29.07,29.07,29.04,29.05,15700,0
2015-02-04,21:10:00,29.06,29.1,29.05,29.1,13100,0
2015-02-04,21:15:00,29.1,29.11,29.09,29.11,14500,0
2015-02-04,21:20:00,29.11,29.15,29.1,29.1,28464,0
2015-02-04,21:25:00,29.11,29.12,29.07,29.11,21507,0
2015-02-04,21:30:00,29.12,29.19,29.12,29.17,19774,0
2015-02-04,21:35:00,29.18,29.22,29.18,29.22,17871,0
2015-02-04,21:40:00,29.22,29.3,29.21,29.25,37055,0
2015-02-04,21:45:00,29.24,29.26,29.08,29.17,82443,0
2015-02-04,21:50:00,29.17,29.18,29.1,29.1,32079,0
2015-02-04,21:55:00,29.11,29.12,29.03,29.07,35100,0
2015-02-04,22:00:00,29.06,29.09,29.05,29.07,96590,0
2015-02-05,15:35:00,29.32,29.45,29.2,29.45,4200,0
2015-02-05,15:40:00,29.44,29.57,29.39,29.56,27906,0
2015-02-05,15:45:00,29.63,29.84,29.53,29.82,39681,0
2015-02-05,15:50:00,29.82,29.92,29.79,29.92,13144,0
2015-02-05,15:55:00,29.92,29.93,29.89,29.93,24175,0
2015-02-05,16:00:00,29.96,29.98,29.96,29.97,2444,0
2015-02-05,16:05:00,29.9,29.91,29.72,29.77,19284,0
2015-02-05,16:10:00,29.77,29.84,29.77,29.8,31900,0
2015-02-05,16:15:00,29.76,29.76,29.7,29.7,3700,0
2015-02-05,16:20:00,29.67,29.69,29.64,29.64,3900,0
2015-02-05,16:25:00,29.65,29.65,29.59,29.61,3218,0
2015-02-05,16:30:00,29.61,29.61,29.52,29.52,5100,0
2015-02-05,16:35:00,29.51,29.61,29.5,29.6,51080,0
2015-02-05,16:40:00,29.61,29.68,29.61,29.67,8500,0
2015-02-05,16:45:00,29.67,29.75,29.67,29.71,7520,0
2015-02-05,16:50:00,29.7,29.71,29.69,29.7,2300,0
2015-02-05,16:55:00,29.7,29.7,29.66,29.67,4200,0
2015-02-05,17:00:00,29.66,29.69,29.66,29.69,5900,0
2015-02-05,17:05:00,29.68,29.73,29.67,29.73,9904,0
2015-02-05,17:10:00,29.74,29.75,29.72,29.75,15900,0
2015-02-05,17:15:00,29.75,29.78,29.73,29.74,15314,0
2015-02-05,17:20:00,29.73,29.75,29.7,29.72,8540,0
2015-02-05,17:25:00,29.71,29.75,29.71,29.75,3800,0
2015-02-05,17:30:00,29.73,29.74,29.64,29.7,19229,0
2015-02-05,17:35:00,29.71,29.72,29.69,29.7,8132,0
2015-02-05,17:40:00,29.71,29.73,29.7,29.73,2952,0
2015-02-05,17:45:00,29.73,29.74,29.69,29.71,5672,0
2015-02-05,17:50:00,29.72,29.75,29.71,29.75,3023,0
2015-02-05,17:55:00,29.75,29.8,29.74,29.79,21783,0
2015-02-05,18:00:00,29.8,29.8,29.79,29.79,4597,0
2015-02-05,18:05:00,29.8,29.8,29.77,29.78,5618,0
2015-02-05,18:10:00,29.79,29.8,29.76,29.77,3400,0
2015-02-05,18:15:00,29.77,29.79,29.77,29.78,5950,0
2015-02-05,18:20:00,29.78,29.8,29.78,29.79,4300,0
2015-02-05,18:25:00,29.79,29.81,29.79,29.81,4000,0
2015-02-05,18:30:00,29.81,29.83,29.8,29.83,5599,0
2015-02-05,18:35:00,29.84,29.84,29.82,29.82,5500,0
2015-02-05,18:40:00,29.81,29.84,29.81,29.83,5216,0
2015-02-05,18:45:00,29.82,29.85,29.82,29.85,5830,0
2015-02-05,18:50:00,29.85,29.85,29.81,29.81,6357,0
2015-02-05,18:55:00,29.81,29.81,29.78,29.78,3196,0
2015-02-05,19:00:00,29.79,29.8,29.75,29.75,5596,0
2015-02-05,19:05:00,29.75,29.8,29.75,29.79,4506,0
2015-02-05,19:10:00,29.78,29.84,29.78,29.83,6000,0
2015-02-05,19:15:00,29.85,29.86,29.84,29.84,5200,0
2015-02-05,19:20:00,29.85,29.86,29.83,29.85,6462,0
2015-02-05,19:25:00,29.85,29.92,29.85,29.92,6785,0
