Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-02-02,21:30:00,54.22,54.28,54.21,54.22,7103,0
2015-02-02,21:35:00,54.22,54.31,54.22,54.3,1700,0
2015-02-02,21:40:00,54.29,54.44,54.23,54.44,3200,0
2015-02-02,21:45:00,54.48,54.63,54.48,54.59,2916,0
2015-02-02,21:50:00,54.68,54.69,54.61,54.69,8451,0
2015-02-02,21:55:00,54.61,54.65,54.59,54.63,7304,0
2015-02-02,22:00:00,54.62,54.72,54.59,54.66,81315,0
2015-02-03,15:35:00,54.88,54.88,54.88,54.88,1100,0
2015-02-03,15:40:00,54.85,54.92,54.76,54.85,2800,0
2015-02-03,15:45:00,54.76,54.76,54.54,54.74,5434,0
2015-02-03,15:50:00,54.76,54.99,54.75,54.96,9190,0
2015-02-03,15:55:00,54.96,55.01,54.95,54.99,2800,0
2015-02-03,16:00:00,55.01,55.04,54.91,55.04,5800,0
2015-02-03,16:05:00,55.04,55.05,54.94,54.94,6200,0
2015-02-03,16:10:00,54.96,55.05,54.95,54.97,6500,0
2015-02-03,16:15:00,54.96,55.02,54.95,55.02,6900,0
2015-02-03,16:20:00,55.04,55.17,55.04,55.1,4500,0
2015-02-03,16:25:00,55.0,55.07,54.99,55.04,4400,0
2015-02-03,16:30:00,55.0,55.05,54.98,55.01,2700,0
2015-02-03,16:35:00,55.01,55.02,54.98,54.99,5721,0
2015-02-03,16:40:00,55.0,55.04,54.99,55.03,5753,0
2015-02-03,16:45:00,55.03,55.03,54.99,55.01,8868,0
2015-02-03,16:50:00,55.01,55.03,54.99,55.0,4102,0
2015-02-03,16:55:00,55.0,55.05,55.0,55.03,2100,0
2015-02-03,17:00:00,54.99,55.04,54.96,54.97,8575,0
2015-02-03,17:05:00,54.96,55.0,54.96,54.98,6800,0
2015-02-03,17:10:00,54.98,55.0,54.97,55.0,7467,0
2015-02-03,17:15:00,55.0,55.01,54.97,55.0,5600,0
2015-02-03,17:20:00,54.99,55.0,54.99,55.0,5000,0
2015-02-03,17:25:00,55.0,55.0,54.98,54.99,4000,0
2015-02-03,17:30:00,55.0,55.0,54.99,55.0,4595,0
