Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-02-03,16:50:00,229.31,229.88,228.31,228.94,34259,0
2015-02-03,16:55:00,229.12,229.46,228.2,229.4,34049,0
2015-02-03,17:00:00,229.4,229.65,228.74,229.33,20298,0
2015-02-03,17:05:00,229.19,229.51,228.85,229.05,21580,0
2015-02-03,17:10:00,228.85,229.0,228.23,228.94,31329,0
2015-02-03,17:15:00,228.46,228.73,228.0,228.25,40721,0
2015-02-03,17:20:00,228.02,229.45,228.02,229.39,49993,0
2015-02-03,17:25:00,229.28,229.63,228.94,229.39,17489,0
2015-02-03,17:30:00,229.39,229.55,228.54,228.54,20881,0
2015-02-03,17:35:00,228.74,229.03,228.59,229.03,26250,0
2015-02-03,17:40:00,228.88,229.4,228.53,229.18,29221,0
2015-02-03,17:45:00,228.95,229.68,228.8,229.52,13100,0
2015-02-03,17:50:00,229.58,229.94,229.06,229.7,19749,0
2015-02-03,17:55:00,229.82,229.92,229.01,229.06,14490,0
2015-02-03,18:00:00,229.42,229.81,228.71,229.48,31294,0
2015-02-03,18:05:00,229.59,229.64,228.83,229.2,42647,0
2015-02-03,18:10:00,229.2,229.73,229.01,229.73,33335,0
2015-02-03,18:15:00,229.78,230.45,229.78,230.45,37071,0
2015-02-03,18:20:00,230.37,230.37,229.81,229.96,13913,0
2015-02-03,18:25:00,229.95,229.96,229.38,229.53,15134,0
2015-02-03,18:30:00,229.57,229.92,229.4,229.52,13097,0
2015-02-03,18:35:00,229.68,229.7,228.88,229.13,22582,0
2015-02-03,18:40:00,229.08,229.51,228.89,229.05,39932,0
2015-02-03,18:45:00,229.09,229.51,229.0,229.51,7759,0
2015-02-03,18:50:00,229.64,229.76,229.25,229.57,20019,0
2015-02-03,18:55:00,229.51,230.29,229.38,230.29,40620,0
2015-02-03,19:00:00,230.34,230.52,230.01,230.28,16455,0
2015-02-03,19:05:00,230.3,230.6,230.14,230.4,9330,0
2015-02-03,19:10:00,230.54,230.66,230.15,230.66,8280,0
2015-02-03,19:15:00,230.61,230.61,229.89,230.21,8910,0
2015-02-03,19:20:00,230.22,230.72,230.19,230.47,11849,0
2015-02-03,19:25:00,230.56,231.31,230.55,231.23,16218,0
2015-02-03,19:30:00,231.29,231.44,230.79,230.92,23702,0
2015-02-03,19:35:00,230.74,231.73,230.7,231.73,29625,0
2015-02-03,19:40:00,231.58,232.1,231.3,231.6,32511,0
2015-02-03,19:45:00,231.53,232.32,231.45,232.25,29046,0
2015-02-03,19:50:00,232.14,232.87,231.73,232.82,36235,0
2015-02-03,19:55:00,232.78,232.97,232.37,232.64,31204,0
2015-02-03,20:00:00,232.72,232.87,232.38,232.48,22692,0
2015-02-03,20:05:00,232.48,232.8,231.43,231.43,34261,0
2015-02-03,20:10:00,231.45,231.65,230.66,230.94,30766,0
2015-02-03,20:15:00,230.98,231.11,230.61,230.8,38291,0
2015-02-03,20:20:00,230.8,231.22,230.69,231.15,20227,0
2015-02-03,20:25:00,231.06,231.68,230.95,231.43,13656,0
2015-02-03,20:30:00,231.06,231.35,230.8,231.35,19222,0
2015-02-03,20:35:00,231.24,231.96,231.24,231.76,14752,0
2015-02-03,20:40:00,231.9,232.0,231.56,231.95,32377,0
2015-02-03,20:45:00,231.98,232.03,231.82,231.95,12197,0
2015-02-03,20:50:00,231.99,232.25,231.66,232.22,28478,0
2015-02-03,20:55:00,232.04,232.62,232.04,232.58,67382,0
2015-02-03,21:00:00,232.59,233.92,232.59,233.9,56922,0
2015-02-03,21:05:00,233.95,234.83,233.7,234.79,75477,0
2015-02-03,21:10:00,234.81,234.98,234.65,234.92,49247,0
2015-02-03,21:15:00,234.81,234.91,233.59,234.66,47142,0
2015-02-03,21:20:00,234.66,234.66,234.01,234.24,29109,0
2015-02-03,21:25:00,234.23,234.98,234.23,234.98,30551,0
2015-02-03,21:30:00,234.96,235.5,234.61,235.2,65247,0
2015-02-03,21:35:00,235.25,235.28,234.26,234.29,51294,0
2015-02-03,21:40:00,234.27,234.55,233.64,233.74,67245,0
2015-02-03,21:45:00,233.81,234.0,233.61,233.63,69180,0
2015-02-03,21:50:00,233.61,233.75,233.34,233.36,67722,0
2015-02-03,21:55:00,233.39,233.52,232.83,232.9,79169,0
2015-02-03,22:00:00,232.89,232.96,232.27,232.76,217608,0
2015-02-04,15:35:00,232.49,234.0,232.15,232.63,52772,0
2015-02-04,15:40:00,232.61,233.41,232.2,232.46,37154,0
2015-02-04,15:45:00,232.46,232.99,231.52,231.52,33347,0
2015-02-04,15:50:00,231.74,233.78,230.81,233.75,47984,0
2015-02-04,15:55:00,233.46,233.78,232.52,232.82,44430,0
2015-02-04,16:00:00,232.75,233.22,232.03,232.03,45497,0
2015-02-04,16:05:00,232.05,232.35,230.44,230.63,64171,0
2015-02-04,16:10:00,230.83,231.11,230.11,230.37,52842,0
2015-02-04,16:15:00,230.43,231.64,230.1,230.93,48080,0
2015-02-04,16:20:00,230.95,230.99,229.85,229.97,37478,0
2015-02-04,16:25:00,229.85,229.98,229.13,229.56,89208,0
2015-02-04,16:30:00,229.72,229.78,229.0,229.55,42641,0
2015-02-04,16:35:00,229.5,229.5,228.81,229.0,47963,0
2015-02-04,16:40:00,229.02,229.82,228.29,229.47,57965,0
2015-02-04,16:45:00,229.47,229.98,229.07,229.98,36290,0
2015-02-04,16:50:00,229.98,230.05,229.39,229.7,26735,0
2015-02-04,16:55:00,229.67,229.98,229.53,229.93,15765,0
2015-02-04,17:00:00,229.98,230.25,229.59,230.09,34928,0
2015-02-04,17:05:00,229.88,230.0,229.57,229.95,24378,0
2015-02-04,17:10:00,229.75,230.18,229.57,230.16,30255,0
2015-02-04,17:15:00,230.01,231.3,229.77,230.98,36948,0
2015-02-04,17:20:00,230.99,231.24,230.02,230.23,17552,0
2015-02-04,17:25:00,230.1,230.59,230.1,230.52,11809,0
2015-02-04,17:30:00,230.38,230.83,230.12,230.83,15008,0
2015-02-04,17:35:00,230.78,231.37,230.57,231.37,25992,0
2015-02-04,17:40:00,231.48,231.98,231.44,231.44,29980,0
2015-02-04,17:45:00,231.56,232.64,231.42,232.55,25082,0
2015-02-04,17:50:00,232.38,232.75,231.74,232.21,27503,0
2015-02-04,17:55:00,232.3,232.4,231.45,231.5,15002,0
2015-02-04,18:00:00,231.5,231.55,230.99,231.05,15131,0
2015-02-04,18:05:00,231.16,231.16,230.34,230.78,21285,0
2015-02-04,18:10:00,230.89,231.29,230.79,230.92,14027,0
2015-02-04,18:15:00,230.78,231.25,230.67,231.13,11700,0
2015-02-04,18:20:00,231.13,231.27,230.64,230.64,15190,0
2015-02-04,18:25:00,230.67,230.82,230.18,230.32,17169,0
2015-02-04,18:30:00,230.18,230.38,229.96,230.19,25437,0
2015-02-04,18:35:00,230.17,230.75,230.08,230.52,12834,0
2015-02-04,18:40:00,230.69,230.99,230.51,230.87,8318,0
2015-02-04,18:45:00,230.83,230.89,230.3,230.39,7900,0
2015-02-04,18:50:00,230.41,230.84,230.31,230.6,11895,0
2015-02-04,18:55:00,230.37,230.75,230.35,230.66,11548,0
2015-02-04,19:00:00,230.76,231.48,230.75,231.36,11735,0
2015-02-04,19:05:00,231.32,231.44,231.13,231.38,14630,0
2015-02-04,19:10:00,231.36,231.61,231.15,231.43,12762,0
2015-02-04,19:15:00,231.51,231.51,231.23,231.26,14149,0
2015-02-04,19:20:00,231.43,231.62,231.05,231.05,18386,0
2015-02-04,19:25:00,231.1,231.21,230.92,231.21,17248,0
2015-02-04,19:30:00,231.08,231.3,231.08,231.22,4700,0
2015-02-04,19:35:00,231.32,231.79,231.18,231.79,13588,0
2015-02-04,19:40:00,231.64,232.04,231.52,232.02,23858,0
2015-02-04,19:45:00,231.98,231.98,231.8,231.82,4891,0
2015-02-04,19:50:00,231.66,231.77,231.49,231.66,11772,0
2015-02-04,19:55:00,231.64,232.06,231.63,231.86,13036,0
2015-02-04,20:00:00,231.79,231.88,230.83,231.85,53082,0
2015-02-04,20:05:00,231.85,232.23,231.76,232.18,55608,0
