Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-02-02,18:30:00,54.16,54.16,54.13,54.15,600,0
2015-02-02,18:35:00,54.13,54.14,54.13,54.14,800,0
2015-02-02,18:40:00,54.12,54.12,54.1,54.1,1100,0
2015-02-02,18:45:00,54.15,54.19,54.11,54.16,4100,0
2015-02-02,18:50:00,54.13,54.13,54.1,54.1,2075,0
2015-02-02,18:55:00,54.1,54.1,54.1,54.1,1212,0
2015-02-02,19:00:00,54.11,54.17,54.11,54.17,2800,0
2015-02-02,19:05:00,54.15,54.15,54.11,54.14,900,0
2015-02-02,19:10:00,54.16,54.18,54.12,54.13,2839,0
2015-02-02,19:15:00,54.15,54.16,54.1,54.15,4000,0
2015-02-02,19:20:00,54.13,54.18,54.1,54.1,1600,0
2015-02-02,19:25:00,54.16,54.24,54.14,54.24,3873,0
2015-02-02,19:30:00,54.2,54.2,54.12,54.15,1800,0
2015-02-02,19:40:00,54.1,54.16,54.1,54.11,4661,0
2015-02-02,19:45:00,54.12,54.12,54.1,54.1,2500,0
2015-02-02,19:50:00,54.13,54.15,54.13,54.15,2000,0
2015-02-02,19:55:00,54.12,54.12,54.1,54.1,2900,0
2015-02-02,20:00:00,54.11,54.13,53.9,53.9,4191,0
2015-02-02,20:05:00,53.85,53.95,53.85,53.9,3226,0
2015-02-02,20:10:00,53.98,53.98,53.95,53.95,2300,0
2015-02-02,20:15:00,53.87,53.92,53.87,53.92,1500,0
2015-02-02,20:20:00,53.87,53.93,53.87,53.87,1600,0
2015-02-02,20:25:00,53.89,53.93,53.89,53.93,1400,0
2015-02-02,20:30:00,53.98,53.98,53.91,53.93,6500,0
2015-02-02,20:35:00,53.96,53.96,53.87,53.87,8300,0
2015-02-02,20:40:00,53.91,53.91,53.77,53.85,4900,0
2015-02-02,20:45:00,53.8,53.86,53.76,53.83,1200,0
2015-02-02,20:50:00,53.79,53.8,53.53,53.61,4600,0
2015-02-02,20:55:00,53.6,53.72,53.6,53.72,2600,0
2015-02-02,21:00:00,53.66,53.66,53.59,53.61,4400,0
2015-02-02,21:05:00,53.58,53.82,53.58,53.79,2340,0
2015-02-02,21:10:00,53.81,53.94,53.55,53.65,17207,0
2015-02-02,21:15:00,53.63,53.71,53.59,53.63,12000,0
2015-02-02,21:20:00,53.63,53.73,53.6,53.6,6177,0
2015-02-02,21:25:00,53.6,53.72,53.6,53.71,2600,0
2015-02-02,21:30:00,53.77,53.8,53.75,53.78,4700,0
2015-02-02,21:35:00,53.77,53.87,53.77,53.86,5908,0
2015-02-02,21:40:00,53.92,54.12,53.92,54.07,3000,0
2015-02-02,21:45:00,54.11,54.36,54.1,54.18,7800,0
2015-02-02,21:50:00,54.18,54.31,54.17,54.19,10900,0
2015-02-02,21:55:00,54.19,54.36,54.18,54.2,13012,0
2015-02-02,22:00:00,54.22,54.33,54.18,54.31,69568,0
2015-02-03,15:35:00,54.6,55.26,54.6,55.25,7460,0
2015-02-03,15:40:00,55.12,55.12,54.75,54.75,3800,0
2015-02-03,15:45:00,54.78,55.15,54.77,54.95,14467,0
2015-02-03,15:50:00,55.18,55.2,55.14,55.16,2775,0
2015-02-03,15:55:00,55.2,55.2,55.08,55.08,1700,0
2015-02-03,16:00:00,55.2,55.2,55.2,55.2,1300,0
2015-02-03,16:05:00,55.2,55.2,55.14,55.14,3822,0
2015-02-03,16:10:00,55.2,55.2,55.11,55.11,2478,0
2015-02-03,16:15:00,55.1,55.11,55.06,55.06,4100,0
2015-02-03,16:20:00,55.04,55.12,55.04,55.1,7100,0
2015-02-03,16:25:00,55.1,55.15,55.0,55.0,9793,0
2015-02-03,16:30:00,55.07,55.15,55.05,55.15,3100,0
2015-02-03,16:35:00,55.2,55.2,55.11,55.12,2860,0
2015-02-03,16:40:00,55.11,55.17,55.1,55.11,1300,0
2015-02-03,16:45:00,55.1,55.1,55.02,55.02,2100,0
2015-02-03,16:50:00,54.98,55.04,54.9,54.9,1300,0
2015-02-03,16:55:00,54.88,54.88,54.8,54.8,900,0
2015-02-03,17:00:00,54.75,54.75,54.75,54.75,2400,0
2015-02-03,17:05:00,54.75,54.93,54.75,54.93,1200,0
2015-02-03,17:10:00,54.86,54.95,54.82,54.94,2100,0
2015-02-03,17:15:00,54.91,55.01,54.87,55.01,6570,0
2015-02-03,17:20:00,55.01,55.14,55.01,55.04,1714,0
2015-02-03,17:25:00,55.01,55.11,54.99,55.08,3900,0
2015-02-03,17:30:00,55.11,55.2,55.1,55.1,4730,0
2015-02-03,17:35:00,55.08,55.08,55.01,55.03,1100,0
2015-02-03,17:40:00,55.02,55.16,55.01,55.14,6277,0
2015-02-03,17:45:00,55.16,55.16,55.11,55.11,1300,0
2015-02-03,17:50:00,55.14,55.16,55.01,55.01,1900,0
2015-02-03,17:55:00,55.07,55.07,54.96,54.96,1600,0
2015-02-03,18:00:00,54.91,54.92,54.83,54.9,3200,0
2015-02-03,18:05:00,54.82,54.82,54.79,54.8,700,0
2015-02-03,18:10:00,54.81,54.96,54.81,54.89,900,0
2015-02-03,18:15:00,54.86,54.96,54.84,54.88,1700,0
2015-02-03,18:20:00,54.92,54.92,54.87,54.87,1500,0
2015-02-03,18:25:00,54.86,54.87,54.8,54.8,800,0
2015-02-03,18:30:00,54.81,54.83,54.81,54.82,900,0
2015-02-03,18:35:00,54.82,54.84,54.78,54.8,1458,0
2015-02-03,18:40:00,54.75,54.75,54.66,54.66,1994,0
2015-02-03,18:45:00,54.72,54.82,54.72,54.82,4100,0
2015-02-03,18:50:00,54.81,54.87,54.81,54.85,1400,0
2015-02-03,18:55:00,54.81,54.82,54.7,54.82,7500,0
2015-02-03,19:00:00,54.82,54.82,54.78,54.8,1800,0
2015-02-03,19:05:00,54.75,54.76,54.71,54.76,1200,0
2015-02-03,19:10:00,54.82,54.82,54.71,54.71,1343,0
2015-02-03,19:15:00,54.66,54.71,54.66,54.66,2000,0
2015-02-03,19:20:00,54.7,54.7,54.59,54.61,2180,0
2015-02-03,19:25:00,54.69,54.75,54.56,54.6,6700,0
2015-02-03,19:30:00,54.6,54.69,54.55,54.61,3500,0
2015-02-03,19:35:00,54.61,54.65,54.6,54.62,3000,0
2015-02-03,19:40:00,54.6,54.61,54.59,54.61,600,0
2015-02-03,19:45:00,54.56,54.58,54.52,54.52,1200,0
2015-02-03,19:50:00,54.51,54.56,54.5,54.5,2495,0
2015-02-03,19:55:00,54.5,54.54,54.5,54.51,10210,0
2015-02-03,20:00:00,54.51,54.53,54.51,54.53,1000,0
2015-02-03,20:05:00,54.51,54.6,54.51,54.56,3400,0
2015-02-03,20:10:00,54.5,54.55,54.48,54.55,2700,0
2015-02-03,20:15:00,54.53,54.64,54.51,54.64,5540,0
2015-02-03,20:20:00,54.64,54.67,54.57,54.57,1800,0
2015-02-03,20:25:00,54.58,54.65,54.58,54.63,1600,0
2015-02-03,20:30:00,54.59,54.59,54.55,54.55,4372,0
2015-02-03,20:35:00,54.58,54.64,54.55,54.6,6000,0
2015-02-03,20:40:00,54.61,54.65,54.57,54.63,5400,0
2015-02-03,20:45:00,54.6,54.66,54.59,54.61,2882,0
2015-02-03,20:50:00,54.59,54.69,54.59,54.61,2200,0
2015-02-03,20:55:00,54.67,54.67,54.6,54.63,700,0
2015-02-03,21:00:00,54.6,54.68,54.6,54.68,2300,0
2015-02-03,21:05:00,54.71,54.76,54.68,54.74,3289,0
2015-02-03,21:10:00,54.73,54.8,54.73,54.78,4100,0
2015-02-03,21:15:00,54.77,54.89,54.76,54.82,5400,0
2015-02-03,21:20:00,54.86,54.86,54.78,54.78,2600,0
2015-02-03,21:25:00,54.79,54.84,54.77,54.82,6595,0
2015-02-03,21:30:00,54.78,54.82,54.75,54.75,5600,0
2015-02-03,21:35:00,54.75,54.8,54.75,54.75,15607,0
2015-02-03,21:40:00,54.77,54.83,54.75,54.83,8219,0
2015-02-03,21:45:00,54.84,55.07,54.79,55.06,11025,0
2015-02-03,21:50:00,55.07,55.28,55.07,55.22,12700,0
2015-02-03,21:55:00,55.23,55.35,55.2,55.35,14652,0
2015-02-03,22:00:00,55.35,55.36,55.2,55.23,144606,0
2015-02-04,15:35:00,54.82,54.82,54.82,54.82,7072,0
2015-02-04,15:40:00,55.16,55.16,55.05,55.05,600,0
2015-02-04,15:45:00,55.2,55.2,55.18,55.18,1700,0
2015-02-04,15:55:00,55.45,55.46,55.34,55.34,2200,0
2015-02-04,16:05:00,55.3,55.31,55.3,55.3,1300,0
2015-02-04,16:15:00,55.3,55.41,55.2,55.23,5519,0
2015-02-04,16:20:00,55.27,55.37,55.25,55.35,6349,0
2015-02-04,16:25:00,55.31,55.31,55.3,55.3,600,0
2015-02-04,16:35:00,55.44,55.5,55.44,55.5,2900,0
2015-02-04,16:40:00,55.45,55.45,55.4,55.44,2000,0
2015-02-04,16:45:00,55.5,55.5,55.48,55.5,2550,0
2015-02-04,16:50:00,55.47,55.47,55.42,55.42,2400,0
2015-02-04,17:00:00,55.44,55.44,55.4,55.4,900,0
2015-02-04,17:05:00,55.3,55.4,55.28,55.4,1100,0
2015-02-04,17:15:00,55.4,55.44,55.35,55.41,4650,0
2015-02-04,17:20:00,55.41,55.5,55.41,55.44,8007,0
2015-02-04,17:25:00,55.5,55.5,55.48,55.48,3388,0
2015-02-04,17:30:00,55.5,55.5,55.5,55.5,100,0
2015-02-04,17:35:00,55.5,55.5,55.48,55.48,5543,0
2015-02-04,17:40:00,55.46,55.47,55.4,55.41,2100,0
2015-02-04,17:50:00,55.46,55.46,55.46,55.46,500,0
2015-02-04,17:55:00,55.45,55.45,55.45,55.45,600,0
2015-02-04,18:00:00,55.44,55.47,55.43,55.45,1100,0
2015-02-04,18:10:00,55.44,55.47,55.44,55.47,300,0
2015-02-04,18:20:00,55.48,55.49,55.38,55.38,3200,0
2015-02-04,18:25:00,55.37,55.39,55.37,55.39,300,0
2015-02-04,18:35:00,55.34,55.34,55.34,55.34,1300,0
2015-02-04,18:45:00,55.44,55.44,55.43,55.43,600,0
2015-02-04,18:55:00,55.46,55.46,55.45,55.45,400,0
2015-02-04,19:05:00,55.4,55.4,55.37,55.37,2700,0
2015-02-04,19:10:00,55.41,55.41,55.41,55.41,200,0
2015-02-04,19:15:00,55.48,55.48,55.48,55.48,500,0
2015-02-04,19:20:00,55.48,55.48,55.48,55.48,200,0
2015-02-04,19:25:00,55.42,55.42,55.42,55.42,400,0
2015-02-04,19:30:00,55.49,55.49,55.49,55.49,500,0
2015-02-04,19:35:00,55.49,55.5,55.46,55.46,2868,0
2015-02-04,19:40:00,55.43,55.43,55.43,55.43,200,0
2015-02-04,19:45:00,55.41,55.41,55.41,55.41,900,0
2015-02-04,19:55:00,55.47,55.48,55.47,55.48,700,0
2015-02-04,20:00:00,55.45,55.45,55.45,55.45,400,0
2015-02-04,20:05:00,55.44,55.52,55.44,55.5,1691,0
2015-02-04,20:10:00,55.5,55.5,55.45,55.45,3700,0
2015-02-04,20:15:00,55.47,55.47,55.38,55.38,1300,0
2015-02-04,20:20:00,55.35,55.35,55.35,55.35,500,0
2015-02-04,20:25:00,55.34,55.34,55.3,55.3,1300,0
2015-02-04,20:30:00,55.33,55.36,55.33,55.36,700,0
2015-02-04,20:40:00,55.36,55.36,55.35,55.35,1800,0
2015-02-04,20:45:00,55.4,55.4,55.4,55.4,100,0
2015-02-04,20:50:00,55.4,55.4,55.4,55.4,500,0
2015-02-04,20:55:00,55.43,55.43,55.43,55.43,100,0
2015-02-04,21:00:00,55.43,55.43,55.43,55.43,500,0
2015-02-04,21:05:00,55.43,55.43,55.37,55.4,600,0
2015-02-04,21:10:00,55.44,55.45,55.44,55.45,200,0
2015-02-04,21:15:00,55.43,55.46,55.43,55.45,500,0
2015-02-04,21:20:00,55.45,55.5,55.41,55.41,4086,0
2015-02-04,21:25:00,55.42,55.42,55.37,55.4,3100,0
2015-02-04,21:30:00,55.45,55.45,55.42,55.43,500,0
2015-02-04,21:35:00,55.5,55.5,55.47,55.5,1500,0
2015-02-04,21:40:00,55.5,55.51,55.39,55.39,2100,0
2015-02-04,21:45:00,55.35,55.35,55.17,55.17,2700,0
2015-02-04,21:50:00,55.19,55.22,55.16,55.18,4000,0
2015-02-04,21:55:00,55.17,55.18,55.0,55.01,8904,0
2015-02-04,22:00:00,55.02,55.13,54.99,55.11,78299,0
2015-02-05,15:40:00,55.26,55.5,55.26,55.28,1500,0
2015-02-05,15:50:00,55.51,55.51,55.51,55.51,100,0
2015-02-05,15:55:00,55.54,55.72,55.53,55.54,1400,0
2015-02-05,16:00:00,55.45,55.45,55.32,55.32,1400,0
2015-02-05,16:05:00,55.41,55.41,55.24,55.38,1200,0
2015-02-05,16:10:00,55.37,55.37,55.37,55.37,900,0
2015-02-05,16:15:00,55.4,55.54,55.4,55.46,6807,0
2015-02-05,16:20:00,55.55,55.55,55.48,55.51,820,0
2015-02-05,16:25:00,55.59,55.6,55.59,55.6,300,0
2015-02-05,16:30:00,55.6,55.6,55.6,55.6,800,0
2015-02-05,16:35:00,55.55,55.55,55.55,55.55,800,0
2015-02-05,16:40:00,55.6,55.6,55.53,55.53,1214,0
2015-02-05,16:45:00,55.58,55.6,55.58,55.6,300,0
