Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-01-16,15:35:00,8.02,8.02,8.02,8.02,300,0
2015-01-16,15:40:00,8.07,8.07,8.07,8.07,4100,0
2015-01-16,15:45:00,8.08,8.09,8.08,8.09,2200,0
2015-01-16,15:50:00,8.09,8.09,8.09,8.09,2900,0
2015-01-16,15:55:00,8.09,8.09,8.08,8.09,4000,0
2015-01-16,16:00:00,8.09,8.09,8.09,8.09,4100,0
2015-01-16,16:05:00,8.09,8.09,8.07,8.07,7700,0
2015-01-16,16:10:00,8.08,8.09,8.08,8.09,2400,0
2015-01-16,16:15:00,8.09,8.09,8.07,8.08,3150,0
2015-01-16,16:20:00,8.09,8.09,8.07,8.08,5200,0
2015-01-16,16:25:00,8.08,8.08,8.08,8.08,2700,0
2015-01-16,16:30:00,8.08,8.09,8.07,8.09,7400,0
2015-01-16,16:35:00,8.09,8.1,8.09,8.1,2973,0
2015-01-16,16:40:00,8.11,8.11,8.11,8.11,2200,0
2015-01-16,16:45:00,8.11,8.11,8.11,8.11,3000,0
2015-01-16,16:50:00,8.11,8.12,8.05,8.05,4000,0
2015-01-16,17:15:00,8.11,8.12,8.11,8.11,700,0
2015-01-16,17:20:00,8.11,8.11,8.11,8.11,2400,0
2015-01-16,17:25:00,8.11,8.12,8.11,8.12,2300,0
2015-01-16,17:30:00,8.12,8.12,8.11,8.12,5287,0
2015-01-16,17:35:00,8.12,8.12,8.11,8.11,1700,0
2015-01-16,17:45:00,8.11,8.11,8.11,8.11,100,0
2015-01-16,17:55:00,8.11,8.11,8.11,8.11,1100,0
2015-01-16,18:00:00,8.11,8.12,8.1,8.11,7350,0
2015-01-16,18:05:00,8.11,8.11,8.11,8.11,1600,0
2015-01-16,18:10:00,8.11,8.12,8.11,8.12,6680,0
2015-01-16,18:15:00,8.13,8.14,8.13,8.14,2700,0
2015-01-16,18:20:00,8.14,8.14,8.13,8.13,3400,0
2015-01-16,18:25:00,8.13,8.15,8.13,8.15,2900,0
2015-01-16,18:30:00,8.15,8.16,8.15,8.16,2500,0
2015-01-16,18:35:00,8.16,8.16,8.16,8.16,1200,0
2015-01-16,18:40:00,8.16,8.17,8.16,8.17,2300,0
2015-01-16,18:45:00,8.17,8.18,8.16,8.18,4100,0
2015-01-16,18:50:00,8.18,8.18,8.16,8.16,6200,0
2015-01-16,18:55:00,8.18,8.19,8.18,8.19,2800,0
2015-01-16,19:00:00,8.19,8.2,8.19,8.2,4300,0
2015-01-16,19:05:00,8.19,8.19,8.18,8.18,1600,0
2015-01-16,19:10:00,8.16,8.16,8.16,8.16,100,0
2015-01-16,19:20:00,8.16,8.16,8.16,8.16,100,0
2015-01-16,19:25:00,8.15,8.16,8.12,8.12,5500,0
2015-01-16,19:30:00,8.14,8.14,8.13,8.13,400,0
2015-01-16,19:35:00,8.12,8.12,8.11,8.12,2600,0
2015-01-16,19:40:00,8.14,8.14,8.14,8.14,500,0
2015-01-16,19:45:00,8.14,8.14,8.14,8.14,4165,0
2015-01-16,20:00:00,8.15,8.15,8.12,8.12,3894,0
2015-01-16,21:25:00,8.14,8.16,8.14,8.16,787,0
2015-01-16,21:40:00,8.15,8.17,8.15,8.17,1400,0
2015-01-16,21:45:00,8.16,8.17,8.16,8.17,2138,0
2015-01-16,21:50:00,8.17,8.19,8.17,8.18,5165,0
2015-01-16,21:55:00,8.15,8.16,8.15,8.16,7688,0
2015-01-16,22:00:00,8.16,8.19,8.16,8.19,800,0
2015-01-20,15:45:00,8.2,8.2,8.18,8.2,1800,0
2015-01-20,15:50:00,8.19,8.2,8.18,8.18,700,0
2015-01-20,15:55:00,8.2,8.2,8.18,8.18,900,0
2015-01-20,16:00:00,8.17,8.18,8.17,8.18,1065,0
2015-01-20,16:05:00,8.17,8.17,8.17,8.17,1200,0
2015-01-20,16:15:00,8.17,8.17,8.17,8.17,400,0
2015-01-20,16:20:00,8.16,8.17,8.16,8.17,600,0
2015-01-20,16:25:00,8.17,8.17,8.17,8.17,300,0
2015-01-20,16:30:00,8.17,8.18,8.17,8.18,600,0
2015-01-20,16:35:00,8.18,8.18,8.16,8.16,1300,0
2015-01-20,16:45:00,8.18,8.18,8.18,8.18,300,0
2015-01-20,16:50:00,8.18,8.18,8.18,8.18,600,0
2015-01-20,17:00:00,8.16,8.18,8.16,8.18,810,0
2015-01-20,17:05:00,8.16,8.19,8.16,8.19,1212,0
2015-01-20,17:10:00,8.19,8.19,8.19,8.19,300,0
2015-01-20,17:15:00,8.19,8.19,8.19,8.19,400,0
2015-01-20,17:20:00,8.19,8.19,8.19,8.19,600,0
2015-01-20,17:25:00,8.19,8.19,8.19,8.19,500,0
2015-01-20,17:30:00,8.19,8.19,8.19,8.19,300,0
2015-01-20,17:35:00,8.19,8.19,8.18,8.18,400,0
2015-01-20,17:40:00,8.18,8.19,8.18,8.18,1945,0
2015-01-20,17:45:00,8.18,8.19,8.18,8.18,1950,0
2015-01-20,17:50:00,8.18,8.18,8.18,8.18,1350,0
2015-01-20,17:55:00,8.19,8.19,8.19,8.19,1000,0
2015-01-20,18:00:00,8.18,8.18,8.18,8.18,100,0
2015-01-20,18:05:00,8.18,8.18,8.18,8.18,100,0
2015-01-20,18:15:00,8.19,8.19,8.18,8.18,1000,0
2015-01-20,18:20:00,8.18,8.18,8.18,8.18,300,0
2015-01-20,18:25:00,8.19,8.19,8.19,8.19,213,0
2015-01-20,18:30:00,8.19,8.19,8.18,8.19,1467,0
2015-01-20,18:35:00,8.18,8.19,8.18,8.18,712,0
2015-01-20,18:40:00,8.19,8.19,8.18,8.18,1400,0
2015-01-20,18:50:00,8.19,8.19,8.19,8.19,200,0
2015-01-20,18:55:00,8.19,8.19,8.19,8.19,671,0
2015-01-20,19:35:00,8.19,8.19,8.19,8.19,200,0
2015-01-20,19:40:00,8.19,8.19,8.18,8.18,783,0
2015-01-20,19:45:00,8.18,8.18,8.18,8.18,6150,0
2015-01-20,20:05:00,8.16,8.16,8.16,8.16,500,0
2015-01-20,20:10:00,8.16,8.16,8.16,8.16,300,0
2015-01-20,20:40:00,8.16,8.16,8.16,8.16,274,0
2015-01-20,20:50:00,8.16,8.16,8.16,8.16,1200,0
2015-01-20,21:05:00,8.16,8.16,8.16,8.16,100,0
2015-01-20,21:40:00,8.16,8.16,8.16,8.16,950,0
2015-01-20,21:45:00,8.16,8.16,8.16,8.16,1575,0
2015-01-20,21:50:00,8.16,8.16,8.16,8.16,500,0
2015-01-20,21:55:00,8.15,8.15,8.15,8.15,300,0
2015-01-21,15:40:00,8.17,8.17,8.17,8.17,279,0
2015-01-21,15:45:00,8.17,8.17,8.17,8.17,100,0
2015-01-21,15:50:00,8.16,8.17,8.16,8.17,200,0
2015-01-21,15:55:00,8.17,8.17,8.16,8.17,300,0
2015-01-21,16:05:00,8.16,8.16,8.16,8.16,100,0
2015-01-21,16:10:00,8.17,8.17,8.16,8.16,300,0
2015-01-21,16:15:00,8.16,8.17,8.16,8.17,200,0
2015-01-21,16:20:00,8.16,8.17,8.16,8.17,500,0
2015-01-21,16:25:00,8.17,8.17,8.13,8.14,5379,0
2015-01-21,16:30:00,8.14,8.14,8.13,8.13,4630,0
2015-01-21,16:35:00,8.14,8.14,8.14,8.14,1300,0
2015-01-21,16:40:00,8.14,8.14,8.14,8.14,300,0
2015-01-21,16:50:00,8.14,8.14,8.14,8.14,247,0
2015-01-21,16:55:00,8.14,8.14,8.14,8.14,6700,0
2015-01-21,17:00:00,8.14,8.14,8.14,8.14,1692,0
2015-01-21,17:10:00,8.17,8.17,8.17,8.17,100,0
2015-01-21,17:15:00,8.17,8.17,8.17,8.17,200,0
2015-01-21,17:30:00,8.16,8.16,8.16,8.16,100,0
2015-01-21,17:35:00,8.17,8.18,8.17,8.17,5000,0
2015-01-21,17:40:00,8.18,8.18,8.17,8.17,1200,0
2015-01-21,17:45:00,8.18,8.19,8.18,8.19,5900,0
2015-01-21,17:50:00,8.18,8.18,8.18,8.18,1000,0
2015-01-21,17:55:00,8.19,8.19,8.19,8.19,100,0
2015-01-21,18:00:00,8.19,8.19,8.19,8.19,100,0
2015-01-21,18:05:00,8.19,8.19,8.19,8.19,100,0
2015-01-21,18:15:00,8.18,8.19,8.18,8.19,4400,0
2015-01-21,18:20:00,8.19,8.19,8.19,8.19,2648,0
2015-01-21,18:25:00,8.19,8.19,8.19,8.19,100,0
2015-01-21,18:30:00,8.19,8.19,8.18,8.18,434,0
2015-01-21,18:50:00,8.19,8.19,8.19,8.19,300,0
2015-01-21,18:55:00,8.19,8.19,8.18,8.18,748,0
2015-01-21,19:15:00,8.18,8.18,8.18,8.18,1300,0
2015-01-21,19:30:00,8.19,8.19,8.19,8.19,1000,0
2015-01-21,19:40:00,8.18,8.18,8.18,8.18,650,0
2015-01-21,19:55:00,8.19,8.19,8.19,8.19,2800,0
2015-01-21,20:00:00,8.19,8.19,8.19,8.19,3800,0
2015-01-21,20:05:00,8.19,8.19,8.19,8.19,1000,0
2015-01-21,20:10:00,8.19,8.2,8.19,8.2,11474,0
2015-01-21,20:15:00,8.2,8.2,8.2,8.2,2400,0
2015-01-21,20:20:00,8.2,8.21,8.2,8.21,2041,0
2015-01-21,20:30:00,8.21,8.21,8.21,8.21,300,0
2015-01-21,20:35:00,8.2,8.21,8.2,8.21,700,0
2015-01-21,20:40:00,8.21,8.21,8.21,8.21,200,0
2015-01-21,20:45:00,8.2,8.21,8.2,8.21,600,0
2015-01-21,20:50:00,8.21,8.21,8.21,8.21,2900,0
2015-01-21,20:55:00,8.22,8.22,8.22,8.22,200,0
2015-01-21,21:00:00,8.22,8.23,8.22,8.23,1000,0
2015-01-21,21:05:00,8.23,8.23,8.22,8.22,4262,0
2015-01-21,21:15:00,8.24,8.24,8.24,8.24,1215,0
2015-01-21,21:25:00,8.23,8.23,8.23,8.23,2067,0
2015-01-21,21:30:00,8.24,8.24,8.24,8.24,4459,0
2015-01-21,21:35:00,8.24,8.24,8.24,8.24,200,0
2015-01-21,21:40:00,8.24,8.24,8.23,8.23,2090,0
2015-01-21,21:50:00,8.23,8.23,8.23,8.23,600,0
2015-01-21,21:55:00,8.22,8.22,8.22,8.22,2500,0
2015-01-21,22:00:00,8.23,8.23,8.22,8.23,1152,0
2015-01-22,15:45:00,8.27,8.27,8.25,8.25,300,0
2015-01-22,15:50:00,8.27,8.27,8.23,8.23,3800,0
2015-01-22,15:55:00,8.24,8.25,8.23,8.23,1724,0
2015-01-22,16:00:00,8.23,8.23,8.23,8.23,2000,0
2015-01-22,16:05:00,8.25,8.26,8.25,8.26,3775,0
2015-01-22,16:10:00,8.26,8.26,8.26,8.26,300,0
2015-01-22,16:15:00,8.26,8.26,8.26,8.26,500,0
2015-01-22,16:20:00,8.26,8.26,8.26,8.26,400,0
2015-01-22,16:25:00,8.26,8.26,8.25,8.26,2053,0
2015-01-22,16:30:00,8.26,8.27,8.26,8.27,400,0
2015-01-22,16:35:00,8.26,8.27,8.26,8.27,2000,0
2015-01-22,16:40:00,8.27,8.27,8.27,8.27,300,0
2015-01-22,16:45:00,8.26,8.27,8.26,8.27,3251,0
2015-01-22,16:50:00,8.28,8.28,8.28,8.28,200,0
2015-01-22,16:55:00,8.28,8.28,8.28,8.28,700,0
2015-01-22,17:00:00,8.28,8.28,8.28,8.28,400,0
2015-01-22,17:10:00,8.28,8.28,8.28,8.28,300,0
2015-01-22,17:15:00,8.28,8.28,8.28,8.28,700,0
2015-01-22,17:20:00,8.28,8.28,8.28,8.28,500,0
2015-01-22,17:25:00,8.28,8.28,8.28,8.28,431,0
2015-01-22,17:30:00,8.29,8.29,8.29,8.29,500,0
2015-01-22,17:35:00,8.29,8.29,8.29,8.29,200,0
2015-01-22,17:40:00,8.29,8.29,8.29,8.29,300,0
2015-01-22,17:45:00,8.29,8.29,8.28,8.28,600,0
2015-01-22,17:55:00,8.29,8.29,8.29,8.29,138,0
2015-01-22,18:00:00,8.29,8.29,8.29,8.29,200,0
2015-01-22,18:05:00,8.29,8.29,8.29,8.29,400,0
2015-01-22,18:15:00,8.29,8.29,8.29,8.29,800,0
2015-01-22,18:20:00,8.29,8.29,8.29,8.29,300,0
2015-01-22,18:25:00,8.28,8.28,8.28,8.28,500,0
2015-01-22,18:30:00,8.27,8.28,8.27,8.28,2133,0
2015-01-22,18:40:00,8.29,8.29,8.29,8.29,456,0
2015-01-22,19:05:00,8.28,8.28,8.28,8.28,2000,0
2015-01-22,20:20:00,8.29,8.29,8.29,8.29,139,0
2015-01-22,20:50:00,8.29,8.29,8.29,8.29,829,0
2015-01-22,20:55:00,8.29,8.29,8.27,8.28,6499,0
2015-01-22,21:00:00,8.27,8.28,8.27,8.28,300,0
2015-01-22,21:05:00,8.28,8.28,8.28,8.28,2000,0
2015-01-22,21:15:00,8.28,8.28,8.28,8.28,834,0
2015-01-22,21:40:00,8.29,8.29,8.29,8.29,900,0
2015-01-22,21:45:00,8.29,8.29,8.29,8.29,100,0
2015-01-22,21:50:00,8.29,8.29,8.29,8.29,1388,0
2015-01-22,22:00:00,8.28,8.28,8.28,8.28,640,0
2015-01-23,15:35:00,8.28,8.28,8.26,8.26,1785,0
2015-01-23,15:45:00,8.29,8.29,8.29,8.29,200,0
2015-01-23,15:50:00,8.29,8.29,8.29,8.29,300,0
2015-01-23,15:55:00,8.29,8.29,8.29,8.29,200,0
2015-01-23,16:00:00,8.28,8.28,8.28,8.28,1600,0
2015-01-23,16:10:00,8.29,8.3,8.29,8.3,300,0
2015-01-23,16:15:00,8.3,8.3,8.3,8.3,400,0
2015-01-23,16:20:00,8.3,8.3,8.29,8.29,200,0
