Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-01-28,21:10:00,12.68,12.68,12.68,12.68,404,0
2015-01-28,21:15:00,12.667,12.677,12.667,12.667,1323,0
2015-01-28,21:20:00,12.658,12.667,12.638,12.638,913,0
2015-01-28,21:25:00,12.658,12.658,12.648,12.648,404,0
2015-01-28,21:30:00,12.658,12.658,12.628,12.628,1606,0
2015-01-28,21:35:00,12.618,12.618,12.618,12.618,607,0
2015-01-28,21:40:00,12.598,12.598,12.588,12.588,443,0
2015-01-28,21:45:00,12.588,12.588,12.569,12.569,6983,0
2015-01-28,21:50:00,12.549,12.588,12.549,12.588,707,0
2015-01-28,21:55:00,12.578,12.578,12.578,12.578,101,0
2015-01-28,22:00:00,12.588,12.588,12.559,12.559,6643,0
2015-01-29,15:35:00,12.905,12.905,12.905,12.905,1015,0
2015-01-29,15:40:00,12.954,12.954,12.914,12.924,7659,0
2015-01-29,15:45:00,12.924,12.954,12.924,12.924,2130,0
2015-01-29,15:50:00,12.914,12.914,12.914,12.914,202,0
2015-01-29,15:55:00,12.914,12.914,12.895,12.895,5159,0
2015-01-29,16:00:00,12.905,12.954,12.895,12.954,3303,0
2015-01-29,16:05:00,12.905,12.905,12.895,12.895,4816,0
2015-01-29,16:10:00,12.905,12.944,12.905,12.924,2629,0
2015-01-29,16:15:00,12.905,12.905,12.905,12.905,303,0
2015-01-29,16:20:00,12.905,12.914,12.905,12.914,606,0
2015-01-29,16:25:00,12.865,12.914,12.865,12.885,849,0
2015-01-29,16:30:00,12.885,12.885,12.885,12.885,101,0
2015-01-29,16:35:00,12.875,12.905,12.875,12.895,303,0
2015-01-29,16:40:00,12.875,12.875,12.875,12.875,101,0
2015-01-29,16:45:00,12.905,12.905,12.855,12.855,795,0
2015-01-29,16:50:00,12.845,12.855,12.845,12.855,202,0
2015-01-29,16:55:00,12.845,12.845,12.806,12.806,404,0
2015-01-29,17:00:00,12.835,12.835,12.806,12.826,606,0
2015-01-29,17:05:00,12.826,12.885,12.826,12.885,2029,0
2015-01-29,17:10:00,12.845,12.845,12.845,12.845,2828,0
2015-01-29,17:15:00,12.845,12.855,12.845,12.855,1213,0
2015-01-29,17:20:00,12.855,12.885,12.855,12.855,943,0
2015-01-29,17:25:00,12.885,12.905,12.885,12.905,1618,0
2015-01-29,17:30:00,12.914,12.914,12.914,12.914,1011,0
2015-01-29,17:35:00,12.865,12.885,12.865,12.885,873,0
2015-01-29,17:40:00,12.865,12.875,12.865,12.875,762,0
2015-01-29,17:50:00,12.865,12.875,12.865,12.865,505,0
2015-01-29,17:55:00,12.845,12.865,12.845,12.865,705,0
2015-01-29,18:00:00,12.865,12.875,12.865,12.875,202,0
2015-01-29,18:10:00,12.845,12.855,12.845,12.855,1113,0
2015-01-29,18:15:00,12.855,12.855,12.855,12.855,202,0
2015-01-29,18:20:00,12.845,12.845,12.826,12.826,303,0
2015-01-29,18:25:00,12.826,12.835,12.826,12.835,303,0
2015-01-29,18:30:00,12.826,12.826,12.826,12.826,606,0
2015-01-29,18:35:00,12.816,12.816,12.806,12.806,404,0
2015-01-29,18:40:00,12.816,12.816,12.816,12.816,202,0
2015-01-29,18:45:00,12.826,12.826,12.816,12.816,607,0
2015-01-29,18:50:00,12.806,12.806,12.796,12.806,1008,0
2015-01-29,18:55:00,12.806,12.806,12.806,12.806,101,0
2015-01-29,19:00:00,12.816,12.826,12.816,12.826,909,0
2015-01-29,19:10:00,12.806,12.826,12.806,12.826,404,0
2015-01-29,19:15:00,12.826,12.826,12.826,12.826,1518,0
2015-01-29,19:20:00,12.835,12.845,12.835,12.835,2527,0
2015-01-29,19:25:00,12.835,12.845,12.835,12.845,909,0
2015-01-29,19:30:00,12.855,12.914,12.855,12.914,2129,0
2015-01-29,19:40:00,12.895,12.895,12.885,12.885,1414,0
2015-01-29,19:45:00,12.895,12.895,12.885,12.895,1417,0
2015-01-29,19:50:00,12.895,12.905,12.885,12.905,2117,0
2015-01-29,19:55:00,12.914,12.914,12.875,12.895,7289,0
2015-01-29,20:00:00,12.885,12.885,12.885,12.885,101,0
2015-01-29,20:05:00,12.875,12.875,12.875,12.875,404,0
2015-01-29,20:10:00,12.885,12.905,12.885,12.895,808,0
2015-01-29,20:15:00,12.875,12.875,12.875,12.875,202,0
2015-01-29,20:20:00,12.895,12.895,12.885,12.885,202,0
2015-01-29,20:30:00,12.875,12.875,12.875,12.875,101,0
2015-01-29,20:35:00,12.885,12.885,12.885,12.885,505,0
2015-01-29,20:40:00,12.885,12.895,12.885,12.895,202,0
2015-01-29,20:45:00,12.885,12.895,12.885,12.895,1416,0
2015-01-29,20:50:00,12.895,12.895,12.865,12.865,202,0
2015-01-29,20:55:00,12.875,12.875,12.875,12.875,101,0
2015-01-29,21:00:00,12.875,12.875,12.855,12.855,202,0
2015-01-29,21:05:00,12.865,12.885,12.865,12.885,1010,0
2015-01-29,21:10:00,12.865,12.865,12.865,12.865,202,0
2015-01-29,21:15:00,12.885,12.895,12.865,12.865,506,0
2015-01-29,21:20:00,12.875,12.875,12.875,12.875,1111,0
