Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-02-03,16:50:00,72.97,73.05,72.97,73.01,6800,0
2015-02-03,16:55:00,73.03,73.06,72.99,72.99,6512,0
2015-02-03,17:00:00,73.02,73.02,72.89,72.9,4136,0
2015-02-03,17:05:00,72.91,73.0,72.88,72.99,1997,0
2015-02-03,17:10:00,72.98,73.0,72.89,72.97,4700,0
2015-02-03,17:15:00,72.97,73.03,72.97,73.03,1900,0
2015-02-03,17:20:00,73.05,73.07,73.01,73.03,1838,0
2015-02-03,17:25:00,73.06,73.06,72.86,72.88,5210,0
2015-02-03,17:30:00,72.91,72.95,72.9,72.95,1400,0
2015-02-03,17:35:00,72.89,72.89,72.73,72.78,2300,0
2015-02-03,17:40:00,72.77,72.95,72.64,72.89,15358,0
2015-02-03,17:45:00,72.92,72.92,72.84,72.88,950,0
2015-02-03,17:50:00,72.9,72.98,72.9,72.92,3000,0
2015-02-03,17:55:00,72.91,72.91,72.63,72.63,4968,0
2015-02-03,18:00:00,72.69,72.77,72.69,72.75,2370,0
2015-02-03,18:05:00,72.69,72.75,72.69,72.69,1200,0
2015-02-03,18:10:00,72.75,72.82,72.75,72.79,6910,0
2015-02-03,18:15:00,72.68,72.73,72.66,72.73,2775,0
2015-02-03,18:20:00,72.72,72.72,72.61,72.61,1500,0
2015-02-03,18:25:00,72.61,72.61,72.52,72.59,1640,0
2015-02-03,18:30:00,72.53,72.61,72.53,72.53,1700,0
2015-02-03,18:35:00,72.53,72.65,72.53,72.62,2522,0
2015-02-03,18:40:00,72.62,72.62,72.41,72.57,3982,0
2015-02-03,18:45:00,72.55,72.69,72.55,72.67,3800,0
2015-02-03,18:50:00,72.68,72.73,72.68,72.72,7488,0
2015-02-03,18:55:00,72.71,72.81,72.7,72.79,10643,0
2015-02-03,19:00:00,72.84,72.87,72.78,72.78,1700,0
2015-02-03,19:05:00,72.75,72.92,72.75,72.83,3100,0
2015-02-03,19:10:00,72.77,72.9,72.77,72.82,1600,0
2015-02-03,19:15:00,72.82,72.87,72.81,72.83,2012,0
2015-02-03,19:20:00,72.87,72.89,72.79,72.79,2600,0
2015-02-03,19:25:00,72.83,72.99,72.83,72.91,2200,0
2015-02-03,19:30:00,72.91,72.94,72.9,72.93,3045,0
2015-02-03,19:35:00,72.99,73.03,72.92,72.96,1400,0
2015-02-03,19:40:00,73.04,73.04,72.95,72.97,2100,0
2015-02-03,19:45:00,72.94,72.97,72.83,72.83,1901,0
2015-02-03,19:50:00,72.87,72.96,72.87,72.88,3500,0
2015-02-03,19:55:00,72.92,73.06,72.92,73.06,1700,0
2015-02-03,20:00:00,73.08,73.08,72.96,72.96,3600,0
2015-02-03,20:05:00,73.0,73.08,72.95,72.95,3900,0
2015-02-03,20:10:00,72.95,73.05,72.95,73.05,2400,0
2015-02-03,20:15:00,73.05,73.09,73.02,73.05,5000,0
2015-02-03,20:20:00,73.05,73.05,72.87,73.04,5470,0
2015-02-03,20:25:00,73.02,73.02,72.99,73.0,3400,0
2015-02-03,20:30:00,72.99,72.99,72.93,72.95,1700,0
2015-02-03,20:35:00,73.0,73.0,72.91,72.99,2800,0
2015-02-03,20:40:00,73.01,73.07,72.95,73.03,4450,0
2015-02-03,20:45:00,73.05,73.05,72.9,72.94,1845,0
2015-02-03,20:50:00,72.96,72.98,72.86,72.87,3509,0
2015-02-03,20:55:00,72.91,72.99,72.91,72.96,2100,0
2015-02-03,21:00:00,72.97,72.97,72.87,72.87,4148,0
2015-02-03,21:05:00,72.91,72.91,72.88,72.91,900,0
2015-02-03,21:10:00,72.93,72.97,72.89,72.89,4300,0
2015-02-03,21:15:00,72.91,72.96,72.86,72.86,1600,0
2015-02-03,21:20:00,72.92,72.93,72.88,72.89,3015,0
2015-02-03,21:25:00,72.88,72.96,72.87,72.96,3100,0
2015-02-03,21:30:00,72.95,73.02,72.95,72.95,4900,0
2015-02-03,21:35:00,72.96,73.05,72.95,72.95,3505,0
2015-02-03,21:40:00,72.96,73.01,72.94,72.98,5197,0
2015-02-03,21:45:00,73.0,73.1,72.97,73.1,6926,0
2015-02-03,21:50:00,73.07,73.07,72.94,73.05,10102,0
2015-02-03,21:55:00,73.05,73.14,73.05,73.14,6900,0
