Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-02-03,16:50:00,54.13,54.18,54.08,54.17,84471,0
2015-02-03,16:55:00,54.17,54.22,54.15,54.2,340902,0
2015-02-03,17:00:00,54.21,54.21,54.1,54.1,81021,0
2015-02-03,17:05:00,54.09,54.16,54.09,54.15,110638,0
2015-02-03,17:10:00,54.14,54.18,54.12,54.15,89953,0
2015-02-03,17:15:00,54.15,54.24,54.1,54.2,103408,0
2015-02-03,17:20:00,54.2,54.32,54.19,54.25,128318,0
2015-02-03,17:25:00,54.24,54.26,54.15,54.16,50993,0
2015-02-03,17:30:00,54.17,54.23,54.16,54.17,84835,0
2015-02-03,17:35:00,54.17,54.17,54.08,54.14,94186,0
2015-02-03,17:40:00,54.13,54.29,54.13,54.27,65692,0
2015-02-03,17:45:00,54.27,54.32,54.21,54.3,102656,0
2015-02-03,17:50:00,54.31,54.35,54.28,54.28,97624,0
2015-02-03,17:55:00,54.27,54.28,54.18,54.18,57712,0
2015-02-03,18:00:00,54.18,54.19,54.11,54.12,80663,0
2015-02-03,18:05:00,54.12,54.14,54.01,54.02,145108,0
2015-02-03,18:10:00,54.02,54.09,54.02,54.08,80210,0
2015-02-03,18:15:00,54.08,54.09,54.06,54.07,119256,0
2015-02-03,18:20:00,54.06,54.07,53.96,53.97,76991,0
2015-02-03,18:25:00,53.96,53.97,53.88,53.89,63414,0
2015-02-03,18:30:00,53.89,53.91,53.85,53.86,90656,0
2015-02-03,18:35:00,53.86,53.96,53.8,53.96,80443,0
2015-02-03,18:40:00,53.96,54.01,53.93,53.94,83301,0
2015-02-03,18:45:00,53.94,54.01,53.94,54.0,46585,0
2015-02-03,18:50:00,54.01,54.07,54.0,54.0,82073,0
2015-02-03,18:55:00,54.01,54.02,53.97,53.98,64679,0
2015-02-03,19:00:00,53.98,54.01,53.92,53.93,74270,0
2015-02-03,19:05:00,53.93,53.97,53.91,53.97,48340,0
2015-02-03,19:10:00,53.96,54.01,53.96,54.01,52039,0
2015-02-03,19:15:00,54.0,54.05,53.97,54.05,75829,0
2015-02-03,19:20:00,54.04,54.05,54.01,54.05,68242,0
2015-02-03,19:25:00,54.04,54.1,54.04,54.08,94447,0
2015-02-03,19:30:00,54.09,54.1,54.07,54.07,43830,0
2015-02-03,19:35:00,54.08,54.1,54.06,54.06,107379,0
2015-02-03,19:40:00,54.07,54.08,54.05,54.06,89083,0
2015-02-03,19:45:00,54.06,54.07,54.04,54.07,64456,0
2015-02-03,19:50:00,54.06,54.08,54.06,54.07,65794,0
2015-02-03,19:55:00,54.06,54.16,54.06,54.14,56233,0
2015-02-03,20:00:00,54.14,54.2,54.14,54.16,125206,0
2015-02-03,20:05:00,54.16,54.19,54.12,54.14,161341,0
2015-02-03,20:10:00,54.14,54.16,54.12,54.13,82551,0
2015-02-03,20:15:00,54.13,54.13,54.11,54.12,39315,0
2015-02-03,20:20:00,54.13,54.19,54.12,54.17,83642,0
2015-02-03,20:25:00,54.18,54.2,54.18,54.19,74928,0
2015-02-03,20:30:00,54.19,54.2,54.14,54.16,58364,0
2015-02-03,20:35:00,54.15,54.16,54.13,54.14,48728,0
2015-02-03,20:40:00,54.14,54.18,54.11,54.18,87830,0
2015-02-03,20:45:00,54.17,54.2,54.15,54.19,69306,0
2015-02-03,20:50:00,54.18,54.19,54.14,54.14,64929,0
2015-02-03,20:55:00,54.15,54.15,54.12,54.13,68590,0
2015-02-03,21:00:00,54.13,54.16,54.12,54.15,51834,0
2015-02-03,21:05:00,54.15,54.2,54.15,54.2,75918,0
2015-02-03,21:10:00,54.19,54.2,54.17,54.19,53801,0
2015-02-03,21:15:00,54.19,54.2,54.16,54.19,61842,0
2015-02-03,21:20:00,54.2,54.2,54.19,54.2,101254,0
2015-02-03,21:25:00,54.19,54.23,54.18,54.22,247198,0
2015-02-03,21:30:00,54.22,54.22,54.17,54.21,153074,0
2015-02-03,21:35:00,54.21,54.25,54.18,54.18,138634,0
2015-02-03,21:40:00,54.2,54.28,54.19,54.26,98997,0
2015-02-03,21:45:00,54.26,54.38,54.26,54.34,172244,0
2015-02-03,21:50:00,54.34,54.37,54.33,54.35,153066,0
2015-02-03,21:55:00,54.36,54.37,54.33,54.37,190660,0
2015-02-03,22:00:00,54.36,54.39,54.26,54.26,1898844,0
2015-02-04,15:35:00,54.18,54.42,54.18,54.35,98967,0
2015-02-04,15:40:00,54.36,54.5,54.24,54.49,150534,0
2015-02-04,15:45:00,54.48,54.49,54.32,54.36,97812,0
2015-02-04,15:50:00,54.37,54.5,54.37,54.48,73412,0
2015-02-04,15:55:00,54.47,54.51,54.42,54.5,191399,0
2015-02-04,16:00:00,54.49,54.6,54.49,54.59,68701,0
2015-02-04,16:05:00,54.59,54.63,54.46,54.48,221186,0
2015-02-04,16:10:00,54.48,54.53,54.45,54.49,179645,0
2015-02-04,16:15:00,54.49,54.55,54.44,54.46,156695,0
2015-02-04,16:20:00,54.46,54.5,54.45,54.49,91378,0
2015-02-04,16:25:00,54.48,54.5,54.46,54.5,114852,0
2015-02-04,16:30:00,54.5,54.5,54.46,54.5,89167,0
2015-02-04,16:35:00,54.5,54.63,54.49,54.52,126979,0
2015-02-04,16:40:00,54.51,54.51,54.44,54.44,149268,0
2015-02-04,16:45:00,54.44,54.46,54.37,54.4,254793,0
2015-02-04,16:50:00,54.41,54.41,54.32,54.35,142492,0
2015-02-04,16:55:00,54.35,54.36,54.31,54.33,93043,0
2015-02-04,17:00:00,54.34,54.35,54.28,54.32,88480,0
2015-02-04,17:05:00,54.3,54.34,54.22,54.32,94251,0
2015-02-04,17:10:00,54.32,54.36,54.32,54.34,121256,0
2015-02-04,17:15:00,54.34,54.34,54.3,54.31,122204,0
2015-02-04,17:20:00,54.31,54.32,54.26,54.3,81682,0
2015-02-04,17:25:00,54.29,54.37,54.29,54.36,87885,0
2015-02-04,17:30:00,54.36,54.37,54.34,54.37,74137,0
2015-02-04,17:35:00,54.37,54.38,54.32,54.38,145624,0
2015-02-04,17:40:00,54.38,54.38,54.32,54.33,102996,0
2015-02-04,17:45:00,54.32,54.37,54.32,54.37,41846,0
2015-02-04,17:50:00,54.37,54.37,54.34,54.34,64809,0
2015-02-04,17:55:00,54.33,54.34,54.26,54.27,51803,0
2015-02-04,18:00:00,54.27,54.27,54.25,54.26,123004,0
2015-02-04,18:05:00,54.26,54.27,54.24,54.25,66478,0
2015-02-04,18:10:00,54.25,54.27,54.22,54.23,69080,0
2015-02-04,18:15:00,54.23,54.26,54.21,54.22,60711,0
2015-02-04,18:20:00,54.22,54.24,54.21,54.22,50892,0
2015-02-04,18:25:00,54.22,54.24,54.22,54.22,36733,0
2015-02-04,18:30:00,54.23,54.24,54.17,54.17,55476,0
2015-02-04,18:35:00,54.17,54.19,54.14,54.17,75634,0
2015-02-04,18:40:00,54.17,54.17,54.1,54.1,65465,0
2015-02-04,18:45:00,54.1,54.14,54.07,54.1,83812,0
2015-02-04,18:50:00,54.09,54.12,54.08,54.12,83830,0
2015-02-04,18:55:00,54.12,54.13,54.08,54.12,70391,0
2015-02-04,19:00:00,54.11,54.16,54.11,54.16,42191,0
2015-02-04,19:05:00,54.15,54.17,54.11,54.11,42014,0
2015-02-04,19:10:00,54.11,54.15,54.09,54.14,74508,0
2015-02-04,19:15:00,54.13,54.14,54.1,54.11,40297,0
2015-02-04,19:20:00,54.11,54.13,54.09,54.09,43094,0
2015-02-04,19:25:00,54.09,54.11,54.06,54.11,35284,0
2015-02-04,19:30:00,54.11,54.18,54.11,54.17,49834,0
2015-02-04,19:35:00,54.18,54.21,54.17,54.2,58425,0
2015-02-04,19:40:00,54.2,54.23,54.2,54.22,41789,0
2015-02-04,19:45:00,54.22,54.24,54.2,54.23,48148,0
2015-02-04,19:50:00,54.23,54.26,54.23,54.24,65762,0
2015-02-04,19:55:00,54.24,54.3,54.23,54.29,61988,0
2015-02-04,20:00:00,54.29,54.29,54.19,54.23,91946,0
2015-02-04,20:05:00,54.23,54.28,54.23,54.27,57123,0
2015-02-04,20:10:00,54.27,54.27,54.16,54.18,72188,0
2015-02-04,20:15:00,54.18,54.19,54.08,54.11,93112,0
2015-02-04,20:20:00,54.1,54.18,54.1,54.14,71200,0
2015-02-04,20:25:00,54.14,54.23,54.14,54.17,55887,0
2015-02-04,20:30:00,54.17,54.24,54.16,54.21,59111,0
2015-02-04,20:35:00,54.22,54.24,54.15,54.15,60978,0
2015-02-04,20:40:00,54.16,54.16,54.09,54.12,79543,0
2015-02-04,20:45:00,54.12,54.14,54.09,54.13,72603,0
2015-02-04,20:50:00,54.12,54.15,54.11,54.14,57722,0
2015-02-04,20:55:00,54.13,54.14,54.1,54.13,79991,0
2015-02-04,21:00:00,54.14,54.15,54.09,54.1,80365,0
2015-02-04,21:05:00,54.11,54.11,54.05,54.09,137972,0
2015-02-04,21:10:00,54.1,54.15,54.09,54.15,79338,0
2015-02-04,21:15:00,54.15,54.19,54.13,54.19,83896,0
2015-02-04,21:20:00,54.19,54.24,54.18,54.2,104710,0
2015-02-04,21:25:00,54.21,54.25,54.18,54.22,74601,0
2015-02-04,21:30:00,54.22,54.29,54.22,54.26,104548,0
2015-02-04,21:35:00,54.29,54.34,54.27,54.31,153091,0
2015-02-04,21:40:00,54.31,54.34,54.2,54.21,202756,0
2015-02-04,21:45:00,54.2,54.24,54.01,54.02,266715,0
2015-02-04,21:50:00,54.02,54.05,53.88,53.95,277901,0
2015-02-04,21:55:00,53.96,54.0,53.89,53.99,207211,0
2015-02-04,22:00:00,53.98,54.04,53.96,54.03,3129385,0
2015-02-05,15:35:00,54.36,54.4,54.14,54.17,202787,0
2015-02-05,15:40:00,54.17,54.22,54.06,54.19,96839,0
2015-02-05,15:45:00,54.2,54.28,54.1,54.18,70393,0
2015-02-05,15:50:00,54.19,54.23,54.11,54.21,60542,0
2015-02-05,15:55:00,54.23,54.3,54.14,54.18,207998,0
2015-02-05,16:00:00,54.18,54.2,54.14,54.17,54796,0
2015-02-05,16:05:00,54.16,54.22,54.15,54.21,74602,0
2015-02-05,16:10:00,54.2,54.3,54.2,54.25,71372,0
2015-02-05,16:15:00,54.24,54.24,53.92,54.06,272853,0
2015-02-05,16:20:00,54.07,54.16,53.91,54.1,346973,0
2015-02-05,16:25:00,54.11,54.11,54.01,54.03,113913,0
2015-02-05,16:30:00,54.03,54.06,53.98,54.04,82249,0
2015-02-05,16:35:00,54.05,54.1,54.03,54.08,79940,0
2015-02-05,16:40:00,54.09,54.23,54.09,54.12,731298,0
2015-02-05,16:45:00,54.13,54.17,54.11,54.16,92549,0
2015-02-05,16:50:00,54.16,54.16,54.11,54.12,144017,0
2015-02-05,16:55:00,54.12,54.15,54.1,54.12,109669,0
2015-02-05,17:00:00,54.11,54.11,54.06,54.09,114329,0
2015-02-05,17:05:00,54.09,54.13,54.03,54.08,108887,0
2015-02-05,17:10:00,54.07,54.1,54.06,54.08,85398,0
2015-02-05,17:15:00,54.08,54.11,54.03,54.05,120344,0
2015-02-05,17:20:00,54.05,54.07,54.0,54.01,59295,0
2015-02-05,17:25:00,54.0,54.02,53.97,53.98,58656,0
2015-02-05,17:30:00,53.97,53.98,53.92,53.93,78420,0
2015-02-05,17:35:00,53.93,53.95,53.91,53.92,84442,0
2015-02-05,17:40:00,53.92,53.93,53.86,53.87,93831,0
2015-02-05,17:45:00,53.87,53.9,53.84,53.86,69049,0
2015-02-05,17:50:00,53.85,54.02,53.84,54.02,59474,0
2015-02-05,17:55:00,54.02,54.05,54.01,54.02,52351,0
2015-02-05,18:00:00,54.02,54.02,53.99,53.99,40263,0
2015-02-05,18:05:00,54.0,54.04,53.99,54.03,30944,0
2015-02-05,18:10:00,54.03,54.05,54.02,54.04,33936,0
2015-02-05,18:15:00,54.05,54.06,53.99,53.99,43271,0
2015-02-05,18:20:00,53.99,54.02,53.95,53.96,43543,0
2015-02-05,18:25:00,53.97,54.01,53.94,53.95,46505,0
2015-02-05,18:30:00,53.95,53.96,53.93,53.93,37926,0
2015-02-05,18:35:00,53.93,53.94,53.87,53.88,45784,0
2015-02-05,18:40:00,53.87,53.9,53.87,53.88,96702,0
2015-02-05,18:45:00,53.88,53.91,53.87,53.9,43810,0
2015-02-05,18:50:00,53.89,53.9,53.84,53.85,44128,0
2015-02-05,18:55:00,53.85,53.85,53.75,53.77,69103,0
2015-02-05,19:00:00,53.76,53.81,53.74,53.75,58648,0
2015-02-05,19:05:00,53.75,53.82,53.74,53.8,56138,0
2015-02-05,19:10:00,53.8,53.84,53.78,53.84,34204,0
2015-02-05,19:15:00,53.83,53.84,53.78,53.79,166029,0
2015-02-05,19:20:00,53.79,53.85,53.78,53.84,51389,0
2015-02-05,19:25:00,53.83,53.86,53.83,53.83,60959,0
2015-02-05,19:30:00,53.83,53.84,53.79,53.79,43214,0
2015-02-05,19:35:00,53.79,53.8,53.78,53.79,82793,0
2015-02-05,19:40:00,53.8,53.83,53.79,53.82,19498,0
2015-02-05,19:45:00,53.83,53.84,53.81,53.81,50362,0
2015-02-05,19:50:00,53.81,53.87,53.8,53.87,41288,0
2015-02-05,19:55:00,53.87,53.89,53.78,53.79,62267,0
2015-02-05,20:00:00,53.79,53.82,53.78,53.78,77882,0
2015-02-05,20:05:00,53.79,53.79,53.72,53.75,63666,0
2015-02-05,20:10:00,53.74,53.76,53.71,53.74,81340,0
2015-02-05,20:15:00,53.73,53.83,53.73,53.79,99070,0
2015-02-05,20:20:00,53.79,53.8,53.71,53.72,130123,0
2015-02-05,20:25:00,53.73,53.74,53.71,53.72,51231,0
2015-02-05,20:30:00,53.71,53.72,53.62,53.69,90335,0
2015-02-05,20:35:00,53.7,53.73,53.67,53.7,132124,0
2015-02-05,20:40:00,53.7,53.74,53.7,53.74,110329,0
2015-02-05,20:45:00,53.73,53.73,53.7,53.7,106301,0
2015-02-05,20:50:00,53.7,53.75,53.7,53.73,77567,0
2015-02-05,20:55:00,53.74,53.78,53.72,53.77,73929,0
2015-02-05,21:00:00,53.77,53.78,53.74,53.74,106639,0
2015-02-05,21:05:00,53.75,53.75,53.67,53.67,192151,0
2015-02-05,21:10:00,53.68,53.73,53.66,53.69,114487,0
2015-02-05,21:15:00,53.68,53.69,53.67,53.69,60179,0
2015-02-05,21:20:00,53.69,53.69,53.65,53.65,103180,0
2015-02-05,21:25:00,53.66,53.67,53.65,53.65,124478,0
2015-02-05,21:30:00,53.66,53.68,53.64,53.64,157201,0
2015-02-05,21:35:00,53.65,53.67,53.63,53.67,184619,0
2015-02-05,21:40:00,53.67,53.67,53.63,53.66,187168,0
2015-02-05,21:45:00,53.65,53.66,53.61,53.62,283179,0
2015-02-05,21:50:00,53.62,53.63,53.6,53.62,206034,0
2015-02-05,21:55:00,53.62,53.73,53.61,53.72,256516,0
2015-02-05,22:00:00,53.73,53.73,53.64,53.67,2886215,0
2015-02-06,15:35:00,53.52,53.63,53.27,53.49,129885,0
2015-02-06,15:40:00,53.49,53.56,53.41,53.55,167914,0
2015-02-06,15:45:00,53.56,53.6,53.46,53.46,93831,0
2015-02-06,15:50:00,53.45,53.52,53.39,53.5,91694,0
2015-02-06,15:55:00,53.5,53.53,53.46,53.46,70519,0
2015-02-06,16:00:00,53.47,53.52,53.41,53.48,57265,0
2015-02-06,16:05:00,53.48,53.54,53.45,53.52,158757,0
2015-02-06,16:10:00,53.52,53.63,53.52,53.58,175204,0
2015-02-06,16:15:00,53.58,53.62,53.58,53.6,75505,0
2015-02-06,16:20:00,53.6,53.61,53.55,53.58,73414,0
2015-02-06,16:25:00,53.59,53.63,53.58,53.6,66384,0
2015-02-06,16:30:00,53.59,53.62,53.58,53.59,140845,0
2015-02-06,16:35:00,53.59,53.59,53.54,53.57,72249,0
2015-02-06,16:40:00,53.58,53.59,53.54,53.54,89343,0
2015-02-06,16:45:00,53.54,53.64,53.54,53.62,276831,0
2015-02-06,16:50:00,53.62,53.63,53.56,53.59,107608,0
2015-02-06,16:55:00,53.58,53.58,53.5,53.53,152997,0
2015-02-06,17:00:00,53.53,53.56,53.5,53.51,137443,0
2015-02-06,17:05:00,53.51,53.58,53.5,53.55,73641,0
2015-02-06,17:10:00,53.55,53.6,53.53,53.58,83784,0
2015-02-06,17:15:00,53.58,53.59,53.54,53.54,108847,0
2015-02-06,17:20:00,53.54,53.56,53.53,53.54,72394,0
2015-02-06,17:25:00,53.54,53.56,53.51,53.55,61151,0
2015-02-06,17:30:00,53.55,53.58,53.5,53.51,128517,0
2015-02-06,17:35:00,53.51,53.53,53.48,53.51,172076,0
2015-02-06,17:40:00,53.51,53.53,53.41,53.52,75503,0
2015-02-06,17:45:00,53.53,53.56,53.47,53.53,78320,0
2015-02-06,17:50:00,53.53,53.62,53.5,53.62,90663,0
2015-02-06,17:55:00,53.62,53.63,53.57,53.58,97696,0
2015-02-06,18:00:00,53.57,53.58,53.52,53.52,44810,0
2015-02-06,18:05:00,53.53,53.58,53.53,53.56,45985,0
2015-02-06,18:10:00,53.56,53.57,53.54,53.57,55070,0
2015-02-06,18:15:00,53.57,53.58,53.54,53.55,51060,0
2015-02-06,18:20:00,53.55,53.57,53.52,53.54,44511,0
2015-02-06,18:25:00,53.54,53.54,53.49,53.5,94362,0
2015-02-06,18:30:00,53.51,53.53,53.5,53.5,75759,0
2015-02-06,18:35:00,53.5,53.51,53.43,53.45,202463,0
2015-02-06,18:40:00,53.45,53.49,53.44,53.44,82959,0
2015-02-06,18:45:00,53.44,53.44,53.29,53.29,128588,0
2015-02-06,18:50:00,53.3,53.36,53.24,53.33,209261,0
2015-02-06,18:55:00,53.34,53.34,53.29,53.32,57871,0
2015-02-06,19:00:00,53.32,53.38,53.31,53.34,70656,0
2015-02-06,19:05:00,53.34,53.38,53.31,53.32,46283,0
2015-02-06,19:10:00,53.33,53.38,53.28,53.38,49872,0
2015-02-06,19:15:00,53.38,53.41,53.34,53.39,48957,0
2015-02-06,19:20:00,53.4,53.44,53.32,53.36,82055,0
2015-02-06,19:25:00,53.35,53.39,53.32,53.33,44047,0
2015-02-06,19:30:00,53.33,53.34,53.26,53.34,47224,0
2015-02-06,19:35:00,53.34,53.35,53.3,53.35,46877,0
2015-02-06,19:40:00,53.34,53.35,53.29,53.32,57573,0
2015-02-06,19:45:00,53.33,53.39,53.31,53.38,68636,0
2015-02-06,19:50:00,53.38,53.4,53.33,53.38,53510,0
2015-02-06,19:55:00,53.38,53.46,53.37,53.44,62706,0
2015-02-06,20:00:00,53.44,53.53,53.44,53.48,92984,0
2015-02-06,20:05:00,53.48,53.5,53.44,53.49,68193,0
2015-02-06,20:10:00,53.49,53.5,53.46,53.46,53595,0
2015-02-06,20:15:00,53.45,53.5,53.44,53.47,53012,0
2015-02-06,20:20:00,53.48,53.51,53.45,53.48,51540,0
2015-02-06,20:25:00,53.48,53.49,53.42,53.46,118627,0
2015-02-06,20:30:00,53.47,53.47,53.43,53.46,80891,0
2015-02-06,20:35:00,53.47,53.51,53.46,53.51,44412,0
2015-02-06,20:40:00,53.52,53.6,53.52,53.55,55751,0
2015-02-06,20:45:00,53.56,53.61,53.54,53.55,71025,0
2015-02-06,20:50:00,53.55,53.56,53.48,53.51,84485,0
2015-02-06,20:55:00,53.51,53.51,53.41,53.43,61026,0
2015-02-06,21:00:00,53.42,53.44,53.34,53.34,119276,0
2015-02-06,21:05:00,53.35,53.39,53.24,53.28,100005,0
2015-02-06,21:10:00,53.28,53.4,53.28,53.35,95033,0
2015-02-06,21:15:00,53.35,53.38,53.31,53.35,71945,0
2015-02-06,21:20:00,53.35,53.4,53.31,53.31,79548,0
2015-02-06,21:25:00,53.31,53.36,53.27,53.31,72568,0
2015-02-06,21:30:00,53.32,53.34,53.25,53.25,76288,0
2015-02-06,21:35:00,53.25,53.32,53.22,53.32,103031,0
2015-02-06,21:40:00,53.32,53.34,53.27,53.33,66283,0
2015-02-06,21:45:00,53.33,53.33,53.24,53.26,99935,0
2015-02-06,21:50:00,53.26,53.3,53.25,53.3,190870,0
2015-02-06,21:55:00,53.3,53.41,53.29,53.4,171490,0
2015-02-06,22:00:00,53.41,53.41,53.31,53.33,1727806,0
2015-02-09,15:35:00,53.13,53.3,53.11,53.23,63800,0
2015-02-09,15:40:00,53.26,53.39,53.23,53.34,84172,0
2015-02-09,15:45:00,53.34,53.4,53.31,53.4,124749,0
2015-02-09,15:50:00,53.4,53.48,53.38,53.41,72928,0
2015-02-09,15:55:00,53.41,53.49,53.39,53.4,74887,0
2015-02-09,16:00:00,53.41,53.41,53.31,53.31,34136,0
2015-02-09,16:05:00,53.32,53.38,53.29,53.34,63946,0
