Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-01-21,17:40:00,19.99,19.99,19.99,19.99,1422,0
2015-01-21,17:45:00,19.99,19.99,19.98,19.98,1246,0
2015-01-21,17:55:00,19.99,19.99,19.99,19.99,200,0
2015-01-21,18:00:00,19.98,19.98,19.98,19.98,220,0
2015-01-21,18:10:00,19.98,19.98,19.97,19.98,1442,0
2015-01-21,18:20:00,19.99,19.99,19.98,19.98,1285,0
2015-01-21,18:30:00,19.99,19.99,19.98,19.98,3100,0
2015-01-21,18:35:00,19.99,19.99,19.99,19.99,500,0
2015-01-21,18:45:00,19.99,19.99,19.99,19.99,300,0
2015-01-21,18:55:00,19.98,19.98,19.98,19.98,600,0
2015-01-21,19:00:00,19.98,19.99,19.98,19.99,1500,0
2015-01-21,19:05:00,19.99,19.99,19.99,19.99,200,0
2015-01-21,19:20:00,19.99,19.99,19.99,19.99,875,0
2015-01-21,19:25:00,19.99,19.99,19.99,19.99,560,0
2015-01-21,19:50:00,19.99,20.0,19.99,20.0,1575,0
2015-01-21,20:00:00,19.99,20.0,19.99,20.0,400,0
2015-01-21,20:05:00,19.99,20.01,19.99,20.01,1999,0
2015-01-21,20:10:00,20.01,20.03,20.01,20.03,1000,0
2015-01-21,20:15:00,20.03,20.03,20.02,20.02,1084,0
2015-01-21,20:20:00,20.01,20.01,20.01,20.01,8226,0
2015-01-21,20:45:00,20.01,20.01,20.0,20.01,1140,0
2015-01-21,20:50:00,20.01,20.03,20.01,20.01,1600,0
2015-01-21,20:55:00,19.99,19.99,19.99,19.99,600,0
2015-01-21,21:00:00,19.99,19.99,19.99,19.99,2700,0
2015-01-21,21:10:00,20.01,20.01,20.01,20.01,1890,0
2015-01-21,21:15:00,20.03,20.03,20.01,20.01,1500,0
2015-01-21,21:20:00,20.03,20.03,20.03,20.03,400,0
2015-01-21,21:30:00,20.03,20.03,20.03,20.03,680,0
2015-01-21,21:35:00,20.03,20.03,20.03,20.03,1500,0
2015-01-21,21:45:00,20.0,20.0,20.0,20.0,400,0
2015-01-21,21:50:00,20.0,20.0,20.0,20.0,300,0
2015-01-21,21:55:00,20.0,20.0,20.0,20.0,200,0
2015-01-21,22:00:00,20.0,20.06,20.0,20.03,9935,0
2015-01-22,15:35:00,20.03,20.03,20.03,20.03,200,0
2015-01-22,15:50:00,20.03,20.03,20.03,20.03,500,0
2015-01-22,16:05:00,20.01,20.04,20.01,20.01,1608,0
2015-01-22,16:10:00,20.01,20.01,20.01,20.01,1500,0
2015-01-22,16:20:00,20.02,20.02,20.02,20.02,500,0
2015-01-22,16:35:00,20.02,20.02,20.02,20.02,500,0
2015-01-22,16:40:00,20.04,20.04,20.04,20.04,900,0
2015-01-22,16:45:00,20.04,20.07,20.04,20.07,600,0
2015-01-22,16:50:00,20.04,20.04,20.04,20.04,3000,0
2015-01-22,16:55:00,20.04,20.04,20.04,20.04,200,0
2015-01-22,17:05:00,20.07,20.07,20.06,20.07,2295,0
2015-01-22,17:20:00,20.05,20.05,20.05,20.05,155,0
2015-01-22,17:25:00,20.07,20.07,20.07,20.07,1900,0
2015-01-22,17:30:00,20.07,20.07,20.07,20.07,450,0
2015-01-22,17:50:00,20.08,20.08,20.08,20.08,9000,0
2015-01-22,18:00:00,20.06,20.06,20.05,20.05,1600,0
2015-01-22,18:10:00,20.05,20.05,20.05,20.05,3000,0
2015-01-22,18:40:00,20.06,20.06,20.06,20.06,1200,0
2015-01-22,18:50:00,20.07,20.07,20.07,20.07,675,0
2015-01-22,19:10:00,20.05,20.05,20.05,20.05,310,0
2015-01-22,19:20:00,20.07,20.07,20.07,20.07,1235,0
2015-01-22,19:30:00,20.06,20.06,20.06,20.06,9265,0
2015-01-22,19:50:00,20.07,20.07,20.07,20.07,2900,0
2015-01-22,20:00:00,20.05,20.05,20.05,20.05,42400,0
2015-01-22,20:20:00,20.07,20.07,20.07,20.07,1171,0
2015-01-22,20:25:00,20.07,20.07,20.05,20.06,3890,0
2015-01-22,20:30:00,20.07,20.07,20.07,20.07,1000,0
2015-01-22,20:35:00,20.05,20.06,20.03,20.06,1810,0
2015-01-22,20:50:00,20.05,20.05,20.05,20.05,705,0
2015-01-22,20:55:00,20.05,20.05,20.05,20.05,400,0
2015-01-22,21:00:00,20.05,20.05,20.05,20.05,1400,0
2015-01-22,21:15:00,20.06,20.06,20.05,20.06,4050,0
2015-01-22,21:20:00,20.05,20.06,20.05,20.06,1457,0
2015-01-22,21:25:00,20.04,20.04,20.04,20.04,3200,0
2015-01-22,21:45:00,20.06,20.06,20.06,20.06,1944,0
2015-01-22,21:50:00,20.03,20.04,20.03,20.04,1500,0
2015-01-22,21:55:00,20.06,20.06,20.06,20.06,500,0
2015-01-22,22:00:00,20.04,20.04,20.04,20.04,3970,0
2015-01-23,15:35:00,20.04,20.04,20.04,20.04,300,0
2015-01-23,15:50:00,20.04,20.06,20.04,20.06,1500,0
2015-01-23,16:10:00,20.06,20.06,20.06,20.06,300,0
2015-01-23,16:20:00,20.04,20.04,20.04,20.04,1000,0
2015-01-23,16:30:00,20.03,20.03,20.03,20.03,200,0
2015-01-23,16:35:00,20.05,20.05,20.05,20.05,1000,0
2015-01-23,16:40:00,20.05,20.05,20.05,20.05,1900,0
2015-01-23,16:45:00,20.03,20.03,20.02,20.02,400,0
2015-01-23,17:05:00,20.03,20.03,20.02,20.02,1092,0
2015-01-23,17:10:00,20.03,20.05,20.03,20.05,600,0
2015-01-23,17:20:00,20.04,20.04,20.04,20.04,4944,0
2015-01-23,17:30:00,20.04,20.04,20.04,20.04,1500,0
2015-01-23,17:55:00,20.04,20.04,20.03,20.04,2200,0
2015-01-23,18:10:00,20.02,20.03,20.02,20.02,3538,0
2015-01-23,18:20:00,20.03,20.03,20.03,20.03,375,0
2015-01-23,18:25:00,20.03,20.03,20.03,20.03,443,0
2015-01-23,18:35:00,20.03,20.04,20.03,20.04,1900,0
2015-01-23,18:55:00,20.04,20.04,20.04,20.04,300,0
2015-01-23,19:05:00,20.03,20.03,20.03,20.03,100,0
2015-01-23,19:10:00,20.03,20.03,20.03,20.03,640,0
2015-01-23,19:15:00,20.02,20.05,20.02,20.05,4128,0
2015-01-23,19:20:00,20.05,20.05,20.02,20.02,2575,0
2015-01-23,19:25:00,20.02,20.02,20.02,20.02,200,0
2015-01-23,19:30:00,20.02,20.05,20.02,20.05,1200,0
2015-01-23,19:35:00,20.05,20.05,20.04,20.04,200,0
2015-01-23,19:40:00,20.04,20.05,20.04,20.04,550,0
2015-01-23,19:45:00,20.06,20.06,20.04,20.04,550,0
2015-01-23,19:50:00,20.04,20.07,20.04,20.07,3634,0
2015-01-23,19:55:00,20.05,20.05,20.05,20.05,300,0
2015-01-23,20:00:00,20.07,20.07,20.07,20.07,1300,0
2015-01-23,20:05:00,20.07,20.07,20.07,20.07,400,0
2015-01-23,20:10:00,20.06,20.07,20.06,20.07,200,0
2015-01-23,20:15:00,20.06,20.06,20.06,20.06,560,0
2015-01-23,20:20:00,20.06,20.06,20.06,20.06,500,0
2015-01-23,20:25:00,20.06,20.06,20.06,20.06,200,0
2015-01-23,20:30:00,20.06,20.06,20.06,20.06,100,0
2015-01-23,20:35:00,20.06,20.07,20.06,20.07,600,0
2015-01-23,20:40:00,20.07,20.09,20.07,20.07,695,0
2015-01-23,20:45:00,20.07,20.07,20.07,20.07,200,0
2015-01-23,20:50:00,20.07,20.07,20.07,20.07,400,0
2015-01-23,20:55:00,20.07,20.07,20.07,20.07,1238,0
2015-01-23,21:00:00,20.08,20.11,20.08,20.11,1400,0
2015-01-23,21:05:00,20.09,20.09,20.09,20.09,200,0
2015-01-23,21:10:00,20.09,20.09,20.09,20.09,200,0
2015-01-23,21:15:00,20.09,20.09,20.07,20.07,4046,0
2015-01-23,21:20:00,20.07,20.07,20.05,20.05,500,0
2015-01-23,21:25:00,20.04,20.04,20.04,20.04,100,0
2015-01-23,21:30:00,20.04,20.04,20.04,20.04,300,0
2015-01-23,21:35:00,20.04,20.04,20.03,20.03,400,0
2015-01-23,21:40:00,20.03,20.03,20.03,20.03,300,0
2015-01-23,21:45:00,20.04,20.05,20.03,20.05,900,0
2015-01-23,21:50:00,20.04,20.04,20.03,20.04,300,0
2015-01-23,21:55:00,20.04,20.05,20.03,20.03,1896,0
2015-01-23,22:00:00,20.03,20.05,20.03,20.03,733,0
2015-01-26,16:00:00,20.11,20.11,20.11,20.11,400,0
2015-01-26,16:05:00,20.11,20.11,20.11,20.11,500,0
2015-01-26,16:20:00,20.11,20.12,20.11,20.12,300,0
2015-01-26,16:25:00,20.12,20.12,20.12,20.12,100,0
2015-01-26,16:50:00,20.12,20.12,20.12,20.12,300,0
2015-01-26,16:55:00,20.11,20.11,20.11,20.11,1448,0
2015-01-26,17:05:00,20.1,20.11,20.1,20.11,1239,0
2015-01-26,17:10:00,20.12,20.12,20.12,20.12,4300,0
