Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-02-03,16:50:00,34.96,34.99,34.86,34.89,142203,0
2015-02-03,16:55:00,34.88,34.9,34.8,34.8,126823,0
2015-02-03,17:00:00,34.8,34.83,34.71,34.71,204798,0
2015-02-03,17:05:00,34.71,34.78,34.7,34.7,143722,0
2015-02-03,17:10:00,34.69,34.77,34.68,34.76,102918,0
2015-02-03,17:15:00,34.76,34.82,34.72,34.79,112623,0
2015-02-03,17:20:00,34.79,34.81,34.74,34.79,94974,0
2015-02-03,17:25:00,34.79,34.85,34.77,34.84,106027,0
2015-02-03,17:30:00,34.84,34.88,34.8,34.83,86767,0
2015-02-03,17:35:00,34.82,34.9,34.8,34.87,193167,0
2015-02-03,17:40:00,34.88,34.88,34.81,34.85,90395,0
2015-02-03,17:45:00,34.85,34.89,34.8,34.86,101878,0
2015-02-03,17:50:00,34.86,34.88,34.82,34.85,96695,0
2015-02-03,17:55:00,34.86,34.86,34.78,34.8,174565,0
2015-02-03,18:00:00,34.81,34.83,34.73,34.75,224636,0
2015-02-03,18:05:00,34.75,34.76,34.69,34.73,144925,0
2015-02-03,18:10:00,34.73,34.78,34.73,34.76,87249,0
2015-02-03,18:15:00,34.77,34.87,34.77,34.85,84674,0
2015-02-03,18:20:00,34.85,34.85,34.78,34.79,92626,0
2015-02-03,18:25:00,34.8,34.83,34.78,34.79,89225,0
2015-02-03,18:30:00,34.79,34.86,34.79,34.85,88675,0
2015-02-03,18:35:00,34.85,34.86,34.78,34.82,153666,0
2015-02-03,18:40:00,34.82,34.85,34.79,34.83,252009,0
2015-02-03,18:45:00,34.84,34.9,34.83,34.9,124442,0
2015-02-03,18:50:00,34.9,34.92,34.84,34.86,75911,0
2015-02-03,18:55:00,34.85,34.87,34.82,34.86,86793,0
2015-02-03,19:00:00,34.86,34.89,34.81,34.82,107226,0
2015-02-03,19:05:00,34.82,34.86,34.8,34.82,78808,0
2015-02-03,19:10:00,34.82,34.83,34.78,34.82,115529,0
2015-02-03,19:15:00,34.81,34.94,34.81,34.91,207130,0
2015-02-03,19:20:00,34.92,34.94,34.9,34.91,198617,0
2015-02-03,19:25:00,34.91,35.0,34.9,34.97,113807,0
2015-02-03,19:30:00,34.97,34.99,34.93,34.97,136567,0
2015-02-03,19:35:00,34.98,35.0,34.9,34.96,174269,0
2015-02-03,19:40:00,34.96,35.0,34.92,34.92,191473,0
2015-02-03,19:45:00,34.93,34.98,34.91,34.96,59197,0
2015-02-03,19:50:00,34.96,34.99,34.94,34.96,79084,0
2015-02-03,19:55:00,34.96,34.99,34.94,34.98,145241,0
2015-02-03,20:00:00,34.97,35.03,34.97,35.02,135021,0
2015-02-03,20:05:00,35.03,35.06,35.0,35.01,166301,0
2015-02-03,20:10:00,35.02,35.04,34.95,34.96,138108,0
2015-02-03,20:15:00,34.96,34.98,34.94,34.95,96248,0
2015-02-03,20:20:00,34.95,34.97,34.94,34.94,74872,0
2015-02-03,20:25:00,34.94,34.99,34.93,34.93,239807,0
2015-02-03,20:30:00,34.93,34.94,34.88,34.89,126546,0
2015-02-03,20:35:00,34.89,34.91,34.88,34.88,134956,0
2015-02-03,20:40:00,34.88,34.9,34.84,34.88,201362,0
2015-02-03,20:45:00,34.88,34.89,34.86,34.89,100203,0
2015-02-03,20:50:00,34.89,34.9,34.86,34.88,113213,0
2015-02-03,20:55:00,34.88,34.91,34.87,34.89,76320,0
2015-02-03,21:00:00,34.89,34.94,34.89,34.94,76886,0
2015-02-03,21:05:00,34.95,34.98,34.93,34.98,102125,0
2015-02-03,21:10:00,34.98,34.98,34.92,34.97,109269,0
2015-02-03,21:15:00,34.97,34.98,34.9,34.97,165247,0
2015-02-03,21:20:00,34.97,34.98,34.94,34.94,178137,0
2015-02-03,21:25:00,34.95,34.99,34.95,34.99,140798,0
2015-02-03,21:30:00,34.99,34.99,34.92,34.97,232244,0
2015-02-03,21:35:00,34.97,34.99,34.91,34.91,213639,0
2015-02-03,21:40:00,34.91,34.96,34.91,34.95,169592,0
2015-02-03,21:45:00,34.95,35.0,34.95,34.98,337852,0
2015-02-03,21:50:00,34.99,35.02,34.97,35.02,467067,0
2015-02-03,21:55:00,35.02,35.03,34.98,35.0,443112,0
2015-02-03,22:00:00,34.99,35.05,34.97,35.04,1507890,0
2015-02-04,15:35:00,34.89,35.0,34.82,34.94,153119,0
2015-02-04,15:40:00,34.93,35.08,34.93,35.05,201817,0
2015-02-04,15:45:00,35.06,35.13,35.01,35.11,226017,0
2015-02-04,15:50:00,35.11,35.17,35.04,35.15,125659,0
2015-02-04,15:55:00,35.16,35.19,35.04,35.12,112324,0
2015-02-04,16:00:00,35.12,35.15,35.09,35.12,45727,0
2015-02-04,16:05:00,35.12,35.2,35.1,35.15,175006,0
2015-02-04,16:10:00,35.16,35.16,35.08,35.08,84263,0
2015-02-04,16:15:00,35.08,35.14,35.0,35.01,112788,0
2015-02-04,16:20:00,35.02,35.05,34.99,35.02,75711,0
2015-02-04,16:25:00,35.02,35.05,34.97,34.99,70439,0
2015-02-04,16:30:00,34.99,35.02,34.9,34.91,111919,0
2015-02-04,16:35:00,34.91,34.92,34.85,34.9,122326,0
2015-02-04,16:40:00,34.9,34.9,34.79,34.87,161492,0
2015-02-04,16:45:00,34.87,34.98,34.85,34.98,79484,0
2015-02-04,16:50:00,34.99,35.0,34.95,34.97,55944,0
2015-02-04,16:55:00,34.98,35.03,34.93,35.03,111794,0
2015-02-04,17:00:00,35.03,35.05,34.99,35.02,120403,0
2015-02-04,17:05:00,35.02,35.02,34.96,34.99,186778,0
2015-02-04,17:10:00,34.98,35.0,34.96,34.99,89472,0
2015-02-04,17:15:00,34.99,35.0,34.88,34.93,86253,0
2015-02-04,17:20:00,34.92,34.96,34.87,34.87,87395,0
2015-02-04,17:25:00,34.87,34.9,34.83,34.9,186050,0
2015-02-04,17:30:00,34.89,34.94,34.87,34.92,56720,0
2015-02-04,17:35:00,34.93,34.95,34.9,34.94,72453,0
2015-02-04,17:40:00,34.93,34.97,34.91,34.95,84276,0
2015-02-04,17:45:00,34.94,34.95,34.9,34.93,64225,0
2015-02-04,17:50:00,34.93,34.97,34.91,34.94,64346,0
2015-02-04,17:55:00,34.94,34.95,34.9,34.92,85753,0
2015-02-04,18:00:00,34.92,34.93,34.91,34.92,66521,0
2015-02-04,18:05:00,34.92,34.94,34.89,34.94,94797,0
2015-02-04,18:10:00,34.93,34.94,34.89,34.91,57047,0
2015-02-04,18:15:00,34.9,34.91,34.86,34.86,59422,0
2015-02-04,18:20:00,34.86,34.88,34.84,34.85,62178,0
2015-02-04,18:25:00,34.85,34.86,34.81,34.82,77091,0
2015-02-04,18:30:00,34.82,34.83,34.74,34.75,84047,0
2015-02-04,18:35:00,34.75,34.82,34.74,34.81,66073,0
2015-02-04,18:40:00,34.8,34.81,34.74,34.76,49148,0
2015-02-04,18:45:00,34.76,34.77,34.69,34.71,79225,0
2015-02-04,18:50:00,34.71,34.74,34.7,34.74,53891,0
2015-02-04,18:55:00,34.74,34.79,34.74,34.74,71525,0
2015-02-04,19:00:00,34.75,34.79,34.75,34.78,32206,0
2015-02-04,19:05:00,34.78,34.85,34.76,34.81,47461,0
2015-02-04,19:10:00,34.82,34.86,34.8,34.84,66062,0
2015-02-04,19:15:00,34.85,34.87,34.83,34.86,60996,0
2015-02-04,19:20:00,34.86,34.9,34.84,34.85,78493,0
2015-02-04,19:25:00,34.84,34.85,34.78,34.8,91868,0
2015-02-04,19:30:00,34.8,34.85,34.8,34.84,58817,0
2015-02-04,19:35:00,34.84,34.88,34.83,34.85,73881,0
2015-02-04,19:40:00,34.84,34.87,34.8,34.82,38708,0
2015-02-04,19:45:00,34.82,34.83,34.79,34.81,58825,0
2015-02-04,19:50:00,34.8,34.82,34.78,34.79,37428,0
2015-02-04,19:55:00,34.78,34.81,34.78,34.79,44953,0
2015-02-04,20:00:00,34.79,34.8,34.74,34.77,66850,0
2015-02-04,20:05:00,34.77,34.84,34.77,34.84,52665,0
2015-02-04,20:10:00,34.83,34.84,34.78,34.83,185070,0
2015-02-04,20:15:00,34.83,34.84,34.78,34.79,123248,0
