Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-01-15,21:45:00,13.92,13.93,13.92,13.92,2249,0
2015-01-15,21:55:00,13.927,13.927,13.927,13.927,970,0
2015-01-15,22:00:00,13.937,13.937,13.937,13.937,100,0
2015-01-16,15:35:00,13.947,13.947,13.947,13.947,5813,0
2015-01-16,15:40:00,13.967,13.967,13.967,13.967,804,0
2015-01-16,15:45:00,13.967,13.967,13.967,13.967,502,0
2015-01-16,16:00:00,13.957,13.957,13.957,13.957,703,0
2015-01-16,16:05:00,13.967,13.967,13.957,13.967,1173,0
2015-01-16,16:10:00,13.937,13.937,13.927,13.927,301,0
2015-01-16,16:20:00,13.927,13.927,13.927,13.927,100,0
2015-01-16,16:25:00,13.917,13.917,13.917,13.917,2031,0
2015-01-16,16:30:00,13.927,13.927,13.917,13.917,1205,0
2015-01-16,16:35:00,13.917,13.917,13.917,13.917,366,0
2015-01-16,16:45:00,13.917,13.917,13.917,13.917,402,0
2015-01-16,17:05:00,13.917,13.937,13.917,13.937,522,0
2015-01-16,17:10:00,13.917,13.937,13.897,13.937,3735,0
2015-01-16,17:15:00,13.937,13.937,13.937,13.937,2009,0
2015-01-16,17:20:00,13.917,13.917,13.917,13.917,1034,0
2015-01-16,17:45:00,13.907,13.907,13.877,13.877,1105,0
2015-01-16,17:50:00,13.877,13.877,13.877,13.877,2310,0
2015-01-16,17:55:00,13.897,13.897,13.897,13.897,992,0
2015-01-16,18:00:00,13.897,13.897,13.897,13.897,703,0
2015-01-16,18:15:00,13.907,13.907,13.877,13.887,1909,0
2015-01-16,18:20:00,13.897,13.897,13.897,13.897,201,0
2015-01-16,18:40:00,13.907,13.907,13.907,13.907,2712,0
2015-01-16,18:50:00,13.887,13.887,13.887,13.887,803,0
2015-01-16,19:00:00,13.897,13.897,13.887,13.887,1306,0
2015-01-16,19:25:00,13.897,13.897,13.897,13.897,957,0
2015-01-16,19:35:00,13.887,13.887,13.887,13.887,1507,0
2015-01-16,19:40:00,13.887,13.897,13.877,13.897,1808,0
2015-01-16,19:45:00,13.887,13.887,13.887,13.887,716,0
2015-01-16,19:50:00,13.887,13.887,13.887,13.887,301,0
2015-01-16,19:55:00,13.877,13.877,13.877,13.877,786,0
2015-01-16,20:00:00,13.887,13.887,13.877,13.877,4014,0
2015-01-16,20:05:00,13.887,13.887,13.887,13.887,1059,0
2015-01-16,20:10:00,13.877,13.877,13.867,13.867,1005,0
2015-01-16,20:15:00,13.887,13.887,13.887,13.887,1892,0
2015-01-16,20:20:00,13.887,13.887,13.887,13.887,1055,0
2015-01-16,20:25:00,13.877,13.877,13.877,13.877,1638,0
2015-01-16,20:30:00,13.867,13.887,13.867,13.867,2612,0
2015-01-16,20:35:00,13.887,13.887,13.887,13.887,402,0
2015-01-16,20:45:00,13.867,13.887,13.867,13.887,1520,0
2015-01-16,20:55:00,13.877,13.887,13.867,13.887,3516,0
2015-01-16,21:10:00,13.887,13.887,13.887,13.887,723,0
2015-01-16,21:15:00,13.867,13.867,13.867,13.867,1005,0
2015-01-16,21:20:00,13.867,13.887,13.858,13.858,9744,0
2015-01-16,21:25:00,13.887,13.887,13.887,13.887,201,0
2015-01-16,21:30:00,13.887,13.887,13.858,13.858,6247,0
2015-01-16,21:50:00,13.867,13.867,13.867,13.867,2762,0
2015-01-16,21:55:00,13.858,13.858,13.858,13.858,502,0
2015-01-20,15:35:00,13.897,13.897,13.897,13.897,1966,0
2015-01-20,15:40:00,13.897,13.897,13.897,13.897,701,0
2015-01-20,15:50:00,13.877,13.877,13.877,13.877,100,0
2015-01-20,15:55:00,13.887,13.887,13.887,13.887,151,0
2015-01-20,16:15:00,13.877,13.877,13.877,13.877,3315,0
2015-01-20,16:40:00,13.877,13.877,13.877,13.877,752,0
2015-01-20,16:45:00,13.867,13.867,13.858,13.867,8013,0
2015-01-20,16:50:00,13.867,13.877,13.867,13.867,4912,0
2015-01-20,17:05:00,13.867,13.867,13.867,13.867,281,0
2015-01-20,17:10:00,13.867,13.867,13.867,13.867,1310,0
2015-01-20,17:20:00,13.877,13.877,13.877,13.877,2109,0
2015-01-20,17:25:00,13.877,13.877,13.867,13.877,3214,0
2015-01-20,17:30:00,13.867,13.867,13.867,13.867,703,0
2015-01-20,17:55:00,13.867,13.867,13.867,13.867,703,0
2015-01-20,18:00:00,13.877,13.877,13.877,13.877,201,0
2015-01-20,18:15:00,13.867,13.867,13.867,13.867,2610,0
2015-01-20,18:20:00,13.867,13.867,13.867,13.867,100,0
2015-01-20,18:35:00,13.867,13.867,13.867,13.867,352,0
2015-01-20,18:45:00,13.858,13.858,13.858,13.858,149,0
2015-01-20,18:55:00,13.858,13.858,13.858,13.858,376,0
2015-01-20,19:15:00,13.867,13.867,13.867,13.867,2009,0
2015-01-20,19:20:00,13.858,13.858,13.858,13.858,4118,0
2015-01-20,19:25:00,13.867,13.867,13.867,13.867,301,0
2015-01-20,19:45:00,13.867,13.867,13.867,13.867,1627,0
2015-01-20,19:50:00,13.858,13.867,13.858,13.858,4226,0
2015-01-20,19:55:00,13.867,13.867,13.858,13.867,577,0
2015-01-20,20:00:00,13.858,13.858,13.858,13.858,1062,0
2015-01-20,20:05:00,13.858,13.858,13.848,13.858,869,0
2015-01-20,20:20:00,13.848,13.848,13.848,13.848,984,0
2015-01-20,20:40:00,13.848,13.848,13.848,13.848,1025,0
2015-01-20,20:45:00,13.838,13.848,13.838,13.838,8685,0
2015-01-20,20:55:00,13.848,13.848,13.848,13.848,1507,0
2015-01-20,21:00:00,13.848,13.848,13.848,13.848,603,0
2015-01-20,21:05:00,13.848,13.848,13.838,13.838,3365,0
2015-01-20,21:10:00,13.848,13.848,13.848,13.848,142,0
2015-01-20,21:20:00,13.838,13.838,13.828,13.828,402,0
2015-01-20,21:30:00,13.838,13.838,13.838,13.838,402,0
2015-01-20,21:40:00,13.828,13.838,13.828,13.838,453,0
2015-01-20,21:45:00,13.838,13.838,13.838,13.838,301,0
