Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-02-03,16:50:00,10.27,10.28,10.27,10.28,11164,0
2015-02-03,16:55:00,10.27,10.27,10.24,10.24,11605,0
2015-02-03,17:00:00,10.24,10.24,10.2,10.21,19229,0
2015-02-03,17:05:00,10.2,10.24,10.2,10.23,10116,0
2015-02-03,17:10:00,10.22,10.24,10.2,10.24,5601,0
2015-02-03,17:15:00,10.22,10.24,10.22,10.24,6529,0
2015-02-03,17:20:00,10.24,10.25,10.23,10.24,8943,0
2015-02-03,17:25:00,10.24,10.25,10.23,10.23,14995,0
2015-02-03,17:30:00,10.24,10.25,10.23,10.23,9820,0
2015-02-03,17:35:00,10.24,10.26,10.22,10.26,7306,0
2015-02-03,17:40:00,10.26,10.31,10.26,10.3,11171,0
2015-02-03,17:45:00,10.31,10.33,10.29,10.33,16527,0
2015-02-03,17:50:00,10.34,10.34,10.3,10.33,37729,0
2015-02-03,17:55:00,10.32,10.32,10.29,10.29,10846,0
2015-02-03,18:00:00,10.29,10.3,10.28,10.28,7059,0
2015-02-03,18:05:00,10.28,10.29,10.26,10.29,8908,0
2015-02-03,18:10:00,10.29,10.36,10.29,10.36,9772,0
2015-02-03,18:15:00,10.36,10.37,10.34,10.35,9351,0
2015-02-03,18:20:00,10.35,10.36,10.34,10.34,6914,0
2015-02-03,18:25:00,10.34,10.34,10.32,10.34,5789,0
2015-02-03,18:30:00,10.33,10.36,10.33,10.35,6015,0
2015-02-03,18:35:00,10.35,10.35,10.33,10.35,3700,0
2015-02-03,18:40:00,10.35,10.36,10.34,10.35,9944,0
2015-02-03,18:45:00,10.36,10.4,10.36,10.39,18190,0
2015-02-03,18:50:00,10.39,10.4,10.37,10.37,18751,0
2015-02-03,18:55:00,10.38,10.39,10.36,10.36,13913,0
2015-02-03,19:00:00,10.37,10.38,10.36,10.37,10327,0
2015-02-03,19:05:00,10.37,10.39,10.37,10.39,5565,0
2015-02-03,19:10:00,10.39,10.4,10.39,10.4,4391,0
2015-02-03,19:15:00,10.4,10.42,10.38,10.42,9710,0
2015-02-03,19:20:00,10.42,10.43,10.41,10.41,11778,0
2015-02-03,19:25:00,10.4,10.41,10.39,10.4,7903,0
2015-02-03,19:30:00,10.41,10.42,10.41,10.41,5503,0
2015-02-03,19:35:00,10.41,10.43,10.41,10.43,8693,0
2015-02-03,19:40:00,10.43,10.43,10.41,10.41,9564,0
2015-02-03,19:45:00,10.41,10.43,10.41,10.43,4801,0
2015-02-03,19:50:00,10.43,10.44,10.42,10.43,14267,0
2015-02-03,19:55:00,10.42,10.43,10.42,10.43,11091,0
2015-02-03,20:00:00,10.43,10.43,10.4,10.4,4175,0
2015-02-03,20:05:00,10.4,10.43,10.4,10.43,8380,0
2015-02-03,20:10:00,10.43,10.43,10.42,10.43,8354,0
2015-02-03,20:15:00,10.42,10.43,10.41,10.41,11459,0
2015-02-03,20:20:00,10.41,10.42,10.4,10.4,12390,0
2015-02-03,20:25:00,10.39,10.41,10.38,10.38,6003,0
2015-02-03,20:30:00,10.38,10.39,10.36,10.36,10903,0
2015-02-03,20:35:00,10.37,10.38,10.35,10.38,24523,0
2015-02-03,20:40:00,10.38,10.41,10.38,10.4,10307,0
2015-02-03,20:45:00,10.4,10.42,10.4,10.42,6605,0
2015-02-03,20:50:00,10.42,10.42,10.41,10.42,5624,0
2015-02-03,20:55:00,10.42,10.43,10.4,10.42,15865,0
2015-02-03,21:00:00,10.42,10.43,10.41,10.42,10992,0
2015-02-03,21:05:00,10.43,10.43,10.42,10.43,8106,0
2015-02-03,21:10:00,10.43,10.43,10.4,10.43,32340,0
2015-02-03,21:15:00,10.43,10.43,10.42,10.43,23517,0
2015-02-03,21:20:00,10.44,10.44,10.4,10.42,26564,0
2015-02-03,21:25:00,10.42,10.44,10.42,10.44,11676,0
2015-02-03,21:30:00,10.44,10.44,10.41,10.43,25517,0
2015-02-03,21:35:00,10.43,10.44,10.43,10.44,17278,0
2015-02-03,21:40:00,10.44,10.45,10.42,10.44,30550,0
2015-02-03,21:45:00,10.43,10.46,10.43,10.45,35516,0
2015-02-03,21:50:00,10.45,10.48,10.45,10.48,66389,0
2015-02-03,21:55:00,10.48,10.48,10.47,10.48,27954,0
2015-02-03,22:00:00,10.48,10.52,10.48,10.52,337399,0
2015-02-04,15:35:00,9.911,9.911,9.2922,9.4119,17728,0
2015-02-04,15:40:00,9.512,9.532,9.0127,9.0127,350556,0
2015-02-04,15:45:00,9.0027,9.1824,8.9628,8.9927,383391,0
2015-02-04,15:50:00,9.0027,9.0427,8.8131,8.8929,824579,0
2015-02-04,15:55:00,8.8929,8.9029,8.7133,8.8131,220885,0
2015-02-04,16:00:00,8.8131,8.853,8.324,8.4538,360765,0
2015-02-04,16:05:00,8.4638,8.883,8.364,8.6933,330830,0
2015-02-04,16:10:00,8.6734,8.7931,8.6334,8.7931,231431,0
2015-02-04,16:15:00,8.7832,8.853,8.7532,8.7931,203149,0
2015-02-04,16:20:00,8.7931,8.8031,8.7832,8.7931,137041,0
2015-02-04,16:25:00,8.7931,8.8231,8.6933,8.7832,176537,0
2015-02-04,16:30:00,8.7732,8.7832,8.7332,8.7532,142587,0
2015-02-04,16:35:00,8.7532,8.7532,8.7332,8.7432,103679,0
2015-02-04,16:40:00,8.7332,8.7832,8.7332,8.7532,69029,0
2015-02-04,16:45:00,8.7532,8.7632,8.7332,8.7332,28061,0
2015-02-04,16:50:00,8.7332,8.8031,8.7332,8.7832,139621,0
2015-02-04,16:55:00,8.7832,8.843,8.7732,8.7931,123786,0
2015-02-04,17:00:00,8.8031,8.8031,8.7732,8.7732,44893,0
2015-02-04,17:05:00,8.7732,8.8031,8.7532,8.7931,104352,0
2015-02-04,17:10:00,8.7931,8.873,8.7931,8.8131,83157,0
2015-02-04,17:15:00,8.8131,8.8131,8.7033,8.7332,216229,0
2015-02-04,17:20:00,8.7332,8.7432,8.7332,8.7332,78879,0
2015-02-04,17:25:00,8.7332,8.7432,8.7133,8.7332,421206,0
2015-02-04,17:30:00,8.7332,8.7632,8.5935,8.5935,238634,0
2015-02-04,17:35:00,8.5935,8.6534,8.5636,8.6434,150919,0
2015-02-04,17:40:00,8.6434,8.6534,8.6334,8.6434,82973,0
2015-02-04,17:45:00,8.6434,8.853,8.6334,8.8231,254104,0
2015-02-04,17:50:00,8.8331,8.8331,8.6933,8.7332,141694,0
2015-02-04,17:55:00,8.7432,8.7532,8.7332,8.7432,42959,0
2015-02-04,18:00:00,8.7332,8.8331,8.7332,8.8231,213987,0
2015-02-04,18:05:00,8.8231,8.8231,8.7732,8.7832,35528,0
2015-02-04,18:10:00,8.7832,8.8331,8.7732,8.8331,108856,0
2015-02-04,18:15:00,8.8331,8.8331,8.7432,8.7432,45408,0
2015-02-04,18:20:00,8.7432,8.7532,8.6634,8.7332,350038,0
2015-02-04,18:25:00,8.7432,8.7632,8.7233,8.7532,159920,0
2015-02-04,18:30:00,8.7432,8.7732,8.7432,8.7732,62460,0
2015-02-04,18:35:00,8.7732,8.7732,8.7332,8.7332,45213,0
2015-02-04,18:40:00,8.7332,8.7532,8.7133,8.7532,241961,0
2015-02-04,18:45:00,8.7532,8.7832,8.7532,8.7832,39536,0
2015-02-04,18:50:00,8.7931,8.8131,8.7832,8.8131,33493,0
2015-02-04,18:55:00,8.8131,8.8231,8.8031,8.8131,41184,0
2015-02-04,19:00:00,8.8131,8.8131,8.7931,8.8031,53958,0
2015-02-04,19:05:00,8.7931,8.8131,8.7832,8.8131,95315,0
2015-02-04,19:10:00,8.8131,8.843,8.8031,8.843,64175,0
2015-02-04,19:15:00,8.8331,8.873,8.8231,8.863,76031,0
2015-02-04,19:20:00,8.853,8.9129,8.853,8.883,86088,0
2015-02-04,19:25:00,8.883,8.883,8.873,8.883,45735,0
2015-02-04,19:30:00,8.883,8.9029,8.883,8.9029,88057,0
2015-02-04,19:35:00,8.8929,8.9029,8.883,8.883,34370,0
2015-02-04,19:40:00,8.8929,8.8929,8.883,8.883,44664,0
2015-02-04,19:45:00,8.883,8.9528,8.883,8.9528,120227,0
2015-02-04,19:50:00,8.9528,9.0327,8.9528,8.9927,82101,0
2015-02-04,19:55:00,8.9927,9.0427,8.9828,9.0327,75717,0
2015-02-04,20:00:00,9.0227,9.0626,8.9528,8.9528,70584,0
2015-02-04,20:05:00,8.9628,9.0027,8.9528,8.9628,46022,0
2015-02-04,20:10:00,8.9628,8.9927,8.9628,8.9927,46106,0
2015-02-04,20:15:00,8.9927,8.9927,8.9828,8.9927,7818,0
2015-02-04,20:20:00,8.9927,9.0526,8.9428,8.9428,93426,0
2015-02-04,20:25:00,8.9528,8.9828,8.9428,8.9728,39545,0
2015-02-04,20:30:00,8.9728,8.9927,8.9728,8.9828,60386,0
2015-02-04,20:35:00,8.9728,8.9828,8.9728,8.9828,17813,0
2015-02-04,20:40:00,8.9828,8.9828,8.9728,8.9828,48506,0
2015-02-04,20:45:00,8.9828,8.9828,8.9229,8.9329,76885,0
2015-02-04,20:50:00,8.9329,8.9329,8.8929,8.9129,72018,0
2015-02-04,20:55:00,8.9129,8.9329,8.9129,8.9329,30812,0
2015-02-04,21:00:00,8.9329,8.9628,8.9229,8.9628,55097,0
2015-02-04,21:05:00,8.9528,8.9628,8.9229,8.9329,26861,0
2015-02-04,21:10:00,8.9329,8.9329,8.9229,8.9329,40170,0
2015-02-04,21:15:00,8.9229,8.9628,8.9229,8.9628,97021,0
2015-02-04,21:20:00,8.9628,8.9828,8.9528,8.9828,50284,0
2015-02-04,21:25:00,8.9728,8.9828,8.9728,8.9728,55634,0
2015-02-04,21:30:00,8.9828,9.0027,8.9528,8.9927,208165,0
2015-02-04,21:35:00,8.9828,8.9927,8.9628,8.9628,88593,0
2015-02-04,21:40:00,8.9628,8.9728,8.9029,8.9129,59111,0
