Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-01-30,19:20:00,16.72,16.72,16.72,16.72,100,0
2015-01-30,19:25:00,16.74,16.74,16.72,16.72,300,0
2015-01-30,19:30:00,16.69,16.78,16.66,16.72,4600,0
2015-01-30,19:35:00,16.68,16.71,16.65,16.71,1600,0
2015-01-30,19:40:00,16.7,16.72,16.7,16.72,200,0
2015-01-30,19:45:00,16.7,16.74,16.63,16.74,2500,0
2015-01-30,19:50:00,16.69,16.69,16.69,16.69,300,0
2015-01-30,19:55:00,16.71,16.71,16.7,16.7,300,0
2015-01-30,20:00:00,16.7,16.7,16.7,16.7,1000,0
2015-01-30,20:05:00,16.68,16.68,16.65,16.65,1700,0
2015-01-30,20:10:00,16.65,16.65,16.64,16.64,600,0
2015-01-30,20:15:00,16.63,16.71,16.54,16.71,6450,0
2015-01-30,20:20:00,16.7,16.78,16.7,16.76,765,0
2015-01-30,20:25:00,16.77,16.78,16.75,16.75,1472,0
2015-01-30,20:30:00,16.76,16.83,16.76,16.83,900,0
2015-01-30,20:35:00,16.82,16.82,16.81,16.81,1400,0
2015-01-30,20:40:00,16.81,16.91,16.81,16.91,900,0
2015-01-30,20:45:00,16.89,16.89,16.83,16.83,1300,0
2015-01-30,20:50:00,16.86,16.86,16.81,16.81,500,0
2015-01-30,20:55:00,16.81,16.81,16.77,16.77,900,0
2015-01-30,21:00:00,16.77,16.77,16.77,16.77,500,0
2015-01-30,21:05:00,16.77,16.78,16.77,16.78,700,0
2015-01-30,21:10:00,16.72,16.77,16.72,16.77,800,0
2015-01-30,21:15:00,16.75,16.75,16.74,16.75,300,0
2015-01-30,21:20:00,16.73,16.73,16.65,16.65,2350,0
2015-01-30,21:25:00,16.65,16.68,16.62,16.67,2071,0
2015-01-30,21:30:00,16.66,16.69,16.64,16.69,2500,0
2015-01-30,21:35:00,16.68,16.68,16.65,16.68,2100,0
2015-01-30,21:40:00,16.68,16.68,16.64,16.64,3100,0
2015-01-30,21:45:00,16.64,16.67,16.57,16.63,5200,0
2015-01-30,21:50:00,16.61,16.64,16.56,16.58,9348,0
2015-01-30,21:55:00,16.59,16.7,16.58,16.69,15442,0
2015-01-30,22:00:00,16.7,16.7,16.61,16.65,176699,0
2015-02-02,15:35:00,16.75,16.75,16.75,16.75,1082,0
2015-02-02,15:40:00,16.79,16.79,16.65,16.65,900,0
2015-02-02,15:45:00,16.69,16.69,16.53,16.58,1300,0
2015-02-02,15:55:00,16.59,16.66,16.59,16.66,1000,0
2015-02-02,16:00:00,16.68,16.68,16.68,16.68,300,0
2015-02-02,16:05:00,16.65,16.67,16.64,16.67,800,0
2015-02-02,16:10:00,16.64,16.65,16.61,16.61,700,0
2015-02-02,16:15:00,16.59,16.6,16.59,16.59,500,0
2015-02-02,16:20:00,16.58,16.66,16.55,16.65,2500,0
2015-02-02,16:25:00,16.62,16.62,16.52,16.55,2800,0
2015-02-02,16:30:00,16.61,16.61,16.61,16.61,600,0
2015-02-02,16:35:00,16.61,16.61,16.61,16.61,856,0
2015-02-02,16:40:00,16.64,16.64,16.64,16.64,200,0
2015-02-02,16:50:00,16.68,16.68,16.56,16.56,1000,0
2015-02-02,16:55:00,16.56,16.62,16.56,16.62,500,0
2015-02-02,17:00:00,16.62,16.65,16.62,16.62,500,0
2015-02-02,17:10:00,16.71,16.72,16.67,16.72,600,0
2015-02-02,17:20:00,16.76,16.76,16.76,16.76,200,0
2015-02-02,17:25:00,16.76,16.76,16.72,16.72,600,0
2015-02-02,17:30:00,16.72,16.72,16.6,16.72,900,0
2015-02-02,17:35:00,16.73,16.76,16.73,16.76,700,0
2015-02-02,17:50:00,16.8,16.8,16.8,16.8,400,0
2015-02-02,17:55:00,16.81,16.81,16.81,16.81,400,0
2015-02-02,18:00:00,16.8,16.81,16.73,16.76,1740,0
2015-02-02,18:05:00,16.75,16.75,16.73,16.73,500,0
2015-02-02,18:10:00,16.72,16.72,16.69,16.69,300,0
2015-02-02,18:15:00,16.72,16.72,16.72,16.72,400,0
2015-02-02,18:20:00,16.73,16.76,16.73,16.73,900,0
2015-02-02,18:25:00,16.74,16.74,16.74,16.74,400,0
2015-02-02,18:30:00,16.79,16.84,16.73,16.73,5405,0
2015-02-02,18:35:00,16.81,16.81,16.76,16.76,400,0
2015-02-02,18:40:00,16.76,16.79,16.76,16.79,300,0
2015-02-02,18:45:00,16.79,16.85,16.79,16.85,1100,0
2015-02-02,18:50:00,16.82,16.83,16.73,16.73,1900,0
2015-02-02,18:55:00,16.73,16.73,16.73,16.73,200,0
2015-02-02,19:00:00,16.78,16.78,16.78,16.78,600,0
2015-02-02,19:05:00,16.75,16.75,16.75,16.75,300,0
2015-02-02,19:10:00,16.78,16.83,16.78,16.83,800,0
2015-02-02,19:15:00,16.83,16.83,16.81,16.82,900,0
2015-02-02,19:25:00,16.81,16.83,16.79,16.83,1300,0
2015-02-02,19:30:00,16.85,16.85,16.84,16.84,1100,0
2015-02-02,19:35:00,16.8,16.8,16.79,16.79,400,0
2015-02-02,19:40:00,16.79,16.79,16.79,16.79,200,0
2015-02-02,19:45:00,16.76,16.76,16.75,16.75,600,0
2015-02-02,19:50:00,16.69,16.7,16.66,16.68,700,0
2015-02-02,19:55:00,16.71,16.72,16.71,16.71,1000,0
2015-02-02,20:00:00,16.71,16.71,16.71,16.71,600,0
2015-02-02,20:10:00,16.69,16.72,16.69,16.72,3400,0
2015-02-02,20:15:00,16.68,16.68,16.66,16.66,600,0
2015-02-02,20:20:00,16.69,16.7,16.66,16.68,1200,0
2015-02-02,20:30:00,16.68,16.68,16.68,16.68,400,0
2015-02-02,20:35:00,16.71,16.72,16.71,16.72,400,0
2015-02-02,20:40:00,16.69,16.7,16.65,16.68,1400,0
2015-02-02,20:45:00,16.67,16.67,16.67,16.67,1000,0
2015-02-02,20:50:00,16.64,16.65,16.61,16.61,2600,0
2015-02-02,20:55:00,16.65,16.66,16.65,16.66,1000,0
2015-02-02,21:00:00,16.69,16.7,16.67,16.67,900,0
2015-02-02,21:05:00,16.72,16.72,16.72,16.72,300,0
2015-02-02,21:10:00,16.7,16.7,16.7,16.7,800,0
2015-02-02,21:15:00,16.7,16.82,16.7,16.82,1100,0
2015-02-02,21:20:00,16.84,16.86,16.75,16.75,2100,0
2015-02-02,21:30:00,16.8,16.8,16.75,16.75,1600,0
2015-02-02,21:35:00,16.8,16.82,16.8,16.8,4809,0
2015-02-02,21:40:00,16.79,16.79,16.78,16.79,4221,0
2015-02-02,21:45:00,16.79,16.79,16.78,16.79,7199,0
2015-02-02,21:50:00,16.79,16.79,16.77,16.79,8006,0
2015-02-02,21:55:00,16.82,16.82,16.74,16.79,6107,0
2015-02-02,22:00:00,16.79,16.81,16.76,16.78,23888,0
2015-02-03,15:35:00,16.93,16.94,16.93,16.94,400,0
2015-02-03,15:45:00,17.11,17.21,17.09,17.21,3700,0
2015-02-03,15:55:00,17.35,17.35,17.35,17.35,1600,0
2015-02-03,16:00:00,17.4,17.4,17.4,17.4,400,0
2015-02-03,16:10:00,17.44,17.5,17.43,17.5,2800,0
2015-02-03,16:15:00,17.51,17.53,17.51,17.53,2000,0
2015-02-03,16:20:00,17.51,17.55,17.51,17.55,700,0
2015-02-03,16:25:00,17.55,17.55,17.52,17.52,1806,0
