Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-01-23,19:10:00,21.49,21.51,21.45,21.47,6473,0
2015-01-23,19:15:00,21.491,21.491,21.491,21.491,503,0
2015-01-23,19:20:00,21.481,21.481,21.481,21.481,603,0
2015-01-23,19:25:00,21.481,21.481,21.461,21.471,1021,0
2015-01-23,19:35:00,21.471,21.481,21.471,21.481,704,0
2015-01-23,19:40:00,21.481,21.481,21.481,21.481,201,0
2015-01-23,19:55:00,21.481,21.481,21.481,21.481,626,0
2015-01-23,20:00:00,21.491,21.511,21.491,21.511,302,0
2015-01-23,20:05:00,21.511,21.511,21.511,21.511,302,0
2015-01-23,20:10:00,21.531,21.531,21.531,21.531,344,0
2015-01-23,20:20:00,21.521,21.531,21.521,21.531,704,0
2015-01-23,20:25:00,21.531,21.531,21.531,21.531,101,0
2015-01-23,20:30:00,21.531,21.531,21.531,21.531,804,0
2015-01-23,20:45:00,21.531,21.541,21.531,21.541,577,0
2015-01-23,20:50:00,21.551,21.551,21.531,21.531,955,0
2015-01-23,20:55:00,21.551,21.561,21.541,21.561,4525,0
2015-01-23,21:00:00,21.561,21.561,21.561,21.561,101,0
2015-01-23,21:05:00,21.561,21.571,21.561,21.571,1106,0
2015-01-23,21:15:00,21.571,21.581,21.571,21.581,7541,0
2015-01-23,21:20:00,21.581,21.581,21.551,21.581,1252,0
2015-01-23,21:25:00,21.581,21.581,21.581,21.581,302,0
2015-01-23,21:40:00,21.581,21.581,21.581,21.581,2599,0
2015-01-23,21:45:00,21.581,21.581,21.581,21.581,603,0
2015-01-23,21:50:00,21.581,21.621,21.581,21.611,3806,0
2015-01-23,22:00:00,21.621,21.631,21.621,21.621,1951,0
2015-01-26,15:35:00,21.551,21.551,21.551,21.551,6371,0
2015-01-26,16:35:00,21.551,21.551,21.551,21.551,223,0
2015-01-26,16:40:00,21.551,21.551,21.551,21.551,621,0
2015-01-26,16:45:00,21.571,21.571,21.551,21.551,2011,0
2015-01-26,17:05:00,21.541,21.561,21.541,21.561,12267,0
2015-01-26,17:25:00,21.551,21.561,21.551,21.561,14095,0
2015-01-26,17:40:00,21.581,21.611,21.551,21.561,9835,0
2015-01-26,17:45:00,21.601,21.601,21.551,21.591,8058,0
2015-01-26,18:00:00,21.561,21.561,21.561,21.561,2011,0
2015-01-26,18:05:00,21.571,21.571,21.571,21.571,221,0
2015-01-26,18:20:00,21.551,21.551,21.551,21.551,125,0
2015-01-26,18:25:00,21.571,21.571,21.551,21.551,5028,0
2015-01-26,18:30:00,21.581,21.581,21.581,21.581,402,0
2015-01-26,18:35:00,21.591,21.68,21.591,21.68,14220,0
2015-01-26,19:00:00,21.7,21.7,21.7,21.7,603,0
2015-01-26,19:05:00,21.68,21.68,21.68,21.68,4424,0
2015-01-26,19:20:00,21.68,21.72,21.68,21.7,2745,0
2015-01-26,19:25:00,21.7,21.7,21.7,21.7,1006,0
2015-01-26,19:30:00,21.73,21.73,21.73,21.73,1609,0
2015-01-26,19:35:00,21.69,21.69,21.66,21.66,7293,0
2015-01-26,19:40:00,21.66,21.67,21.631,21.631,6199,0
2015-01-26,19:45:00,21.65,21.65,21.631,21.631,503,0
2015-01-26,19:50:00,21.631,21.631,21.631,21.631,302,0
2015-01-26,19:55:00,21.66,21.66,21.631,21.631,402,0
2015-01-26,20:05:00,21.631,21.65,21.631,21.65,1207,0
2015-01-26,20:15:00,21.64,21.64,21.621,21.631,1634,0
2015-01-26,20:20:00,21.67,21.67,21.67,21.67,851,0
2015-01-26,20:25:00,21.65,21.65,21.65,21.65,804,0
2015-01-26,20:30:00,21.64,21.64,21.64,21.64,2027,0
2015-01-26,20:35:00,21.65,21.65,21.65,21.65,320,0
2015-01-26,20:40:00,21.64,21.64,21.64,21.64,603,0
2015-01-26,20:45:00,21.65,21.65,21.65,21.65,704,0
2015-01-26,21:00:00,21.65,21.65,21.65,21.65,452,0
2015-01-26,21:15:00,21.631,21.631,21.631,21.631,1585,0
2015-01-26,21:45:00,21.631,21.631,21.631,21.631,704,0
2015-01-26,21:55:00,21.65,21.65,21.65,21.65,101,0
2015-01-26,22:00:00,21.65,21.65,21.64,21.64,747,0
2015-01-27,15:35:00,21.67,21.67,21.67,21.67,603,0
2015-01-27,15:40:00,21.73,21.73,21.67,21.67,604,0
2015-01-27,15:45:00,21.72,21.72,21.72,21.72,303,0
2015-01-27,15:50:00,21.72,21.72,21.72,21.72,1106,0
2015-01-27,15:55:00,21.72,21.72,21.72,21.72,1508,0
2015-01-27,16:00:00,21.67,21.67,21.67,21.67,292,0
