Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-10-23,21:05:00,23.37,23.37,23.35,23.37,2725,0
2014-10-24,16:10:00,23.347,23.347,23.347,23.347,1337,0
2014-10-24,16:55:00,23.697,23.707,23.697,23.707,1440,0
2014-10-24,17:30:00,23.688,23.726,23.688,23.726,4422,0
2014-10-24,18:55:00,23.668,23.668,23.668,23.668,103,0
2014-10-24,20:45:00,23.668,23.668,23.668,23.668,206,0
2014-10-24,21:25:00,23.697,23.707,23.697,23.707,617,0
2014-10-27,15:05:00,23.124,23.143,23.114,23.114,617,0
2014-10-27,15:10:00,23.24,23.24,23.24,23.24,514,0
2014-10-27,15:15:00,23.357,23.357,23.357,23.357,103,0
2014-10-27,15:20:00,23.357,23.386,23.357,23.386,1337,0
2014-10-27,16:05:00,23.24,23.24,23.24,23.24,103,0
2014-10-27,16:20:00,23.25,23.25,23.24,23.24,514,0
2014-10-28,14:40:00,23.299,23.299,23.299,23.299,206,0
2014-10-28,14:45:00,23.299,23.299,23.299,23.299,411,0
2014-10-28,18:20:00,23.483,23.483,23.483,23.483,411,0
2014-10-28,18:40:00,23.571,23.581,23.571,23.581,977,0
2014-10-28,20:35:00,23.95,23.96,23.95,23.96,411,0
2014-10-29,14:55:00,23.794,23.814,23.794,23.814,926,0
2014-10-29,15:00:00,23.814,23.814,23.814,23.814,309,0
2014-10-29,16:00:00,23.804,23.804,23.804,23.804,309,0
2014-10-29,17:40:00,23.824,24.067,23.824,24.067,206,0
2014-10-29,18:10:00,23.824,23.824,23.824,23.824,206,0
2014-10-29,19:20:00,23.824,23.824,23.824,23.824,206,0
2014-10-30,16:25:00,23.824,23.824,23.824,23.824,514,0
2014-10-30,19:35:00,23.833,23.833,23.833,23.833,206,0
2014-10-30,19:45:00,23.833,23.833,23.833,23.833,309,0
2014-10-30,20:55:00,23.872,23.872,23.872,23.872,514,0
2014-10-31,15:50:00,23.824,23.824,23.824,23.824,514,0
2014-10-31,16:15:00,23.824,23.843,23.824,23.824,3579,0
2014-10-31,16:20:00,23.824,23.843,23.824,23.824,1118,0
2014-10-31,17:30:00,23.824,23.824,23.824,23.824,411,0
2014-10-31,18:35:00,23.824,23.824,23.824,23.824,206,0
2014-10-31,19:05:00,23.824,23.824,23.824,23.824,514,0
2014-10-31,19:15:00,23.824,23.824,23.824,23.824,514,0
2014-10-31,19:30:00,23.824,23.824,23.824,23.824,411,0
2014-11-03,16:15:00,24.008,24.008,24.008,24.008,237,0
2014-11-03,17:00:00,24.047,24.047,24.047,24.047,2622,0
2014-11-03,17:30:00,24.047,24.047,24.008,24.047,2499,0
2014-11-03,17:40:00,23.688,23.688,23.688,23.688,514,0
2014-11-03,17:50:00,23.688,23.688,23.688,23.688,514,0
2014-11-03,18:50:00,24.008,24.008,24.008,24.008,411,0
2014-11-03,18:55:00,24.038,24.047,24.038,24.047,514,0
2014-11-03,19:15:00,24.281,24.281,24.281,24.281,103,0
2014-11-03,20:10:00,23.863,23.863,23.863,23.863,103,0
2014-11-03,20:15:00,23.882,23.882,23.882,23.882,514,0
2014-11-03,20:35:00,23.892,23.892,23.892,23.892,514,0
2014-11-03,21:05:00,23.921,23.95,23.921,23.95,514,0
2014-11-03,21:10:00,23.921,23.921,23.921,23.921,514,0
2014-11-03,21:15:00,23.999,23.999,23.97,23.97,720,0
2014-11-03,21:25:00,24.213,24.213,24.213,24.213,154,0
2014-11-03,21:50:00,23.911,23.911,23.911,23.911,103,0
2014-11-04,18:35:00,23.824,23.824,23.824,23.824,170,0
2014-11-04,18:40:00,23.804,23.872,23.804,23.872,309,0
2014-11-04,19:10:00,23.688,23.688,23.688,23.688,103,0
2014-11-04,20:10:00,24.038,24.038,24.038,24.038,411,0
2014-11-04,20:15:00,23.785,23.785,23.785,23.785,103,0
2014-11-04,20:30:00,23.931,23.931,23.931,23.931,206,0
2014-11-04,20:45:00,23.639,23.639,23.639,23.639,103,0
2014-11-04,21:55:00,23.765,23.765,23.765,23.765,103,0
2014-11-05,16:00:00,23.892,23.892,23.629,23.629,309,0
2014-11-05,16:10:00,23.629,23.629,23.629,23.629,409,0
2014-11-05,16:50:00,23.726,23.726,23.717,23.726,2022,0
2014-11-05,16:55:00,23.736,23.756,23.736,23.756,1692,0
2014-11-05,17:40:00,23.629,23.629,23.629,23.629,103,0
2014-11-05,18:30:00,23.668,23.668,23.668,23.668,2057,0
2014-11-06,17:00:00,23.853,23.853,23.853,23.853,514,0
2014-11-06,17:55:00,23.843,23.911,23.843,23.911,617,0
2014-11-06,22:00:00,23.824,23.824,23.824,23.824,309,0
2014-11-07,15:55:00,23.824,23.824,23.824,23.824,823,0
2014-11-07,17:40:00,24.028,24.096,24.028,24.096,926,0
2014-11-07,18:20:00,23.872,23.94,23.872,23.872,4114,0
2014-11-07,19:45:00,23.931,23.931,23.931,23.931,388,0
2014-11-07,21:40:00,23.94,23.94,23.931,23.931,463,0
2014-11-07,21:55:00,23.931,23.931,23.931,23.931,411,0
2014-11-10,19:10:00,23.97,23.97,23.97,23.97,1028,0
2014-11-10,19:15:00,23.931,23.931,23.931,23.931,103,0
2014-11-10,20:05:00,24.018,24.018,24.018,24.018,1234,0
2014-11-10,20:35:00,23.688,23.726,23.688,23.726,206,0
2014-11-11,19:05:00,23.94,23.94,23.94,23.94,206,0
2014-11-11,21:20:00,23.999,23.999,23.999,23.999,1028,0
