Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-01-02,15:40:00,1.59,1.60,1.58,1.58,7600,0
2015-01-02,15:45:00,1.6,1.6,1.59,1.6,800,0
2015-01-02,15:50:00,1.59,1.65,1.59,1.65,4100,0
2015-01-02,16:00:00,1.62,1.62,1.61,1.61,1100,0
2015-01-02,16:10:00,1.61,1.61,1.6,1.6,2200,0
2015-01-02,16:20:00,1.62,1.62,1.62,1.62,100,0
2015-01-02,16:25:00,1.6,1.6,1.55,1.55,14988,0
2015-01-02,16:30:00,1.55,1.56,1.54,1.54,10300,0
2015-01-02,16:35:00,1.54,1.54,1.53,1.53,19056,0
2015-01-02,16:50:00,1.51,1.51,1.51,1.51,100,0
2015-01-02,16:55:00,1.53,1.53,1.53,1.53,7600,0
2015-01-02,17:00:00,1.53,1.53,1.51,1.53,4984,0
2015-01-02,17:05:00,1.53,1.53,1.53,1.53,1700,0
2015-01-02,17:10:00,1.53,1.53,1.53,1.53,1926,0
2015-01-02,17:20:00,1.53,1.53,1.53,1.53,200,0
2015-01-02,17:25:00,1.52,1.54,1.52,1.54,1200,0
2015-01-02,17:45:00,1.56,1.56,1.56,1.56,400,0
2015-01-02,18:20:00,1.54,1.54,1.54,1.54,3000,0
2015-01-02,18:25:00,1.54,1.54,1.54,1.54,400,0
2015-01-02,18:45:00,1.55,1.55,1.55,1.55,250,0
2015-01-02,18:55:00,1.58,1.58,1.58,1.58,100,0
2015-01-02,19:15:00,1.57,1.57,1.55,1.55,2100,0
2015-01-02,19:35:00,1.55,1.55,1.55,1.55,300,0
2015-01-02,20:00:00,1.55,1.58,1.54,1.57,2528,0
2015-01-02,20:05:00,1.57,1.57,1.57,1.57,400,0
2015-01-02,20:15:00,1.56,1.56,1.56,1.56,1400,0
2015-01-02,20:30:00,1.57,1.58,1.57,1.58,200,0
2015-01-02,20:40:00,1.58,1.58,1.58,1.58,1000,0
2015-01-02,20:45:00,1.58,1.58,1.58,1.58,400,0
2015-01-02,21:05:00,1.57,1.57,1.52,1.52,13190,0
2015-01-02,21:35:00,1.58,1.58,1.56,1.56,3114,0
2015-01-02,21:50:00,1.53,1.53,1.53,1.53,4000,0
2015-01-02,22:00:00,1.53,1.56,1.53,1.54,3561,0
2015-01-05,15:35:00,1.57,1.57,1.57,1.57,100,0
2015-01-05,15:40:00,1.57,1.57,1.57,1.57,2600,0
2015-01-05,15:50:00,1.53,1.54,1.53,1.54,1350,0
2015-01-05,15:55:00,1.53,1.55,1.51,1.51,26002,0
2015-01-05,16:05:00,1.51,1.55,1.51,1.55,800,0
2015-01-05,16:25:00,1.53,1.56,1.53,1.56,600,0
2015-01-05,17:15:00,1.53,1.54,1.52,1.52,3400,0
2015-01-05,17:35:00,1.51,1.51,1.51,1.51,2750,0
2015-01-05,17:55:00,1.51,1.51,1.51,1.51,200,0
2015-01-05,18:00:00,1.53,1.53,1.53,1.53,100,0
2015-01-05,18:15:00,1.52,1.52,1.51,1.51,4400,0
2015-01-05,18:30:00,1.52,1.52,1.52,1.52,500,0
2015-01-05,18:35:00,1.51,1.51,1.51,1.51,6160,0
2015-01-05,18:40:00,1.52,1.52,1.52,1.52,7000,0
2015-01-05,18:50:00,1.52,1.52,1.52,1.52,1388,0
2015-01-05,18:55:00,1.53,1.53,1.53,1.53,800,0
2015-01-05,19:05:00,1.52,1.52,1.52,1.52,200,0
2015-01-05,19:20:00,1.52,1.52,1.52,1.52,2100,0
2015-01-05,19:40:00,1.53,1.53,1.53,1.53,400,0
2015-01-05,19:50:00,1.52,1.52,1.52,1.52,200,0
2015-01-05,20:05:00,1.52,1.55,1.52,1.54,3700,0
2015-01-05,20:10:00,1.53,1.53,1.53,1.53,1400,0
2015-01-05,20:15:00,1.53,1.53,1.53,1.53,100,0
2015-01-05,20:20:00,1.52,1.52,1.52,1.52,1200,0
2015-01-05,20:25:00,1.53,1.53,1.53,1.53,100,0
2015-01-05,20:30:00,1.51,1.51,1.51,1.51,1000,0
2015-01-05,20:35:00,1.51,1.51,1.51,1.51,200,0
2015-01-05,20:50:00,1.52,1.52,1.52,1.52,200,0
2015-01-05,21:15:00,1.52,1.52,1.52,1.52,1500,0
2015-01-05,21:20:00,1.52,1.52,1.52,1.52,700,0
2015-01-05,21:35:00,1.52,1.52,1.52,1.52,200,0
2015-01-05,21:40:00,1.51,1.51,1.51,1.51,500,0
2015-01-05,21:50:00,1.52,1.52,1.52,1.52,100,0
2015-01-05,21:55:00,1.52,1.52,1.52,1.52,4600,0
2015-01-05,22:00:00,1.52,1.58,1.51,1.58,9606,0
2015-01-06,15:35:00,1.55,1.55,1.55,1.55,100,0
2015-01-06,15:50:00,1.54,1.54,1.54,1.54,3700,0
2015-01-06,16:00:00,1.52,1.52,1.52,1.52,1000,0
2015-01-06,16:05:00,1.52,1.52,1.52,1.52,2700,0
2015-01-06,16:10:00,1.52,1.52,1.52,1.52,400,0
2015-01-06,16:15:00,1.52,1.52,1.51,1.52,2336,0
2015-01-06,16:20:00,1.53,1.53,1.51,1.52,4400,0
2015-01-06,16:25:00,1.51,1.52,1.51,1.52,5100,0
2015-01-06,16:35:00,1.53,1.53,1.51,1.52,900,0
2015-01-06,16:40:00,1.53,1.54,1.53,1.54,3000,0
2015-01-06,16:45:00,1.54,1.54,1.54,1.54,300,0
2015-01-06,16:50:00,1.51,1.51,1.51,1.51,2000,0
2015-01-06,17:00:00,1.52,1.52,1.52,1.52,200,0
2015-01-06,17:10:00,1.52,1.52,1.52,1.52,300,0
2015-01-06,17:20:00,1.53,1.53,1.53,1.53,1000,0
2015-01-06,17:30:00,1.52,1.52,1.52,1.52,200,0
2015-01-06,17:35:00,1.51,1.52,1.51,1.52,400,0
2015-01-06,17:40:00,1.51,1.51,1.51,1.51,5500,0
2015-01-06,17:50:00,1.51,1.51,1.51,1.51,500,0
2015-01-06,17:55:00,1.51,1.51,1.51,1.51,2000,0
2015-01-06,18:00:00,1.51,1.51,1.51,1.51,2600,0
2015-01-06,18:05:00,1.51,1.52,1.51,1.51,5962,0
2015-01-06,18:10:00,1.51,1.51,1.51,1.51,200,0
2015-01-06,18:25:00,1.52,1.52,1.51,1.51,371,0
2015-01-06,18:30:00,1.52,1.52,1.52,1.52,285,0
2015-01-06,18:55:00,1.52,1.52,1.52,1.52,1000,0
2015-01-06,19:15:00,1.52,1.52,1.52,1.52,400,0
2015-01-06,19:20:00,1.56,1.56,1.56,1.56,100,0
2015-01-06,19:30:00,1.52,1.52,1.52,1.52,1000,0
2015-01-06,19:45:00,1.52,1.52,1.52,1.52,200,0
2015-01-06,19:50:00,1.56,1.56,1.56,1.56,300,0
2015-01-06,20:00:00,1.55,1.55,1.54,1.54,300,0
2015-01-06,20:25:00,1.56,1.56,1.56,1.56,100,0
2015-01-06,21:30:00,1.52,1.52,1.52,1.52,5000,0
2015-01-06,21:50:00,1.54,1.54,1.54,1.54,500,0
2015-01-06,21:55:00,1.52,1.52,1.52,1.52,2955,0
2015-01-06,22:00:00,1.51,1.54,1.51,1.54,9123,0
2015-01-07,15:40:00,1.54,1.54,1.54,1.54,200,0
2015-01-07,15:50:00,1.53,1.53,1.53,1.53,1000,0
2015-01-07,15:55:00,1.53,1.54,1.53,1.54,500,0
2015-01-07,16:00:00,1.53,1.53,1.53,1.53,100,0
2015-01-07,16:05:00,1.52,1.52,1.52,1.52,200,0
2015-01-07,16:10:00,1.52,1.52,1.52,1.52,1010,0
2015-01-07,16:15:00,1.52,1.52,1.51,1.51,19600,0
2015-01-07,17:00:00,1.52,1.52,1.52,1.52,1800,0
2015-01-07,17:05:00,1.52,1.52,1.52,1.52,3000,0
2015-01-07,17:10:00,1.52,1.52,1.52,1.52,1000,0
2015-01-07,17:15:00,1.55,1.55,1.55,1.55,100,0
2015-01-07,17:20:00,1.54,1.54,1.54,1.54,1546,0
2015-01-07,17:30:00,1.55,1.55,1.55,1.55,100,0
2015-01-07,17:40:00,1.53,1.53,1.53,1.53,220,0
2015-01-07,17:45:00,1.54,1.54,1.54,1.54,300,0
2015-01-07,17:50:00,1.54,1.54,1.54,1.54,2000,0
2015-01-07,18:15:00,1.52,1.52,1.52,1.52,2400,0
2015-01-07,18:20:00,1.52,1.52,1.51,1.51,2200,0
2015-01-07,18:25:00,1.51,1.52,1.51,1.52,12270,0
2015-01-07,18:40:00,1.53,1.53,1.53,1.53,300,0
2015-01-07,18:45:00,1.53,1.53,1.53,1.53,400,0
2015-01-07,18:50:00,1.53,1.53,1.53,1.53,1000,0
2015-01-07,19:00:00,1.53,1.53,1.53,1.53,300,0
2015-01-07,19:45:00,1.52,1.52,1.52,1.52,1564,0
2015-01-07,20:35:00,1.52,1.52,1.52,1.52,1500,0
2015-01-07,21:00:00,1.52,1.52,1.52,1.52,100,0
2015-01-07,21:05:00,1.53,1.53,1.52,1.52,200,0
2015-01-07,21:10:00,1.53,1.53,1.53,1.53,100,0
2015-01-07,21:15:00,1.53,1.53,1.52,1.52,200,0
2015-01-07,21:20:00,1.52,1.52,1.52,1.52,300,0
2015-01-07,21:25:00,1.53,1.53,1.52,1.52,600,0
2015-01-07,21:30:00,1.53,1.53,1.52,1.52,490,0
2015-01-07,21:35:00,1.53,1.53,1.51,1.52,13678,0
2015-01-07,21:40:00,1.51,1.52,1.51,1.52,500,0
2015-01-07,21:45:00,1.52,1.52,1.52,1.52,200,0
2015-01-07,21:50:00,1.51,1.51,1.51,1.51,300,0
2015-01-07,21:55:00,1.51,1.51,1.51,1.51,100,0
2015-01-07,22:00:00,1.51,1.56,1.5,1.56,5405,0
2015-01-08,15:35:00,1.61,1.72,1.61,1.72,400,0
2015-01-08,15:40:00,1.61,1.61,1.57,1.58,7200,0
2015-01-08,15:45:00,1.57,1.61,1.57,1.61,10953,0
2015-01-08,15:50:00,1.59,1.59,1.59,1.59,2000,0
2015-01-08,15:55:00,1.6,1.6,1.58,1.58,2500,0
2015-01-08,16:05:00,1.56,1.56,1.55,1.55,650,0
2015-01-08,16:25:00,1.55,1.55,1.55,1.55,900,0
2015-01-08,16:30:00,1.54,1.55,1.54,1.55,1900,0
2015-01-08,16:35:00,1.55,1.55,1.55,1.55,2600,0
2015-01-08,16:45:00,1.59,1.59,1.59,1.59,200,0
2015-01-08,17:00:00,1.58,1.59,1.58,1.58,1700,0
2015-01-08,17:05:00,1.58,1.59,1.58,1.58,2700,0
2015-01-08,17:10:00,1.58,1.58,1.57,1.57,2500,0
2015-01-08,17:15:00,1.57,1.57,1.56,1.57,2941,0
2015-01-08,17:35:00,1.59,1.59,1.59,1.59,100,0
2015-01-08,17:40:00,1.56,1.56,1.56,1.56,100,0
2015-01-08,17:45:00,1.57,1.57,1.57,1.57,5000,0
2015-01-08,17:50:00,1.55,1.55,1.55,1.55,2800,0
2015-01-08,17:55:00,1.56,1.56,1.56,1.56,1000,0
2015-01-08,18:15:00,1.55,1.55,1.55,1.55,200,0
2015-01-08,18:25:00,1.57,1.57,1.57,1.57,200,0
2015-01-08,18:30:00,1.54,1.54,1.54,1.54,916,0
2015-01-08,18:35:00,1.58,1.58,1.58,1.58,100,0
2015-01-08,18:45:00,1.58,1.58,1.58,1.58,200,0
2015-01-08,18:55:00,1.55,1.55,1.54,1.54,4000,0
2015-01-08,19:00:00,1.56,1.56,1.55,1.55,600,0
2015-01-08,19:25:00,1.52,1.52,1.52,1.52,100,0
2015-01-08,19:35:00,1.55,1.55,1.55,1.55,100,0
2015-01-08,19:40:00,1.55,1.55,1.55,1.55,1500,0
2015-01-08,19:45:00,1.52,1.52,1.52,1.52,6300,0
2015-01-08,19:55:00,1.52,1.52,1.52,1.52,400,0
2015-01-08,20:15:00,1.52,1.56,1.52,1.55,15100,0
2015-01-08,20:20:00,1.55,1.56,1.55,1.56,1600,0
2015-01-08,20:40:00,1.57,1.57,1.57,1.57,100,0
2015-01-08,20:50:00,1.56,1.57,1.56,1.57,1000,0
