Date,Time,Open,High,Low,Close,Volume,OpenInt
2013-06-26,17:15:00,9.64,9.64,9.64,9.64,100,0
2013-06-26,21:35:00,9.642,9.642,9.633,9.633,1460,0
2013-06-27,18:20:00,9.642,9.642,9.642,9.642,520,0
2013-07-01,17:45:00,9.642,9.642,9.642,9.642,1040,0
2013-07-01,18:05:00,9.642,9.642,9.642,9.642,2700,0
2013-07-02,20:25:00,9.652,9.652,9.652,9.652,100,0
2013-07-02,21:05:00,9.642,9.642,9.642,9.642,720,0
2013-07-05,17:15:00,9.67,9.67,9.66,9.66,200,0
2013-07-05,17:55:00,9.652,9.652,9.652,9.652,100,0
2013-07-08,16:00:00,9.66,9.67,9.66,9.67,200,0
2013-07-09,16:35:00,9.66,9.66,9.652,9.652,320,0
2013-07-09,17:30:00,9.652,9.652,9.642,9.642,1358,0
2013-07-10,16:55:00,9.642,9.642,9.642,9.642,420,0
2013-07-10,17:00:00,9.652,9.652,9.652,9.652,100,0
2013-07-10,17:50:00,9.66,9.66,9.66,9.66,100,0
2013-07-10,18:10:00,9.652,9.652,9.652,9.652,2080,0
2013-07-10,18:15:00,9.652,9.652,9.642,9.642,8419,0
2013-07-10,18:20:00,9.642,9.642,9.633,9.633,6020,0
2013-07-10,18:25:00,9.642,9.642,9.642,9.642,2080,0
2013-07-10,18:30:00,9.642,9.642,9.642,9.642,1560,0
2013-07-10,18:35:00,9.642,9.642,9.642,9.642,620,0
2013-07-10,18:40:00,9.642,9.642,9.642,9.642,1560,0
2013-07-11,16:50:00,9.66,9.66,9.66,9.66,100,0
2013-07-11,19:25:00,9.66,9.66,9.66,9.66,719,0
2013-07-11,19:35:00,9.66,9.66,9.66,9.66,1038,0
2013-07-12,21:00:00,9.67,9.67,9.67,9.67,100,0
2013-07-16,17:00:00,9.67,9.67,9.67,9.67,1976,0
2013-07-16,17:05:00,9.67,9.67,9.67,9.67,3532,0
2013-07-17,16:05:00,9.688,9.688,9.688,9.688,1038,0
2013-07-19,18:40:00,9.678,9.678,9.67,9.67,319,0
2013-07-19,18:50:00,9.67,9.67,9.67,9.67,3934,0
2013-07-19,20:05:00,9.67,9.67,9.67,9.67,5190,0
2013-07-19,20:15:00,9.67,9.67,9.67,9.67,5190,0
2013-07-19,20:45:00,9.678,9.698,9.678,9.678,938,0
2013-07-22,15:35:00,9.678,9.678,9.678,9.678,10369,0
2013-07-22,18:40:00,9.678,9.678,9.67,9.67,200,0
2013-07-25,16:10:00,9.651,9.651,9.651,9.651,619,0
2013-07-25,18:30:00,9.67,9.67,9.67,9.67,866,0
2013-07-25,20:15:00,9.651,9.651,9.651,9.651,200,0
2013-07-26,19:30:00,9.66,9.66,9.66,9.66,719,0
2013-07-26,21:20:00,9.66,9.66,9.66,9.66,100,0
2013-07-26,21:55:00,9.67,9.67,9.67,9.67,519,0
2013-07-29,16:25:00,9.67,9.67,9.67,9.67,559,0
2013-07-29,21:40:00,9.651,9.651,9.651,9.651,1038,0
2013-07-29,21:55:00,9.66,9.66,9.66,9.66,7366,0
2013-07-30,20:55:00,9.66,9.66,9.66,9.66,100,0
2013-07-30,21:00:00,9.66,9.66,9.651,9.651,4050,0
2013-07-30,21:55:00,9.67,9.67,9.67,9.67,3633,0
2013-07-30,22:00:00,9.67,9.67,9.67,9.67,3633,0
2013-07-31,16:45:00,9.651,9.651,9.651,9.651,319,0
2013-08-01,17:35:00,9.651,9.651,9.651,9.651,938,0
2013-08-02,17:25:00,9.67,9.67,9.67,9.67,6914,0
2013-08-02,20:20:00,9.67,9.67,9.67,9.67,1588,0
