Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-02-02,21:55:00,57.70,57.70,57.52,57.67,10200,0
2015-02-02,22:00:00,57.68,57.8,57.68,57.72,61477,0
2015-02-03,15:35:00,57.54,57.54,57.32,57.32,700,0
2015-02-03,15:40:00,57.38,57.7,57.38,57.69,2613,0
2015-02-03,15:45:00,57.55,57.67,57.55,57.67,1243,0
2015-02-03,15:50:00,57.65,57.65,57.58,57.58,900,0
2015-02-03,15:55:00,57.68,57.73,57.58,57.6,1101,0
2015-02-03,16:00:00,57.71,57.82,57.71,57.82,2600,0
2015-02-03,16:05:00,57.87,57.87,57.56,57.71,2472,0
2015-02-03,16:10:00,57.68,57.69,57.56,57.56,2000,0
2015-02-03,16:15:00,57.6,57.64,57.51,57.51,1600,0
2015-02-03,16:20:00,57.69,57.72,57.59,57.67,3293,0
2015-02-03,16:25:00,57.67,57.67,57.61,57.66,400,0
2015-02-03,16:30:00,57.7,57.75,57.66,57.7,1700,0
2015-02-03,16:35:00,57.75,57.75,57.56,57.6,1746,0
2015-02-03,16:40:00,57.58,57.69,57.58,57.6,2630,0
2015-02-03,16:45:00,57.6,57.6,57.6,57.6,600,0
2015-02-03,16:50:00,57.54,57.6,57.47,57.59,2600,0
2015-02-03,16:55:00,57.55,57.56,57.5,57.5,1500,0
2015-02-03,17:00:00,57.5,57.5,57.33,57.38,3100,0
2015-02-03,17:05:00,57.47,57.47,57.43,57.47,700,0
2015-02-03,17:10:00,57.48,57.64,57.48,57.57,2818,0
2015-02-03,17:15:00,57.51,57.59,57.41,57.57,2986,0
2015-02-03,17:20:00,57.54,57.55,57.5,57.52,10102,0
2015-02-03,17:25:00,57.56,57.58,57.56,57.58,500,0
2015-02-03,17:30:00,57.57,57.63,57.57,57.62,1300,0
2015-02-03,17:35:00,57.58,57.62,57.56,57.62,1200,0
2015-02-03,17:40:00,57.63,57.63,57.63,57.63,900,0
2015-02-03,17:45:00,57.63,57.69,57.63,57.69,800,0
2015-02-03,17:50:00,57.7,57.73,57.64,57.68,2500,0
2015-02-03,17:55:00,57.63,57.66,57.59,57.66,4000,0
2015-02-03,18:00:00,57.65,57.7,57.64,57.64,900,0
2015-02-03,18:05:00,57.67,57.67,57.58,57.65,4400,0
2015-02-03,18:10:00,57.64,57.69,57.64,57.64,3900,0
2015-02-03,18:15:00,57.64,57.71,57.64,57.67,1900,0
2015-02-03,18:20:00,57.63,57.67,57.59,57.59,900,0
2015-02-03,18:25:00,57.54,57.55,57.54,57.55,700,0
2015-02-03,18:30:00,57.54,57.65,57.53,57.53,2800,0
2015-02-03,18:35:00,57.57,57.58,57.45,57.58,16906,0
2015-02-03,18:40:00,57.58,57.58,57.52,57.56,2300,0
2015-02-03,18:45:00,57.59,57.7,57.59,57.7,4650,0
2015-02-03,18:50:00,57.69,57.69,57.67,57.67,900,0
2015-02-03,18:55:00,57.71,57.75,57.71,57.75,1200,0
2015-02-03,19:00:00,57.77,57.8,57.69,57.69,1800,0
2015-02-03,19:05:00,57.74,57.77,57.73,57.77,900,0
2015-02-03,19:10:00,57.83,57.84,57.75,57.75,1176,0
2015-02-03,19:15:00,57.76,57.88,57.76,57.88,600,0
2015-02-03,19:20:00,57.88,58.02,57.87,58.02,1500,0
2015-02-03,19:25:00,58.11,58.12,58.06,58.06,500,0
2015-02-03,19:30:00,58.09,58.1,58.06,58.06,1200,0
2015-02-03,19:35:00,58.09,58.12,58.06,58.06,1600,0
2015-02-03,19:40:00,58.07,58.07,58.0,58.0,2425,0
2015-02-03,19:45:00,58.0,58.07,57.97,58.05,4900,0
2015-02-03,19:50:00,58.04,58.12,58.04,58.06,1800,0
2015-02-03,19:55:00,58.01,58.15,58.0,58.14,4000,0
2015-02-03,20:00:00,58.12,58.14,58.06,58.09,1500,0
2015-02-03,20:05:00,58.1,58.11,58.0,58.01,3300,0
2015-02-03,20:10:00,58.03,58.07,57.9,58.02,4316,0
2015-02-03,20:15:00,58.05,58.11,58.02,58.07,6662,0
2015-02-03,20:20:00,58.08,58.18,58.08,58.16,4498,0
2015-02-03,20:25:00,58.16,58.17,58.09,58.12,5200,0
2015-02-03,20:30:00,58.11,58.11,58.0,58.02,3700,0
2015-02-03,20:35:00,58.02,58.07,57.93,58.03,4500,0
2015-02-03,20:40:00,58.03,58.03,57.97,58.02,2613,0
2015-02-03,20:45:00,58.02,58.09,58.02,58.05,2500,0
2015-02-03,20:50:00,58.06,58.06,57.94,58.03,2100,0
2015-02-03,20:55:00,58.03,58.09,57.99,58.09,4382,0
2015-02-03,21:00:00,58.03,58.04,58.03,58.04,1788,0
2015-02-03,21:05:00,58.04,58.07,58.03,58.07,700,0
2015-02-03,21:10:00,58.06,58.08,58.0,58.01,3630,0
2015-02-03,21:15:00,58.01,58.03,57.96,58.02,1300,0
2015-02-03,21:20:00,58.03,58.03,58.03,58.03,300,0
2015-02-03,21:25:00,58.04,58.06,58.0,58.06,2400,0
2015-02-03,21:30:00,58.04,58.09,58.04,58.04,2500,0
2015-02-03,21:35:00,58.05,58.05,57.98,57.98,2700,0
2015-02-03,21:40:00,57.94,58.02,57.94,58.0,2800,0
2015-02-03,21:45:00,57.99,58.02,57.98,57.98,2800,0
2015-02-03,21:50:00,58.02,58.09,57.97,58.0,11200,0
2015-02-03,21:55:00,58.03,58.07,58.0,58.06,6983,0
2015-02-03,22:00:00,58.08,58.12,58.06,58.08,114349,0
2015-02-04,15:35:00,57.72,57.72,57.72,57.72,500,0
2015-02-04,15:40:00,57.69,57.76,57.54,57.66,3300,0
2015-02-04,15:45:00,57.75,57.76,57.58,57.58,1100,0
2015-02-04,15:50:00,57.61,57.7,57.54,57.67,6232,0
2015-02-04,15:55:00,57.68,57.73,57.53,57.53,3000,0
2015-02-04,16:00:00,57.52,57.58,57.51,57.58,1195,0
2015-02-04,16:05:00,57.46,57.77,57.46,57.52,5200,0
2015-02-04,16:10:00,57.53,57.63,57.49,57.63,5640,0
2015-02-04,16:15:00,57.59,57.59,57.49,57.49,8598,0
2015-02-04,16:20:00,57.43,57.54,57.43,57.48,4769,0
2015-02-04,16:25:00,57.45,57.52,57.45,57.48,5052,0
2015-02-04,16:30:00,57.47,57.52,57.42,57.47,5600,0
2015-02-04,16:35:00,57.49,57.56,57.44,57.49,8100,0
2015-02-04,16:40:00,57.49,57.49,57.37,57.43,3241,0
2015-02-04,16:45:00,57.48,57.51,57.43,57.49,5028,0
2015-02-04,16:50:00,57.58,57.62,57.56,57.6,2300,0
2015-02-04,16:55:00,57.62,57.64,57.55,57.6,2150,0
2015-02-04,17:00:00,57.53,57.59,57.46,57.46,2400,0
2015-02-04,17:05:00,57.49,57.6,57.48,57.58,3000,0
2015-02-04,17:10:00,57.59,57.59,57.51,57.51,1195,0
2015-02-04,17:15:00,57.44,57.51,57.42,57.51,1300,0
2015-02-04,17:20:00,57.59,57.6,57.54,57.54,900,0
2015-02-04,17:25:00,57.55,57.61,57.52,57.57,4075,0
2015-02-04,17:30:00,57.57,57.62,57.57,57.62,1400,0
2015-02-04,17:35:00,57.59,57.67,57.58,57.64,3200,0
2015-02-04,17:40:00,57.61,57.65,57.58,57.59,2400,0
2015-02-04,17:45:00,57.59,57.68,57.58,57.68,3270,0
2015-02-04,17:50:00,57.63,57.69,57.63,57.64,2150,0
2015-02-04,17:55:00,57.63,57.63,57.53,57.56,2800,0
2015-02-04,18:00:00,57.61,57.67,57.61,57.67,600,0
2015-02-04,18:05:00,57.69,57.72,57.62,57.62,2500,0
2015-02-04,18:10:00,57.73,57.73,57.73,57.73,300,0
2015-02-04,18:15:00,57.7,57.71,57.66,57.7,750,0
2015-02-04,18:20:00,57.69,57.71,57.66,57.68,1000,0
2015-02-04,18:30:00,57.67,57.67,57.59,57.6,500,0
2015-02-04,18:35:00,57.65,57.65,57.65,57.65,200,0
2015-02-04,18:40:00,57.66,57.66,57.56,57.56,1100,0
2015-02-04,18:45:00,57.54,57.54,57.46,57.46,1500,0
