Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-01-29,20:50:00,50.88,50.89,50.88,50.89,1000,0
2015-01-29,20:55:00,50.89,50.89,50.89,50.89,100,0
2015-01-29,21:00:00,50.84,50.88,50.79,50.88,1202,0
2015-01-29,21:05:00,50.92,50.96,50.84,50.84,3400,0
2015-01-29,21:15:00,51.06,51.06,51.06,51.06,300,0
2015-01-29,21:20:00,51.05,51.05,51.05,51.05,300,0
2015-01-29,21:25:00,51.04,51.17,51.01,51.17,3000,0
2015-01-29,21:30:00,51.18,51.18,51.18,51.18,100,0
2015-01-29,21:35:00,51.19,51.32,51.15,51.15,2600,0
2015-01-29,21:40:00,51.14,51.21,51.14,51.16,300,0
2015-01-29,21:45:00,51.23,51.33,51.2,51.26,2058,0
2015-01-29,21:50:00,51.26,51.36,51.13,51.19,6516,0
2015-01-29,21:55:00,51.18,51.32,51.04,51.29,13301,0
2015-01-29,22:00:00,51.3,51.3,51.09,51.2,46255,0
2015-01-30,15:35:00,50.8,50.8,50.78,50.78,103995,0
2015-01-30,15:40:00,50.78,50.78,50.61,50.61,1200,0
2015-01-30,15:50:00,50.74,50.88,50.74,50.88,1200,0
2015-01-30,15:55:00,50.71,50.77,50.64,50.64,1550,0
2015-01-30,16:00:00,50.56,50.65,50.56,50.65,800,0
2015-01-30,16:05:00,50.63,50.74,50.46,50.74,1300,0
2015-01-30,16:10:00,50.77,50.77,50.6,50.6,1700,0
2015-01-30,16:20:00,50.54,50.54,50.53,50.53,1000,0
2015-01-30,16:25:00,50.48,50.61,50.48,50.55,600,0
2015-01-30,16:30:00,50.48,50.62,50.48,50.62,1300,0
2015-01-30,16:35:00,50.46,50.46,50.46,50.46,500,0
2015-01-30,16:40:00,50.45,50.45,50.45,50.45,100,0
2015-01-30,16:45:00,50.22,50.4,50.22,50.32,1700,0
2015-01-30,16:55:00,50.45,50.47,50.43,50.47,3500,0
2015-01-30,17:00:00,50.42,50.44,50.34,50.42,5990,0
2015-01-30,17:05:00,50.47,50.47,50.47,50.47,100,0
2015-01-30,17:10:00,50.4,50.49,50.4,50.49,3096,0
2015-01-30,17:15:00,50.34,50.34,50.3,50.3,800,0
2015-01-30,17:20:00,50.33,50.33,50.33,50.33,400,0
2015-01-30,17:25:00,50.32,50.32,50.18,50.18,1200,0
2015-01-30,17:35:00,50.32,50.32,50.27,50.27,1540,0
2015-01-30,17:40:00,50.31,50.31,50.31,50.31,700,0
2015-01-30,17:45:00,50.24,50.25,50.22,50.25,1100,0
2015-01-30,17:50:00,50.26,50.31,50.26,50.31,1100,0
2015-01-30,17:55:00,50.28,50.42,50.28,50.42,1890,0
2015-01-30,18:05:00,50.53,50.71,50.5,50.71,1700,0
2015-01-30,18:10:00,50.72,50.82,50.71,50.79,2400,0
2015-01-30,18:15:00,50.74,50.83,50.74,50.78,1600,0
2015-01-30,18:20:00,50.92,50.92,50.92,50.92,200,0
2015-01-30,18:25:00,50.86,50.97,50.85,50.97,6700,0
2015-01-30,18:30:00,50.88,50.88,50.88,50.88,200,0
2015-01-30,18:35:00,50.8,50.91,50.8,50.91,566,0
2015-01-30,18:40:00,50.94,50.94,50.94,50.94,200,0
2015-01-30,18:45:00,50.94,50.94,50.84,50.84,400,0
2015-01-30,18:50:00,50.79,50.79,50.76,50.76,1700,0
2015-01-30,18:55:00,50.78,50.78,50.71,50.71,1100,0
2015-01-30,19:00:00,50.69,50.69,50.66,50.66,1100,0
2015-01-30,19:10:00,50.6,50.6,50.59,50.59,500,0
2015-01-30,19:15:00,50.59,50.59,50.55,50.57,1300,0
2015-01-30,19:20:00,50.52,50.52,50.52,50.52,100,0
2015-01-30,19:25:00,50.45,50.45,50.41,50.41,800,0
2015-01-30,19:35:00,50.46,50.56,50.34,50.45,6000,0
2015-01-30,19:40:00,50.46,50.53,50.46,50.49,6442,0
2015-01-30,19:45:00,50.49,50.49,50.44,50.44,1700,0
2015-01-30,20:00:00,50.45,50.45,50.45,50.45,400,0
2015-01-30,20:05:00,50.44,50.48,50.44,50.48,1476,0
2015-01-30,20:15:00,50.35,50.4,50.34,50.35,1100,0
2015-01-30,20:20:00,50.41,50.41,50.41,50.41,200,0
2015-01-30,20:25:00,50.53,50.53,50.53,50.53,200,0
2015-01-30,20:30:00,50.55,50.55,50.45,50.45,600,0
2015-01-30,20:35:00,50.5,50.58,50.5,50.55,948,0
2015-01-30,20:40:00,50.59,50.59,50.47,50.47,1600,0
2015-01-30,20:45:00,50.46,50.46,50.42,50.42,1600,0
2015-01-30,20:50:00,50.41,50.45,50.31,50.31,1800,0
2015-01-30,20:55:00,50.35,50.36,50.25,50.36,9582,0
2015-01-30,21:00:00,50.26,50.27,50.21,50.21,2200,0
2015-01-30,21:05:00,50.28,50.28,50.15,50.15,1300,0
2015-01-30,21:10:00,50.09,50.09,50.0,50.0,800,0
2015-01-30,21:15:00,50.09,50.09,50.09,50.09,1400,0
2015-01-30,21:20:00,50.11,50.18,49.94,49.95,4576,0
2015-01-30,21:25:00,49.89,49.92,49.79,49.91,2300,0
