Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-02-03,16:50:00,52.68,52.73,52.61,52.67,26147,0
2015-02-03,16:55:00,52.68,52.68,52.61,52.61,39952,0
2015-02-03,17:00:00,52.62,52.66,52.58,52.58,40071,0
2015-02-03,17:05:00,52.58,52.73,52.58,52.71,19344,0
2015-02-03,17:10:00,52.71,52.77,52.7,52.75,23808,0
2015-02-03,17:15:00,52.75,52.84,52.73,52.83,28365,0
2015-02-03,17:20:00,52.84,52.91,52.81,52.88,27479,0
2015-02-03,17:25:00,52.89,52.89,52.71,52.78,27087,0
2015-02-03,17:30:00,52.8,52.84,52.75,52.75,26984,0
2015-02-03,17:35:00,52.76,52.89,52.71,52.87,17536,0
2015-02-03,17:40:00,52.85,53.05,52.84,53.04,27106,0
2015-02-03,17:45:00,53.02,53.08,52.99,53.06,22829,0
2015-02-03,17:50:00,53.06,53.16,53.05,53.14,35365,0
2015-02-03,17:55:00,53.14,53.14,52.96,53.0,76193,0
2015-02-03,18:00:00,52.99,53.02,52.98,53.02,11346,0
2015-02-03,18:05:00,53.02,53.03,52.91,52.97,19493,0
2015-02-03,18:10:00,52.97,53.01,52.92,52.98,30110,0
2015-02-03,18:15:00,52.99,53.01,52.96,53.0,29648,0
2015-02-03,18:20:00,53.01,53.01,52.93,52.93,26394,0
2015-02-03,18:25:00,52.94,52.94,52.9,52.92,17494,0
2015-02-03,18:30:00,52.93,52.95,52.92,52.93,10730,0
2015-02-03,18:35:00,52.93,52.93,52.89,52.91,16605,0
2015-02-03,18:40:00,52.92,52.97,52.91,52.97,16116,0
2015-02-03,18:45:00,52.97,52.99,52.96,52.97,17341,0
2015-02-03,18:50:00,52.98,52.99,52.93,52.97,13916,0
2015-02-03,18:55:00,52.98,52.99,52.94,52.95,14467,0
2015-02-03,19:00:00,52.96,52.98,52.95,52.96,14220,0
2015-02-03,19:05:00,52.97,52.98,52.96,52.96,11014,0
2015-02-03,19:10:00,52.96,52.97,52.96,52.97,9536,0
2015-02-03,19:15:00,52.97,53.01,52.94,52.99,35070,0
2015-02-03,19:20:00,52.99,53.04,52.99,53.04,9975,0
2015-02-03,19:25:00,53.03,53.04,52.98,52.99,20263,0
2015-02-03,19:30:00,53.0,53.01,52.99,52.99,12478,0
2015-02-03,19:35:00,53.0,53.05,53.0,53.03,15860,0
2015-02-03,19:40:00,53.04,53.07,52.98,52.99,14821,0
2015-02-03,19:45:00,52.99,53.0,52.94,52.94,11338,0
2015-02-03,19:50:00,52.93,52.98,52.92,52.96,12996,0
2015-02-03,19:55:00,52.96,53.05,52.95,53.04,19625,0
2015-02-03,20:00:00,53.05,53.05,52.97,52.98,20364,0
2015-02-03,20:05:00,52.99,53.0,52.89,52.89,38395,0
2015-02-03,20:10:00,52.89,52.95,52.88,52.93,17750,0
2015-02-03,20:15:00,52.91,52.91,52.84,52.87,20569,0
2015-02-03,20:20:00,52.87,52.92,52.85,52.88,13751,0
2015-02-03,20:25:00,52.88,52.92,52.87,52.89,22378,0
2015-02-03,20:30:00,52.89,52.89,52.87,52.88,12634,0
2015-02-03,20:35:00,52.89,52.89,52.78,52.85,40531,0
2015-02-03,20:40:00,52.86,52.89,52.85,52.88,15675,0
2015-02-03,20:45:00,52.88,52.88,52.81,52.84,24726,0
2015-02-03,20:50:00,52.83,52.85,52.79,52.85,19321,0
2015-02-03,20:55:00,52.85,52.89,52.85,52.88,22518,0
2015-02-03,21:00:00,52.88,52.9,52.86,52.88,23657,0
2015-02-03,21:05:00,52.88,52.93,52.88,52.91,34395,0
2015-02-03,21:10:00,52.91,52.91,52.86,52.9,25257,0
2015-02-03,21:15:00,52.9,52.99,52.89,52.99,29890,0
2015-02-03,21:20:00,52.99,53.03,52.98,53.01,23350,0
2015-02-03,21:25:00,53.01,53.1,53.01,53.09,39058,0
2015-02-03,21:30:00,53.1,53.1,53.06,53.06,18748,0
2015-02-03,21:35:00,53.06,53.09,53.0,53.0,59271,0
2015-02-03,21:40:00,53.0,53.11,53.0,53.11,32602,0
2015-02-03,21:45:00,53.1,53.22,53.1,53.21,41303,0
2015-02-03,21:50:00,53.22,53.31,53.2,53.21,62269,0
2015-02-03,21:55:00,53.21,53.3,53.21,53.25,63571,0
2015-02-03,22:00:00,53.25,53.36,53.25,53.3,834950,0
2015-02-04,15:35:00,53.06,53.13,52.7,52.74,174384,0
2015-02-04,15:40:00,52.79,52.84,52.56,52.56,69772,0
2015-02-04,15:45:00,52.56,52.63,52.39,52.39,53304,0
2015-02-04,15:50:00,52.39,52.58,52.36,52.51,91725,0
2015-02-04,15:55:00,52.53,52.63,52.44,52.46,28202,0
2015-02-04,16:00:00,52.46,52.49,52.28,52.36,53084,0
2015-02-04,16:05:00,52.34,52.49,52.33,52.43,25662,0
2015-02-04,16:10:00,52.44,52.58,52.4,52.52,33490,0
2015-02-04,16:15:00,52.52,52.61,52.44,52.53,38864,0
2015-02-04,16:20:00,52.54,52.64,52.52,52.57,34993,0
2015-02-04,16:25:00,52.59,52.62,52.55,52.6,23018,0
2015-02-04,16:30:00,52.6,52.66,52.57,52.64,42448,0
2015-02-04,16:35:00,52.64,52.74,52.63,52.65,30057,0
2015-02-04,16:40:00,52.64,52.79,52.63,52.76,23455,0
2015-02-04,16:45:00,52.76,52.76,52.69,52.7,32378,0
2015-02-04,16:50:00,52.71,52.75,52.68,52.72,27192,0
2015-02-04,16:55:00,52.72,52.75,52.66,52.67,27654,0
2015-02-04,17:00:00,52.67,52.67,52.56,52.57,28828,0
2015-02-04,17:05:00,52.56,52.68,52.54,52.67,25828,0
2015-02-04,17:10:00,52.66,52.72,52.64,52.72,44649,0
2015-02-04,17:15:00,52.72,52.74,52.69,52.7,39062,0
2015-02-04,17:20:00,52.7,52.7,52.61,52.62,21720,0
2015-02-04,17:25:00,52.61,52.71,52.61,52.68,13905,0
2015-02-04,17:30:00,52.67,52.72,52.64,52.72,14908,0
2015-02-04,17:35:00,52.72,52.74,52.71,52.72,28774,0
2015-02-04,17:40:00,52.72,52.76,52.67,52.67,19511,0
2015-02-04,17:45:00,52.68,52.68,52.64,52.67,21383,0
2015-02-04,17:50:00,52.67,52.73,52.66,52.67,18076,0
2015-02-04,17:55:00,52.68,52.69,52.65,52.66,16105,0
2015-02-04,18:00:00,52.66,52.7,52.66,52.67,19369,0
2015-02-04,18:05:00,52.67,52.69,52.62,52.66,28413,0
2015-02-04,18:10:00,52.66,52.66,52.61,52.62,31132,0
2015-02-04,18:15:00,52.62,52.65,52.6,52.65,19770,0
2015-02-04,18:20:00,52.65,52.75,52.63,52.74,16306,0
2015-02-04,18:25:00,52.74,52.77,52.73,52.74,28140,0
2015-02-04,18:30:00,52.75,52.75,52.65,52.7,21404,0
2015-02-04,18:35:00,52.69,52.73,52.67,52.72,9239,0
2015-02-04,18:40:00,52.72,52.73,52.68,52.68,12053,0
2015-02-04,18:45:00,52.69,52.71,52.67,52.67,20694,0
2015-02-04,18:50:00,52.66,52.69,52.63,52.65,24475,0
2015-02-04,18:55:00,52.65,52.67,52.62,52.66,13700,0
2015-02-04,19:00:00,52.67,52.68,52.65,52.68,18932,0
2015-02-04,19:05:00,52.69,52.69,52.64,52.64,10836,0
2015-02-04,19:10:00,52.64,52.7,52.6,52.69,23907,0
2015-02-04,19:15:00,52.7,52.7,52.67,52.69,11314,0
2015-02-04,19:20:00,52.68,52.71,52.68,52.69,9533,0
2015-02-04,19:25:00,52.69,52.72,52.67,52.7,16750,0
2015-02-04,19:30:00,52.72,52.77,52.72,52.76,18890,0
2015-02-04,19:35:00,52.76,52.76,52.73,52.74,16537,0
2015-02-04,19:40:00,52.74,52.75,52.73,52.74,10700,0
2015-02-04,19:45:00,52.74,52.76,52.72,52.76,16880,0
2015-02-04,19:50:00,52.76,52.78,52.74,52.78,20611,0
2015-02-04,19:55:00,52.78,52.82,52.78,52.81,18637,0
2015-02-04,20:00:00,52.81,52.81,52.77,52.79,16213,0
2015-02-04,20:05:00,52.79,52.8,52.75,52.76,32364,0
2015-02-04,20:10:00,52.76,52.76,52.71,52.72,20823,0
2015-02-04,20:15:00,52.73,52.73,52.69,52.7,16686,0
2015-02-04,20:20:00,52.71,52.76,52.71,52.76,14978,0
2015-02-04,20:25:00,52.75,52.82,52.75,52.79,21712,0
2015-02-04,20:30:00,52.79,52.81,52.77,52.79,20551,0
2015-02-04,20:35:00,52.8,52.83,52.76,52.78,21321,0
2015-02-04,20:40:00,52.78,52.79,52.75,52.79,24510,0
2015-02-04,20:45:00,52.77,52.81,52.77,52.8,12692,0
