Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-02-03,16:50:00,55.19,55.25,55.07,55.25,38912,0
2015-02-03,16:55:00,55.23,55.26,55.13,55.24,23361,0
2015-02-03,17:00:00,55.28,55.4,55.15,55.16,16645,0
2015-02-03,17:05:00,55.14,55.19,54.8,54.8,20700,0
2015-02-03,17:10:00,54.8,55.06,54.8,55.03,12548,0
2015-02-03,17:15:00,55.01,55.02,54.84,54.85,13540,0
2015-02-03,17:20:00,54.88,55.08,54.82,55.06,17345,0
2015-02-03,17:25:00,55.05,55.15,54.93,55.13,16364,0
2015-02-03,17:30:00,55.14,55.19,55.0,55.09,23236,0
2015-02-03,17:35:00,55.1,55.22,55.09,55.17,14248,0
2015-02-03,17:40:00,55.17,55.2,54.89,54.92,16787,0
2015-02-03,17:45:00,54.92,55.22,54.88,55.07,17296,0
2015-02-03,17:50:00,55.09,55.1,54.86,55.04,11200,0
2015-02-03,17:55:00,55.06,55.2,55.04,55.04,15050,0
2015-02-03,18:00:00,55.06,55.17,55.03,55.09,17652,0
2015-02-03,18:05:00,55.03,55.11,55.01,55.06,21841,0
2015-02-03,18:10:00,55.07,55.1,54.93,55.05,12600,0
2015-02-03,18:15:00,55.05,55.22,55.05,55.13,11050,0
2015-02-03,18:20:00,55.14,55.28,55.14,55.25,16144,0
2015-02-03,18:25:00,55.25,55.38,55.16,55.16,11750,0
2015-02-03,18:30:00,55.2,55.35,55.13,55.27,12192,0
2015-02-03,18:35:00,55.24,55.24,55.07,55.19,21125,0
2015-02-03,18:40:00,55.19,55.21,55.0,55.15,20964,0
2015-02-03,18:45:00,55.15,55.35,55.13,55.35,18699,0
2015-02-03,18:50:00,55.34,55.47,55.34,55.39,18305,0
2015-02-03,18:55:00,55.39,55.49,55.26,55.47,19082,0
2015-02-03,19:00:00,55.45,55.72,55.45,55.46,26278,0
2015-02-03,19:05:00,55.42,55.45,55.3,55.4,17911,0
2015-02-03,19:10:00,55.38,55.53,55.38,55.49,16555,0
2015-02-03,19:15:00,55.47,55.75,55.47,55.69,17650,0
2015-02-03,19:20:00,55.69,55.7,55.54,55.54,13240,0
2015-02-03,19:25:00,55.51,55.71,55.51,55.71,17784,0
2015-02-03,19:30:00,55.72,55.85,55.62,55.83,27050,0
2015-02-03,19:35:00,55.88,55.88,55.63,55.63,22280,0
2015-02-03,19:40:00,55.63,55.7,55.58,55.6,25050,0
2015-02-03,19:45:00,55.63,55.93,55.62,55.88,22300,0
2015-02-03,19:50:00,55.87,55.96,55.81,55.92,18612,0
2015-02-03,19:55:00,55.93,55.99,55.74,55.88,23973,0
2015-02-03,20:00:00,55.91,55.94,55.86,55.91,18600,0
2015-02-03,20:05:00,55.91,56.07,55.9,56.02,25139,0
2015-02-03,20:10:00,56.03,56.19,56.0,56.13,52788,0
2015-02-03,20:15:00,56.11,56.18,55.95,56.02,29451,0
2015-02-03,20:20:00,56.02,56.11,55.79,55.82,21054,0
2015-02-03,20:25:00,55.75,55.8,55.5,55.58,45697,0
2015-02-03,20:30:00,55.53,55.59,55.45,55.53,19734,0
2015-02-03,20:35:00,55.55,55.57,55.29,55.31,25878,0
2015-02-03,20:40:00,55.33,55.54,55.23,55.53,32494,0
2015-02-03,20:45:00,55.53,55.65,55.49,55.65,37334,0
2015-02-03,20:50:00,55.64,55.68,55.57,55.59,20325,0
2015-02-03,20:55:00,55.58,55.61,55.5,55.51,43240,0
2015-02-03,21:00:00,55.5,55.62,55.47,55.59,26076,0
2015-02-03,21:05:00,55.59,55.7,55.59,55.69,26465,0
