Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-01-30,21:50:00,8.43,8.43,8.41,8.43,11486,0
2015-01-30,21:55:00,8.43,8.44,8.42,8.43,13619,0
2015-01-30,22:00:00,8.42,8.43,8.42,8.43,338439,0
2015-02-02,15:35:00,8.43,8.51,8.41,8.45,10570,0
2015-02-02,15:40:00,8.41,8.48,8.4,8.41,7607,0
2015-02-02,15:45:00,8.4,8.41,8.3,8.31,8700,0
2015-02-02,15:50:00,8.31,8.35,8.25,8.28,11250,0
2015-02-02,15:55:00,8.29,8.3,8.2,8.22,10705,0
2015-02-02,16:00:00,8.24,8.28,8.18,8.18,10650,0
2015-02-02,16:05:00,8.21,8.25,8.07,8.1,13661,0
2015-02-02,16:10:00,8.07,8.1,8.0,8.06,10100,0
2015-02-02,16:15:00,8.03,8.05,8.0,8.0,7000,0
2015-02-02,16:20:00,8.02,8.2,8.02,8.18,14350,0
2015-02-02,16:25:00,8.17,8.18,8.09,8.13,12000,0
2015-02-02,16:30:00,8.11,8.13,8.08,8.09,5544,0
2015-02-02,16:35:00,8.09,8.11,8.07,8.08,1000,0
2015-02-02,16:40:00,8.08,8.12,8.06,8.12,7761,0
2015-02-02,16:45:00,8.08,8.09,8.03,8.04,6700,0
2015-02-02,16:50:00,8.03,8.07,8.02,8.05,3750,0
2015-02-02,16:55:00,8.03,8.12,8.03,8.05,5900,0
2015-02-02,17:00:00,8.04,8.04,8.02,8.03,1400,0
2015-02-02,17:05:00,8.04,8.1,8.03,8.07,5500,0
2015-02-02,17:10:00,8.09,8.12,8.08,8.09,2500,0
2015-02-02,17:15:00,8.09,8.16,8.09,8.12,6300,0
2015-02-02,17:20:00,8.12,8.12,8.08,8.08,2100,0
2015-02-02,17:25:00,8.09,8.09,8.04,8.07,4100,0
2015-02-02,17:30:00,8.07,8.09,8.05,8.05,5200,0
2015-02-02,17:35:00,8.09,8.13,8.06,8.12,10600,0
2015-02-02,17:40:00,8.09,8.14,8.07,8.14,6275,0
2015-02-02,17:45:00,8.12,8.12,8.09,8.11,1000,0
2015-02-02,17:50:00,8.11,8.15,8.1,8.12,6982,0
2015-02-02,17:55:00,8.11,8.13,8.11,8.12,878,0
2015-02-02,18:00:00,8.13,8.15,8.13,8.14,8170,0
2015-02-02,18:05:00,8.14,8.14,8.14,8.14,1100,0
2015-02-02,18:10:00,8.14,8.14,8.09,8.09,9099,0
2015-02-02,18:15:00,8.11,8.13,8.11,8.13,1250,0
2015-02-02,18:20:00,8.12,8.14,8.11,8.14,300,0
2015-02-02,18:25:00,8.14,8.15,8.13,8.15,2022,0
2015-02-02,18:30:00,8.15,8.2,8.15,8.2,4222,0
2015-02-02,18:35:00,8.2,8.22,8.19,8.21,3800,0
2015-02-02,18:40:00,8.21,8.22,8.21,8.21,1500,0
2015-02-02,18:45:00,8.22,8.22,8.22,8.22,500,0
2015-02-02,18:50:00,8.22,8.22,8.19,8.2,1900,0
2015-02-02,18:55:00,8.19,8.22,8.19,8.22,2300,0
2015-02-02,19:00:00,8.22,8.25,8.22,8.23,1800,0
2015-02-02,19:05:00,8.22,8.22,8.21,8.22,600,0
2015-02-02,19:10:00,8.22,8.24,8.22,8.24,1200,0
2015-02-02,19:15:00,8.24,8.24,8.23,8.23,1400,0
2015-02-02,19:20:00,8.23,8.23,8.21,8.21,1134,0
2015-02-02,19:25:00,8.22,8.27,8.22,8.26,4650,0
2015-02-02,19:30:00,8.27,8.28,8.24,8.25,4150,0
2015-02-02,19:35:00,8.25,8.25,8.2,8.24,5900,0
2015-02-02,19:40:00,8.23,8.23,8.16,8.17,5300,0
2015-02-02,19:45:00,8.17,8.18,8.16,8.16,4700,0
2015-02-02,19:50:00,8.16,8.19,8.16,8.19,1100,0
2015-02-02,19:55:00,8.18,8.21,8.18,8.18,3200,0
2015-02-02,20:00:00,8.18,8.18,8.16,8.16,500,0
2015-02-02,20:05:00,8.17,8.21,8.17,8.19,2500,0
2015-02-02,20:10:00,8.19,8.22,8.19,8.2,2600,0
2015-02-02,20:15:00,8.2,8.21,8.17,8.21,3799,0
2015-02-02,20:20:00,8.2,8.22,8.2,8.22,1480,0
2015-02-02,20:25:00,8.22,8.24,8.22,8.24,2300,0
2015-02-02,20:30:00,8.24,8.25,8.23,8.23,15217,0
2015-02-02,20:35:00,8.24,8.24,8.22,8.22,4500,0
2015-02-02,20:40:00,8.23,8.23,8.2,8.2,2300,0
2015-02-02,20:45:00,8.19,8.21,8.19,8.2,6032,0
2015-02-02,20:50:00,8.2,8.2,8.18,8.19,3600,0
2015-02-02,20:55:00,8.19,8.2,8.19,8.2,2950,0
2015-02-02,21:00:00,8.2,8.2,8.19,8.2,1000,0
2015-02-02,21:05:00,8.2,8.2,8.2,8.2,800,0
2015-02-02,21:10:00,8.2,8.2,8.19,8.2,5585,0
