Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-02-02,21:15:00,20.34,20.34,20.33,20.33,2677,0
2015-02-02,21:20:00,20.344,20.344,20.334,20.334,4764,0
2015-02-02,21:25:00,20.334,20.344,20.334,20.344,3031,0
2015-02-02,21:30:00,20.334,20.354,20.334,20.334,9756,0
2015-02-02,21:35:00,20.334,20.334,20.294,20.294,22247,0
2015-02-02,21:40:00,20.294,20.334,20.294,20.324,9522,0
2015-02-02,21:45:00,20.314,20.334,20.314,20.314,2844,0
2015-02-02,21:50:00,20.324,20.324,20.304,20.304,6588,0
2015-02-02,21:55:00,20.304,20.324,20.304,20.304,7667,0
2015-02-02,22:00:00,20.304,20.334,20.304,20.334,10561,0
2015-02-03,15:35:00,20.344,20.384,20.344,20.384,1660,0
2015-02-03,15:40:00,20.374,20.384,20.374,20.384,5038,0
2015-02-03,15:45:00,20.374,20.374,20.374,20.374,605,0
2015-02-03,15:50:00,20.364,20.374,20.354,20.374,4182,0
2015-02-03,15:55:00,20.374,20.374,20.364,20.364,13094,0
2015-02-03,16:00:00,20.374,20.374,20.364,20.364,16016,0
2015-02-03,16:05:00,20.374,20.374,20.354,20.354,16065,0
2015-02-03,16:10:00,20.374,20.394,20.364,20.374,12420,0
2015-02-03,16:15:00,20.374,20.374,20.344,20.344,8282,0
2015-02-03,16:20:00,20.344,20.364,20.344,20.364,1647,0
2015-02-03,16:25:00,20.364,20.384,20.354,20.384,6855,0
2015-02-03,16:30:00,20.384,20.384,20.384,20.384,1512,0
2015-02-03,16:35:00,20.384,20.384,20.364,20.384,11791,0
2015-02-03,16:40:00,20.394,20.394,20.394,20.394,1398,0
2015-02-03,16:45:00,20.394,20.394,20.354,20.354,10491,0
2015-02-03,16:50:00,20.354,20.374,20.344,20.344,5933,0
2015-02-03,16:55:00,20.344,20.364,20.344,20.364,6802,0
2015-02-03,17:00:00,20.364,20.374,20.344,20.354,12226,0
2015-02-03,17:05:00,20.344,20.364,20.334,20.334,10244,0
2015-02-03,17:10:00,20.324,20.344,20.304,20.324,8677,0
2015-02-03,17:15:00,20.304,20.324,20.304,20.304,4698,0
2015-02-03,17:20:00,20.314,20.314,20.294,20.294,4319,0
2015-02-03,17:25:00,20.294,20.314,20.294,20.314,1814,0
2015-02-03,17:30:00,20.294,20.314,20.294,20.304,7594,0
2015-02-03,17:35:00,20.314,20.314,20.304,20.314,2609,0
2015-02-03,17:40:00,20.304,20.334,20.304,20.314,7799,0
2015-02-03,17:45:00,20.324,20.324,20.294,20.314,3166,0
2015-02-03,17:50:00,20.314,20.314,20.294,20.314,12531,0
2015-02-03,17:55:00,20.314,20.314,20.294,20.314,2197,0
2015-02-03,18:00:00,20.314,20.314,20.294,20.314,983,0
2015-02-03,18:05:00,20.314,20.314,20.304,20.314,1533,0
2015-02-03,18:10:00,20.304,20.314,20.304,20.314,12143,0
2015-02-03,18:15:00,20.314,20.314,20.304,20.304,4439,0
2015-02-03,18:20:00,20.304,20.304,20.294,20.304,2046,0
2015-02-03,18:25:00,20.304,20.304,20.294,20.304,3089,0
2015-02-03,18:30:00,20.304,20.314,20.304,20.314,5974,0
2015-02-03,18:35:00,20.314,20.344,20.314,20.344,5278,0
2015-02-03,18:40:00,20.344,20.344,20.334,20.344,4073,0
2015-02-03,18:45:00,20.344,20.344,20.334,20.344,2899,0
2015-02-03,18:50:00,20.344,20.354,20.344,20.354,7174,0
2015-02-03,18:55:00,20.354,20.354,20.344,20.354,4031,0
2015-02-03,19:00:00,20.354,20.364,20.344,20.364,7058,0
2015-02-03,19:05:00,20.364,20.364,20.354,20.364,3025,0
2015-02-03,19:10:00,20.374,20.384,20.374,20.384,6841,0
2015-02-03,19:15:00,20.384,20.394,20.354,20.374,10138,0
2015-02-03,19:20:00,20.374,20.374,20.354,20.374,3228,0
2015-02-03,19:25:00,20.354,20.374,20.354,20.374,3279,0
2015-02-03,19:30:00,20.364,20.384,20.354,20.374,5057,0
2015-02-03,19:35:00,20.384,20.394,20.374,20.394,9781,0
2015-02-03,19:40:00,20.394,20.403,20.394,20.403,9915,0
2015-02-03,19:45:00,20.394,20.413,20.384,20.413,18954,0
2015-02-03,19:50:00,20.423,20.453,20.423,20.453,9500,0
2015-02-03,19:55:00,20.443,20.453,20.443,20.453,13560,0
2015-02-03,20:00:00,20.453,20.463,20.453,20.463,3265,0
2015-02-03,20:05:00,20.453,20.483,20.453,20.483,8847,0
2015-02-03,20:10:00,20.483,20.503,20.483,20.503,9571,0
2015-02-03,20:15:00,20.503,20.523,20.493,20.493,15548,0
2015-02-03,20:20:00,20.473,20.503,20.473,20.503,3386,0
2015-02-03,20:25:00,20.483,20.523,20.483,20.503,15455,0
2015-02-03,20:30:00,20.523,20.523,20.503,20.513,14181,0
2015-02-03,20:35:00,20.513,20.523,20.513,20.523,5848,0
2015-02-03,20:40:00,20.523,20.523,20.503,20.513,7341,0
2015-02-03,20:45:00,20.513,20.513,20.503,20.513,11995,0
2015-02-03,20:50:00,20.503,20.532,20.503,20.523,47579,0
2015-02-03,20:55:00,20.523,20.532,20.523,20.532,8357,0
2015-02-03,21:00:00,20.523,20.532,20.523,20.532,11443,0
2015-02-03,21:05:00,20.532,20.542,20.523,20.542,10285,0
2015-02-03,21:10:00,20.542,20.552,20.542,20.542,17841,0
2015-02-03,21:15:00,20.542,20.542,20.513,20.523,9368,0
2015-02-03,21:20:00,20.523,20.523,20.493,20.493,4957,0
2015-02-03,21:25:00,20.493,20.523,20.483,20.513,9059,0
2015-02-03,21:30:00,20.503,20.503,20.503,20.503,303,0
2015-02-03,21:35:00,20.503,20.503,20.473,20.493,4225,0
2015-02-03,21:40:00,20.493,20.493,20.473,20.483,12142,0
2015-02-03,21:45:00,20.473,20.493,20.473,20.483,2776,0
2015-02-03,21:50:00,20.493,20.503,20.493,20.503,1515,0
2015-02-03,21:55:00,20.493,20.493,20.483,20.483,4441,0
2015-02-03,22:00:00,20.483,20.483,20.463,20.483,20548,0
2015-02-04,15:35:00,20.503,20.503,20.483,20.483,1236,0
2015-02-04,15:40:00,20.463,20.503,20.463,20.493,2302,0
2015-02-04,15:45:00,20.493,20.493,20.403,20.453,15409,0
