Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-02-03,16:50:00,96.41,96.46,96.27,96.39,63089,0
2015-02-03,16:55:00,96.37,96.49,96.35,96.45,55562,0
2015-02-03,17:00:00,96.45,96.46,96.3,96.34,106300,0
2015-02-03,17:05:00,96.32,96.54,96.32,96.47,90971,0
2015-02-03,17:10:00,96.46,96.46,96.34,96.43,95277,0
2015-02-03,17:15:00,96.44,96.47,96.31,96.4,73621,0
2015-02-03,17:20:00,96.4,96.46,96.36,96.4,74434,0
2015-02-03,17:25:00,96.41,96.47,96.2,96.23,73024,0
2015-02-03,17:30:00,96.24,96.32,96.1,96.1,49708,0
2015-02-03,17:35:00,96.09,96.1,95.91,95.92,53819,0
2015-02-03,17:40:00,95.91,96.15,95.86,96.1,70852,0
2015-02-03,17:45:00,96.11,96.24,96.09,96.21,60124,0
2015-02-03,17:50:00,96.21,96.24,96.03,96.03,50698,0
2015-02-03,17:55:00,96.02,96.03,95.9,95.93,72121,0
2015-02-03,18:00:00,95.95,95.95,95.82,95.88,62052,0
2015-02-03,18:05:00,95.88,95.91,95.78,95.86,65745,0
2015-02-03,18:10:00,95.87,95.98,95.87,95.92,52490,0
2015-02-03,18:15:00,95.91,96.01,95.9,95.98,47491,0
2015-02-03,18:20:00,95.98,95.99,95.92,95.92,34157,0
2015-02-03,18:25:00,95.93,95.96,95.78,95.82,55312,0
2015-02-03,18:30:00,95.81,95.88,95.79,95.82,48055,0
2015-02-03,18:35:00,95.81,95.81,95.7,95.73,42170,0
2015-02-03,18:40:00,95.71,95.8,95.66,95.7,51333,0
2015-02-03,18:45:00,95.71,95.82,95.7,95.8,38149,0
2015-02-03,18:50:00,95.81,95.86,95.72,95.75,34444,0
2015-02-03,18:55:00,95.75,95.78,95.64,95.66,44528,0
2015-02-03,19:00:00,95.67,95.75,95.61,95.65,39366,0
2015-02-03,19:05:00,95.66,95.67,95.58,95.61,29953,0
2015-02-03,19:10:00,95.61,95.7,95.61,95.69,38965,0
2015-02-03,19:15:00,95.69,95.9,95.64,95.87,59581,0
2015-02-03,19:20:00,95.87,95.87,95.78,95.81,29166,0
2015-02-03,19:25:00,95.82,95.97,95.82,95.92,67000,0
2015-02-03,19:30:00,95.92,95.98,95.89,95.93,27505,0
2015-02-03,19:35:00,95.94,96.03,95.91,95.96,32483,0
