Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-02-02,21:35:00,7.21,7.22,7.20,7.22,17681,0
2015-02-02,21:40:00,7.2113,7.2205,7.1745,7.2113,16584,0
2015-02-02,21:45:00,7.2113,7.2297,7.2113,7.2205,8854,0
2015-02-02,21:50:00,7.2297,7.2481,7.2113,7.2297,9743,0
2015-02-02,21:55:00,7.2205,7.2297,7.2113,7.2205,20028,0
2015-02-02,22:00:00,7.2297,7.2573,7.2205,7.2573,55338,0
2015-02-03,15:35:00,7.432,7.432,7.2205,7.3952,35820,0
2015-02-03,15:40:00,7.3676,7.4596,7.3676,7.4412,12834,0
2015-02-03,15:45:00,7.4596,7.478,7.4136,7.4228,19599,0
2015-02-03,15:50:00,7.4412,7.4596,7.432,7.4504,21226,0
2015-02-03,15:55:00,7.4596,7.4964,7.4596,7.478,24584,0
2015-02-03,16:00:00,7.4872,7.4964,7.4504,7.4688,13608,0
2015-02-03,16:05:00,7.4688,7.478,7.4596,7.4596,10887,0
2015-02-03,16:10:00,7.4596,7.4688,7.432,7.4412,13434,0
2015-02-03,16:15:00,7.4412,7.4596,7.432,7.432,18461,0
2015-02-03,16:20:00,7.432,7.4596,7.4228,7.4228,10191,0
2015-02-03,16:25:00,7.4504,7.4504,7.294,7.294,15563,0
2015-02-03,16:30:00,7.3676,7.3768,7.2849,7.3032,21494,0
2015-02-03,16:35:00,7.294,7.3768,7.294,7.3584,7939,0
2015-02-03,16:40:00,7.3584,7.386,7.3584,7.386,10353,0
2015-02-03,16:45:00,7.3676,7.3768,7.3676,7.3768,763,0
2015-02-03,16:50:00,7.3584,7.3584,7.3124,7.3216,7308,0
2015-02-03,16:55:00,7.3124,7.3216,7.2849,7.3216,13922,0
2015-02-03,17:00:00,7.3032,7.3308,7.2757,7.3308,11157,0
2015-02-03,17:05:00,7.3216,7.3308,7.3032,7.3032,8037,0
2015-02-03,17:10:00,7.3032,7.3032,7.2757,7.294,5856,0
2015-02-03,17:15:00,7.294,7.294,7.2849,7.2849,3269,0
2015-02-03,17:20:00,7.2849,7.294,7.2665,7.294,15726,0
2015-02-03,17:25:00,7.2849,7.3032,7.2757,7.3032,10117,0
2015-02-03,17:30:00,7.3032,7.3032,7.3032,7.3032,762,0
2015-02-03,17:35:00,7.294,7.3124,7.2665,7.2665,15759,0
2015-02-03,17:40:00,7.2665,7.2665,7.1837,7.1837,25170,0
2015-02-03,17:45:00,7.1745,7.2205,7.1653,7.2021,24500,0
2015-02-03,17:50:00,7.2113,7.2113,7.2021,7.2113,11149,0
2015-02-03,17:55:00,7.2205,7.2665,7.2205,7.2573,11973,0
2015-02-03,18:00:00,7.2389,7.2481,7.2297,7.2389,4136,0
2015-02-03,18:05:00,7.2389,7.2481,7.2205,7.2389,24448,0
2015-02-03,18:10:00,7.2389,7.2481,7.2297,7.2297,979,0
2015-02-03,18:15:00,7.2297,7.2297,7.2021,7.2113,14543,0
2015-02-03,18:20:00,7.2205,7.2297,7.1929,7.2205,4460,0
2015-02-03,18:25:00,7.2113,7.2205,7.2113,7.2113,3105,0
2015-02-03,18:30:00,7.2113,7.2113,7.1837,7.2113,7773,0
2015-02-03,18:35:00,7.2113,7.2113,7.2113,7.2113,3230,0
2015-02-03,18:40:00,7.2205,7.2297,7.2205,7.2297,2176,0
2015-02-03,18:45:00,7.2205,7.2297,7.2205,7.2205,6859,0
2015-02-03,18:50:00,7.2205,7.2297,7.2113,7.2205,3374,0
2015-02-03,18:55:00,7.2113,7.2389,7.1929,7.2297,9243,0
2015-02-03,19:00:00,7.2297,7.2573,7.2297,7.2573,3344,0
2015-02-03,19:05:00,7.2481,7.2665,7.2297,7.2573,4680,0
2015-02-03,19:10:00,7.2573,7.2757,7.2481,7.2665,11958,0
2015-02-03,19:15:00,7.2481,7.2481,7.2481,7.2481,327,0
2015-02-03,19:20:00,7.2481,7.2481,7.2297,7.2297,3563,0
2015-02-03,19:25:00,7.2297,7.2573,7.2205,7.2573,4160,0
2015-02-03,19:30:00,7.2665,7.2665,7.2297,7.2297,9463,0
2015-02-03,19:35:00,7.2573,7.2757,7.2573,7.2757,1543,0
2015-02-03,19:40:00,7.2757,7.2849,7.2573,7.2665,6961,0
2015-02-03,19:45:00,7.2573,7.2573,7.2297,7.2297,7660,0
2015-02-03,19:50:00,7.2297,7.2481,7.2297,7.2297,4026,0
2015-02-03,19:55:00,7.2481,7.2481,7.2481,7.2481,2393,0
2015-02-03,20:00:00,7.2481,7.2481,7.2481,7.2481,1090,0
2015-02-03,20:05:00,7.2481,7.2481,7.2389,7.2481,8783,0
2015-02-03,20:10:00,7.2573,7.2573,7.2205,7.2205,6724,0
2015-02-03,20:15:00,7.2205,7.2205,7.2205,7.2205,4349,0
2015-02-03,20:20:00,7.2205,7.2389,7.2205,7.2389,1741,0
2015-02-03,20:25:00,7.2297,7.2297,7.2113,7.2205,4566,0
2015-02-03,20:30:00,7.2021,7.2021,7.1745,7.1745,6106,0
2015-02-03,20:35:00,7.1837,7.2573,7.1837,7.2389,22828,0
2015-02-03,20:40:00,7.2113,7.2113,7.2021,7.2021,218,0
2015-02-03,20:45:00,7.2113,7.2113,7.2021,7.2113,872,0
2015-02-03,20:50:00,7.2113,7.2297,7.2021,7.2297,9864,0
2015-02-03,20:55:00,7.2021,7.2297,7.2021,7.2021,2668,0
2015-02-03,21:00:00,7.2113,7.2481,7.2021,7.2481,14192,0
2015-02-03,21:05:00,7.2481,7.2665,7.2389,7.2573,7669,0
2015-02-03,21:10:00,7.2665,7.2665,7.2573,7.2573,1645,0
2015-02-03,21:15:00,7.2389,7.2665,7.2389,7.2573,6528,0
2015-02-03,21:20:00,7.2573,7.2849,7.2573,7.2757,5699,0
2015-02-03,21:25:00,7.2757,7.2849,7.2481,7.2481,9182,0
2015-02-03,21:30:00,7.2481,7.2573,7.2389,7.2389,20090,0
2015-02-03,21:35:00,7.2389,7.2481,7.1929,7.1929,9168,0
2015-02-03,21:40:00,7.2205,7.2205,7.2021,7.2113,5194,0
2015-02-03,21:45:00,7.2113,7.2757,7.2113,7.2113,24538,0
2015-02-03,21:50:00,7.2113,7.2389,7.1929,7.2205,11116,0
2015-02-03,21:55:00,7.2205,7.2297,7.1929,7.2205,19657,0
2015-02-03,22:00:00,7.2297,7.2665,7.2205,7.2665,29007,0
2015-02-04,15:35:00,7.3308,7.3308,7.2665,7.2757,63003,0
2015-02-04,15:40:00,7.2665,7.2849,7.0917,7.1929,39478,0
2015-02-04,15:45:00,7.1929,7.2481,7.1837,7.2481,7462,0
2015-02-04,15:50:00,7.2205,7.2205,7.1837,7.1837,3376,0
2015-02-04,15:55:00,7.1929,7.2113,7.1377,7.2113,16922,0
2015-02-04,16:00:00,7.1745,7.2021,7.1745,7.2021,2069,0
2015-02-04,16:05:00,7.1929,7.2573,7.1929,7.2573,14922,0
2015-02-04,16:10:00,7.2665,7.2665,7.2297,7.2389,4894,0
2015-02-04,16:15:00,7.2297,7.2665,7.2205,7.2665,5648,0
2015-02-04,16:20:00,7.2389,7.2665,7.2389,7.2389,3045,0
2015-02-04,16:25:00,7.2573,7.2665,7.2573,7.2665,2503,0
2015-02-04,16:30:00,7.2665,7.2757,7.2481,7.2481,12589,0
2015-02-04,16:35:00,7.2481,7.2481,7.2205,7.2389,7568,0
2015-02-04,16:40:00,7.2297,7.2297,7.2205,7.2297,31284,0
2015-02-04,16:45:00,7.2205,7.2297,7.2021,7.2297,18617,0
2015-02-04,16:50:00,7.2297,7.2297,7.2297,7.2297,1917,0
2015-02-04,16:55:00,7.2389,7.2389,7.2113,7.2113,1878,0
2015-02-04,17:00:00,7.2021,7.2297,7.1745,7.1837,6754,0
2015-02-04,17:05:00,7.1837,7.1929,7.1653,7.1653,1633,0
2015-02-04,17:10:00,7.1653,7.1837,7.1561,7.1653,952,0
2015-02-04,17:15:00,7.1837,7.1837,7.1745,7.1837,1974,0
2015-02-04,17:20:00,7.1745,7.1745,7.1561,7.1561,1089,0
2015-02-04,17:25:00,7.1653,7.1653,7.1653,7.1653,980,0
2015-02-04,17:30:00,7.1561,7.1561,7.1561,7.1561,1088,0
2015-02-04,17:35:00,7.1561,7.1561,7.1561,7.1561,327,0
2015-02-04,17:40:00,7.1653,7.1653,7.1561,7.1653,5331,0
2015-02-04,17:45:00,7.1653,7.1745,7.1561,7.1745,3083,0
2015-02-04,17:50:00,7.1561,7.1745,7.1469,7.1745,3749,0
2015-02-04,17:55:00,7.1745,7.1745,7.1469,7.1469,5867,0
2015-02-04,18:00:00,7.1377,7.1469,7.1377,7.1377,1525,0
2015-02-04,18:05:00,7.1377,7.1561,7.1377,7.1561,327,0
2015-02-04,18:10:00,7.1469,7.1653,7.1469,7.1469,3590,0
2015-02-04,18:15:00,7.1285,7.1469,7.1285,7.1469,1849,0
2015-02-04,18:20:00,7.1377,7.1377,7.1377,7.1377,870,0
2015-02-04,18:25:00,7.1377,7.1469,7.1285,7.1469,5962,0
2015-02-04,18:30:00,7.1377,7.1377,7.1193,7.1193,4916,0
2015-02-04,18:35:00,7.1193,7.1285,7.1193,7.1285,2643,0
2015-02-04,18:40:00,7.1469,7.1469,7.1469,7.1469,3262,0
2015-02-04,18:45:00,7.1377,7.1469,7.1193,7.1285,6637,0
2015-02-04,18:50:00,7.1377,7.1377,7.1377,7.1377,653,0
2015-02-04,18:55:00,7.1377,7.1469,7.1377,7.1469,4024,0
2015-02-04,19:00:00,7.1285,7.1285,7.1285,7.1285,327,0
2015-02-04,19:10:00,7.1469,7.1469,7.1377,7.1377,6939,0
2015-02-04,19:15:00,7.1285,7.1377,7.1285,7.1377,2719,0
2015-02-04,19:20:00,7.1193,7.1285,7.1193,7.1285,2069,0
2015-02-04,19:25:00,7.1193,7.1377,7.1193,7.1377,5329,0
2015-02-04,19:30:00,7.1377,7.1377,7.1193,7.1285,15656,0
2015-02-04,19:35:00,7.1285,7.1285,7.1101,7.1193,10882,0
2015-02-04,19:40:00,7.1285,7.1285,7.1285,7.1285,1304,0
2015-02-04,19:45:00,7.1285,7.1285,7.1101,7.1101,1849,0
2015-02-04,19:50:00,7.1101,7.1193,7.1101,7.1101,6472,0
2015-02-04,19:55:00,7.1193,7.1193,7.1009,7.1101,5952,0
2015-02-04,20:00:00,7.1009,7.1009,7.0549,7.0549,24308,0
2015-02-04,20:05:00,7.0733,7.0733,7.0733,7.0733,651,0
2015-02-04,20:10:00,7.0641,7.0917,7.0641,7.0733,15320,0
2015-02-04,20:15:00,7.0733,7.0733,7.0549,7.0549,981,0
2015-02-04,20:20:00,7.0549,7.0641,7.0549,7.0641,2053,0
2015-02-04,20:25:00,7.0549,7.0825,7.0549,7.0733,6035,0
2015-02-04,20:30:00,7.0825,7.0825,7.0733,7.0825,1850,0
2015-02-04,20:35:00,7.0825,7.0825,7.0549,7.0549,2283,0
2015-02-04,20:40:00,7.0641,7.1009,7.0549,7.1009,5656,0
2015-02-04,20:45:00,7.1009,7.1377,7.0641,7.0641,6404,0
2015-02-04,20:50:00,7.0549,7.0917,7.0549,7.0917,2957,0
2015-02-04,20:55:00,7.0641,7.0641,7.0641,7.0641,1198,0
2015-02-04,21:00:00,7.0825,7.0917,7.0549,7.0917,6632,0
2015-02-04,21:05:00,7.0641,7.0641,7.0641,7.0641,652,0
2015-02-04,21:10:00,7.0641,7.1009,7.0549,7.1009,12994,0
2015-02-04,21:15:00,7.0733,7.0917,7.0641,7.0641,2285,0
2015-02-04,21:20:00,7.0733,7.0825,7.0641,7.0641,12541,0
2015-02-04,21:25:00,7.0825,7.0825,7.0641,7.0641,3917,0
2015-02-04,21:30:00,7.0641,7.0917,7.0549,7.0641,11648,0
2015-02-04,21:35:00,7.0733,7.0917,7.0457,7.0825,10434,0
2015-02-04,21:40:00,7.0825,7.0825,7.0733,7.0825,7753,0
2015-02-04,21:45:00,7.0641,7.0733,7.0549,7.0549,8134,0
2015-02-04,21:50:00,7.0733,7.0825,7.0641,7.0733,2343,0
2015-02-04,21:55:00,7.0641,7.0825,7.0641,7.0825,4891,0
2015-02-04,22:00:00,7.0825,7.1377,7.0825,7.1377,21114,0
2015-02-05,15:35:00,7.2573,7.3032,7.2021,7.2297,16973,0
2015-02-05,15:40:00,7.2297,7.2389,7.1929,7.2021,14894,0
2015-02-05,15:45:00,7.2021,7.2297,7.2021,7.2297,1931,0
2015-02-05,15:50:00,7.2297,7.2573,7.2113,7.2481,9274,0
2015-02-05,15:55:00,7.2481,7.3124,7.2481,7.3124,15882,0
2015-02-05,16:00:00,7.3032,7.3032,7.294,7.294,6088,0
2015-02-05,16:05:00,7.2757,7.294,7.2665,7.2665,7557,0
2015-02-05,16:10:00,7.2665,7.3124,7.2665,7.3124,9081,0
2015-02-05,16:15:00,7.3124,7.3216,7.3032,7.3124,13543,0
2015-02-05,16:20:00,7.3124,7.3492,7.3124,7.3492,30532,0
2015-02-05,16:25:00,7.3308,7.3952,7.3308,7.3952,29964,0
2015-02-05,16:30:00,7.3952,7.3952,7.3584,7.3676,4906,0
2015-02-05,16:35:00,7.3584,7.3952,7.3584,7.3768,9156,0
2015-02-05,16:40:00,7.386,7.386,7.3676,7.3676,2662,0
2015-02-05,16:45:00,7.3584,7.386,7.3584,7.3768,1740,0
2015-02-05,16:50:00,7.3584,7.386,7.34,7.3676,13052,0
2015-02-05,16:55:00,7.386,7.4228,7.386,7.4136,27773,0
2015-02-05,17:00:00,7.4228,7.4412,7.4044,7.4412,20769,0
2015-02-05,17:05:00,7.4228,7.4412,7.4228,7.432,1447,0
2015-02-05,17:10:00,7.4412,7.4504,7.4228,7.432,9355,0
2015-02-05,17:15:00,7.432,7.4412,7.4228,7.4228,18237,0
2015-02-05,17:20:00,7.4412,7.4412,7.4044,7.4044,5704,0
2015-02-05,17:25:00,7.3952,7.3952,7.386,7.386,3481,0
2015-02-05,17:30:00,7.386,7.3952,7.3768,7.386,17420,0
2015-02-05,17:35:00,7.3952,7.4228,7.3952,7.4228,3220,0
2015-02-05,17:40:00,7.432,7.4412,7.4228,7.4412,27704,0
2015-02-05,17:50:00,7.4228,7.432,7.4044,7.4044,2319,0
2015-02-05,17:55:00,7.4136,7.4136,7.3952,7.3952,4134,0
2015-02-05,18:00:00,7.3952,7.4044,7.386,7.386,1775,0
2015-02-05,18:05:00,7.4044,7.4044,7.3584,7.3584,6887,0
2015-02-05,18:10:00,7.3584,7.3768,7.3492,7.3492,6962,0
2015-02-05,18:15:00,7.3492,7.386,7.34,7.386,11832,0
2015-02-05,18:20:00,7.386,7.386,7.3768,7.3768,5224,0
2015-02-05,18:25:00,7.3952,7.3952,7.386,7.3952,2284,0
2015-02-05,18:30:00,7.3952,7.3952,7.386,7.3952,5545,0
2015-02-05,18:35:00,7.3952,7.3952,7.3768,7.3952,3808,0
2015-02-05,18:40:00,7.3676,7.3768,7.3676,7.3768,1199,0
2015-02-05,18:45:00,7.3676,7.3768,7.3676,7.3768,654,0
2015-02-05,18:50:00,7.3768,7.3768,7.3768,7.3768,1523,0
2015-02-05,18:55:00,7.3676,7.3676,7.3676,7.3676,6962,0
2015-02-05,19:00:00,7.3676,7.3676,7.3492,7.3492,7408,0
2015-02-05,19:05:00,7.34,7.34,7.2757,7.294,22754,0
2015-02-05,19:10:00,7.2849,7.3032,7.2849,7.3032,6091,0
2015-02-05,19:15:00,7.3216,7.3308,7.3124,7.3216,4270,0
2015-02-05,19:20:00,7.3308,7.3308,7.294,7.294,2936,0
2015-02-05,19:25:00,7.3032,7.3032,7.2665,7.2665,8566,0
2015-02-05,19:30:00,7.2665,7.2757,7.2665,7.2757,2503,0
2015-02-05,19:35:00,7.294,7.294,7.294,7.294,272,0
2015-02-05,19:40:00,7.294,7.294,7.2757,7.2757,2148,0
2015-02-05,19:45:00,7.2849,7.3032,7.2757,7.3032,9136,0
2015-02-05,19:50:00,7.3032,7.3032,7.294,7.294,3917,0
2015-02-05,19:55:00,7.3032,7.3032,7.2849,7.2849,3206,0
2015-02-05,20:00:00,7.2849,7.2849,7.2389,7.2665,42523,0
2015-02-05,20:05:00,7.2757,7.2757,7.2389,7.2389,4894,0
2015-02-05,20:10:00,7.2481,7.2481,7.2481,7.2481,268,0
2015-02-05,20:15:00,7.2389,7.2389,7.2389,7.2389,2828,0
2015-02-05,20:20:00,7.2481,7.2573,7.2481,7.2573,4295,0
2015-02-05,20:25:00,7.2481,7.2665,7.2481,7.2665,1089,0
2015-02-05,20:30:00,7.2573,7.2573,7.2481,7.2573,2175,0
2015-02-05,20:35:00,7.2665,7.2757,7.2389,7.2389,3703,0
2015-02-05,20:40:00,7.2481,7.2481,7.2389,7.2389,871,0
2015-02-05,20:45:00,7.2389,7.2481,7.2297,7.2389,8049,0
2015-02-05,20:50:00,7.2481,7.2481,7.2481,7.2481,870,0
2015-02-05,20:55:00,7.2481,7.2757,7.2481,7.2757,6636,0
2015-02-05,21:00:00,7.2757,7.294,7.2665,7.2849,4395,0
2015-02-05,21:05:00,7.294,7.294,7.2849,7.2849,1582,0
2015-02-05,21:10:00,7.2757,7.2849,7.2757,7.2757,7389,0
2015-02-05,21:15:00,7.2757,7.34,7.2757,7.294,7849,0
2015-02-05,21:20:00,7.3124,7.3216,7.3032,7.3124,6105,0
2015-02-05,21:25:00,7.3124,7.3216,7.3124,7.3216,545,0
2015-02-05,21:30:00,7.3216,7.3216,7.3032,7.3032,6634,0
2015-02-05,21:35:00,7.3032,7.3032,7.294,7.3032,1852,0
2015-02-05,21:40:00,7.3032,7.3216,7.3032,7.3216,4048,0
2015-02-05,21:45:00,7.3216,7.3308,7.3216,7.3308,5335,0
2015-02-05,21:50:00,7.34,7.34,7.34,7.34,1523,0
2015-02-05,21:55:00,7.3216,7.3308,7.3124,7.3124,9188,0
2015-02-05,22:00:00,7.3124,7.3216,7.2849,7.3216,30345,0
2015-02-06,15:35:00,7.3768,7.4412,7.3768,7.386,38626,0
2015-02-06,15:40:00,7.4044,7.4044,7.3676,7.3676,7667,0
2015-02-06,15:45:00,7.3952,7.4044,7.3584,7.386,13922,0
2015-02-06,15:50:00,7.3952,7.3952,7.3584,7.3584,61372,0
2015-02-06,15:55:00,7.3584,7.3584,7.34,7.3584,9023,0
2015-02-06,16:00:00,7.3492,7.3492,7.3216,7.3216,17887,0
2015-02-06,16:05:00,7.3216,7.3492,7.3216,7.3492,13242,0
2015-02-06,16:10:00,7.3492,7.3492,7.34,7.34,5703,0
2015-02-06,16:15:00,7.34,7.3768,7.34,7.3768,17197,0
2015-02-06,16:20:00,7.3768,7.4136,7.3768,7.4136,13309,0
2015-02-06,16:25:00,7.4044,7.4044,7.3952,7.4044,3339,0
2015-02-06,16:30:00,7.4044,7.4044,7.4044,7.4044,511,0
2015-02-06,16:35:00,7.3952,7.3952,7.386,7.386,2480,0
2015-02-06,16:40:00,7.3952,7.3952,7.386,7.386,3154,0
2015-02-06,16:45:00,7.386,7.3952,7.3676,7.3676,4296,0
2015-02-06,16:50:00,7.3768,7.386,7.3768,7.386,6875,0
2015-02-06,16:55:00,7.386,7.386,7.3676,7.3676,3521,0
2015-02-06,17:00:00,7.3768,7.3768,7.3676,7.3676,5491,0
2015-02-06,17:05:00,7.3768,7.3768,7.3584,7.3676,20571,0
2015-02-06,17:10:00,7.3584,7.3584,7.3492,7.3584,29160,0
2015-02-06,17:15:00,7.3584,7.3584,7.3308,7.34,11517,0
2015-02-06,17:20:00,7.3492,7.3492,7.3308,7.3492,3534,0
2015-02-06,17:25:00,7.3308,7.3492,7.3308,7.3492,16730,0
