Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-01-27,19:40:00,13.63,13.64,13.63,13.64,1700,0
2015-01-27,19:50:00,13.64,13.64,13.61,13.61,200,0
2015-01-27,20:00:00,13.64,13.64,13.64,13.64,100,0
2015-01-27,20:05:00,13.64,13.64,13.64,13.64,1200,0
2015-01-27,20:30:00,13.68,13.68,13.68,13.68,100,0
2015-01-27,20:40:00,13.62,13.65,13.58,13.65,2000,0
2015-01-27,21:05:00,13.7,13.7,13.7,13.7,200,0
2015-01-27,21:10:00,13.59,13.59,13.59,13.59,200,0
2015-01-27,21:15:00,13.62,13.64,13.62,13.64,600,0
2015-01-27,21:30:00,13.59,13.59,13.58,13.58,400,0
2015-01-27,21:40:00,13.59,13.59,13.52,13.52,1900,0
2015-01-27,21:45:00,13.6,13.6,13.6,13.6,600,0
2015-01-27,21:50:00,13.65,13.66,13.56,13.56,2178,0
2015-01-27,21:55:00,13.53,13.65,13.53,13.57,1300,0
2015-01-27,22:00:00,13.58,13.58,13.51,13.51,2933,0
2015-01-28,15:35:00,13.69,13.69,13.67,13.67,700,0
2015-01-28,15:40:00,13.54,13.65,13.54,13.65,10300,0
2015-01-28,15:50:00,13.74,13.74,13.74,13.74,200,0
2015-01-28,15:55:00,13.75,13.75,13.68,13.68,996,0
2015-01-28,16:00:00,13.73,13.73,13.73,13.73,100,0
2015-01-28,16:05:00,13.73,13.76,13.73,13.76,1700,0
2015-01-28,16:10:00,13.75,13.75,13.55,13.6,6625,0
2015-01-28,16:20:00,13.59,13.59,13.59,13.59,100,0
2015-01-28,16:25:00,13.68,13.71,13.68,13.68,700,0
2015-01-28,16:30:00,13.68,13.68,13.68,13.68,200,0
2015-01-28,16:35:00,13.68,13.68,13.52,13.55,7075,0
2015-01-28,16:45:00,13.56,13.64,13.5,13.59,6200,0
2015-01-28,16:50:00,13.52,13.6,13.5,13.59,8842,0
2015-01-28,16:55:00,13.52,13.6,13.5,13.51,9600,0
2015-01-28,17:00:00,13.61,13.61,13.5,13.5,600,0
2015-01-28,17:05:00,13.61,13.62,13.61,13.62,400,0
2015-01-28,17:10:00,13.57,13.62,13.57,13.57,1900,0
2015-01-28,17:15:00,13.6,13.6,13.6,13.6,500,0
2015-01-28,17:20:00,13.57,13.57,13.57,13.57,100,0
2015-01-28,17:25:00,13.53,13.54,13.52,13.52,600,0
2015-01-28,17:30:00,13.58,13.63,13.58,13.58,400,0
2015-01-28,17:35:00,13.58,13.63,13.58,13.62,1400,0
2015-01-28,17:40:00,13.6,13.6,13.6,13.6,900,0
2015-01-28,17:55:00,13.58,13.6,13.56,13.58,1000,0
2015-01-28,18:00:00,13.55,13.59,13.55,13.59,500,0
2015-01-28,18:05:00,13.6,13.6,13.56,13.56,200,0
2015-01-28,18:10:00,13.55,13.59,13.55,13.59,2000,0
2015-01-28,18:15:00,13.59,13.59,13.55,13.55,400,0
2015-01-28,18:20:00,13.57,13.57,13.57,13.57,100,0
2015-01-28,18:35:00,13.57,13.59,13.57,13.59,600,0
2015-01-28,18:40:00,13.57,13.58,13.52,13.57,800,0
2015-01-28,19:10:00,13.6,13.6,13.55,13.55,400,0
2015-01-28,19:20:00,13.6,13.6,13.6,13.6,200,0
2015-01-28,19:25:00,13.6,13.6,13.6,13.6,1061,0
2015-01-28,19:30:00,13.6,13.6,13.59,13.6,300,0
2015-01-28,19:35:00,13.6,13.6,13.6,13.6,300,0
2015-01-28,19:40:00,13.6,13.6,13.6,13.6,200,0
2015-01-28,19:45:00,13.6,13.6,13.6,13.6,200,0
2015-01-28,19:50:00,13.6,13.6,13.59,13.59,400,0
2015-01-28,20:00:00,13.6,13.6,13.59,13.6,400,0
2015-01-28,20:05:00,13.6,13.6,13.59,13.59,500,0
2015-01-28,20:10:00,13.59,13.59,13.59,13.59,100,0
2015-01-28,20:15:00,13.6,13.6,13.59,13.59,500,0
2015-01-28,20:25:00,13.6,13.6,13.6,13.6,200,0
2015-01-28,20:30:00,13.6,13.6,13.59,13.59,400,0
2015-01-28,20:35:00,13.6,13.6,13.59,13.59,600,0
2015-01-28,20:40:00,13.6,13.6,13.59,13.59,400,0
2015-01-28,20:45:00,13.6,13.6,13.6,13.6,200,0
2015-01-28,20:50:00,13.57,13.6,13.5,13.5,1700,0
2015-01-28,21:00:00,13.6,13.6,13.56,13.56,1700,0
2015-01-28,21:05:00,13.56,13.6,13.56,13.6,700,0
2015-01-28,21:10:00,13.6,13.6,13.56,13.6,400,0
2015-01-28,21:15:00,13.6,13.6,13.56,13.56,300,0
2015-01-28,21:20:00,13.6,13.6,13.6,13.6,200,0
2015-01-28,21:25:00,13.6,13.6,13.6,13.6,300,0
2015-01-28,21:30:00,13.6,13.6,13.56,13.56,400,0
2015-01-28,21:35:00,13.6,13.6,13.6,13.6,300,0
2015-01-28,21:40:00,13.6,13.6,13.6,13.6,200,0
2015-01-28,21:45:00,13.6,13.6,13.58,13.6,700,0
2015-01-28,21:50:00,13.58,13.6,13.58,13.6,800,0
2015-01-28,21:55:00,13.6,13.6,13.6,13.6,900,0
2015-01-28,22:00:00,13.6,13.6,13.58,13.6,3900,0
2015-01-29,15:55:00,13.5,13.6,13.5,13.55,3400,0
2015-01-29,16:00:00,13.5,13.5,13.5,13.5,100,0
2015-01-29,16:05:00,13.51,13.57,13.5,13.57,1800,0
2015-01-29,16:10:00,13.5,13.5,13.5,13.5,400,0
2015-01-29,16:20:00,13.5,13.59,13.5,13.51,844,0
2015-01-29,16:25:00,13.5,13.55,13.5,13.5,600,0
2015-01-29,16:30:00,13.5,13.59,13.5,13.54,9000,0
2015-01-29,16:35:00,13.5,13.5,13.5,13.5,550,0
2015-01-29,16:40:00,13.5,13.57,13.5,13.5,5200,0
2015-01-29,16:45:00,13.5,13.55,13.5,13.55,400,0
2015-01-29,16:50:00,13.5,13.5,13.5,13.5,700,0
2015-01-29,17:00:00,13.5,13.53,13.5,13.53,200,0
2015-01-29,17:05:00,13.5,13.54,13.5,13.5,9100,0
2015-01-29,17:10:00,13.5,13.52,13.5,13.5,5200,0
2015-01-29,17:15:00,13.5,13.5,13.5,13.5,200,0
2015-01-29,17:20:00,13.5,13.52,13.5,13.52,900,0
2015-01-29,17:25:00,13.5,13.52,13.5,13.52,1200,0
2015-01-29,17:30:00,13.5,13.5,13.5,13.5,100,0
2015-01-29,17:35:00,13.5,13.5,13.5,13.5,100,0
2015-01-29,17:40:00,13.51,13.51,13.51,13.51,1000,0
2015-01-29,17:45:00,13.52,13.52,13.52,13.52,100,0
2015-01-29,17:50:00,13.51,13.51,13.51,13.51,100,0
2015-01-29,17:55:00,13.51,13.52,13.51,13.51,300,0
2015-01-29,18:00:00,13.5,13.52,13.5,13.52,400,0
2015-01-29,18:10:00,13.53,13.53,13.53,13.53,200,0
2015-01-29,18:20:00,13.5,13.54,13.5,13.54,400,0
2015-01-29,18:25:00,13.5,13.5,13.5,13.5,200,0
2015-01-29,18:30:00,13.5,13.52,13.5,13.52,10300,0
2015-01-29,18:35:00,13.5,13.5,13.5,13.5,100,0
2015-01-29,18:40:00,13.51,13.51,13.5,13.5,400,0
2015-01-29,18:55:00,13.5,13.5,13.5,13.5,100,0
2015-01-29,19:00:00,13.5,13.5,13.5,13.5,100,0
2015-01-29,19:05:00,13.5,13.51,13.5,13.51,300,0
2015-01-29,19:10:00,13.5,13.5,13.35,13.35,5056,0
2015-01-29,19:15:00,13.37,13.43,13.37,13.43,200,0
2015-01-29,19:20:00,13.35,13.35,13.35,13.35,100,0
2015-01-29,19:25:00,13.35,13.35,13.28,13.28,450,0
2015-01-29,19:30:00,13.26,13.31,13.26,13.3,800,0
2015-01-29,19:35:00,13.26,13.37,13.25,13.37,29300,0
2015-01-29,19:40:00,13.35,13.35,13.32,13.32,500,0
2015-01-29,19:50:00,13.41,13.47,13.41,13.47,2400,0
2015-01-29,19:55:00,13.47,13.5,13.41,13.45,4100,0
2015-01-29,20:00:00,13.5,13.5,13.5,13.5,500,0
2015-01-29,20:05:00,13.5,13.5,13.46,13.46,1800,0
2015-01-29,20:10:00,13.37,13.37,13.37,13.37,100,0
2015-01-29,20:15:00,13.36,13.48,13.36,13.48,300,0
2015-01-29,20:20:00,13.48,13.48,13.34,13.34,440,0
2015-01-29,20:25:00,13.33,13.33,13.33,13.33,200,0
2015-01-29,20:30:00,13.33,13.33,13.33,13.33,100,0
2015-01-29,20:35:00,13.33,13.42,13.33,13.42,300,0
2015-01-29,20:40:00,13.29,13.29,13.29,13.29,100,0
2015-01-29,20:45:00,13.33,13.34,13.33,13.34,300,0
2015-01-29,20:50:00,13.33,13.43,13.32,13.43,485,0
2015-01-29,20:55:00,13.36,13.44,13.36,13.44,300,0
2015-01-29,21:00:00,13.37,13.37,13.37,13.37,100,0
2015-01-29,21:05:00,13.37,13.44,13.37,13.44,200,0
2015-01-29,21:10:00,13.37,13.37,13.37,13.37,100,0
2015-01-29,21:15:00,13.4,13.4,13.34,13.35,600,0
2015-01-29,21:20:00,13.35,13.41,13.35,13.41,200,0
2015-01-29,21:25:00,13.35,13.42,13.35,13.42,200,0
2015-01-29,21:30:00,13.33,13.33,13.32,13.32,200,0
2015-01-29,21:35:00,13.32,13.42,13.32,13.42,200,0
2015-01-29,21:40:00,13.35,13.35,13.34,13.34,400,0
2015-01-29,21:45:00,13.34,13.43,13.34,13.36,700,0
2015-01-29,21:50:00,13.36,13.46,13.36,13.38,800,0
2015-01-29,21:55:00,13.36,13.38,13.35,13.35,600,0
2015-01-29,22:00:00,13.36,13.42,13.34,13.42,3192,0
2015-01-30,16:05:00,13.42,13.42,13.37,13.37,1550,0
2015-01-30,16:15:00,13.45,13.45,13.45,13.45,100,0
2015-01-30,16:20:00,13.45,13.45,13.45,13.45,100,0
2015-01-30,16:25:00,13.44,13.44,13.38,13.38,300,0
2015-01-30,16:30:00,13.37,13.37,13.37,13.37,273,0
2015-01-30,16:35:00,13.44,13.44,13.44,13.44,100,0
2015-01-30,16:40:00,13.45,13.45,13.45,13.45,100,0
2015-01-30,16:45:00,13.45,13.45,13.45,13.45,100,0
2015-01-30,16:50:00,13.45,13.45,13.45,13.45,400,0
2015-01-30,16:55:00,13.37,13.43,13.32,13.38,2827,0
2015-01-30,17:05:00,13.42,13.42,13.42,13.42,100,0
2015-01-30,17:10:00,13.42,13.42,13.42,13.42,300,0
2015-01-30,17:25:00,13.37,13.37,13.35,13.37,700,0
2015-01-30,17:35:00,13.41,13.41,13.41,13.41,100,0
2015-01-30,17:45:00,13.43,13.43,13.43,13.43,100,0
2015-01-30,17:50:00,13.43,13.43,13.43,13.43,100,0
2015-01-30,17:55:00,13.36,13.41,13.33,13.37,1700,0
2015-01-30,18:10:00,13.42,13.42,13.42,13.42,100,0
2015-01-30,18:20:00,13.42,13.42,13.38,13.38,200,0
2015-01-30,18:25:00,13.43,13.43,13.43,13.43,100,0
2015-01-30,18:35:00,13.43,13.43,13.43,13.43,100,0
2015-01-30,18:45:00,13.43,13.43,13.43,13.43,200,0
2015-01-30,18:55:00,13.43,13.43,13.43,13.43,100,0
2015-01-30,19:05:00,13.43,13.43,13.4,13.4,300,0
2015-01-30,19:15:00,13.43,13.43,13.43,13.43,100,0
2015-01-30,19:25:00,13.43,13.43,13.4,13.43,1450,0
