Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-02-02,20:40:00,24.24,24.28,24.21,24.21,1100,0
2015-02-02,20:45:00,24.16,24.19,24.16,24.16,400,0
2015-02-02,20:50:00,24.17,24.17,24.06,24.08,1700,0
2015-02-02,20:55:00,24.08,24.31,24.08,24.31,2400,0
2015-02-02,21:00:00,24.24,24.24,24.24,24.24,300,0
2015-02-02,21:05:00,24.25,24.3,24.21,24.26,1600,0
2015-02-02,21:10:00,24.22,24.26,24.13,24.19,3000,0
2015-02-02,21:15:00,24.22,24.7,24.19,24.69,8600,0
2015-02-02,21:20:00,24.67,24.72,24.46,24.53,5920,0
2015-02-02,21:25:00,24.5,24.61,24.45,24.61,3380,0
2015-02-02,21:30:00,24.56,24.57,24.46,24.48,1900,0
2015-02-02,21:35:00,24.48,24.52,24.37,24.39,6500,0
2015-02-02,21:40:00,24.39,24.55,24.34,24.55,5700,0
2015-02-02,21:45:00,24.57,24.77,24.55,24.69,9200,0
2015-02-02,21:50:00,24.63,25.0,24.51,24.7,19447,0
2015-02-02,21:55:00,24.7,24.72,24.36,24.36,30360,0
2015-02-02,22:00:00,24.4,24.53,24.0,24.14,98077,0
2015-02-03,15:35:00,24.46,24.46,24.06,24.4,2600,0
2015-02-03,15:50:00,24.57,24.7,24.5,24.7,21500,0
2015-02-03,15:55:00,24.57,24.58,24.5,24.5,2100,0
2015-02-03,16:00:00,24.49,24.62,24.49,24.59,14500,0
2015-02-03,16:05:00,24.53,24.57,24.41,24.41,6400,0
2015-02-03,16:10:00,24.43,24.49,24.43,24.48,4600,0
2015-02-03,16:15:00,24.39,24.46,24.34,24.45,5300,0
2015-02-03,16:20:00,24.39,24.39,24.25,24.26,2700,0
2015-02-03,16:30:00,24.28,24.42,24.28,24.34,600,0
2015-02-03,16:35:00,24.39,24.4,24.36,24.37,2770,0
2015-02-03,16:40:00,24.35,24.42,24.34,24.38,28200,0
2015-02-03,16:45:00,24.4,24.41,24.35,24.37,3600,0
2015-02-03,16:50:00,24.34,24.35,24.25,24.25,1901,0
2015-02-03,16:55:00,24.29,24.32,24.29,24.32,1300,0
2015-02-03,17:00:00,24.3,24.3,24.28,24.3,1000,0
2015-02-03,17:05:00,24.26,24.3,24.26,24.3,700,0
2015-02-03,17:10:00,24.24,24.32,24.24,24.32,1400,0
2015-02-03,17:15:00,24.29,24.3,24.29,24.3,600,0
2015-02-03,17:20:00,24.26,24.36,24.26,24.36,1900,0
2015-02-03,17:25:00,24.33,24.35,24.33,24.35,400,0
2015-02-03,17:30:00,24.33,24.33,24.29,24.31,2398,0
2015-02-03,17:35:00,24.3,24.32,24.3,24.32,700,0
2015-02-03,17:40:00,24.3,24.31,24.3,24.31,400,0
2015-02-03,17:45:00,24.27,24.35,24.27,24.32,3300,0
2015-02-03,17:50:00,24.31,24.31,24.29,24.29,1300,0
2015-02-03,17:55:00,24.21,24.25,24.15,24.15,2900,0
2015-02-03,18:00:00,24.17,24.2,24.15,24.16,1700,0
2015-02-03,18:05:00,24.15,24.15,24.13,24.15,2700,0
2015-02-03,18:10:00,24.17,24.27,24.16,24.27,1827,0
2015-02-03,18:15:00,24.26,24.26,24.18,24.2,1500,0
2015-02-03,18:20:00,24.14,24.2,24.14,24.14,1300,0
2015-02-03,18:25:00,24.18,24.19,24.12,24.12,1455,0
2015-02-03,18:30:00,24.1,24.15,24.09,24.12,3212,0
2015-02-03,18:35:00,24.07,24.11,24.05,24.06,2800,0
2015-02-03,18:40:00,24.05,24.05,24.01,24.03,1200,0
2015-02-03,18:45:00,24.03,24.04,24.03,24.04,900,0
2015-02-03,18:50:00,24.05,24.09,24.05,24.09,1568,0
2015-02-03,18:55:00,24.08,24.09,24.05,24.08,6526,0
2015-02-03,19:00:00,24.06,24.13,24.06,24.13,4390,0
2015-02-03,19:05:00,24.14,24.17,24.14,24.17,10040,0
2015-02-03,19:10:00,24.12,24.12,24.03,24.07,3600,0
2015-02-03,19:15:00,24.01,24.08,24.0,24.03,23900,0
2015-02-03,19:20:00,24.05,24.05,24.04,24.04,900,0
2015-02-03,19:25:00,24.05,24.13,24.05,24.12,1200,0
2015-02-03,19:30:00,24.1,24.1,24.08,24.08,1800,0
2015-02-03,19:35:00,24.09,24.1,24.06,24.1,3866,0
2015-02-03,19:40:00,24.09,24.13,24.08,24.09,1300,0
2015-02-03,19:45:00,24.07,24.07,24.07,24.07,500,0
2015-02-03,19:50:00,24.04,24.07,24.04,24.07,1100,0
2015-02-03,19:55:00,24.06,24.06,24.01,24.06,3200,0
2015-02-03,20:00:00,24.09,24.09,24.03,24.05,721,0
2015-02-03,20:05:00,24.05,24.05,23.96,23.96,3000,0
2015-02-03,20:10:00,23.97,24.04,23.96,24.02,7768,0
2015-02-03,20:15:00,23.96,24.0,23.94,23.99,1400,0
2015-02-03,20:20:00,23.96,23.96,23.89,23.89,3200,0
2015-02-03,20:25:00,23.87,23.9,23.83,23.89,4839,0
2015-02-03,20:30:00,23.83,23.89,23.81,23.84,3795,0
2015-02-03,20:35:00,23.84,23.91,23.8,23.9,6500,0
