Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-02-02,19:20:00,48.27,48.27,48.24,48.24,1612,0
2015-02-02,19:25:00,48.26,48.34,48.26,48.33,1606,0
2015-02-02,19:35:00,48.35,48.36,48.32,48.32,3400,0
2015-02-02,19:40:00,48.22,48.22,48.22,48.22,200,0
2015-02-02,19:45:00,48.27,48.27,48.27,48.27,900,0
2015-02-02,19:50:00,48.27,48.27,48.26,48.26,1000,0
2015-02-02,19:55:00,48.29,48.3,48.22,48.22,1845,0
2015-02-02,20:00:00,48.24,48.24,48.23,48.23,1732,0
2015-02-02,20:05:00,48.22,48.28,48.22,48.28,2843,0
2015-02-02,20:10:00,48.28,48.3,48.28,48.3,1500,0
2015-02-02,20:15:00,48.28,48.31,48.28,48.28,4144,0
2015-02-02,20:20:00,48.29,48.29,48.25,48.28,1855,0
2015-02-02,20:25:00,48.3,48.37,48.3,48.32,3472,0
2015-02-02,20:30:00,48.33,48.39,48.33,48.38,3065,0
2015-02-02,20:35:00,48.37,48.37,48.37,48.37,1688,0
2015-02-02,20:40:00,48.37,48.37,48.36,48.36,1400,0
2015-02-02,20:45:00,48.33,48.41,48.33,48.38,3525,0
2015-02-02,20:50:00,48.36,48.36,48.31,48.31,1400,0
2015-02-02,20:55:00,48.32,48.39,48.31,48.39,2700,0
2015-02-02,21:00:00,48.34,48.34,48.25,48.25,1943,0
2015-02-02,21:05:00,48.25,48.3,48.24,48.25,3161,0
2015-02-02,21:10:00,48.26,48.28,48.23,48.26,4410,0
2015-02-02,21:15:00,48.36,48.36,48.36,48.36,300,0
2015-02-02,21:20:00,48.37,48.39,48.34,48.34,6398,0
2015-02-02,21:25:00,48.39,48.45,48.39,48.4,2400,0
2015-02-02,21:30:00,48.42,48.42,48.4,48.42,1893,0
2015-02-02,21:35:00,48.44,48.46,48.43,48.43,5348,0
2015-02-02,21:40:00,48.43,48.58,48.42,48.55,6777,0
2015-02-02,21:45:00,48.58,48.68,48.58,48.64,7903,0
2015-02-02,21:50:00,48.67,48.71,48.61,48.65,9612,0
2015-02-02,21:55:00,48.66,48.67,48.61,48.65,11045,0
2015-02-02,22:00:00,48.66,48.68,48.64,48.67,26016,0
2015-02-03,15:35:00,49.38,49.4,49.34,49.34,2200,0
2015-02-03,15:40:00,49.35,49.35,49.31,49.33,2600,0
2015-02-03,15:45:00,49.36,49.36,49.34,49.35,1800,0
2015-02-03,15:50:00,49.36,49.39,49.33,49.33,1827,0
2015-02-03,15:55:00,49.39,49.4,49.35,49.4,2100,0
