Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-02-03,16:50:00,159.68,159.83,158.96,159.17,84342,0
2015-02-03,16:55:00,159.1,159.33,158.92,159.12,115010,0
2015-02-03,17:00:00,159.24,159.35,158.79,158.93,47276,0
2015-02-03,17:05:00,158.9,159.09,158.01,158.01,44409,0
2015-02-03,17:10:00,158.05,158.72,157.9,158.66,52499,0
2015-02-03,17:15:00,158.65,159.03,158.37,158.54,62915,0
2015-02-03,17:20:00,158.62,159.04,158.44,158.83,44625,0
2015-02-03,17:25:00,158.88,159.16,158.65,159.03,60417,0
2015-02-03,17:30:00,159.06,159.22,158.62,158.8,68859,0
2015-02-03,17:35:00,158.85,159.19,158.72,159.03,40502,0
2015-02-03,17:40:00,159.03,159.22,158.54,158.66,81149,0
2015-02-03,17:45:00,158.66,159.99,158.66,159.74,59441,0
2015-02-03,17:50:00,159.82,160.14,159.12,159.8,96137,0
2015-02-03,17:55:00,159.79,160.4,159.79,159.92,40717,0
2015-02-03,18:00:00,159.85,160.25,159.67,159.94,36246,0
2015-02-03,18:05:00,159.87,159.93,159.25,159.3,42575,0
2015-02-03,18:10:00,159.28,159.38,158.78,158.86,35461,0
2015-02-03,18:15:00,158.89,159.29,158.62,159.08,30518,0
2015-02-03,18:20:00,158.92,159.87,158.9,159.73,25465,0
2015-02-03,18:25:00,159.86,160.15,159.58,159.58,25290,0
2015-02-03,18:30:00,159.37,159.92,159.27,159.85,28811,0
2015-02-03,18:35:00,159.88,160.05,159.68,159.98,36343,0
2015-02-03,18:40:00,159.92,160.11,159.77,160.0,48376,0
2015-02-03,18:45:00,159.99,160.07,159.82,160.04,46650,0
2015-02-03,18:50:00,160.01,160.13,159.63,159.71,60671,0
2015-02-03,18:55:00,159.99,160.52,159.72,160.4,28634,0
2015-02-03,19:00:00,160.52,160.99,160.44,160.47,31648,0
2015-02-03,19:05:00,160.62,160.73,160.28,160.48,48919,0
2015-02-03,19:10:00,160.48,160.74,160.3,160.73,30241,0
2015-02-03,19:15:00,160.74,161.44,160.56,161.36,40804,0
2015-02-03,19:20:00,161.36,161.36,160.95,160.96,36500,0
2015-02-03,19:25:00,160.93,161.94,160.9,161.6,47238,0
2015-02-03,19:30:00,161.67,161.98,161.6,161.86,38357,0
2015-02-03,19:35:00,161.89,162.18,161.49,161.49,82397,0
2015-02-03,19:40:00,161.52,161.65,160.25,160.25,47112,0
2015-02-03,19:45:00,160.26,161.57,160.26,161.54,77826,0
2015-02-03,19:50:00,161.42,161.83,161.33,161.65,29671,0
2015-02-03,19:55:00,161.67,162.08,161.44,161.92,51661,0
2015-02-03,20:00:00,161.83,162.56,161.74,162.56,31053,0
2015-02-03,20:05:00,162.48,162.83,162.35,162.62,46434,0
2015-02-03,20:10:00,162.59,162.67,161.97,162.16,66812,0
2015-02-03,20:15:00,162.32,162.51,161.76,162.09,49934,0
2015-02-03,20:20:00,161.93,162.49,161.93,162.03,28015,0
2015-02-03,20:25:00,161.97,162.11,161.61,161.69,45179,0
2015-02-03,20:30:00,161.63,161.89,161.32,161.74,71447,0
2015-02-03,20:35:00,161.83,161.92,160.38,160.6,26115,0
2015-02-03,20:40:00,160.57,160.94,160.25,160.94,42512,0
2015-02-03,20:45:00,160.98,161.28,160.8,161.15,45539,0
2015-02-03,20:50:00,161.14,161.15,160.47,160.51,22304,0
2015-02-03,20:55:00,160.55,160.57,160.04,160.2,34771,0
2015-02-03,21:00:00,160.27,160.91,160.18,160.87,22285,0
2015-02-03,21:05:00,160.96,161.23,160.78,161.04,21704,0
2015-02-03,21:10:00,161.07,161.32,160.95,161.26,25704,0
2015-02-03,21:15:00,161.31,161.41,160.78,161.16,26477,0
2015-02-03,21:20:00,161.22,161.31,161.06,161.3,13499,0
2015-02-03,21:25:00,161.29,161.59,161.24,161.56,26734,0
2015-02-03,21:30:00,161.63,161.63,161.03,161.42,26381,0
2015-02-03,21:35:00,161.47,161.75,161.22,161.22,47164,0
2015-02-03,21:40:00,161.26,161.51,161.18,161.42,44498,0
2015-02-03,21:45:00,161.43,161.56,161.33,161.54,44327,0
2015-02-03,21:50:00,161.49,161.64,161.35,161.53,65991,0
2015-02-03,21:55:00,161.46,161.59,161.27,161.27,53695,0
2015-02-03,22:00:00,161.3,161.62,161.22,161.62,380847,0
2015-02-04,15:35:00,159.17,159.17,157.47,158.0,21066,0
2015-02-04,15:40:00,157.9,158.45,157.37,158.28,45358,0
2015-02-04,15:45:00,158.39,159.43,157.53,159.05,48349,0
2015-02-04,15:50:00,158.92,158.92,157.25,157.63,46507,0
2015-02-04,15:55:00,157.63,158.21,157.17,157.98,39643,0
2015-02-04,16:00:00,157.76,158.29,157.15,158.16,35141,0
2015-02-04,16:05:00,158.05,158.87,157.92,158.22,74446,0
2015-02-04,16:10:00,158.22,158.79,157.47,157.47,72261,0
2015-02-04,16:15:00,157.42,158.1,157.2,157.63,34825,0
2015-02-04,16:20:00,157.6,157.68,156.82,157.05,64427,0
2015-02-04,16:25:00,157.02,158.38,157.02,158.29,54833,0
2015-02-04,16:30:00,158.26,158.26,157.63,157.99,26262,0
2015-02-04,16:35:00,157.98,157.98,155.37,157.68,59190,0
2015-02-04,16:40:00,157.53,158.47,156.92,158.47,43581,0
2015-02-04,16:45:00,158.58,159.64,158.58,159.63,48618,0
2015-02-04,16:50:00,159.72,160.38,159.65,160.35,32656,0
2015-02-04,16:55:00,160.41,160.41,159.62,160.0,40138,0
2015-02-04,17:00:00,159.97,160.86,159.76,160.8,54856,0
2015-02-04,17:05:00,160.7,160.75,159.73,160.33,54807,0
2015-02-04,17:10:00,159.96,160.38,159.5,160.23,48450,0
2015-02-04,17:15:00,160.08,160.1,159.32,159.78,32289,0
2015-02-04,17:20:00,159.72,160.51,159.14,159.23,69304,0
2015-02-04,17:25:00,159.21,159.51,158.9,159.35,26607,0
2015-02-04,17:30:00,159.39,159.55,159.06,159.19,30053,0
2015-02-04,17:35:00,159.33,159.72,159.26,159.62,13623,0
2015-02-04,17:40:00,159.72,160.32,159.58,160.17,23676,0
2015-02-04,17:45:00,160.16,160.16,159.51,159.71,24665,0
2015-02-04,17:50:00,159.75,159.91,159.32,159.88,15225,0
2015-02-04,17:55:00,159.95,160.12,159.48,159.69,13682,0
2015-02-04,18:00:00,159.62,159.62,158.92,159.02,25081,0
2015-02-04,18:05:00,159.04,159.21,158.53,159.1,37501,0
2015-02-04,18:10:00,159.07,159.42,159.0,159.29,18141,0
2015-02-04,18:15:00,159.27,159.27,158.82,159.02,17165,0
2015-02-04,18:20:00,158.95,159.43,158.8,159.16,24473,0
2015-02-04,18:25:00,159.29,159.68,159.17,159.55,30876,0
2015-02-04,18:30:00,159.42,159.46,158.17,158.25,30509,0
2015-02-04,18:35:00,158.19,158.78,158.19,158.56,21750,0
2015-02-04,18:40:00,158.53,158.75,158.24,158.72,26250,0
2015-02-04,18:45:00,158.63,158.77,157.69,157.95,32448,0
2015-02-04,18:50:00,157.87,158.83,157.84,158.71,21111,0
2015-02-04,18:55:00,158.81,159.28,158.42,158.42,21803,0
2015-02-04,19:00:00,158.35,158.66,158.18,158.36,17421,0
2015-02-04,19:05:00,158.45,159.06,158.15,158.95,32049,0
2015-02-04,19:10:00,159.07,159.12,158.44,158.8,63252,0
2015-02-04,19:15:00,158.69,158.75,158.37,158.54,22808,0
2015-02-04,19:20:00,158.73,158.84,158.0,158.19,18904,0
2015-02-04,19:25:00,158.15,158.78,157.93,158.7,21856,0
2015-02-04,19:30:00,158.77,158.78,158.37,158.57,166370,0
2015-02-04,19:35:00,158.49,158.54,157.87,158.38,17443,0
2015-02-04,19:40:00,158.35,158.52,158.05,158.52,32806,0
2015-02-04,19:45:00,158.41,158.41,157.58,157.65,23026,0
2015-02-04,19:50:00,157.65,157.71,157.26,157.45,15000,0
2015-02-04,19:55:00,157.54,157.7,157.26,157.51,22974,0
2015-02-04,20:00:00,157.54,157.74,156.59,156.9,28800,0
2015-02-04,20:05:00,156.83,157.1,156.74,156.86,32928,0
2015-02-04,20:10:00,156.89,157.06,156.78,156.91,39365,0
2015-02-04,20:15:00,156.91,157.01,156.56,156.65,41884,0
2015-02-04,20:20:00,156.7,156.73,155.87,155.99,49657,0
2015-02-04,20:25:00,155.95,156.83,155.95,156.34,36043,0
2015-02-04,20:30:00,156.45,157.08,156.45,156.57,40453,0
2015-02-04,20:35:00,156.45,156.92,156.21,156.36,28700,0
2015-02-04,20:40:00,156.2,157.53,156.2,157.53,34601,0
2015-02-04,20:45:00,157.51,157.54,157.03,157.05,22857,0
2015-02-04,20:50:00,157.05,157.21,156.89,157.06,19902,0
2015-02-04,20:55:00,157.09,157.34,156.73,157.34,20067,0
2015-02-04,21:00:00,157.32,157.32,156.9,157.16,18200,0
2015-02-04,21:05:00,157.19,157.2,156.76,157.03,22952,0
2015-02-04,21:10:00,157.02,157.14,156.84,157.13,19727,0
2015-02-04,21:15:00,157.08,157.08,156.86,157.05,14048,0
2015-02-04,21:20:00,157.08,157.62,157.08,157.46,25144,0
2015-02-04,21:25:00,157.46,157.96,157.43,157.96,17417,0
2015-02-04,21:30:00,157.98,158.25,157.65,158.25,32827,0
2015-02-04,21:35:00,158.16,158.92,158.16,158.88,40064,0
2015-02-04,21:40:00,158.94,159.0,158.08,158.08,38966,0
2015-02-04,21:45:00,158.02,158.1,157.46,157.59,38636,0
2015-02-04,21:50:00,157.49,157.62,157.01,157.54,53001,0
2015-02-04,21:55:00,157.57,157.61,157.05,157.4,54931,0
2015-02-04,22:00:00,157.37,157.66,157.37,157.51,961224,0
2015-02-05,15:35:00,159.98,161.06,157.94,160.7,171201,0
2015-02-05,15:40:00,160.69,160.7,159.73,160.14,29612,0
2015-02-05,15:45:00,160.08,160.16,158.84,160.16,60002,0
2015-02-05,15:50:00,160.2,161.89,160.06,161.89,29009,0
2015-02-05,15:55:00,161.89,162.2,160.88,160.88,25252,0
2015-02-05,16:00:00,161.22,161.35,159.69,159.9,32276,0
2015-02-05,16:05:00,159.7,160.36,159.52,160.2,67346,0
2015-02-05,16:10:00,160.09,161.42,160.09,160.98,45286,0
2015-02-05,16:15:00,160.97,161.27,160.71,160.81,41827,0
2015-02-05,16:20:00,161.08,161.61,160.88,160.96,26130,0
2015-02-05,16:25:00,160.82,161.16,160.56,161.09,24757,0
2015-02-05,16:30:00,161.12,161.26,160.29,160.45,72958,0
2015-02-05,16:35:00,160.34,160.81,159.7,160.54,40016,0
2015-02-05,16:40:00,160.59,161.36,160.46,161.33,30811,0
2015-02-05,16:45:00,161.41,161.88,161.14,161.71,23250,0
2015-02-05,16:50:00,161.81,162.0,161.43,161.87,26732,0
2015-02-05,16:55:00,161.92,161.98,161.17,161.17,25112,0
2015-02-05,17:00:00,161.14,161.39,160.83,161.19,26325,0
2015-02-05,17:05:00,161.29,161.89,161.23,161.81,24637,0
2015-02-05,17:10:00,161.73,161.9,161.3,161.68,18630,0
2015-02-05,17:15:00,161.5,161.5,160.6,160.83,21836,0
2015-02-05,17:20:00,160.91,161.19,160.2,160.33,20628,0
2015-02-05,17:25:00,160.37,161.05,160.37,160.57,47611,0
2015-02-05,17:30:00,160.55,160.88,160.46,160.75,21575,0
2015-02-05,17:35:00,160.86,161.14,160.73,160.9,12929,0
2015-02-05,17:40:00,160.95,161.7,160.95,161.66,15996,0
2015-02-05,17:45:00,161.69,161.69,160.82,161.2,24700,0
2015-02-05,17:50:00,161.23,161.69,161.2,161.3,23400,0
2015-02-05,17:55:00,161.25,161.64,161.18,161.59,22652,0
2015-02-05,18:00:00,161.54,161.7,161.2,161.39,18381,0
2015-02-05,18:05:00,161.17,161.28,160.73,160.9,17021,0
2015-02-05,18:10:00,160.9,160.9,160.47,160.72,25666,0
2015-02-05,18:15:00,160.72,161.37,160.55,161.3,34480,0
2015-02-05,18:20:00,161.25,161.33,160.72,160.72,16782,0
2015-02-05,18:25:00,160.77,160.87,160.44,160.6,23686,0
2015-02-05,18:30:00,160.61,160.68,159.93,159.99,43867,0
2015-02-05,18:35:00,159.99,160.1,159.77,159.8,54231,0
2015-02-05,18:40:00,159.8,159.8,159.07,159.11,31450,0
2015-02-05,18:45:00,159.25,159.56,159.0,159.5,25324,0
2015-02-05,18:50:00,159.56,159.66,159.21,159.51,22750,0
2015-02-05,18:55:00,159.56,159.81,159.49,159.67,17440,0
2015-02-05,19:00:00,159.56,159.71,159.03,159.03,37407,0
2015-02-05,19:05:00,159.04,159.07,158.64,159.02,52561,0
2015-02-05,19:10:00,159.0,159.05,158.54,158.79,15400,0
2015-02-05,19:15:00,158.85,159.18,158.85,159.18,11766,0
2015-02-05,19:20:00,159.3,159.47,159.0,159.06,12238,0
2015-02-05,19:25:00,159.0,159.4,158.9,159.33,29064,0
2015-02-05,19:30:00,159.39,159.64,159.3,159.63,20093,0
2015-02-05,19:35:00,159.62,159.73,159.5,159.62,16600,0
2015-02-05,19:40:00,159.61,160.02,159.6,159.76,15400,0
2015-02-05,19:45:00,159.92,160.0,159.64,159.87,14086,0
2015-02-05,19:50:00,159.83,159.83,159.35,159.43,10100,0
2015-02-05,19:55:00,159.5,159.58,159.17,159.17,23712,0
2015-02-05,20:00:00,159.22,159.22,158.39,158.49,92511,0
2015-02-05,20:05:00,158.59,158.62,157.76,158.07,26825,0
2015-02-05,20:10:00,158.2,158.36,158.05,158.29,14775,0
2015-02-05,20:15:00,158.31,158.97,158.2,158.7,18890,0
2015-02-05,20:20:00,158.74,158.74,158.08,158.34,29600,0
2015-02-05,20:25:00,158.45,158.45,158.03,158.05,19460,0
2015-02-05,20:30:00,158.11,158.21,157.67,158.09,25467,0
