Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-02-03,16:00:00,25.61,25.61,25.50,25.55,4033,0
2015-02-03,16:05:00,25.532,25.532,25.492,25.492,707,0
2015-02-03,16:10:00,25.492,25.502,25.472,25.492,1717,0
2015-02-03,16:15:00,25.472,25.492,25.432,25.452,3936,0
2015-02-03,16:20:00,25.432,25.432,25.413,25.432,909,0
2015-02-03,16:25:00,25.432,25.452,25.422,25.452,5736,0
2015-02-03,16:30:00,25.472,25.472,25.452,25.452,1313,0
2015-02-03,16:35:00,25.442,25.442,25.413,25.422,1212,0
2015-02-03,16:40:00,25.403,25.432,25.353,25.403,11592,0
2015-02-03,16:45:00,25.403,25.512,25.393,25.492,12920,0
2015-02-03,16:50:00,25.492,25.502,25.452,25.492,7820,0
2015-02-03,16:55:00,25.512,25.582,25.502,25.582,10861,0
2015-02-03,17:00:00,25.562,25.562,25.552,25.552,1514,0
2015-02-03,17:05:00,25.542,25.552,25.512,25.532,7947,0
2015-02-03,17:10:00,25.522,25.611,25.522,25.611,2053,0
2015-02-03,17:15:00,25.582,25.602,25.532,25.602,23588,0
2015-02-03,17:20:00,25.582,25.582,25.542,25.542,1615,0
2015-02-03,17:25:00,25.542,25.542,25.502,25.502,3427,0
2015-02-03,17:30:00,25.502,25.621,25.482,25.602,13625,0
2015-02-03,17:35:00,25.602,25.602,25.572,25.582,1515,0
2015-02-03,17:40:00,25.552,25.602,25.552,25.592,2420,0
2015-02-03,17:45:00,25.572,25.592,25.552,25.572,1915,0
2015-02-03,17:50:00,25.572,25.572,25.522,25.522,1513,0
2015-02-03,17:55:00,25.532,25.532,25.522,25.532,2485,0
2015-02-03,18:00:00,25.522,25.522,25.522,25.522,404,0
2015-02-03,18:05:00,25.512,25.522,25.492,25.522,2323,0
2015-02-03,18:10:00,25.532,25.562,25.532,25.542,1634,0
2015-02-03,18:15:00,25.542,25.582,25.542,25.582,2843,0
2015-02-03,18:20:00,25.572,25.592,25.572,25.582,1615,0
2015-02-03,18:25:00,25.582,25.602,25.572,25.582,9159,0
2015-02-03,18:30:00,25.592,25.611,25.592,25.611,1825,0
2015-02-03,18:35:00,25.611,25.611,25.602,25.611,992,0
2015-02-03,18:40:00,25.592,25.621,25.592,25.611,1593,0
2015-02-03,18:45:00,25.602,25.651,25.602,25.641,1111,0
2015-02-03,18:50:00,25.641,25.651,25.631,25.631,6455,0
2015-02-03,18:55:00,25.631,25.641,25.621,25.621,1717,0
2015-02-03,19:00:00,25.641,25.651,25.641,25.641,1212,0
2015-02-03,19:05:00,25.621,25.651,25.621,25.651,4997,0
2015-02-03,19:10:00,25.641,25.661,25.641,25.651,13271,0
2015-02-03,19:15:00,25.641,25.81,25.641,25.771,73374,0
2015-02-03,19:20:00,25.731,25.731,25.731,25.731,303,0
2015-02-03,19:25:00,25.741,25.79,25.741,25.781,4141,0
2015-02-03,19:30:00,25.79,25.83,25.771,25.83,13513,0
2015-02-03,19:35:00,25.83,25.85,25.83,25.84,1551,0
2015-02-03,19:40:00,25.83,25.83,25.771,25.771,3246,0
2015-02-03,19:45:00,25.771,25.82,25.771,25.81,8032,0
2015-02-03,19:50:00,25.79,25.82,25.79,25.8,2323,0
2015-02-03,19:55:00,25.771,25.82,25.771,25.82,2824,0
2015-02-03,20:00:00,25.82,25.82,25.771,25.8,8205,0
2015-02-03,20:05:00,25.8,25.83,25.8,25.81,2625,0
2015-02-03,20:10:00,25.79,25.8,25.741,25.761,3822,0
2015-02-03,20:15:00,25.741,25.741,25.711,25.711,1010,0
2015-02-03,20:20:00,25.711,25.711,25.651,25.671,4370,0
2015-02-03,20:25:00,25.661,25.671,25.651,25.661,3030,0
2015-02-03,20:30:00,25.611,25.651,25.611,25.641,4941,0
2015-02-03,20:35:00,25.651,25.691,25.651,25.691,6750,0
2015-02-03,20:40:00,25.691,25.701,25.661,25.691,8075,0
2015-02-03,20:45:00,25.671,25.671,25.671,25.671,1414,0
2015-02-03,20:50:00,25.661,25.681,25.651,25.671,9521,0
2015-02-03,20:55:00,25.671,25.711,25.661,25.701,9931,0
2015-02-03,21:00:00,25.701,25.701,25.691,25.701,909,0
2015-02-03,21:05:00,25.701,25.721,25.681,25.721,6045,0
2015-02-03,21:10:00,25.741,25.771,25.741,25.771,5880,0
2015-02-03,21:15:00,25.79,25.79,25.761,25.781,5563,0
2015-02-03,21:20:00,25.79,25.8,25.761,25.761,4785,0
2015-02-03,21:25:00,25.761,25.761,25.731,25.741,9682,0
2015-02-03,21:30:00,25.741,25.741,25.721,25.721,3535,0
2015-02-03,21:35:00,25.721,25.731,25.681,25.681,6297,0
2015-02-03,21:40:00,25.671,25.711,25.671,25.711,6532,0
2015-02-03,21:45:00,25.721,25.741,25.721,25.731,5954,0
2015-02-03,21:50:00,25.731,25.761,25.701,25.751,19821,0
2015-02-03,21:55:00,25.761,25.84,25.751,25.84,34574,0
2015-02-03,22:00:00,25.83,25.87,25.83,25.85,50364,0
2015-02-04,15:35:00,25.751,25.781,25.681,25.781,9979,0
2015-02-04,15:40:00,25.81,25.95,25.81,25.95,3229,0
2015-02-04,15:45:00,25.96,25.97,25.92,25.97,909,0
2015-02-04,15:50:00,25.92,25.97,25.89,25.92,4139,0
2015-02-04,15:55:00,25.9,25.91,25.87,25.9,1412,0
2015-02-04,16:00:00,25.9,25.91,25.86,25.87,1010,0
2015-02-04,16:05:00,25.8,25.82,25.761,25.761,8780,0
2015-02-04,16:10:00,25.751,25.781,25.751,25.781,1313,0
2015-02-04,16:15:00,25.781,25.781,25.721,25.721,3186,0
2015-02-04,16:20:00,25.661,25.691,25.651,25.661,2227,0
2015-02-04,16:25:00,25.661,25.661,25.621,25.621,9625,0
2015-02-04,16:30:00,25.631,25.641,25.631,25.641,1716,0
2015-02-04,16:35:00,25.621,25.621,25.592,25.621,6561,0
2015-02-04,16:40:00,25.611,25.611,25.562,25.592,3935,0
2015-02-04,16:45:00,25.582,25.611,25.582,25.611,3434,0
2015-02-04,16:50:00,25.592,25.602,25.592,25.602,3988,0
2015-02-04,16:55:00,25.602,25.602,25.582,25.582,1716,0
2015-02-04,17:00:00,25.582,25.592,25.572,25.592,5975,0
2015-02-04,17:05:00,25.582,25.582,25.542,25.542,1616,0
2015-02-04,17:10:00,25.542,25.572,25.542,25.552,2095,0
2015-02-04,17:15:00,25.542,25.542,25.512,25.542,2807,0
2015-02-04,17:20:00,25.532,25.552,25.492,25.492,3939,0
2015-02-04,17:25:00,25.492,25.532,25.492,25.532,2793,0
2015-02-04,17:30:00,25.542,25.572,25.542,25.572,2725,0
2015-02-04,17:35:00,25.592,25.602,25.582,25.602,808,0
2015-02-04,17:40:00,25.631,25.631,25.611,25.611,1024,0
2015-02-04,17:45:00,25.602,25.602,25.602,25.602,101,0
2015-02-04,17:50:00,25.592,25.592,25.552,25.582,9964,0
2015-02-04,17:55:00,25.582,25.582,25.572,25.572,1717,0
2015-02-04,18:00:00,25.572,25.582,25.562,25.562,2020,0
2015-02-04,18:15:00,25.582,25.582,25.582,25.582,808,0
2015-02-04,18:20:00,25.572,25.572,25.562,25.572,1111,0
2015-02-04,18:25:00,25.562,25.572,25.542,25.542,3030,0
2015-02-04,18:30:00,25.532,25.532,25.413,25.413,5146,0
2015-02-04,18:35:00,25.422,25.442,25.422,25.442,1053,0
2015-02-04,18:40:00,25.432,25.442,25.403,25.403,3332,0
2015-02-04,18:45:00,25.403,25.403,25.353,25.353,2221,0
2015-02-04,18:50:00,25.363,25.363,25.353,25.353,909,0
2015-02-04,18:55:00,25.363,25.383,25.363,25.373,1918,0
2015-02-04,19:00:00,25.363,25.363,25.363,25.363,909,0
