Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-02-03,16:35:00,54.12,54.23,54.12,54.13,4000,0
2015-02-03,16:40:00,54.17,54.17,54.1,54.16,2700,0
2015-02-03,16:45:00,54.23,54.26,54.16,54.23,5600,0
2015-02-03,16:50:00,54.19,54.21,54.07,54.07,4600,0
2015-02-03,16:55:00,54.06,54.06,53.93,53.93,5035,0
2015-02-03,17:00:00,53.96,53.96,53.81,53.84,2920,0
2015-02-03,17:05:00,53.79,53.85,53.78,53.8,5900,0
2015-02-03,17:10:00,53.8,53.91,53.78,53.91,12000,0
2015-02-03,17:15:00,53.86,53.95,53.86,53.95,1900,0
2015-02-03,17:20:00,53.91,54.02,53.91,53.93,5184,0
2015-02-03,17:25:00,53.98,53.98,53.92,53.94,2972,0
2015-02-03,17:30:00,53.94,54.0,53.92,53.95,7152,0
2015-02-03,17:35:00,53.94,54.02,53.91,53.94,13800,0
2015-02-03,17:40:00,53.93,53.96,53.89,53.96,11774,0
2015-02-03,17:45:00,53.96,54.06,53.95,54.06,22391,0
2015-02-03,17:50:00,54.08,54.08,53.99,54.04,3100,0
2015-02-03,17:55:00,54.05,54.05,53.95,53.97,10900,0
2015-02-03,18:00:00,53.97,54.0,53.96,53.99,4979,0
2015-02-03,18:05:00,53.99,54.03,53.95,54.03,5900,0
2015-02-03,18:10:00,54.02,54.05,53.99,53.99,1500,0
2015-02-03,18:15:00,54.0,54.07,54.0,54.07,1400,0
2015-02-03,18:20:00,54.08,54.08,53.99,53.99,4083,0
2015-02-03,18:25:00,54.0,54.02,53.96,53.97,3500,0
2015-02-03,18:30:00,53.98,54.06,53.95,54.02,4800,0
2015-02-03,18:35:00,54.01,54.03,53.97,54.03,5500,0
2015-02-03,18:40:00,54.03,54.03,53.95,54.03,4600,0
2015-02-03,18:45:00,54.06,54.09,54.05,54.09,3652,0
2015-02-03,18:50:00,54.04,54.07,54.03,54.03,4919,0
2015-02-03,18:55:00,54.05,54.09,53.99,54.09,2836,0
2015-02-03,19:00:00,54.12,54.14,54.04,54.08,8688,0
2015-02-03,19:05:00,54.08,54.13,54.07,54.09,6294,0
2015-02-03,19:10:00,54.14,54.14,54.05,54.14,4825,0
2015-02-03,19:15:00,54.12,54.23,54.09,54.23,9054,0
