Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-02-03,16:50:00,10.25,10.26,10.25,10.26,38547,0
2015-02-03,16:55:00,10.25,10.28,10.25,10.28,19428,0
2015-02-03,17:00:00,10.28,10.31,10.28,10.29,25152,0
2015-02-03,17:05:00,10.28,10.29,10.26,10.26,14702,0
2015-02-03,17:10:00,10.25,10.27,10.25,10.26,15500,0
2015-02-03,17:15:00,10.25,10.26,10.24,10.25,9050,0
2015-02-03,17:20:00,10.25,10.27,10.25,10.27,15559,0
2015-02-03,17:25:00,10.28,10.3,10.27,10.28,5747,0
2015-02-03,17:30:00,10.29,10.31,10.28,10.29,9710,0
2015-02-03,17:35:00,10.3,10.32,10.29,10.32,38915,0
2015-02-03,17:40:00,10.31,10.33,10.3,10.32,39010,0
2015-02-03,17:45:00,10.32,10.32,10.3,10.3,44900,0
2015-02-03,17:50:00,10.31,10.31,10.27,10.3,14315,0
2015-02-03,17:55:00,10.31,10.32,10.29,10.3,19875,0
2015-02-03,18:00:00,10.3,10.32,10.3,10.32,24030,0
2015-02-03,18:05:00,10.32,10.32,10.3,10.3,19400,0
2015-02-03,18:10:00,10.31,10.31,10.3,10.3,22984,0
2015-02-03,18:15:00,10.3,10.35,10.29,10.35,9788,0
2015-02-03,18:20:00,10.34,10.35,10.32,10.34,7050,0
2015-02-03,18:25:00,10.35,10.35,10.34,10.34,3100,0
2015-02-03,18:30:00,10.34,10.4,10.34,10.39,27333,0
2015-02-03,18:35:00,10.39,10.4,10.38,10.4,5800,0
2015-02-03,18:40:00,10.4,10.4,10.38,10.39,10700,0
2015-02-03,18:45:00,10.39,10.4,10.38,10.4,9000,0
2015-02-03,18:50:00,10.4,10.4,10.39,10.4,3969,0
2015-02-03,18:55:00,10.4,10.4,10.38,10.4,13264,0
2015-02-03,19:00:00,10.4,10.4,10.39,10.4,11982,0
2015-02-03,19:05:00,10.4,10.4,10.39,10.4,3400,0
2015-02-03,19:10:00,10.4,10.4,10.38,10.4,10812,0
2015-02-03,19:15:00,10.39,10.4,10.39,10.4,13451,0
2015-02-03,19:20:00,10.4,10.4,10.38,10.38,12200,0
2015-02-03,19:25:00,10.39,10.4,10.38,10.4,14055,0
2015-02-03,19:30:00,10.4,10.4,10.38,10.38,8885,0
2015-02-03,19:35:00,10.39,10.39,10.38,10.39,1100,0
2015-02-03,19:40:00,10.39,10.4,10.38,10.38,11600,0
2015-02-03,19:45:00,10.38,10.4,10.37,10.4,6761,0
2015-02-03,19:50:00,10.4,10.4,10.39,10.39,7647,0
2015-02-03,19:55:00,10.39,10.39,10.38,10.39,4200,0
2015-02-03,20:00:00,10.39,10.4,10.38,10.4,6031,0
2015-02-03,20:05:00,10.39,10.4,10.38,10.38,4052,0
2015-02-03,20:10:00,10.39,10.39,10.38,10.38,6885,0
2015-02-03,20:15:00,10.37,10.39,10.37,10.37,4734,0
2015-02-03,20:20:00,10.36,10.37,10.35,10.35,10335,0
2015-02-03,20:25:00,10.35,10.35,10.32,10.32,4303,0
2015-02-03,20:30:00,10.32,10.33,10.32,10.32,8513,0
2015-02-03,20:35:00,10.32,10.32,10.31,10.31,6682,0
2015-02-03,20:40:00,10.31,10.32,10.28,10.31,21282,0
2015-02-03,20:45:00,10.31,10.35,10.31,10.34,3450,0
2015-02-03,20:50:00,10.34,10.35,10.34,10.34,7800,0
2015-02-03,20:55:00,10.34,10.35,10.33,10.35,3289,0
2015-02-03,21:00:00,10.36,10.36,10.34,10.34,8070,0
2015-02-03,21:05:00,10.35,10.35,10.34,10.35,2657,0
2015-02-03,21:10:00,10.35,10.38,10.34,10.38,18486,0
2015-02-03,21:15:00,10.37,10.38,10.34,10.35,10163,0
2015-02-03,21:20:00,10.36,10.36,10.34,10.34,6700,0
2015-02-03,21:25:00,10.34,10.37,10.34,10.37,7478,0
2015-02-03,21:30:00,10.37,10.37,10.35,10.35,16318,0
2015-02-03,21:35:00,10.36,10.38,10.36,10.36,20046,0
2015-02-03,21:40:00,10.36,10.38,10.36,10.37,9700,0
2015-02-03,21:45:00,10.38,10.4,10.38,10.4,19798,0
2015-02-03,21:50:00,10.39,10.4,10.38,10.39,21309,0
