Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-03-24,15:40:00,23.90,23.90,23.90,23.90,1476,0
2014-03-24,16:50:00,23.874,23.884,23.874,23.884,423,0
2014-03-24,16:55:00,23.901,23.901,23.901,23.901,1206,0
2014-03-24,17:10:00,23.884,23.884,23.884,23.884,1754,0
2014-03-24,17:20:00,23.901,23.901,23.901,23.901,1055,0
2014-03-24,17:30:00,23.938,23.938,23.938,23.938,455,0
2014-03-24,18:30:00,23.946,23.946,23.946,23.946,658,0
2014-03-24,18:40:00,23.946,23.946,23.946,23.946,549,0
2014-03-24,20:15:00,23.946,23.946,23.946,23.946,1645,0
2014-03-25,15:30:00,23.992,23.992,23.992,23.992,240,0
2014-03-25,15:55:00,23.992,23.992,23.992,23.992,2851,0
2014-03-25,16:05:00,24.111,24.111,24.111,24.111,439,0
2014-03-25,21:00:00,24.074,24.074,24.074,24.074,108,0
2014-03-26,14:45:00,24.144,24.144,24.144,24.144,313,0
2014-03-26,15:30:00,24.172,24.172,24.172,24.172,215,0
2014-03-26,15:40:00,24.181,24.181,24.172,24.172,1198,0
2014-03-26,16:40:00,24.172,24.172,24.172,24.172,750,0
2014-03-26,18:45:00,24.218,24.256,24.218,24.218,906,0
2014-03-26,18:50:00,24.256,24.256,24.256,24.256,321,0
2014-03-26,18:55:00,24.265,24.265,24.265,24.265,318,0
2014-03-26,20:10:00,24.349,24.349,24.349,24.349,268,0
2014-03-26,20:35:00,24.358,24.358,24.358,24.358,1071,0
2014-03-27,14:55:00,24.265,24.265,24.265,24.265,827,0
2014-03-27,15:00:00,24.265,24.265,24.228,24.228,3150,0
2014-03-27,15:20:00,24.312,24.312,24.228,24.228,3017,0
2014-03-27,15:35:00,24.228,24.228,24.209,24.209,2571,0
2014-03-27,15:40:00,24.172,24.172,24.172,24.172,981,0
2014-03-27,18:25:00,24.181,24.358,24.097,24.181,857,0
2014-03-27,19:35:00,23.892,23.892,23.873,23.873,1714,0
2014-03-27,20:30:00,24.078,24.078,24.078,24.078,643,0
2014-03-27,20:55:00,24.172,24.172,24.172,24.172,106,0
2014-03-28,15:30:00,24.265,24.265,24.265,24.265,106,0
2014-03-28,18:15:00,24.172,24.172,24.172,24.172,215,0
