Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-02-03,16:30:00,4.86,4.86,4.86,4.86,2480,0
2015-02-03,16:35:00,4.86,4.86,4.85,4.86,9550,0
2015-02-03,16:40:00,4.85,4.86,4.85,4.85,900,0
2015-02-03,16:45:00,4.86,4.87,4.85,4.87,27425,0
2015-02-03,16:50:00,4.87,4.87,4.86,4.87,27500,0
2015-02-03,16:55:00,4.87,4.87,4.86,4.87,6500,0
2015-02-03,17:00:00,4.87,4.87,4.86,4.86,2600,0
2015-02-03,17:05:00,4.86,4.87,4.86,4.87,7918,0
2015-02-03,17:10:00,4.87,4.89,4.86,4.89,47642,0
2015-02-03,17:15:00,4.89,4.89,4.88,4.88,9200,0
2015-02-03,17:20:00,4.88,4.9,4.88,4.9,17221,0
2015-02-03,17:25:00,4.9,4.9,4.9,4.9,300,0
2015-02-03,17:30:00,4.9,4.9,4.89,4.89,3400,0
2015-02-03,17:35:00,4.89,4.9,4.88,4.9,9802,0
2015-02-03,17:40:00,4.9,4.9,4.89,4.9,1150,0
2015-02-03,17:45:00,4.9,4.91,4.89,4.91,16864,0
2015-02-03,17:50:00,4.91,4.92,4.91,4.92,6767,0
2015-02-03,17:55:00,4.92,4.92,4.91,4.92,1700,0
2015-02-03,18:00:00,4.92,4.92,4.91,4.91,900,0
2015-02-03,18:05:00,4.92,4.92,4.91,4.91,6900,0
2015-02-03,18:10:00,4.92,4.92,4.91,4.91,3600,0
2015-02-03,18:15:00,4.92,4.92,4.91,4.92,11178,0
2015-02-03,18:20:00,4.91,4.92,4.91,4.91,11816,0
2015-02-03,18:25:00,4.91,4.92,4.9,4.91,22831,0
2015-02-03,18:30:00,4.91,4.91,4.9,4.91,2300,0
2015-02-03,18:35:00,4.9,4.91,4.9,4.91,1745,0
2015-02-03,18:40:00,4.9,4.91,4.9,4.91,8303,0
2015-02-03,18:45:00,4.91,4.91,4.9,4.91,6275,0
2015-02-03,18:50:00,4.91,4.92,4.91,4.92,4827,0
2015-02-03,18:55:00,4.92,4.92,4.91,4.91,1500,0
2015-02-03,19:00:00,4.92,4.92,4.91,4.91,1100,0
2015-02-03,19:05:00,4.91,4.92,4.91,4.91,1200,0
2015-02-03,19:10:00,4.92,4.92,4.91,4.92,800,0
2015-02-03,19:15:00,4.92,4.92,4.91,4.92,4300,0
2015-02-03,19:20:00,4.92,4.92,4.91,4.91,900,0
2015-02-03,19:25:00,4.91,4.92,4.91,4.91,4686,0
2015-02-03,19:30:00,4.91,4.92,4.91,4.91,1940,0
2015-02-03,19:35:00,4.91,4.92,4.91,4.92,4625,0
2015-02-03,19:40:00,4.92,4.92,4.91,4.92,12254,0
2015-02-03,19:45:00,4.91,4.92,4.91,4.91,38644,0
2015-02-03,19:50:00,4.91,4.92,4.91,4.91,23313,0
2015-02-03,19:55:00,4.91,4.92,4.91,4.91,8445,0
2015-02-03,20:00:00,4.92,4.92,4.91,4.91,2300,0
2015-02-03,20:05:00,4.91,4.92,4.91,4.92,28261,0
2015-02-03,20:10:00,4.91,4.92,4.91,4.91,2108,0
2015-02-03,20:15:00,4.91,4.92,4.91,4.92,800,0
2015-02-03,20:20:00,4.91,4.92,4.91,4.91,1400,0
2015-02-03,20:25:00,4.92,4.92,4.91,4.91,2300,0
2015-02-03,20:30:00,4.91,4.92,4.91,4.91,3950,0
2015-02-03,20:35:00,4.91,4.92,4.91,4.92,3420,0
2015-02-03,20:40:00,4.91,4.92,4.9,4.91,28592,0
2015-02-03,20:45:00,4.91,4.91,4.9,4.9,6012,0
2015-02-03,20:50:00,4.91,4.91,4.9,4.9,2678,0
2015-02-03,20:55:00,4.9,4.91,4.9,4.91,4585,0
2015-02-03,21:00:00,4.91,4.91,4.9,4.9,1880,0
2015-02-03,21:05:00,4.9,4.91,4.9,4.9,2700,0
2015-02-03,21:10:00,4.91,4.91,4.9,4.9,4285,0
2015-02-03,21:15:00,4.91,4.91,4.9,4.91,6400,0
2015-02-03,21:20:00,4.9,4.91,4.9,4.9,2600,0
2015-02-03,21:25:00,4.9,4.91,4.9,4.91,5000,0
2015-02-03,21:30:00,4.9,4.91,4.9,4.91,3606,0
2015-02-03,21:35:00,4.9,4.91,4.9,4.9,3500,0
2015-02-03,21:40:00,4.91,4.91,4.9,4.91,5455,0
2015-02-03,21:45:00,4.91,4.91,4.9,4.91,29040,0
2015-02-03,21:50:00,4.9,4.91,4.9,4.9,6150,0
2015-02-03,21:55:00,4.91,4.91,4.9,4.9,9424,0
2015-02-03,22:00:00,4.9,4.91,4.9,4.91,153711,0
2015-02-04,15:35:00,4.9,4.92,4.9,4.91,18486,0
2015-02-04,15:40:00,4.91,4.91,4.9,4.91,16100,0
2015-02-04,15:45:00,4.91,4.91,4.9,4.91,1179,0
2015-02-04,15:50:00,4.9,4.91,4.9,4.91,4800,0
2015-02-04,15:55:00,4.9,4.91,4.9,4.9,900,0
2015-02-04,16:00:00,4.91,4.91,4.9,4.91,2000,0
2015-02-04,16:05:00,4.91,4.92,4.9,4.9,11163,0
2015-02-04,16:10:00,4.91,4.92,4.91,4.91,11004,0
