Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-01-08,17:25:00,25.82,25.82,25.82,25.82,300,0
2015-01-08,17:35:00,25.84,25.84,25.84,25.84,900,0
2015-01-08,17:40:00,25.81,25.81,25.81,25.81,2900,0
2015-01-08,17:50:00,25.81,25.81,25.81,25.81,100,0
2015-01-08,18:00:00,25.81,25.81,25.81,25.81,900,0
2015-01-08,18:05:00,25.83,25.83,25.81,25.81,1025,0
2015-01-08,18:10:00,25.82,25.82,25.82,25.82,700,0
2015-01-08,18:25:00,25.81,25.82,25.81,25.81,618,0
2015-01-08,18:45:00,25.81,25.84,25.81,25.84,800,0
2015-01-08,19:10:00,25.83,25.83,25.83,25.83,340,0
2015-01-08,19:15:00,25.83,25.83,25.83,25.83,900,0
2015-01-08,19:25:00,25.85,25.87,25.85,25.85,2801,0
2015-01-08,20:10:00,25.91,25.91,25.91,25.91,500,0
2015-01-08,20:15:00,25.85,25.85,25.85,25.85,500,0
2015-01-08,20:20:00,25.91,25.91,25.86,25.86,2036,0
2015-01-08,21:00:00,25.86,25.86,25.86,25.86,941,0
2015-01-08,21:05:00,25.88,25.88,25.87,25.88,1089,0
2015-01-08,21:35:00,25.85,25.85,25.85,25.85,300,0
2015-01-08,21:40:00,25.87,25.91,25.87,25.91,2506,0
2015-01-08,21:45:00,25.93,25.93,25.91,25.91,2281,0
2015-01-08,21:50:00,25.93,25.93,25.93,25.93,196,0
2015-01-08,21:55:00,25.93,25.93,25.92,25.92,1300,0
2015-01-09,15:50:00,25.9,25.9,25.9,25.9,2926,0
2015-01-09,16:00:00,25.9,25.9,25.9,25.9,400,0
2015-01-09,16:05:00,25.9,25.91,25.9,25.91,300,0
2015-01-09,16:35:00,25.9,25.9,25.9,25.9,137,0
2015-01-09,16:55:00,25.9,25.9,25.86,25.86,1000,0
2015-01-09,17:00:00,25.9,25.9,25.88,25.88,1300,0
2015-01-09,17:15:00,25.9,25.9,25.9,25.9,1464,0
2015-01-09,17:25:00,25.9,25.9,25.9,25.9,482,0
2015-01-09,17:45:00,25.9,25.91,25.9,25.91,1800,0
2015-01-09,18:30:00,25.9,25.9,25.9,25.9,14000,0
2015-01-09,18:35:00,25.9,25.9,25.9,25.9,755,0
2015-01-09,18:40:00,25.91,25.91,25.91,25.91,400,0
2015-01-09,18:55:00,25.9,25.9,25.9,25.9,3000,0
2015-01-09,19:00:00,25.9,25.9,25.9,25.9,2300,0
2015-01-09,19:15:00,25.87,25.87,25.87,25.87,400,0
2015-01-09,19:20:00,25.9,25.9,25.9,25.9,2500,0
2015-01-09,20:25:00,25.9,25.9,25.9,25.9,1800,0
2015-01-09,21:15:00,25.92,25.92,25.91,25.91,754,0
2015-01-09,21:25:00,25.92,25.94,25.92,25.94,1405,0
2015-01-09,21:50:00,25.94,25.94,25.94,25.94,1080,0
2015-01-09,22:00:00,25.95,25.98,25.85,25.85,2389,0
2015-01-12,15:35:00,25.86,25.94,25.86,25.94,1300,0
2015-01-12,15:45:00,25.9,25.9,25.85,25.86,956,0
