Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-03-19,17:15:00,120.62,120.62,120.62,120.62,208,0
2014-03-19,17:25:00,120.57,120.57,120.57,120.57,104,0
2014-03-19,17:30:00,120.57,120.57,120.57,120.57,2799,0
2014-03-19,18:05:00,121.02,121.02,121.02,121.02,312,0
2014-03-19,18:25:00,120.87,120.87,120.87,120.87,399,0
2014-03-19,19:20:00,120.17,120.17,120.17,120.17,312,0
2014-03-19,20:10:00,119.95,119.95,119.95,119.95,312,0
2014-03-19,20:30:00,119.73,119.73,119.73,119.73,312,0
2014-03-20,16:10:00,119.49,119.49,119.41,119.41,5068,0
2014-03-20,16:15:00,119.36,119.36,119.36,119.36,312,0
2014-03-20,17:35:00,120.09,120.09,120.09,120.09,416,0
2014-03-20,17:45:00,119.29,119.97,119.29,119.29,1989,0
2014-03-20,17:55:00,119.29,119.99,119.29,119.72,623,0
2014-03-20,18:00:00,119.61,120.01,119.29,119.46,2177,0
2014-03-20,18:05:00,119.71,119.71,119.71,119.71,208,0
2014-03-20,18:10:00,119.86,119.86,119.81,119.86,2695,0
2014-03-20,18:15:00,119.91,120.01,119.91,120.01,208,0
2014-03-20,18:30:00,120.1,120.16,120.1,120.1,623,0
2014-03-20,18:35:00,120.14,120.14,120.13,120.13,828,0
2014-03-20,19:10:00,119.95,119.95,119.95,119.95,208,0
2014-03-20,19:25:00,119.95,119.95,119.92,119.92,1659,0
2014-03-20,19:45:00,119.95,119.95,119.95,119.95,519,0
2014-03-20,20:05:00,119.82,119.82,119.82,119.82,416,0
2014-03-20,20:20:00,119.73,119.73,119.73,119.73,312,0
2014-03-20,20:25:00,120.1,120.1,120.05,120.05,428,0
2014-03-20,20:30:00,119.63,119.63,119.63,119.63,104,0
2014-03-20,20:40:00,119.66,119.66,119.65,119.65,428,0
2014-03-20,20:45:00,119.74,119.74,119.74,119.74,623,0
2014-03-20,20:50:00,119.85,119.85,119.85,119.85,208,0
2014-03-20,20:55:00,119.89,119.9,119.87,119.87,1348,0
2014-03-20,21:00:00,119.95,120,119.21,119.21,1867,0
2014-03-21,18:30:00,119.85,119.86,119.85,119.86,416,0
2014-03-21,19:30:00,119.49,119.49,119.49,119.49,312,0
2014-03-21,19:35:00,119.29,119.29,119.29,119.29,312,0
2014-03-21,19:40:00,119.42,119.42,119.42,119.42,1659,0
2014-03-21,20:05:00,119.58,119.58,119.57,119.57,623,0
2014-03-21,20:30:00,119.44,119.44,119.42,119.42,208,0
2014-03-21,20:40:00,119.43,119.43,119.43,119.43,312,0
2014-03-21,20:50:00,119.39,119.39,119.32,119.33,312,0
2014-03-21,20:55:00,119.37,119.46,119.37,119.41,312,0
2014-03-21,21:00:00,119.42,119.86,119.36,119.47,2370,0
2014-03-24,15:40:00,119.87,120.03,119.87,120.03,312,0
2014-03-24,16:10:00,120.05,120.05,120.05,120.05,932,0
2014-03-24,18:55:00,119.86,119.93,119.86,119.93,260,0
2014-03-24,19:20:00,119.92,119.92,119.92,119.92,828,0
2014-03-25,15:10:00,121.65,121.65,121.23,121.23,1036,0
2014-03-25,15:20:00,121.3,121.32,121.3,121.32,416,0
2014-03-25,15:25:00,121.61,121.61,121.61,121.61,104,0
2014-03-25,15:30:00,121.61,121.61,121.61,121.61,104,0
2014-03-25,15:40:00,121.5,121.5,121.19,121.37,2695,0
2014-03-25,15:45:00,121.39,121.39,121.39,121.39,104,0
2014-03-25,15:50:00,121.7,121.7,121.7,121.7,208,0
2014-03-25,16:00:00,121.39,121.39,121.17,121.26,4875,0
2014-03-25,16:05:00,121.41,121.41,121.41,121.41,208,0
2014-03-25,16:10:00,121.63,121.63,121.63,121.63,104,0
2014-03-25,16:15:00,121.67,121.67,121,121.31,3111,0
2014-03-25,16:25:00,121.28,121.28,121.28,121.28,104,0
2014-03-25,16:30:00,121.24,121.24,121.23,121.23,828,0
2014-03-25,16:35:00,121.21,121.21,121.21,121.21,208,0
2014-03-25,16:50:00,121.27,121.28,121.27,121.28,312,0
2014-03-25,17:10:00,121.3,121.3,121.3,121.3,208,0
2014-03-25,17:15:00,121.33,121.33,121.33,121.33,208,0
2014-03-25,17:25:00,121.32,121.32,121.28,121.28,208,0
2014-03-25,17:45:00,121.32,121.32,121.32,121.32,208,0
2014-03-25,17:55:00,121.42,121.42,121.42,121.42,104,0
2014-03-25,18:00:00,121.44,121.44,121.44,121.44,208,0
2014-03-25,18:10:00,121.44,121.44,121.44,121.44,104,0
2014-03-25,18:15:00,121.38,121.38,121.38,121.38,312,0
2014-03-25,18:25:00,121.38,121.38,121.38,121.38,312,0
2014-03-25,18:30:00,121.53,121.53,121.53,121.53,104,0
2014-03-25,18:40:00,121.58,121.93,121.55,121.56,2383,0
2014-03-25,18:50:00,121.62,121.62,121.62,121.62,104,0
2014-03-25,19:00:00,121.62,121.62,121.62,121.62,104,0
2014-03-25,19:05:00,121.69,121.69,121.69,121.69,104,0
2014-03-25,19:15:00,121.76,122.49,121.76,121.86,1555,0
2014-03-25,19:20:00,122.47,122.47,122.47,122.47,104,0
2014-03-25,19:25:00,122.43,122.43,122.43,122.43,312,0
2014-03-25,19:30:00,122.43,122.43,122.43,122.43,104,0
2014-03-25,19:35:00,122.02,122.02,122.02,122.02,208,0
2014-03-25,19:40:00,121.98,121.98,121.98,121.98,104,0
2014-03-25,19:45:00,122.05,122.06,122.01,122.05,828,0
2014-03-25,19:50:00,122.05,122.05,122.02,122.02,1348,0
2014-03-25,19:55:00,122.02,122.02,122,122.02,1036,0
2014-03-25,20:00:00,122.03,122.05,122.03,122.05,519,0
2014-03-25,20:05:00,122.06,122.06,122.06,122.06,104,0
2014-03-25,20:10:00,122.08,122.08,122.08,122.08,104,0
2014-03-25,20:15:00,122.28,122.28,122.28,122.28,104,0
2014-03-25,20:20:00,122.33,122.33,122.33,122.33,104,0
2014-03-25,20:25:00,122.29,122.29,122.29,122.29,104,0
2014-03-25,20:30:00,122.23,122.23,122.23,122.23,104,0
2014-03-25,20:35:00,122.31,122.31,122.03,122.03,416,0
