Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-01-21,21:45:00,66.10,66.32,66.09,66.22,1200,0
2015-01-21,21:50:00,66.3,66.76,66.25,66.25,6488,0
2015-01-21,21:55:00,66.55,66.55,66.32,66.33,2900,0
2015-01-21,22:00:00,66.34,66.53,66.24,66.36,21970,0
2015-01-22,15:35:00,67.01,67.01,66.2,66.2,1815,0
2015-01-22,15:40:00,66.31,66.31,66.31,66.31,100,0
2015-01-22,15:45:00,66.3,66.3,66.3,66.3,1000,0
2015-01-22,15:50:00,66.2,66.3,66.2,66.2,400,0
2015-01-22,15:55:00,66.18,66.27,65.84,65.84,800,0
2015-01-22,16:00:00,65.9,65.9,65.9,65.9,1100,0
2015-01-22,16:05:00,66.27,66.27,65.98,65.98,1200,0
2015-01-22,16:10:00,65.8,65.8,65.8,65.8,200,0
2015-01-22,16:15:00,65.9,65.9,65.9,65.9,100,0
2015-01-22,16:20:00,65.92,66.25,65.92,66.01,6500,0
2015-01-22,16:25:00,66.43,66.5,66.15,66.22,4100,0
2015-01-22,16:30:00,66.07,66.08,66.07,66.08,200,0
2015-01-22,16:35:00,66.1,66.12,66.1,66.12,300,0
2015-01-22,16:40:00,66.35,66.5,66.24,66.38,3900,0
2015-01-22,16:45:00,66.49,66.55,66.41,66.55,3200,0
2015-01-22,16:50:00,66.55,66.58,66.18,66.58,1100,0
2015-01-22,16:55:00,66.85,66.85,66.59,66.59,500,0
2015-01-22,17:00:00,66.6,66.6,66.59,66.6,400,0
2015-01-22,17:05:00,66.6,66.62,66.57,66.57,500,0
2015-01-22,17:10:00,66.84,66.84,66.54,66.54,1300,0
2015-01-22,17:25:00,66.47,66.76,66.47,66.48,2799,0
2015-01-22,17:30:00,66.49,66.5,66.44,66.44,1200,0
2015-01-22,17:35:00,66.44,66.6,66.18,66.19,800,0
2015-01-22,17:40:00,66.57,66.57,66.34,66.34,700,0
2015-01-22,17:45:00,66.47,66.47,66.36,66.36,1200,0
2015-01-22,17:50:00,66.19,66.19,66.19,66.19,500,0
2015-01-22,18:00:00,66.51,66.51,66.22,66.22,800,0
2015-01-22,18:15:00,66.3,66.63,66.3,66.52,600,0
2015-01-22,18:20:00,66.48,66.88,66.47,66.47,2100,0
2015-01-22,18:25:00,66.66,66.68,66.47,66.47,3200,0
2015-01-22,18:30:00,66.47,66.73,66.33,66.73,2000,0
2015-01-22,18:55:00,66.76,66.76,66.76,66.76,800,0
2015-01-22,19:00:00,66.6,66.6,66.6,66.6,400,0
2015-01-22,19:05:00,66.65,66.67,66.63,66.67,800,0
2015-01-22,19:25:00,66.73,66.92,66.73,66.73,500,0
2015-01-22,19:30:00,66.73,66.73,66.71,66.71,1400,0
2015-01-22,19:35:00,66.63,66.86,66.63,66.65,1600,0
2015-01-22,19:40:00,66.62,66.62,66.6,66.6,700,0
2015-01-22,19:45:00,66.6,66.63,66.6,66.6,500,0
2015-01-22,19:50:00,66.6,66.64,66.51,66.64,800,0
2015-01-22,19:55:00,66.58,66.66,66.58,66.66,700,0
2015-01-22,20:00:00,66.57,66.57,66.57,66.57,600,0
2015-01-22,20:05:00,66.65,66.65,66.65,66.65,200,0
2015-01-22,20:10:00,66.57,66.59,66.57,66.58,600,0
