Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-02-03,16:50:00,55.45,55.55,55.45,55.53,14806,0
2015-02-03,16:55:00,55.55,55.63,55.53,55.62,21504,0
2015-02-03,17:00:00,55.63,55.66,55.56,55.56,34027,0
2015-02-03,17:05:00,55.55,55.6,55.41,55.42,27890,0
2015-02-03,17:10:00,55.41,55.54,55.4,55.51,15670,0
2015-02-03,17:15:00,55.51,55.59,55.44,55.55,36297,0
2015-02-03,17:20:00,55.55,55.56,55.49,55.54,28734,0
2015-02-03,17:25:00,55.54,55.54,55.42,55.45,70828,0
2015-02-03,17:30:00,55.44,55.51,55.42,55.51,20591,0
2015-02-03,17:35:00,55.52,55.52,55.41,55.45,36155,0
2015-02-03,17:40:00,55.46,55.48,55.34,55.35,49280,0
2015-02-03,17:45:00,55.36,55.42,55.34,55.36,22060,0
2015-02-03,17:50:00,55.36,55.42,55.34,55.39,27684,0
2015-02-03,17:55:00,55.4,55.45,55.34,55.34,11073,0
2015-02-03,18:00:00,55.36,55.4,55.34,55.4,13545,0
2015-02-03,18:05:00,55.38,55.38,55.33,55.38,117466,0
2015-02-03,18:10:00,55.36,55.36,55.21,55.25,12505,0
2015-02-03,18:15:00,55.24,55.36,55.2,55.35,8893,0
2015-02-03,18:20:00,55.36,55.4,55.34,55.4,12229,0
2015-02-03,18:25:00,55.41,55.44,55.35,55.35,12996,0
2015-02-03,18:30:00,55.36,55.44,55.34,55.44,13048,0
2015-02-03,18:35:00,55.42,55.43,55.33,55.36,43211,0
2015-02-03,18:40:00,55.37,55.41,55.36,55.38,10809,0
2015-02-03,18:45:00,55.38,55.39,55.35,55.36,22106,0
2015-02-03,18:50:00,55.36,55.41,55.35,55.38,33197,0
2015-02-03,18:55:00,55.4,55.44,55.38,55.44,5526,0
2015-02-03,19:00:00,55.43,55.48,55.41,55.41,7097,0
2015-02-03,19:05:00,55.41,55.52,55.4,55.48,10636,0
2015-02-03,19:10:00,55.49,55.58,55.49,55.55,15172,0
2015-02-03,19:15:00,55.57,55.65,55.55,55.64,12039,0
2015-02-03,19:20:00,55.64,55.65,55.61,55.62,13241,0
2015-02-03,19:25:00,55.63,55.73,55.63,55.7,32506,0
2015-02-03,19:30:00,55.7,55.76,55.7,55.76,37336,0
2015-02-03,19:35:00,55.74,55.83,55.73,55.76,29971,0
2015-02-03,19:40:00,55.76,55.79,55.7,55.7,10673,0
2015-02-03,19:45:00,55.7,55.79,55.68,55.78,12120,0
2015-02-03,19:50:00,55.8,55.85,55.79,55.8,17018,0
2015-02-03,19:55:00,55.8,55.83,55.75,55.82,9279,0
2015-02-03,20:00:00,55.82,55.86,55.8,55.84,16791,0
2015-02-03,20:05:00,55.84,55.86,55.79,55.8,24134,0
2015-02-03,20:10:00,55.81,55.83,55.68,55.68,15283,0
2015-02-03,20:15:00,55.7,55.72,55.67,55.68,12304,0
2015-02-03,20:20:00,55.68,55.75,55.66,55.66,43199,0
2015-02-03,20:25:00,55.65,55.68,55.63,55.64,45871,0
2015-02-03,20:30:00,55.63,55.65,55.59,55.63,40245,0
2015-02-03,20:35:00,55.65,55.67,55.51,55.54,17618,0
2015-02-03,20:40:00,55.53,55.56,55.46,55.55,39305,0
2015-02-03,20:45:00,55.56,55.62,55.54,55.62,12166,0
2015-02-03,20:50:00,55.63,55.63,55.57,55.58,10025,0
2015-02-03,20:55:00,55.56,55.56,55.49,55.49,34823,0
2015-02-03,21:00:00,55.51,55.56,55.5,55.55,29146,0
2015-02-03,21:05:00,55.56,55.58,55.52,55.58,11095,0
2015-02-03,21:10:00,55.57,55.59,55.56,55.59,20019,0
2015-02-03,21:15:00,55.58,55.6,55.53,55.6,16751,0
2015-02-03,21:20:00,55.61,55.65,55.61,55.65,14533,0
2015-02-03,21:25:00,55.65,55.71,55.65,55.71,9132,0
2015-02-03,21:30:00,55.72,55.72,55.64,55.68,26606,0
2015-02-03,21:35:00,55.7,55.74,55.68,55.7,27641,0
2015-02-03,21:40:00,55.7,55.73,55.7,55.72,22873,0
2015-02-03,21:45:00,55.73,55.77,55.72,55.76,22807,0
2015-02-03,21:50:00,55.77,55.77,55.73,55.74,45350,0
2015-02-03,21:55:00,55.74,55.74,55.72,55.72,35091,0
2015-02-03,22:00:00,55.72,55.84,55.46,55.46,205477,0
2015-02-04,15:35:00,54.09,54.09,53.92,53.94,47532,0
2015-02-04,15:40:00,53.93,54.13,53.81,54.13,49538,0
2015-02-04,15:45:00,54.13,54.3,53.98,54.24,77967,0
2015-02-04,15:50:00,54.23,54.23,54.0,54.03,29242,0
2015-02-04,15:55:00,54.04,54.07,53.7,53.79,65926,0
2015-02-04,16:00:00,53.77,53.99,53.71,53.96,12898,0
2015-02-04,16:05:00,53.96,54.06,53.93,54.03,24273,0
2015-02-04,16:10:00,54.09,54.15,53.95,53.96,19809,0
2015-02-04,16:15:00,53.93,54.27,53.91,54.15,20437,0
2015-02-04,16:20:00,54.2,54.21,54.12,54.16,5171,0
2015-02-04,16:25:00,54.18,54.28,54.16,54.25,43312,0
2015-02-04,16:30:00,54.25,54.33,54.22,54.31,95082,0
2015-02-04,16:35:00,54.28,54.3,53.85,54.03,33480,0
2015-02-04,16:40:00,54.01,54.03,53.86,54.03,89053,0
2015-02-04,16:45:00,54.03,54.24,53.97,54.24,23770,0
2015-02-04,16:50:00,54.25,54.26,54.14,54.23,16650,0
2015-02-04,16:55:00,54.26,54.26,54.15,54.16,6781,0
2015-02-04,17:00:00,54.2,54.3,54.12,54.26,8760,0
2015-02-04,17:05:00,54.23,54.26,54.12,54.23,29635,0
2015-02-04,17:10:00,54.21,54.26,54.15,54.26,12985,0
2015-02-04,17:15:00,54.24,54.27,54.2,54.26,15436,0
2015-02-04,17:20:00,54.24,54.44,54.23,54.29,10295,0
2015-02-04,17:25:00,54.29,54.42,54.28,54.38,30613,0
2015-02-04,17:30:00,54.41,54.47,54.38,54.43,40153,0
2015-02-04,17:35:00,54.43,54.55,54.43,54.55,4991,0
2015-02-04,17:40:00,54.54,54.54,54.49,54.5,6662,0
2015-02-04,17:45:00,54.49,54.49,54.41,54.44,6629,0
2015-02-04,17:50:00,54.45,54.52,54.45,54.52,16086,0
2015-02-04,17:55:00,54.52,54.53,54.49,54.52,7475,0
2015-02-04,18:00:00,54.52,54.52,54.48,54.51,9560,0
2015-02-04,18:05:00,54.5,54.55,54.5,54.55,11210,0
2015-02-04,18:10:00,54.55,54.59,54.55,54.57,6470,0
2015-02-04,18:15:00,54.57,54.59,54.55,54.55,7599,0
2015-02-04,18:20:00,54.56,54.63,54.56,54.59,8893,0
2015-02-04,18:25:00,54.6,54.66,54.58,54.63,8467,0
2015-02-04,18:30:00,54.65,54.65,54.42,54.42,8412,0
2015-02-04,18:35:00,54.4,54.45,54.37,54.45,17071,0
2015-02-04,18:40:00,54.43,54.43,54.37,54.41,6648,0
2015-02-04,18:45:00,54.41,54.41,54.29,54.3,13549,0
2015-02-04,18:50:00,54.28,54.36,54.28,54.31,7663,0
2015-02-04,18:55:00,54.33,54.42,54.33,54.38,5005,0
2015-02-04,19:00:00,54.36,54.36,54.3,54.31,8294,0
2015-02-04,19:05:00,54.31,54.38,54.31,54.38,2378,0
2015-02-04,19:10:00,54.4,54.41,54.38,54.41,5002,0
2015-02-04,19:15:00,54.4,54.42,54.38,54.4,10037,0
2015-02-04,19:20:00,54.42,54.44,54.35,54.37,8696,0
2015-02-04,19:25:00,54.35,54.47,54.34,54.47,6281,0
2015-02-04,19:30:00,54.47,54.49,54.46,54.48,4830,0
