Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-01-06,17:30:00,24.52,24.56,24.52,24.56,1110,0
2015-01-06,17:35:00,24.521,24.521,24.521,24.521,920,0
2015-01-06,17:45:00,24.531,24.531,24.531,24.531,808,0
2015-01-06,17:50:00,24.531,24.531,24.512,24.512,1414,0
2015-01-06,17:55:00,24.521,24.531,24.512,24.512,1002,0
2015-01-06,18:05:00,24.58,24.58,24.58,24.58,504,0
2015-01-06,18:20:00,24.55,24.55,24.55,24.55,399,0
2015-01-06,18:30:00,24.57,24.57,24.57,24.57,100,0
2015-01-06,18:35:00,24.57,24.64,24.512,24.6,5282,0
2015-01-06,19:00:00,24.61,24.62,24.59,24.59,2932,0
2015-01-06,19:05:00,24.59,24.61,24.57,24.57,1813,0
2015-01-06,19:10:00,24.62,24.64,24.62,24.64,606,0
2015-01-06,19:15:00,24.64,24.64,24.64,24.64,202,0
2015-01-06,19:45:00,24.69,24.69,24.69,24.69,100,0
2015-01-06,20:00:00,24.69,24.69,24.69,24.69,202,0
2015-01-06,20:05:00,24.69,24.72,24.6,24.6,2425,0
2015-01-06,20:15:00,24.71,24.72,24.71,24.72,202,0
2015-01-06,20:25:00,24.67,24.67,24.67,24.67,186,0
2015-01-06,20:30:00,24.729,24.729,24.729,24.729,202,0
2015-01-06,20:40:00,24.768,24.768,24.768,24.768,404,0
2015-01-06,20:45:00,24.768,24.768,24.768,24.768,202,0
2015-01-06,20:55:00,24.65,24.65,24.65,24.65,2020,0
2015-01-06,21:00:00,24.778,24.778,24.778,24.778,202,0
2015-01-06,21:15:00,24.778,24.778,24.778,24.778,100,0
2015-01-06,21:20:00,24.778,24.778,24.67,24.67,406,0
2015-01-06,21:25:00,24.778,24.778,24.778,24.778,302,0
2015-01-06,21:35:00,24.808,24.808,24.808,24.808,100,0
2015-01-06,21:40:00,24.798,24.798,24.758,24.758,404,0
2015-01-06,21:50:00,24.778,24.778,24.778,24.778,100,0
2015-01-06,22:00:00,24.758,24.758,24.739,24.758,808,0
2015-01-07,15:40:00,24.947,25.006,24.947,25.006,504,0
2015-01-07,15:45:00,25.016,25.016,25.016,25.016,100,0
2015-01-07,15:50:00,25.006,25.006,24.986,24.986,302,0
2015-01-07,15:55:00,24.966,24.966,24.966,24.966,100,0
2015-01-07,16:00:00,24.966,24.966,24.966,24.966,202,0
2015-01-07,16:05:00,25.006,25.016,25.006,25.016,202,0
2015-01-07,16:10:00,25.026,25.026,24.956,24.956,404,0
2015-01-07,16:15:00,24.868,24.868,24.868,24.868,706,0
2015-01-07,16:20:00,24.908,24.908,24.908,24.908,100,0
2015-01-07,16:25:00,24.918,24.918,24.918,24.918,100,0
2015-01-07,16:30:00,24.868,24.868,24.868,24.868,100,0
2015-01-07,16:35:00,24.858,24.868,24.828,24.868,504,0
2015-01-07,16:40:00,24.888,24.888,24.888,24.888,908,0
2015-01-07,16:45:00,24.798,24.798,24.758,24.758,1110,0
2015-01-07,16:55:00,24.788,24.788,24.788,24.788,404,0
2015-01-07,17:00:00,24.838,24.868,24.838,24.868,808,0
2015-01-07,17:05:00,24.868,24.868,24.858,24.858,302,0
2015-01-07,17:10:00,24.858,24.858,24.858,24.858,100,0
2015-01-07,17:15:00,24.848,24.848,24.848,24.848,302,0
2015-01-07,17:20:00,24.71,24.71,24.71,24.71,1010,0
2015-01-07,17:30:00,24.848,24.848,24.848,24.848,202,0
2015-01-07,17:45:00,24.828,24.828,24.828,24.828,202,0
2015-01-07,18:00:00,24.828,24.828,24.828,24.828,302,0
2015-01-07,18:15:00,24.908,24.966,24.908,24.966,1514,0
2015-01-07,18:45:00,25.016,25.016,25.016,25.016,100,0
2015-01-07,18:50:00,24.908,24.908,24.908,24.908,808,0
2015-01-07,19:00:00,25.036,25.036,25.036,25.036,202,0
