Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-01-29,16:45:00,42.80,42.80,42.62,42.68,13525,0
2015-01-29,16:50:00,42.7,42.83,42.66,42.77,10225,0
2015-01-29,16:55:00,42.86,42.98,42.79,42.88,4100,0
2015-01-29,17:00:00,42.97,43.18,42.88,43.18,7900,0
2015-01-29,17:05:00,43.12,43.12,42.86,42.86,3800,0
2015-01-29,17:10:00,42.88,42.93,42.81,42.93,4700,0
2015-01-29,17:15:00,42.91,43.35,42.91,43.35,6600,0
2015-01-29,17:20:00,43.25,43.27,43.02,43.03,5000,0
2015-01-29,17:25:00,43.12,43.12,42.98,42.99,4000,0
2015-01-29,17:30:00,42.91,42.91,42.71,42.71,4700,0
2015-01-29,17:35:00,42.88,43.01,42.85,42.85,5000,0
2015-01-29,17:40:00,42.87,43.04,42.87,43.02,2638,0
2015-01-29,17:45:00,43.09,43.12,43.0,43.0,2400,0
2015-01-29,17:50:00,43.0,43.09,42.95,43.09,2900,0
2015-01-29,17:55:00,43.08,43.08,42.91,42.94,7585,0
2015-01-29,18:00:00,42.87,43.02,42.72,42.78,22852,0
2015-01-29,18:05:00,42.88,42.88,42.8,42.85,5336,0
2015-01-29,18:10:00,42.87,42.96,42.71,42.73,10150,0
2015-01-29,18:15:00,42.89,42.89,42.68,42.68,7097,0
2015-01-29,18:20:00,42.67,42.75,42.66,42.67,1948,0
2015-01-29,18:25:00,42.71,42.71,42.57,42.66,2900,0
2015-01-29,18:30:00,42.68,42.68,42.56,42.6,4400,0
2015-01-29,18:35:00,42.57,42.63,42.52,42.58,5300,0
2015-01-29,18:40:00,42.6,42.64,42.55,42.55,2700,0
2015-01-29,18:45:00,42.53,42.55,42.43,42.44,2700,0
2015-01-29,18:50:00,42.41,42.51,42.35,42.46,5500,0
2015-01-29,18:55:00,42.51,42.63,42.48,42.63,2000,0
2015-01-29,19:00:00,42.61,42.61,42.55,42.56,1500,0
2015-01-29,19:05:00,42.58,42.62,42.54,42.58,3805,0
2015-01-29,19:10:00,42.62,42.73,42.55,42.63,6418,0
2015-01-29,19:15:00,42.7,42.75,42.7,42.73,1114,0
2015-01-29,19:20:00,42.79,42.81,42.71,42.73,5500,0
2015-01-29,19:25:00,42.8,42.82,42.69,42.74,10750,0
2015-01-29,19:30:00,42.76,42.8,42.66,42.79,21833,0
2015-01-29,19:35:00,42.76,42.76,42.57,42.71,12281,0
2015-01-29,19:40:00,42.79,42.8,42.75,42.77,5400,0
2015-01-29,19:45:00,42.78,42.84,42.75,42.8,3700,0
2015-01-29,19:50:00,42.79,42.82,42.63,42.82,13800,0
2015-01-29,19:55:00,42.83,42.91,42.81,42.81,3060,0
2015-01-29,20:00:00,42.88,42.93,42.8,42.93,14592,0
2015-01-29,20:05:00,42.96,43.04,42.94,43.04,2260,0
2015-01-29,20:10:00,43.06,43.06,43.03,43.04,1300,0
2015-01-29,20:15:00,43.01,43.07,43.0,43.02,3200,0
2015-01-29,20:20:00,43.02,43.04,42.86,42.86,5987,0
2015-01-29,20:25:00,42.9,43.04,42.9,42.99,9000,0
2015-01-29,20:30:00,43.0,43.08,42.98,43.08,4820,0
2015-01-29,20:35:00,43.12,43.23,43.12,43.23,2400,0
2015-01-29,20:40:00,43.19,43.19,43.11,43.17,4500,0
2015-01-29,20:45:00,43.15,43.17,43.0,43.03,13717,0
2015-01-29,20:50:00,43.05,43.06,42.97,43.03,6600,0
2015-01-29,20:55:00,42.98,43.07,42.92,43.02,8600,0
2015-01-29,21:00:00,43.03,43.03,42.93,42.97,9662,0
2015-01-29,21:05:00,43.0,43.04,42.98,43.03,4500,0
2015-01-29,21:10:00,43.04,43.11,43.04,43.11,2600,0
2015-01-29,21:15:00,43.11,43.12,43.01,43.04,3600,0
2015-01-29,21:20:00,43.06,43.06,42.94,42.99,11700,0
2015-01-29,21:25:00,43.02,43.16,43.0,43.15,8900,0
2015-01-29,21:30:00,43.24,43.28,43.19,43.19,5803,0
2015-01-29,21:35:00,43.17,43.17,43.05,43.13,22218,0
2015-01-29,21:40:00,43.16,43.36,43.16,43.25,4800,0
2015-01-29,21:45:00,43.35,43.4,43.28,43.28,5400,0
2015-01-29,21:50:00,43.3,43.33,43.19,43.31,33400,0
2015-01-29,21:55:00,43.32,43.37,43.14,43.28,106893,0
2015-01-29,22:00:00,43.31,43.33,43.06,43.19,73759,0
2015-01-30,15:35:00,43.0,43.62,43.0,43.62,10397,0
2015-01-30,15:40:00,43.62,43.62,43.15,43.15,2801,0
2015-01-30,15:45:00,43.17,43.57,43.17,43.57,3500,0
2015-01-30,15:50:00,43.39,43.66,43.37,43.49,3204,0
2015-01-30,15:55:00,43.34,43.62,43.34,43.49,2600,0
2015-01-30,16:00:00,43.76,43.82,43.48,43.53,3646,0
2015-01-30,16:05:00,43.53,43.54,43.4,43.54,2000,0
2015-01-30,16:10:00,43.43,43.43,43.17,43.18,2800,0
2015-01-30,16:15:00,43.0,43.0,42.73,42.9,3100,0
2015-01-30,16:20:00,42.9,43.14,42.82,43.14,3654,0
2015-01-30,16:25:00,43.12,43.12,42.88,42.88,5100,0
2015-01-30,16:30:00,42.82,42.92,42.81,42.81,2400,0
2015-01-30,16:35:00,42.79,42.8,42.49,42.5,4602,0
2015-01-30,16:40:00,42.45,42.71,42.36,42.71,3800,0
2015-01-30,16:45:00,42.83,42.84,42.8,42.8,700,0
2015-01-30,16:50:00,42.79,43.04,42.75,43.03,8936,0
2015-01-30,16:55:00,43.02,43.15,42.86,43.1,23322,0
2015-01-30,17:00:00,43.02,43.21,42.98,43.17,6600,0
2015-01-30,17:05:00,43.2,43.2,43.07,43.19,3500,0
2015-01-30,17:10:00,43.12,43.13,43.02,43.11,3050,0
2015-01-30,17:15:00,43.1,43.11,42.86,42.91,5000,0
2015-01-30,17:20:00,42.89,43.05,42.85,43.05,1743,0
2015-01-30,17:25:00,43.03,43.05,42.81,42.85,2000,0
2015-01-30,17:30:00,42.95,43.14,42.95,43.01,3091,0
2015-01-30,17:35:00,43.07,43.08,42.99,42.99,1100,0
2015-01-30,17:40:00,43.05,43.05,42.99,42.99,600,0
2015-01-30,17:45:00,43.01,43.03,42.95,43.03,1500,0
2015-01-30,17:50:00,43.03,43.08,42.84,42.91,24703,0
2015-01-30,17:55:00,42.91,42.97,42.88,42.94,3000,0
2015-01-30,18:00:00,42.98,43.01,42.86,42.97,8724,0
2015-01-30,18:05:00,43.04,43.04,42.96,43.02,2400,0
2015-01-30,18:10:00,43.03,43.17,42.99,43.14,5700,0
2015-01-30,18:15:00,43.2,43.43,43.19,43.43,4631,0
2015-01-30,18:20:00,43.43,43.6,43.4,43.57,15163,0
2015-01-30,18:25:00,43.53,43.53,43.48,43.49,1100,0
2015-01-30,18:30:00,43.54,43.67,43.54,43.67,1500,0
2015-01-30,18:35:00,43.69,43.8,43.54,43.54,8201,0
2015-01-30,18:40:00,43.5,43.61,43.47,43.6,7604,0
2015-01-30,18:45:00,43.59,43.75,43.51,43.7,4700,0
2015-01-30,18:50:00,43.7,43.72,43.64,43.72,2333,0
2015-01-30,18:55:00,43.75,43.82,43.71,43.73,6900,0
2015-01-30,19:00:00,43.72,43.72,43.57,43.64,2800,0
2015-01-30,19:05:00,43.75,43.75,43.59,43.75,24538,0
2015-01-30,19:10:00,43.74,43.74,43.6,43.66,7245,0
2015-01-30,19:15:00,43.65,43.7,43.5,43.53,3700,0
2015-01-30,19:20:00,43.49,43.57,43.41,43.47,31400,0
2015-01-30,19:25:00,43.53,43.53,43.39,43.39,2700,0
2015-01-30,19:30:00,43.37,43.49,43.34,43.49,6500,0
2015-01-30,19:35:00,43.47,43.61,43.44,43.61,3000,0
2015-01-30,19:40:00,43.58,43.6,43.37,43.38,16574,0
2015-01-30,19:45:00,43.38,43.41,43.24,43.41,15612,0
2015-01-30,19:50:00,43.41,43.5,43.37,43.5,3000,0
2015-01-30,19:55:00,43.51,43.55,43.34,43.38,9707,0
2015-01-30,20:00:00,43.32,43.42,43.27,43.36,17904,0
2015-01-30,20:05:00,43.38,43.39,43.22,43.31,54270,0
2015-01-30,20:10:00,43.3,43.4,43.28,43.4,15451,0
2015-01-30,20:15:00,43.42,43.42,43.3,43.3,16612,0
2015-01-30,20:20:00,43.3,43.42,43.29,43.42,6878,0
2015-01-30,20:25:00,43.36,43.47,43.35,43.36,17872,0
2015-01-30,20:30:00,43.38,43.52,43.33,43.52,7000,0
2015-01-30,20:35:00,43.5,43.66,43.38,43.38,16110,0
2015-01-30,20:40:00,43.4,43.44,43.4,43.4,7660,0
2015-01-30,20:45:00,43.4,43.41,43.17,43.17,7902,0
2015-01-30,20:50:00,43.2,43.22,42.91,43.06,173807,0
2015-01-30,20:55:00,43.03,43.03,42.85,42.89,21300,0
2015-01-30,21:00:00,42.91,43.03,42.79,43.03,20200,0
2015-01-30,21:05:00,43.03,43.09,42.93,42.95,3400,0
2015-01-30,21:10:00,42.99,43.04,42.84,42.84,6394,0
2015-01-30,21:15:00,42.87,43.01,42.86,42.99,6100,0
2015-01-30,21:20:00,42.94,43.04,42.85,42.85,35396,0
2015-01-30,21:25:00,42.9,42.9,42.72,42.81,63922,0
2015-01-30,21:30:00,42.77,42.78,42.65,42.78,7800,0
2015-01-30,21:35:00,42.77,42.9,42.75,42.88,12800,0
2015-01-30,21:40:00,42.81,43.21,42.81,43.09,31000,0
