Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-02-03,16:50:00,10.09,10.15,10.08,10.10,59899,0
2015-02-03,16:55:00,10.09,10.1,10.0,10.1,90875,0
2015-02-03,17:00:00,10.08,10.14,10.03,10.04,28095,0
2015-02-03,17:05:00,10.03,10.06,10.01,10.02,60796,0
2015-02-03,17:10:00,10.02,10.09,10.01,10.09,29934,0
2015-02-03,17:15:00,10.09,10.11,10.07,10.07,60660,0
2015-02-03,17:20:00,10.08,10.15,10.08,10.15,112164,0
2015-02-03,17:25:00,10.15,10.2,10.11,10.19,69190,0
2015-02-03,17:30:00,10.19,10.2,10.09,10.13,89378,0
2015-02-03,17:35:00,10.15,10.19,10.14,10.17,21057,0
2015-02-03,17:40:00,10.18,10.19,10.1,10.13,63508,0
2015-02-03,17:45:00,10.12,10.18,10.12,10.15,19248,0
2015-02-03,17:50:00,10.15,10.15,10.11,10.14,19990,0
2015-02-03,17:55:00,10.15,10.2,10.11,10.18,71740,0
2015-02-03,18:00:00,10.19,10.25,10.18,10.24,119600,0
2015-02-03,18:05:00,10.23,10.25,10.18,10.19,73946,0
2015-02-03,18:10:00,10.19,10.22,10.12,10.2,61245,0
2015-02-03,18:15:00,10.2,10.21,10.17,10.2,23094,0
2015-02-03,18:20:00,10.19,10.2,10.17,10.18,9655,0
2015-02-03,18:25:00,10.18,10.22,10.18,10.21,43661,0
2015-02-03,18:30:00,10.21,10.24,10.21,10.22,34619,0
2015-02-03,18:35:00,10.21,10.27,10.2,10.26,91214,0
2015-02-03,18:40:00,10.27,10.3,10.22,10.24,39001,0
2015-02-03,18:45:00,10.25,10.28,10.24,10.28,32655,0
2015-02-03,18:50:00,10.29,10.33,10.27,10.27,57412,0
2015-02-03,18:55:00,10.28,10.31,10.26,10.31,22212,0
2015-02-03,19:00:00,10.31,10.38,10.28,10.33,180867,0
2015-02-03,19:05:00,10.33,10.37,10.29,10.36,33867,0
2015-02-03,19:10:00,10.37,10.38,10.3,10.32,37089,0
2015-02-03,19:15:00,10.33,10.37,10.3,10.36,24716,0
2015-02-03,19:20:00,10.36,10.39,10.33,10.34,47640,0
2015-02-03,19:25:00,10.35,10.38,10.31,10.33,28146,0
2015-02-03,19:30:00,10.34,10.34,10.3,10.31,13770,0
2015-02-03,19:35:00,10.31,10.32,10.28,10.29,30914,0
2015-02-03,19:40:00,10.28,10.3,10.21,10.23,30977,0
2015-02-03,19:45:00,10.24,10.29,10.24,10.29,20750,0
2015-02-03,19:50:00,10.27,10.28,10.25,10.26,18351,0
2015-02-03,19:55:00,10.26,10.27,10.22,10.26,36301,0
2015-02-03,20:00:00,10.26,10.37,10.26,10.35,42259,0
2015-02-03,20:05:00,10.36,10.38,10.34,10.34,30125,0
2015-02-03,20:10:00,10.34,10.34,10.29,10.31,21194,0
2015-02-03,20:15:00,10.31,10.32,10.24,10.27,720813,0
2015-02-03,20:20:00,10.29,10.36,10.28,10.33,51022,0
2015-02-03,20:25:00,10.33,10.34,10.28,10.29,30011,0
2015-02-03,20:30:00,10.29,10.29,10.19,10.26,69400,0
2015-02-03,20:35:00,10.27,10.38,10.27,10.33,115926,0
2015-02-03,20:40:00,10.33,10.38,10.31,10.38,69987,0
2015-02-03,20:45:00,10.37,10.38,10.36,10.37,19746,0
2015-02-03,20:50:00,10.36,10.37,10.34,10.35,198857,0
2015-02-03,20:55:00,10.36,10.4,10.34,10.39,50238,0
