Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-02-03,16:50:00,43.49,43.52,43.42,43.47,21525,0
2015-02-03,16:55:00,43.47,43.51,43.41,43.48,12822,0
2015-02-03,17:00:00,43.5,43.52,43.32,43.34,31959,0
2015-02-03,17:05:00,43.32,43.33,43.21,43.26,26298,0
2015-02-03,17:10:00,43.25,43.37,43.22,43.35,23532,0
2015-02-03,17:15:00,43.36,43.41,43.29,43.39,53175,0
2015-02-03,17:20:00,43.39,43.46,43.37,43.45,13425,0
2015-02-03,17:25:00,43.46,43.47,43.42,43.44,6998,0
2015-02-03,17:30:00,43.45,43.48,43.4,43.41,37419,0
2015-02-03,17:35:00,43.42,43.46,43.41,43.42,9790,0
2015-02-03,17:40:00,43.42,43.44,43.36,43.44,14298,0
2015-02-03,17:45:00,43.44,43.51,43.4,43.51,16450,0
2015-02-03,17:50:00,43.51,43.51,43.37,43.45,16575,0
2015-02-03,17:55:00,43.43,43.45,43.35,43.38,31981,0
2015-02-03,18:00:00,43.4,43.4,43.32,43.32,30119,0
2015-02-03,18:05:00,43.31,43.33,43.25,43.31,20286,0
2015-02-03,18:10:00,43.33,43.34,43.18,43.18,71423,0
2015-02-03,18:15:00,43.18,43.24,43.16,43.24,20756,0
2015-02-03,18:20:00,43.23,43.25,43.18,43.2,14985,0
2015-02-03,18:25:00,43.2,43.25,43.17,43.17,16884,0
2015-02-03,18:30:00,43.18,43.23,43.17,43.19,15544,0
2015-02-03,18:35:00,43.18,43.18,43.07,43.09,29482,0
2015-02-03,18:40:00,43.09,43.11,43.02,43.06,20166,0
2015-02-03,18:45:00,43.09,43.16,43.09,43.15,24276,0
2015-02-03,18:50:00,43.15,43.18,43.13,43.16,16179,0
2015-02-03,18:55:00,43.18,43.18,43.13,43.14,15230,0
2015-02-03,19:00:00,43.13,43.17,43.08,43.08,21993,0
2015-02-03,19:05:00,43.11,43.21,43.09,43.17,28908,0
2015-02-03,19:10:00,43.16,43.23,43.16,43.23,12629,0
2015-02-03,19:15:00,43.22,43.29,43.19,43.22,26413,0
