Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-01-16,17:30:00,20.90,20.90,20.90,20.90,700,0
2015-01-16,17:45:00,20.91,20.96,20.91,20.95,7497,0
2015-01-16,17:50:00,20.95,20.96,20.95,20.95,10451,0
2015-01-16,17:55:00,20.95,20.95,20.89,20.91,5278,0
2015-01-16,18:00:00,20.89,20.89,20.89,20.89,300,0
2015-01-16,18:05:00,20.89,20.9,20.85,20.87,3650,0
2015-01-16,18:10:00,20.87,20.87,20.87,20.87,500,0
2015-01-16,18:30:00,20.9,20.9,20.86,20.9,2134,0
2015-01-16,18:35:00,20.9,20.9,20.9,20.9,1084,0
2015-01-16,18:45:00,20.93,20.93,20.93,20.93,800,0
2015-01-16,18:50:00,20.93,20.93,20.93,20.93,300,0
2015-01-16,18:55:00,20.94,20.95,20.94,20.95,700,0
2015-01-16,19:10:00,20.94,20.96,20.94,20.94,3200,0
2015-01-16,19:15:00,20.94,20.94,20.92,20.93,2400,0
2015-01-16,19:25:00,20.93,20.93,20.93,20.93,500,0
2015-01-16,19:30:00,20.95,20.95,20.95,20.95,4375,0
2015-01-16,19:35:00,20.93,20.95,20.91,20.91,2960,0
2015-01-16,19:40:00,20.92,20.94,20.92,20.92,2500,0
2015-01-16,19:50:00,20.92,20.92,20.91,20.92,974,0
2015-01-16,20:05:00,20.94,20.96,20.94,20.96,660,0
2015-01-16,20:10:00,20.95,20.95,20.94,20.94,2527,0
2015-01-16,20:20:00,20.94,20.94,20.92,20.92,539,0
2015-01-16,20:25:00,20.95,20.95,20.95,20.95,1260,0
2015-01-16,20:50:00,20.95,20.95,20.93,20.93,620,0
2015-01-16,21:00:00,20.95,20.96,20.95,20.96,2657,0
2015-01-16,21:05:00,20.94,20.94,20.94,20.94,208,0
2015-01-16,21:15:00,20.94,20.94,20.93,20.93,200,0
2015-01-16,21:25:00,20.94,20.96,20.94,20.96,400,0
2015-01-16,21:40:00,20.97,20.97,20.97,20.97,200,0
2015-01-16,21:45:00,20.98,20.98,20.98,20.98,100,0
2015-01-16,21:50:00,20.98,21.0,20.98,21.0,2500,0
2015-01-16,21:55:00,21.04,21.04,21.04,21.04,1100,0
2015-01-16,22:00:00,21.04,21.04,21.02,21.02,520,0
2015-01-20,15:40:00,21.06,21.11,21.02,21.02,3960,0
2015-01-20,15:45:00,21.02,21.02,21.02,21.02,100,0
2015-01-20,15:50:00,21.06,21.07,20.99,20.99,700,0
2015-01-20,15:55:00,20.97,20.97,20.95,20.96,6500,0
2015-01-20,16:00:00,20.96,20.96,20.96,20.96,100,0
2015-01-20,16:10:00,20.94,20.98,20.91,20.98,4856,0
2015-01-20,16:20:00,20.96,20.96,20.93,20.95,2540,0
2015-01-20,16:25:00,20.96,20.96,20.94,20.95,1600,0
2015-01-20,16:35:00,21.0,21.0,21.0,21.0,1024,0
2015-01-20,16:40:00,20.97,20.98,20.97,20.98,1500,0
2015-01-20,16:45:00,20.95,20.95,20.95,20.95,200,0
2015-01-20,17:05:00,20.95,20.95,20.92,20.92,800,0
2015-01-20,17:10:00,20.94,20.94,20.94,20.94,100,0
2015-01-20,17:15:00,20.94,20.94,20.94,20.94,100,0
2015-01-20,17:20:00,20.93,20.93,20.93,20.93,1580,0
2015-01-20,17:25:00,20.94,20.94,20.93,20.93,700,0
2015-01-20,17:35:00,20.94,20.94,20.94,20.94,665,0
2015-01-20,17:45:00,20.93,20.93,20.92,20.93,500,0
2015-01-20,17:50:00,20.92,20.92,20.9,20.9,5500,0
2015-01-20,17:55:00,20.9,20.9,20.9,20.9,700,0
2015-01-20,18:00:00,20.9,20.92,20.9,20.92,900,0
2015-01-20,18:20:00,20.93,20.95,20.92,20.95,700,0
2015-01-20,18:25:00,20.94,20.94,20.94,20.94,300,0
2015-01-20,18:30:00,20.93,20.93,20.92,20.93,1906,0
2015-01-20,18:35:00,20.93,20.93,20.93,20.93,800,0
2015-01-20,18:40:00,20.93,20.93,20.91,20.91,1600,0
2015-01-20,18:45:00,20.92,20.92,20.91,20.91,1600,0
2015-01-20,18:50:00,20.92,20.92,20.92,20.92,500,0
2015-01-20,18:55:00,20.91,20.92,20.91,20.92,900,0
2015-01-20,19:00:00,20.93,20.96,20.93,20.96,694,0
2015-01-20,19:25:00,20.97,20.97,20.97,20.97,200,0
2015-01-20,19:30:00,20.96,20.98,20.96,20.98,600,0
2015-01-20,19:35:00,20.98,20.98,20.95,20.95,2693,0
2015-01-20,19:55:00,20.96,20.98,20.96,20.97,1300,0
2015-01-20,20:35:00,20.99,20.99,20.99,20.99,2400,0
2015-01-20,20:40:00,21.03,21.04,21.03,21.04,1400,0
2015-01-20,20:45:00,21.04,21.04,21.04,21.04,800,0
2015-01-20,20:50:00,21.05,21.05,21.05,21.05,1000,0
2015-01-20,20:55:00,21.05,21.06,21.05,21.06,1469,0
2015-01-20,21:00:00,21.08,21.09,21.08,21.09,1100,0
2015-01-20,21:10:00,21.09,21.09,21.09,21.09,100,0
2015-01-20,21:20:00,21.08,21.08,21.04,21.06,1153,0
2015-01-20,21:25:00,21.06,21.06,21.06,21.06,210,0
2015-01-20,21:35:00,21.06,21.06,21.06,21.06,300,0
2015-01-20,21:40:00,21.06,21.06,21.04,21.04,576,0
2015-01-20,21:50:00,21.07,21.07,21.07,21.07,390,0
2015-01-20,22:00:00,21.04,21.05,21.03,21.04,922,0
2015-01-21,15:40:00,21.01,21.07,20.96,21.07,5000,0
2015-01-21,15:45:00,21.07,21.15,21.07,21.1,2500,0
2015-01-21,15:50:00,21.09,21.09,21.03,21.04,2800,0
2015-01-21,15:55:00,21.04,21.08,21.04,21.08,600,0
2015-01-21,16:00:00,21.08,21.1,21.05,21.08,2300,0
2015-01-21,16:05:00,21.07,21.09,21.07,21.09,1500,0
2015-01-21,16:10:00,21.08,21.08,21.08,21.08,700,0
2015-01-21,16:15:00,21.06,21.08,21.06,21.06,5200,0
2015-01-21,16:20:00,21.06,21.07,21.05,21.06,1610,0
2015-01-21,16:25:00,21.07,21.09,21.07,21.09,3400,0
2015-01-21,16:30:00,21.1,21.12,21.08,21.08,6551,0
2015-01-21,16:40:00,21.09,21.09,21.09,21.09,1500,0
2015-01-21,16:45:00,21.08,21.1,21.07,21.1,3600,0
2015-01-21,16:50:00,21.11,21.12,21.11,21.12,500,0
2015-01-21,16:55:00,21.12,21.13,21.12,21.13,300,0
2015-01-21,17:05:00,21.17,21.17,21.17,21.17,100,0
2015-01-21,17:20:00,21.18,21.19,21.15,21.15,3900,0
2015-01-21,17:35:00,21.16,21.16,21.16,21.16,100,0
2015-01-21,17:45:00,21.16,21.16,21.15,21.15,900,0
2015-01-21,18:30:00,21.19,21.19,21.19,21.19,1000,0
2015-01-21,18:55:00,21.16,21.16,21.16,21.16,100,0
2015-01-21,19:00:00,21.14,21.14,21.14,21.14,1100,0
2015-01-21,19:10:00,21.16,21.16,21.16,21.16,1160,0
2015-01-21,19:30:00,21.14,21.14,21.14,21.14,300,0
2015-01-21,19:35:00,21.13,21.13,21.13,21.13,200,0
2015-01-21,19:40:00,21.12,21.12,21.11,21.11,650,0
2015-01-21,19:45:00,21.12,21.12,21.12,21.12,100,0
2015-01-21,20:00:00,21.09,21.09,21.09,21.09,280,0
2015-01-21,20:25:00,21.11,21.14,21.11,21.14,2097,0
2015-01-21,20:40:00,21.13,21.13,21.12,21.12,281,0
2015-01-21,20:45:00,21.09,21.09,21.09,21.09,1100,0
2015-01-21,20:50:00,21.09,21.09,21.09,21.09,1485,0
2015-01-21,20:55:00,21.15,21.15,21.12,21.12,550,0
2015-01-21,21:30:00,21.15,21.15,21.14,21.14,5300,0
2015-01-21,21:35:00,21.14,21.14,21.13,21.13,900,0
2015-01-21,21:40:00,21.13,21.14,21.13,21.14,400,0
2015-01-21,21:45:00,21.14,21.14,21.14,21.14,200,0
2015-01-21,21:50:00,21.13,21.14,21.1,21.12,2700,0
2015-01-21,22:00:00,21.12,21.12,21.1,21.1,900,0
2015-01-22,15:35:00,21.19,21.19,21.18,21.19,700,0
2015-01-22,15:50:00,21.1,21.1,21.08,21.08,900,0
2015-01-22,15:55:00,21.09,21.12,21.08,21.11,3900,0
2015-01-22,16:05:00,21.12,21.12,21.11,21.12,4500,0
2015-01-22,16:10:00,21.12,21.12,21.12,21.12,700,0
2015-01-22,16:15:00,21.12,21.14,21.12,21.12,23509,0
2015-01-22,16:20:00,21.12,21.18,21.12,21.15,9237,0
2015-01-22,16:30:00,21.17,21.17,21.17,21.17,100,0
2015-01-22,16:35:00,21.17,21.17,21.17,21.17,400,0
2015-01-22,16:40:00,21.15,21.19,21.15,21.17,3100,0
2015-01-22,16:45:00,21.17,21.2,21.17,21.2,668,0
2015-01-22,16:50:00,21.2,21.2,21.2,21.2,200,0
2015-01-22,16:55:00,21.21,21.21,21.2,21.2,600,0
2015-01-22,17:00:00,21.23,21.25,21.23,21.25,3300,0
2015-01-22,17:05:00,21.23,21.25,21.23,21.25,200,0
2015-01-22,17:10:00,21.23,21.23,21.23,21.23,300,0
2015-01-22,17:25:00,21.22,21.22,21.22,21.22,100,0
2015-01-22,17:45:00,21.21,21.22,21.21,21.21,1830,0
2015-01-22,17:50:00,21.22,21.22,21.22,21.22,100,0
2015-01-22,17:55:00,21.21,21.21,21.19,21.21,2900,0
2015-01-22,18:00:00,21.2,21.2,21.2,21.2,200,0
2015-01-22,18:05:00,21.23,21.23,21.22,21.22,300,0
2015-01-22,18:15:00,21.21,21.22,21.21,21.22,390,0
2015-01-22,18:20:00,21.2,21.2,21.2,21.2,1051,0
2015-01-22,18:25:00,21.2,21.22,21.2,21.22,1447,0
2015-01-22,18:50:00,21.21,21.21,21.17,21.17,1985,0
2015-01-22,18:55:00,21.2,21.2,21.2,21.2,1000,0
2015-01-22,19:00:00,21.21,21.21,21.2,21.2,2597,0
2015-01-22,19:05:00,21.22,21.22,21.22,21.22,300,0
2015-01-22,19:20:00,21.2,21.2,21.2,21.2,400,0
2015-01-22,19:25:00,21.22,21.22,21.22,21.22,100,0
2015-01-22,19:35:00,21.22,21.22,21.22,21.22,100,0
2015-01-22,19:45:00,21.22,21.24,21.2,21.24,3224,0
2015-01-22,19:50:00,21.22,21.22,21.22,21.22,1900,0
2015-01-22,19:55:00,21.22,21.25,21.22,21.25,6480,0
2015-01-22,20:10:00,21.24,21.25,21.23,21.25,1412,0
2015-01-22,20:15:00,21.24,21.25,21.24,21.25,1290,0
2015-01-22,20:20:00,21.27,21.27,21.27,21.27,300,0
2015-01-22,20:35:00,21.27,21.31,21.27,21.31,1100,0
2015-01-22,20:40:00,21.29,21.29,21.29,21.29,500,0
2015-01-22,20:45:00,21.29,21.29,21.29,21.29,711,0
2015-01-22,20:50:00,21.32,21.32,21.31,21.31,1000,0
2015-01-22,20:55:00,21.31,21.33,21.31,21.33,4000,0
2015-01-22,21:00:00,21.33,21.33,21.33,21.33,100,0
2015-01-22,21:05:00,21.33,21.37,21.33,21.37,5600,0
2015-01-22,21:50:00,21.35,21.35,21.34,21.34,2552,0
2015-01-22,21:55:00,21.35,21.35,21.33,21.33,614,0
2015-01-22,22:00:00,21.34,21.34,21.34,21.34,110,0
2015-01-23,15:40:00,21.32,21.32,21.32,21.32,200,0
2015-01-23,16:00:00,21.28,21.28,21.28,21.28,745,0
2015-01-23,16:05:00,21.29,21.29,21.29,21.29,200,0
2015-01-23,16:10:00,21.31,21.31,21.31,21.31,1000,0
2015-01-23,16:20:00,21.29,21.29,21.26,21.27,13925,0
2015-01-23,16:25:00,21.29,21.29,21.29,21.29,700,0
2015-01-23,16:30:00,21.3,21.3,21.3,21.3,100,0
2015-01-23,16:35:00,21.3,21.3,21.3,21.3,300,0
2015-01-23,16:45:00,21.28,21.28,21.27,21.27,700,0
2015-01-23,16:50:00,21.26,21.27,21.25,21.25,3318,0
2015-01-23,16:55:00,21.27,21.29,21.27,21.29,1000,0
2015-01-23,17:05:00,21.29,21.29,21.29,21.29,750,0
2015-01-23,17:25:00,21.3,21.3,21.28,21.28,2800,0
2015-01-23,17:30:00,21.28,21.29,21.28,21.28,2000,0
2015-01-23,17:50:00,21.31,21.31,21.3,21.3,600,0
2015-01-23,17:55:00,21.3,21.3,21.3,21.3,3800,0
2015-01-23,18:15:00,21.3,21.3,21.3,21.3,600,0
2015-01-23,18:20:00,21.3,21.3,21.3,21.3,200,0
2015-01-23,18:25:00,21.29,21.29,21.29,21.29,6000,0
2015-01-23,18:40:00,21.3,21.3,21.3,21.3,1300,0
2015-01-23,19:05:00,21.29,21.3,21.28,21.3,900,0
2015-01-23,19:20:00,21.3,21.3,21.3,21.3,200,0
2015-01-23,19:30:00,21.31,21.31,21.31,21.31,400,0
2015-01-23,19:35:00,21.3,21.3,21.3,21.3,1600,0
2015-01-23,19:45:00,21.31,21.34,21.3,21.32,1239,0
2015-01-23,19:55:00,21.33,21.33,21.33,21.33,300,0
2015-01-23,20:20:00,21.27,21.28,21.27,21.27,12009,0
2015-01-23,20:35:00,21.28,21.28,21.28,21.28,130,0
2015-01-23,20:45:00,21.27,21.28,21.27,21.27,4389,0
2015-01-23,20:50:00,21.27,21.27,21.25,21.25,422,0
2015-01-23,21:05:00,21.24,21.24,21.23,21.23,678,0
2015-01-23,21:30:00,21.23,21.23,21.22,21.23,8783,0
2015-01-23,21:40:00,21.22,21.22,21.22,21.22,1600,0
2015-01-23,21:45:00,21.21,21.21,21.21,21.21,400,0
2015-01-23,21:55:00,21.2,21.21,21.2,21.2,300,0
2015-01-23,22:00:00,21.19,21.21,21.19,21.19,4300,0
2015-01-26,15:35:00,21.23,21.23,21.18,21.18,4760,0
2015-01-26,15:40:00,21.17,21.17,21.17,21.17,700,0
2015-01-26,15:50:00,21.16,21.16,21.16,21.16,100,0
2015-01-26,16:00:00,21.15,21.15,21.15,21.15,1000,0
2015-01-26,16:10:00,21.15,21.15,21.14,21.15,700,0
2015-01-26,16:20:00,21.16,21.16,21.16,21.16,1568,0
2015-01-26,16:25:00,21.17,21.17,21.17,21.17,100,0
2015-01-26,16:35:00,21.17,21.17,21.17,21.17,100,0
2015-01-26,16:40:00,21.16,21.2,21.16,21.17,600,0
2015-01-26,16:45:00,21.19,21.19,21.19,21.19,400,0
2015-01-26,16:50:00,21.22,21.22,21.22,21.22,1061,0
2015-01-26,17:00:00,21.23,21.25,21.2,21.2,10589,0
2015-01-26,17:25:00,21.21,21.21,21.21,21.21,470,0
2015-01-26,17:30:00,21.23,21.23,21.23,21.23,1700,0
2015-01-26,17:45:00,21.22,21.22,21.22,21.22,100,0
2015-01-26,17:50:00,21.22,21.25,21.22,21.25,1500,0
2015-01-26,17:55:00,21.25,21.27,21.25,21.27,2200,0
2015-01-26,18:00:00,21.26,21.28,21.26,21.26,3497,0
2015-01-26,18:05:00,21.29,21.29,21.29,21.29,100,0
2015-01-26,18:10:00,21.29,21.29,21.29,21.29,200,0
2015-01-26,18:15:00,21.3,21.33,21.3,21.33,4385,0
2015-01-26,18:20:00,21.32,21.33,21.32,21.32,6300,0
2015-01-26,18:25:00,21.32,21.32,21.3,21.3,4700,0
2015-01-26,18:30:00,21.3,21.3,21.3,21.3,100,0
2015-01-26,18:35:00,21.3,21.31,21.3,21.31,1210,0
2015-01-26,18:40:00,21.32,21.32,21.3,21.31,1256,0
2015-01-26,18:45:00,21.32,21.32,21.28,21.31,4600,0
2015-01-26,18:50:00,21.3,21.31,21.3,21.31,4320,0
2015-01-26,19:00:00,21.3,21.3,21.3,21.3,401,0
2015-01-26,19:10:00,21.27,21.27,21.27,21.27,1850,0
2015-01-26,19:20:00,21.3,21.3,21.3,21.3,100,0
2015-01-26,19:30:00,21.3,21.3,21.3,21.3,100,0
2015-01-26,19:40:00,21.29,21.29,21.29,21.29,485,0
2015-01-26,19:50:00,21.31,21.31,21.31,21.31,300,0
2015-01-26,20:10:00,21.3,21.3,21.28,21.28,2160,0
2015-01-26,20:30:00,21.31,21.31,21.3,21.3,400,0
2015-01-26,20:50:00,21.3,21.3,21.3,21.3,100,0
2015-01-26,20:55:00,21.29,21.29,21.29,21.29,200,0
2015-01-26,21:40:00,21.3,21.3,21.28,21.3,1300,0
2015-01-26,21:50:00,21.28,21.28,21.28,21.28,1640,0
2015-01-26,21:55:00,21.3,21.3,21.3,21.3,200,0
2015-01-26,22:00:00,21.28,21.29,21.28,21.29,1009,0
