Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-01-29,21:10:00,42.18,42.28,42.18,42.28,400,0
2015-01-29,21:15:00,42.27,42.27,42.27,42.27,400,0
2015-01-29,21:20:00,42.35,42.35,42.35,42.35,200,0
2015-01-29,21:25:00,42.36,42.36,42.34,42.35,851,0
2015-01-29,21:30:00,42.35,42.36,42.27,42.27,1300,0
2015-01-29,21:35:00,42.23,42.27,42.18,42.27,1200,0
2015-01-29,21:40:00,42.25,42.25,42.16,42.16,800,0
2015-01-29,21:45:00,42.3,42.3,42.18,42.23,700,0
2015-01-29,21:50:00,42.18,42.21,42.16,42.21,700,0
2015-01-29,21:55:00,42.28,42.29,42.24,42.24,1000,0
2015-01-29,22:00:00,42.24,42.36,42.24,42.26,2671,0
2015-01-30,15:35:00,41.85,41.86,41.63,41.86,700,0
2015-01-30,15:40:00,41.71,41.71,41.71,41.71,500,0
2015-01-30,15:45:00,41.69,42.45,41.69,42.31,900,0
2015-01-30,15:50:00,42.48,42.53,42.48,42.53,1200,0
2015-01-30,15:55:00,42.44,42.44,42.44,42.44,200,0
2015-01-30,16:00:00,42.35,42.7,42.35,42.68,1200,0
2015-01-30,16:05:00,42.71,42.94,42.71,42.94,200,0
2015-01-30,16:10:00,42.96,42.96,42.61,42.72,800,0
2015-01-30,16:15:00,42.75,42.94,42.64,42.64,2300,0
2015-01-30,16:20:00,42.92,42.92,42.92,42.92,300,0
2015-01-30,16:25:00,42.99,42.99,42.99,42.99,200,0
2015-01-30,16:30:00,42.92,42.97,42.92,42.97,325,0
2015-01-30,16:35:00,42.9,42.99,42.9,42.93,1100,0
2015-01-30,16:40:00,42.98,43.12,42.98,43.12,500,0
2015-01-30,16:45:00,43.11,43.34,43.11,43.34,700,0
2015-01-30,16:50:00,43.34,43.34,43.17,43.17,700,0
2015-01-30,16:55:00,42.96,42.96,42.9,42.9,300,0
2015-01-30,17:00:00,43.05,43.07,42.93,43.05,1075,0
2015-01-30,17:05:00,43.05,43.05,43.05,43.05,200,0
2015-01-30,17:10:00,42.91,42.92,42.76,42.85,1400,0
2015-01-30,17:15:00,42.65,42.65,42.65,42.65,100,0
2015-01-30,17:20:00,42.44,42.57,42.37,42.46,1142,0
2015-01-30,17:25:00,42.57,42.59,42.57,42.59,600,0
2015-01-30,17:30:00,42.64,42.64,42.64,42.64,400,0
2015-01-30,17:45:00,42.84,42.84,42.74,42.74,300,0
2015-01-30,17:50:00,42.66,42.66,42.66,42.66,800,0
2015-01-30,17:55:00,42.69,42.69,42.69,42.69,100,0
2015-01-30,18:00:00,42.76,42.76,42.62,42.62,1000,0
2015-01-30,18:05:00,42.72,42.81,42.72,42.75,900,0
2015-01-30,18:10:00,42.78,42.78,42.78,42.78,400,0
2015-01-30,18:15:00,42.62,42.63,42.62,42.63,200,0
2015-01-30,18:20:00,42.74,42.8,42.67,42.67,900,0
2015-01-30,18:25:00,42.63,42.77,42.63,42.69,700,0
2015-01-30,18:30:00,42.79,42.79,42.79,42.79,482,0
2015-01-30,18:40:00,42.74,42.74,42.74,42.74,200,0
2015-01-30,18:55:00,42.65,42.65,42.65,42.65,100,0
