Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-02-03,16:50:00,42.40,42.45,42.36,42.38,7799,0
2015-02-03,16:55:00,42.42,42.47,42.42,42.46,11282,0
2015-02-03,17:00:00,42.47,42.48,42.35,42.38,11852,0
2015-02-03,17:05:00,42.38,42.49,42.38,42.44,9747,0
2015-02-03,17:10:00,42.44,42.55,42.42,42.55,8797,0
2015-02-03,17:15:00,42.54,42.61,42.5,42.61,7184,0
2015-02-03,17:20:00,42.59,42.6,42.57,42.6,9196,0
2015-02-03,17:25:00,42.6,42.65,42.6,42.63,5906,0
2015-02-03,17:30:00,42.65,42.68,42.6,42.6,32379,0
2015-02-03,17:35:00,42.6,42.6,42.54,42.54,14916,0
2015-02-03,17:40:00,42.54,42.62,42.53,42.62,4728,0
2015-02-03,17:45:00,42.62,42.64,42.57,42.64,6594,0
2015-02-03,17:50:00,42.65,42.66,42.58,42.58,21446,0
2015-02-03,17:55:00,42.57,42.58,42.52,42.54,10200,0
2015-02-03,18:00:00,42.53,42.55,42.49,42.53,9842,0
2015-02-03,18:05:00,42.54,42.55,42.48,42.49,15174,0
2015-02-03,18:10:00,42.5,42.55,42.5,42.53,6250,0
2015-02-03,18:15:00,42.54,42.57,42.53,42.53,3900,0
2015-02-03,18:20:00,42.53,42.53,42.51,42.52,8800,0
2015-02-03,18:25:00,42.52,42.54,42.48,42.49,6045,0
2015-02-03,18:30:00,42.5,42.53,42.47,42.47,5154,0
2015-02-03,18:35:00,42.47,42.47,42.41,42.42,7100,0
2015-02-03,18:40:00,42.42,42.44,42.37,42.39,18422,0
2015-02-03,18:45:00,42.4,42.47,42.4,42.46,6390,0
2015-02-03,18:50:00,42.49,42.5,42.46,42.49,4800,0
2015-02-03,18:55:00,42.51,42.54,42.48,42.54,11776,0
2015-02-03,19:00:00,42.55,42.55,42.52,42.55,8057,0
2015-02-03,19:05:00,42.55,42.6,42.53,42.56,26960,0
2015-02-03,19:10:00,42.56,42.6,42.55,42.59,7376,0
2015-02-03,19:15:00,42.58,42.65,42.56,42.64,14800,0
2015-02-03,19:20:00,42.64,42.71,42.64,42.71,16026,0
2015-02-03,19:25:00,42.7,42.72,42.67,42.67,27676,0
2015-02-03,19:30:00,42.71,42.73,42.67,42.67,6194,0
2015-02-03,19:35:00,42.68,42.69,42.65,42.65,6323,0
2015-02-03,19:40:00,42.67,42.68,42.62,42.63,12658,0
2015-02-03,19:45:00,42.64,42.67,42.62,42.66,14263,0
2015-02-03,19:50:00,42.67,42.69,42.66,42.68,16083,0
2015-02-03,19:55:00,42.68,42.75,42.68,42.73,11300,0
2015-02-03,20:00:00,42.73,42.75,42.69,42.71,11117,0
2015-02-03,20:05:00,42.7,42.7,42.66,42.68,19632,0
2015-02-03,20:10:00,42.68,42.69,42.65,42.65,30833,0
2015-02-03,20:15:00,42.66,42.67,42.64,42.67,24526,0
2015-02-03,20:20:00,42.68,42.71,42.68,42.7,9245,0
2015-02-03,20:25:00,42.69,42.7,42.66,42.66,7965,0
