Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-02-02,21:50:00,4.83,4.86,4.81,4.83,23260,0
2015-02-02,21:55:00,4.83,4.86,4.82,4.85,14700,0
2015-02-02,22:00:00,4.85,4.86,4.8,4.82,45633,0
2015-02-03,15:35:00,4.9,4.9,4.85,4.86,2600,0
2015-02-03,15:40:00,4.9,4.91,4.86,4.89,14500,0
2015-02-03,15:45:00,4.87,4.89,4.8,4.8,17800,0
2015-02-03,15:50:00,4.79,4.79,4.74,4.75,19600,0
2015-02-03,15:55:00,4.75,4.77,4.73,4.75,11315,0
2015-02-03,16:00:00,4.76,4.8,4.74,4.8,19600,0
2015-02-03,16:05:00,4.8,4.89,4.8,4.87,17500,0
2015-02-03,16:10:00,4.87,4.87,4.84,4.84,6160,0
2015-02-03,16:15:00,4.85,4.88,4.85,4.87,2000,0
2015-02-03,16:20:00,4.86,4.86,4.8,4.86,14900,0
2015-02-03,16:25:00,4.87,4.88,4.83,4.83,7600,0
2015-02-03,16:30:00,4.85,4.9,4.84,4.88,5600,0
2015-02-03,16:35:00,4.88,4.88,4.87,4.87,2700,0
2015-02-03,16:40:00,4.87,4.87,4.85,4.85,2300,0
2015-02-03,16:45:00,4.87,4.87,4.85,4.86,2100,0
2015-02-03,16:50:00,4.85,4.86,4.83,4.84,10982,0
2015-02-03,16:55:00,4.84,4.85,4.84,4.85,2100,0
2015-02-03,17:00:00,4.85,4.91,4.85,4.86,7559,0
2015-02-03,17:05:00,4.88,4.9,4.88,4.9,3100,0
2015-02-03,17:10:00,4.9,4.91,4.89,4.89,3690,0
2015-02-03,17:15:00,4.9,4.9,4.87,4.9,5700,0
2015-02-03,17:20:00,4.91,4.92,4.91,4.92,2100,0
2015-02-03,17:25:00,4.92,4.93,4.92,4.92,6100,0
2015-02-03,17:30:00,4.92,4.93,4.91,4.91,1600,0
2015-02-03,17:35:00,4.92,4.94,4.92,4.93,10300,0
2015-02-03,17:40:00,4.93,4.94,4.89,4.89,16395,0
2015-02-03,17:45:00,4.9,4.9,4.9,4.9,4000,0
2015-02-03,17:50:00,4.91,4.91,4.89,4.89,3600,0
2015-02-03,17:55:00,4.89,4.91,4.89,4.91,4659,0
2015-02-03,18:00:00,4.9,4.9,4.87,4.88,1200,0
2015-02-03,18:05:00,4.87,4.88,4.87,4.87,600,0
2015-02-03,18:10:00,4.88,4.9,4.88,4.9,506,0
2015-02-03,18:15:00,4.9,4.9,4.89,4.9,1400,0
2015-02-03,18:20:00,4.89,4.9,4.89,4.89,3000,0
2015-02-03,18:25:00,4.9,4.9,4.86,4.86,6585,0
2015-02-03,18:30:00,4.88,4.88,4.86,4.86,900,0
2015-02-03,18:35:00,4.88,4.88,4.86,4.86,300,0
2015-02-03,18:40:00,4.87,4.87,4.83,4.83,3600,0
2015-02-03,18:45:00,4.84,4.86,4.84,4.85,1900,0
2015-02-03,18:50:00,4.85,4.85,4.8,4.81,12697,0
2015-02-03,18:55:00,4.84,4.84,4.82,4.82,800,0
2015-02-03,19:00:00,4.83,4.84,4.82,4.82,800,0
2015-02-03,19:05:00,4.84,4.84,4.82,4.83,1600,0
2015-02-03,19:10:00,4.83,4.83,4.82,4.82,700,0
2015-02-03,19:15:00,4.81,4.82,4.81,4.81,800,0
2015-02-03,19:20:00,4.83,4.83,4.83,4.83,341,0
2015-02-03,19:25:00,4.82,4.84,4.82,4.84,800,0
2015-02-03,19:30:00,4.83,4.84,4.81,4.83,1416,0
2015-02-03,19:35:00,4.81,4.85,4.8,4.83,2800,0
2015-02-03,19:40:00,4.85,4.87,4.82,4.82,2050,0
2015-02-03,19:45:00,4.84,4.85,4.82,4.82,4900,0
2015-02-03,19:50:00,4.83,4.84,4.83,4.84,800,0
2015-02-03,19:55:00,4.83,4.83,4.83,4.83,360,0
2015-02-03,20:00:00,4.84,4.86,4.84,4.86,1500,0
2015-02-03,20:05:00,4.86,4.89,4.86,4.87,3670,0
2015-02-03,20:10:00,4.88,4.88,4.88,4.88,300,0
2015-02-03,20:15:00,4.87,4.88,4.86,4.88,5082,0
2015-02-03,20:20:00,4.86,4.86,4.86,4.86,400,0
2015-02-03,20:25:00,4.87,4.88,4.85,4.85,3715,0
2015-02-03,20:30:00,4.86,4.86,4.83,4.83,3108,0
2015-02-03,20:35:00,4.84,4.85,4.81,4.84,5400,0
2015-02-03,20:40:00,4.84,4.85,4.83,4.85,1800,0
2015-02-03,20:45:00,4.85,4.88,4.85,4.88,3644,0
2015-02-03,20:50:00,4.89,4.89,4.84,4.86,5500,0
2015-02-03,20:55:00,4.87,4.87,4.85,4.85,5600,0
2015-02-03,21:00:00,4.85,4.88,4.85,4.87,3200,0
2015-02-03,21:05:00,4.86,4.87,4.84,4.85,6000,0
2015-02-03,21:10:00,4.86,4.88,4.85,4.88,6409,0
2015-02-03,21:15:00,4.88,4.92,4.88,4.92,11538,0
2015-02-03,21:20:00,4.91,4.92,4.88,4.88,7501,0
2015-02-03,21:25:00,4.89,4.91,4.89,4.91,1800,0
2015-02-03,21:30:00,4.91,4.92,4.9,4.9,3900,0
2015-02-03,21:35:00,4.91,4.91,4.9,4.91,600,0
2015-02-03,21:40:00,4.91,4.92,4.89,4.91,8711,0
2015-02-03,21:45:00,4.92,4.93,4.92,4.92,1500,0
2015-02-03,21:50:00,4.93,4.95,4.92,4.94,18800,0
2015-02-03,21:55:00,4.94,4.96,4.94,4.96,7100,0
2015-02-03,22:00:00,4.96,5.0,4.96,4.96,140227,0
2015-02-04,15:35:00,4.95,4.95,4.81,4.86,18640,0
2015-02-04,15:40:00,4.81,4.87,4.8,4.86,25254,0
2015-02-04,15:45:00,4.85,4.89,4.85,4.86,21262,0
2015-02-04,15:50:00,4.86,4.88,4.82,4.88,7708,0
2015-02-04,15:55:00,4.83,4.83,4.82,4.82,400,0
2015-02-04,16:10:00,4.84,4.86,4.84,4.85,300,0
2015-02-04,16:15:00,4.83,4.85,4.8,4.8,16490,0
2015-02-04,16:20:00,4.82,4.83,4.81,4.81,365,0
2015-02-04,16:25:00,4.8,4.82,4.78,4.78,5816,0
2015-02-04,16:30:00,4.79,4.79,4.77,4.77,7080,0
2015-02-04,16:35:00,4.78,4.78,4.76,4.76,6900,0
2015-02-04,16:40:00,4.77,4.77,4.74,4.74,7410,0
2015-02-04,16:45:00,4.74,4.77,4.73,4.74,11960,0
2015-02-04,16:50:00,4.73,4.74,4.72,4.74,2044,0
2015-02-04,16:55:00,4.72,4.75,4.72,4.73,14620,0
2015-02-04,17:00:00,4.73,4.73,4.73,4.73,200,0
2015-02-04,17:05:00,4.73,4.75,4.73,4.75,1000,0
2015-02-04,17:10:00,4.76,4.78,4.76,4.78,1762,0
