Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-11-21,15:40:00,21.20,21.20,21.12,21.20,1547,0
2014-11-21,15:45:00,21.202,21.202,21.182,21.182,603,0
2014-11-21,15:50:00,21.093,21.093,21.093,21.093,151,0
2014-11-21,16:05:00,21.282,21.282,21.272,21.282,2009,0
2014-11-21,16:20:00,21.202,21.202,21.202,21.202,1005,0
2014-11-21,16:40:00,21.132,21.132,21.132,21.132,100,0
2014-11-21,17:05:00,21.063,21.103,21.063,21.103,502,0
2014-11-21,17:20:00,21.103,21.103,21.103,21.103,100,0
2014-11-21,17:40:00,21.103,21.103,21.103,21.103,226,0
2014-11-21,17:55:00,21.093,21.093,21.093,21.093,100,0
2014-11-21,19:00:00,21.073,21.073,21.073,21.073,151,0
2014-11-21,19:35:00,21.073,21.073,21.073,21.073,201,0
2014-11-21,19:55:00,21.142,21.142,21.142,21.142,100,0
2014-11-21,20:05:00,21.172,21.172,21.172,21.172,100,0
2014-11-21,21:25:00,21.212,21.212,21.212,21.212,352,0
2014-11-21,21:55:00,21.232,21.232,21.232,21.232,301,0
2014-11-24,16:15:00,21.351,21.371,21.351,21.371,3255,0
2014-11-24,16:20:00,21.242,21.331,21.202,21.202,603,0
2014-11-24,16:40:00,21.302,21.302,21.252,21.252,502,0
2014-11-24,17:55:00,21.252,21.252,21.252,21.252,402,0
2014-11-24,18:25:00,21.262,21.262,21.172,21.202,4373,0
2014-11-24,19:00:00,21.152,21.152,21.142,21.142,1005,0
2014-11-24,19:10:00,21.162,21.162,21.162,21.162,201,0
2014-11-24,20:05:00,21.252,21.252,21.252,21.252,472,0
2014-11-24,20:20:00,21.112,21.112,21.112,21.112,301,0
2014-11-24,20:30:00,21.172,21.182,21.172,21.182,1206,0
2014-11-24,21:20:00,21.182,21.182,21.182,21.182,904,0
2014-11-24,21:40:00,21.192,21.192,21.192,21.192,402,0
2014-11-24,21:45:00,21.192,21.192,21.192,21.192,201,0
2014-11-24,22:00:00,21.152,21.152,21.152,21.152,227,0
2014-11-25,15:35:00,21.152,21.152,21.152,21.152,253,0
2014-11-25,16:35:00,21.152,21.152,21.152,21.152,201,0
2014-11-25,20:15:00,21.152,21.152,21.152,21.152,2009,0
2014-11-26,15:55:00,21.242,21.242,21.242,21.242,1005,0
2014-11-26,17:10:00,21.341,21.341,21.341,21.341,876,0
2014-11-26,17:35:00,21.341,21.341,21.272,21.331,1808,0
2014-11-26,17:40:00,21.351,21.371,21.351,21.371,8740,0
2014-11-26,17:45:00,21.361,21.361,21.361,21.361,301,0
2014-11-26,18:00:00,21.351,21.351,21.351,21.351,603,0
2014-11-26,18:10:00,21.351,21.351,21.351,21.351,904,0
2014-11-26,18:20:00,21.351,21.351,21.351,21.351,4219,0
2014-11-26,18:35:00,21.351,21.351,21.351,21.351,1206,0
2014-11-26,18:45:00,21.351,21.351,21.331,21.331,301,0
2014-11-26,19:20:00,21.391,21.391,21.391,21.391,1005,0
2014-11-26,19:30:00,21.401,21.401,21.401,21.401,301,0
2014-11-26,19:35:00,21.401,21.401,21.401,21.401,201,0
2014-11-26,20:15:00,21.401,21.401,21.401,21.401,668,0
2014-11-26,20:20:00,21.461,21.461,21.461,21.461,301,0
2014-11-26,20:40:00,21.451,21.451,21.451,21.451,201,0
2014-11-26,20:45:00,21.471,21.471,21.471,21.471,100,0
2014-11-26,21:30:00,21.451,21.451,21.451,21.451,1306,0
2014-11-26,21:45:00,21.451,21.451,21.451,21.451,1607,0
2014-11-26,21:50:00,21.451,21.451,21.451,21.451,2210,0
2014-11-26,22:00:00,21.451,21.451,21.451,21.451,352,0
2014-11-28,15:40:00,21.043,21.043,21.043,21.043,1316,0
2014-11-28,16:10:00,20.774,20.774,20.675,20.675,452,0
2014-11-28,16:15:00,20.714,20.714,20.714,20.714,2009,0
2014-11-28,16:35:00,20.754,20.774,20.734,20.764,11352,0
2014-11-28,17:25:00,20.724,20.724,20.724,20.724,502,0
2014-11-28,17:40:00,20.684,20.684,20.684,20.684,261,0
2014-11-28,17:45:00,20.734,20.734,20.734,20.734,201,0
2014-11-28,17:50:00,20.704,20.704,20.704,20.704,402,0
2014-11-28,18:10:00,20.704,20.704,20.684,20.684,301,0
2014-11-28,18:15:00,20.675,20.684,20.575,20.575,3854,0
2014-11-28,18:30:00,20.704,20.704,20.704,20.704,301,0
2014-11-28,18:35:00,20.714,20.724,20.704,20.714,402,0
2014-11-28,18:40:00,20.704,20.704,20.595,20.615,1406,0
2014-11-28,18:45:00,20.684,20.684,20.605,20.605,5425,0
2014-11-28,18:50:00,20.595,20.605,20.595,20.595,2009,0
2014-11-28,18:55:00,20.595,20.595,20.585,20.585,3918,0
2014-11-28,19:00:00,20.575,20.665,20.575,20.665,1306,0
2014-12-01,16:05:00,20.406,20.406,20.366,20.366,2712,0
2014-12-01,16:25:00,20.296,20.296,20.286,20.286,603,0
2014-12-01,16:55:00,20.227,20.227,20.187,20.187,301,0
2014-12-01,18:50:00,20.187,20.187,20.187,20.187,100,0
2014-12-01,18:55:00,20.197,20.197,20.197,20.197,703,0
2014-12-01,19:00:00,20.217,20.217,20.217,20.217,1005,0
2014-12-01,20:30:00,20.266,20.266,20.266,20.266,100,0
2014-12-01,21:15:00,20.266,20.266,20.256,20.256,2612,0
2014-12-01,21:40:00,20.346,20.346,20.346,20.346,201,0
2014-12-01,22:00:00,20.276,20.276,20.276,20.276,100,0
2014-12-02,15:35:00,20.426,20.426,20.366,20.396,1708,0
2014-12-02,15:40:00,20.356,20.356,20.256,20.256,1105,0
2014-12-02,16:10:00,20.306,20.306,20.306,20.306,703,0
2014-12-02,16:15:00,20.306,20.306,20.306,20.306,201,0
2014-12-02,16:40:00,20.207,20.207,20.207,20.207,541,0
2014-12-02,17:15:00,20.266,20.266,20.266,20.266,4018,0
2014-12-02,19:05:00,20.256,20.256,20.256,20.256,201,0
2014-12-02,19:30:00,20.227,20.246,20.227,20.246,301,0
2014-12-02,21:25:00,20.197,20.197,20.197,20.197,151,0
2014-12-02,21:30:00,20.197,20.197,20.197,20.197,2009,0
2014-12-02,21:40:00,20.197,20.197,20.197,20.197,502,0
2014-12-02,21:50:00,20.117,20.117,20.117,20.117,201,0
2014-12-02,22:00:00,20.127,20.127,20.127,20.127,100,0
2014-12-03,15:50:00,20.127,20.127,20.127,20.127,362,0
2014-12-03,16:30:00,20.286,20.286,20.286,20.286,267,0
2014-12-03,21:20:00,20.356,20.356,20.356,20.356,703,0
2014-12-03,22:00:00,20.326,20.326,20.326,20.326,368,0
2014-12-04,16:00:00,20.286,20.286,20.286,20.286,1420,0
2014-12-04,16:35:00,20.366,20.366,20.366,20.366,502,0
2014-12-04,16:55:00,20.306,20.306,20.306,20.306,2110,0
2014-12-04,21:30:00,20.316,20.336,20.316,20.336,2009,0
2014-12-05,15:35:00,20.117,20.117,20.117,20.117,301,0
2014-12-05,16:00:00,20.256,20.256,20.256,20.256,1005,0
2014-12-05,16:50:00,20.356,20.356,20.356,20.356,100,0
2014-12-05,16:55:00,20.346,20.346,20.346,20.346,100,0
2014-12-05,17:00:00,20.346,20.346,20.346,20.346,301,0
2014-12-05,17:05:00,20.356,20.356,20.356,20.356,100,0
2014-12-05,17:10:00,20.356,20.356,20.356,20.356,100,0
2014-12-05,17:15:00,20.356,20.356,20.356,20.356,201,0
2014-12-05,17:20:00,20.356,20.356,20.356,20.356,201,0
2014-12-05,17:25:00,20.366,20.366,20.366,20.366,100,0
2014-12-05,17:30:00,20.386,20.386,20.386,20.386,301,0
2014-12-05,17:40:00,20.406,20.406,20.406,20.406,100,0
2014-12-05,17:45:00,20.406,20.406,20.406,20.406,201,0
2014-12-05,17:50:00,20.406,20.406,20.406,20.406,100,0
2014-12-05,17:55:00,20.416,20.416,20.416,20.416,100,0
2014-12-05,18:00:00,20.426,20.426,20.426,20.426,100,0
2014-12-05,18:05:00,20.426,20.426,20.426,20.426,100,0
2014-12-05,18:10:00,20.426,20.426,20.426,20.426,100,0
2014-12-05,18:15:00,20.426,20.426,20.426,20.426,100,0
2014-12-05,18:20:00,20.426,20.426,20.426,20.426,100,0
2014-12-05,18:25:00,20.426,20.426,20.416,20.416,201,0
2014-12-05,18:30:00,20.416,20.416,20.416,20.416,100,0
2014-12-05,18:35:00,20.416,20.416,20.416,20.416,100,0
2014-12-05,18:40:00,20.406,20.406,20.406,20.406,100,0
2014-12-05,18:45:00,20.406,20.406,20.406,20.406,100,0
2014-12-05,18:50:00,20.416,20.416,20.416,20.416,100,0
2014-12-05,18:55:00,20.416,20.416,20.416,20.416,100,0
2014-12-05,19:00:00,20.406,20.406,20.406,20.406,201,0
2014-12-05,19:10:00,20.416,20.416,20.406,20.406,201,0
2014-12-05,19:15:00,20.416,20.416,20.416,20.416,100,0
2014-12-05,19:20:00,20.406,20.406,20.406,20.406,100,0
2014-12-05,19:25:00,20.406,20.406,20.406,20.406,100,0
2014-12-05,19:30:00,20.406,20.406,20.406,20.406,100,0
2014-12-05,19:35:00,20.406,20.406,20.406,20.406,100,0
2014-12-05,19:40:00,20.416,20.426,20.416,20.426,201,0
2014-12-05,19:45:00,20.416,20.416,20.416,20.416,100,0
2014-12-05,19:55:00,20.426,20.426,20.426,20.426,100,0
2014-12-05,20:00:00,20.416,20.416,20.416,20.416,502,0
2014-12-05,21:50:00,20.286,20.286,20.276,20.276,1105,0
2014-12-05,22:00:00,20.286,20.286,20.286,20.286,402,0
2014-12-08,16:05:00,20.137,20.137,20.137,20.137,100,0
2014-12-08,16:35:00,20.127,20.177,20.127,20.177,1834,0
2014-12-08,17:50:00,20.097,20.097,20.097,20.097,854,0
2014-12-08,18:20:00,20.047,20.047,20.047,20.047,201,0
2014-12-08,20:55:00,19.988,19.988,19.988,19.988,154,0
2014-12-08,21:10:00,20.027,20.037,20.027,20.037,2240,0
2014-12-08,21:20:00,20.037,20.037,20.037,20.037,2712,0
2014-12-08,21:30:00,20.027,20.027,20.027,20.027,4018,0
2014-12-08,21:35:00,20.027,20.047,20.018,20.047,1919,0
2014-12-08,21:40:00,20.018,20.018,20.008,20.008,2009,0
2014-12-08,21:50:00,20.008,20.018,20.008,20.008,3617,0
2014-12-09,15:35:00,19.888,19.888,19.888,19.888,2009,0
2014-12-09,15:40:00,19.799,19.799,19.799,19.799,502,0
2014-12-09,16:10:00,19.848,19.848,19.848,19.848,502,0
2014-12-09,16:20:00,19.809,19.809,19.809,19.809,2110,0
2014-12-09,16:25:00,19.809,19.809,19.739,19.809,3717,0
2014-12-09,16:30:00,19.689,19.689,19.669,19.679,3262,0
2014-12-09,16:40:00,19.669,19.669,19.669,19.669,904,0
2014-12-09,17:50:00,19.719,19.719,19.719,19.719,201,0
2014-12-09,18:20:00,19.709,19.709,19.709,19.709,1512,0
2014-12-09,18:30:00,19.769,19.769,19.769,19.769,100,0
2014-12-09,21:00:00,19.828,19.828,19.828,19.828,100,0
2014-12-09,21:05:00,19.828,19.838,19.828,19.828,904,0
2014-12-09,21:15:00,19.818,19.818,19.818,19.818,601,0
2014-12-09,21:40:00,19.888,19.888,19.818,19.818,743,0
2014-12-09,22:00:00,19.828,19.828,19.818,19.818,301,0
2014-12-10,18:35:00,19.46,19.46,19.46,19.46,201,0
2014-12-10,19:35:00,19.41,19.41,19.41,19.41,201,0
2014-12-10,20:00:00,19.331,19.331,19.331,19.331,2512,0
2014-12-10,21:10:00,19.052,19.052,19.042,19.042,1865,0
2014-12-10,21:25:00,19.201,19.201,19.201,19.201,100,0
2014-12-10,21:35:00,19.152,19.152,19.152,19.152,502,0
2014-12-10,21:45:00,19.191,19.191,19.191,19.191,250,0
2014-12-10,22:00:00,19.142,19.142,19.142,19.142,201,0
2014-12-11,15:50:00,19.321,19.321,19.321,19.321,100,0
2014-12-11,15:55:00,19.341,19.341,19.341,19.341,673,0
2014-12-11,17:50:00,19.311,19.311,19.201,19.201,1025,0
2014-12-11,18:40:00,19.241,19.241,19.241,19.241,241,0
2014-12-11,20:05:00,19.231,19.231,19.231,19.231,100,0
2014-12-11,20:25:00,19.201,19.201,19.161,19.161,33454,0
2014-12-11,21:10:00,19.161,19.161,19.152,19.152,301,0
2014-12-12,16:00:00,19.052,19.052,19.012,19.012,201,0
2014-12-12,16:05:00,19.012,19.012,19.012,19.012,904,0
2014-12-12,16:40:00,18.962,19.002,18.943,18.943,4923,0
2014-12-12,16:45:00,19.002,19.002,19.002,19.002,201,0
2014-12-12,16:50:00,19.002,19.032,18.943,19.022,804,0
2014-12-12,16:55:00,19.002,19.002,18.992,18.992,703,0
2014-12-12,17:00:00,18.982,18.982,18.982,18.982,301,0
2014-12-12,17:05:00,18.982,18.982,18.982,18.982,100,0
2014-12-12,17:10:00,18.923,18.972,18.923,18.972,301,0
2014-12-12,17:45:00,18.933,18.933,18.933,18.933,201,0
2014-12-12,17:50:00,18.913,18.913,18.913,18.913,402,0
2014-12-12,18:15:00,18.813,18.813,18.813,18.813,502,0
2014-12-12,18:25:00,18.823,18.823,18.823,18.823,100,0
2014-12-12,18:30:00,18.883,18.933,18.883,18.933,6751,0
2014-12-12,19:10:00,18.773,18.773,18.773,18.773,201,0
2014-12-12,19:20:00,18.773,18.773,18.773,18.773,100,0
2014-12-12,19:35:00,18.714,18.743,18.694,18.743,3014,0
2014-12-12,20:25:00,18.773,18.813,18.773,18.813,502,0
2014-12-12,20:45:00,18.793,18.793,18.783,18.783,301,0
2014-12-12,21:45:00,18.694,18.694,18.694,18.694,100,0
2014-12-15,15:40:00,18.714,18.714,18.664,18.664,2461,0
2014-12-15,15:45:00,18.714,18.714,18.714,18.714,904,0
2014-12-15,15:50:00,18.724,18.724,18.724,18.724,126,0
2014-12-15,16:10:00,18.674,18.674,18.654,18.654,1256,0
2014-12-15,16:25:00,18.544,18.544,18.544,18.544,201,0
2014-12-15,16:40:00,18.514,18.514,18.514,18.514,201,0
2014-12-15,16:55:00,18.455,18.455,18.455,18.455,100,0
2014-12-15,17:00:00,18.445,18.445,18.445,18.445,151,0
2014-12-15,17:05:00,18.435,18.435,18.435,18.435,804,0
2014-12-15,17:10:00,18.425,18.425,18.405,18.405,1206,0
2014-12-15,17:15:00,18.405,18.405,18.385,18.385,603,0
2014-12-15,17:25:00,18.345,18.345,18.335,18.335,1306,0
2014-12-15,17:30:00,18.335,18.335,18.325,18.325,402,0
2014-12-15,17:40:00,18.335,18.335,18.335,18.335,292,0
2014-12-15,17:50:00,18.315,18.315,18.315,18.315,301,0
2014-12-15,18:05:00,18.256,18.256,18.256,18.256,100,0
2014-12-15,18:40:00,18.276,18.276,18.276,18.276,201,0
2014-12-15,19:10:00,18.266,18.266,18.266,18.266,402,0
2014-12-15,19:15:00,18.246,18.246,18.246,18.246,904,0
2014-12-15,19:25:00,18.236,18.236,18.236,18.236,100,0
2014-12-15,19:55:00,18.226,18.226,18.226,18.226,603,0
2014-12-15,20:25:00,18.146,18.156,18.116,18.156,2461,0
2014-12-15,20:30:00,18.156,18.156,18.156,18.156,502,0
2014-12-15,20:40:00,18.126,18.126,18.126,18.126,352,0
2014-12-15,20:45:00,18.126,18.126,18.126,18.126,100,0
2014-12-15,21:35:00,18.067,18.067,18.067,18.067,1005,0
2014-12-15,21:40:00,18.057,18.057,18.057,18.057,100,0
2014-12-15,21:45:00,18.057,18.057,18.057,18.057,201,0
2014-12-15,22:00:00,18.017,18.017,18.017,18.017,201,0
2014-12-16,15:35:00,18.007,18.007,18.007,18.007,203,0
2014-12-16,15:50:00,17.927,17.927,17.738,17.887,805,0
2014-12-16,15:55:00,17.867,17.867,17.867,17.867,2009,0
2014-12-16,16:00:00,17.867,17.867,17.867,17.867,201,0
2014-12-16,16:20:00,17.867,17.867,17.867,17.867,480,0
2014-12-16,17:10:00,18.007,18.007,18.007,18.007,502,0
2014-12-16,17:40:00,18.156,18.156,18.156,18.156,100,0
2014-12-16,18:50:00,18.116,18.116,18.116,18.116,201,0
2014-12-16,19:10:00,18.037,18.037,18.037,18.037,201,0
2014-12-16,19:25:00,18.007,18.007,18.007,18.007,100,0
2014-12-16,19:35:00,18.007,18.007,18.007,18.007,402,0
2014-12-16,20:25:00,18.017,18.027,18.017,18.027,1005,0
2014-12-16,20:30:00,18.007,18.007,18.007,18.007,100,0
2014-12-16,20:35:00,18.017,18.017,18.017,18.017,100,0
2014-12-16,20:55:00,17.967,17.967,17.967,17.967,100,0
2014-12-16,21:05:00,17.937,17.937,17.937,17.937,502,0
2014-12-16,21:15:00,17.967,17.977,17.967,17.977,402,0
2014-12-16,21:20:00,17.967,17.967,17.957,17.957,3717,0
2014-12-16,21:25:00,17.967,17.967,17.957,17.957,301,0
2014-12-16,21:30:00,17.947,17.947,17.947,17.947,100,0
2014-12-16,21:35:00,17.937,17.957,17.937,17.957,301,0
2014-12-16,21:40:00,17.937,17.937,17.937,17.937,1909,0
2014-12-16,21:45:00,17.897,17.897,17.887,17.887,301,0
2014-12-16,21:50:00,17.927,17.927,17.927,17.927,804,0
2014-12-17,15:35:00,17.838,17.838,17.838,17.838,462,0
2014-12-17,15:45:00,17.927,17.927,17.917,17.917,301,0
2014-12-17,15:55:00,18.047,18.047,18.047,18.047,100,0
2014-12-17,16:20:00,18.186,18.186,18.186,18.186,100,0
2014-12-17,16:30:00,18.166,18.166,18.166,18.166,2085,0
2014-12-17,16:35:00,18.067,18.067,18.067,18.067,100,0
2014-12-17,16:40:00,18.057,18.057,18.047,18.057,402,0
2014-12-17,16:45:00,18.077,18.077,18.077,18.077,100,0
2014-12-17,16:50:00,18.086,18.106,18.086,18.106,201,0
2014-12-17,16:55:00,18.116,18.116,18.116,18.116,100,0
2014-12-17,17:00:00,18.126,18.126,18.126,18.126,201,0
2014-12-17,17:05:00,18.126,18.136,18.126,18.136,201,0
2014-12-17,17:10:00,18.176,18.176,18.176,18.176,100,0
2014-12-17,17:15:00,18.166,18.176,18.166,18.176,703,0
2014-12-17,17:20:00,18.216,18.216,18.216,18.216,201,0
2014-12-17,17:25:00,18.256,18.256,18.256,18.256,100,0
2014-12-17,17:30:00,18.246,18.246,18.236,18.236,201,0
2014-12-17,17:35:00,18.226,18.286,18.226,18.286,201,0
2014-12-17,17:40:00,18.276,18.276,18.256,18.256,6967,0
2014-12-17,17:45:00,18.266,18.266,18.266,18.266,100,0
2014-12-17,17:50:00,18.256,18.305,18.256,18.305,301,0
2014-12-17,17:55:00,18.276,18.276,18.276,18.276,100,0
2014-12-17,18:00:00,18.315,18.355,18.315,18.355,301,0
2014-12-17,18:05:00,18.325,18.325,18.325,18.325,100,0
2014-12-17,18:10:00,18.315,18.315,18.315,18.315,100,0
2014-12-17,18:15:00,18.315,18.315,18.315,18.315,100,0
2014-12-17,18:20:00,18.325,18.325,18.325,18.325,201,0
2014-12-17,18:25:00,18.325,18.325,18.325,18.325,100,0
2014-12-17,18:30:00,18.325,18.365,18.315,18.365,301,0
2014-12-17,18:40:00,18.345,18.345,18.335,18.335,201,0
2014-12-17,18:45:00,18.335,18.335,18.335,18.335,100,0
2014-12-17,18:50:00,18.325,18.325,18.325,18.325,201,0
2014-12-17,18:55:00,18.325,18.375,18.325,18.375,301,0
2014-12-17,19:00:00,18.345,18.345,18.345,18.345,100,0
2014-12-17,19:05:00,18.335,18.335,18.335,18.335,100,0
2014-12-17,19:10:00,18.335,18.335,18.335,18.335,201,0
2014-12-17,19:15:00,18.405,18.405,18.325,18.325,553,0
2014-12-17,19:20:00,18.365,18.365,18.365,18.365,100,0
2014-12-17,19:25:00,18.385,18.385,18.365,18.365,201,0
2014-12-17,19:30:00,18.365,18.365,18.365,18.365,100,0
2014-12-17,19:35:00,18.385,18.405,18.385,18.405,201,0
2014-12-17,19:40:00,18.385,18.385,18.385,18.385,100,0
2014-12-17,19:45:00,18.385,18.385,18.385,18.385,100,0
2014-12-17,19:50:00,18.355,18.365,18.355,18.365,201,0
2014-12-17,19:55:00,18.345,18.345,18.345,18.345,201,0
2014-12-17,20:00:00,18.325,18.395,18.325,18.395,402,0
2014-12-17,20:05:00,18.395,18.405,18.395,18.405,201,0
2014-12-17,20:10:00,18.395,18.395,18.395,18.395,100,0
2014-12-17,20:15:00,18.395,18.465,18.395,18.465,301,0
2014-12-17,20:20:00,18.445,18.524,18.445,18.524,642,0
2014-12-17,20:25:00,18.475,18.475,18.435,18.455,301,0
2014-12-17,20:35:00,18.445,18.445,18.355,18.355,502,0
2014-12-17,20:40:00,18.415,18.415,18.345,18.375,1125,0
2014-12-17,20:45:00,18.355,18.355,18.276,18.276,502,0
2014-12-17,20:50:00,18.256,18.256,18.226,18.236,402,0
2014-12-17,20:55:00,18.226,18.226,18.206,18.206,502,0
2014-12-17,21:00:00,18.256,18.256,18.206,18.216,502,0
2014-12-17,21:15:00,18.256,18.256,18.256,18.256,100,0
2014-12-17,22:00:00,18.266,18.266,18.256,18.256,2293,0
2014-12-18,15:45:00,18.733,18.733,18.554,18.554,221,0
2014-12-18,15:55:00,18.674,18.674,18.674,18.674,1005,0
