Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-06-09,16:00:00,49.92,49.92,49.92,49.92,1017,0
2014-06-09,16:00:00,49.923,49.923,49.923,49.923,1017,0
2014-06-09,16:15:00,49.913,49.913,49.913,49.913,1017,0
2014-06-10,16:55:00,50.002,50.002,50.002,50.002,1525,0
2014-06-10,21:35:00,50.041,50.041,50.041,50.041,1017,0
2014-06-11,16:00:00,49.786,49.786,49.786,49.786,153,0
2014-06-12,17:35:00,49.835,49.835,49.815,49.815,2542,0
2014-06-13,16:10:00,49.599,49.599,49.599,49.599,1017,0
2014-06-16,18:25:00,49.599,49.599,49.579,49.579,2034,0
2014-06-17,15:35:00,49.52,49.52,49.52,49.52,1017,0
2014-06-17,15:40:00,49.481,49.481,49.481,49.481,1017,0
2014-06-18,18:10:00,49.422,49.422,49.422,49.422,405,0
2014-06-18,22:00:00,49.904,49.904,49.904,49.904,1017,0
2014-06-19,16:35:00,49.795,49.795,49.795,49.795,458,0
2014-06-20,21:05:00,49.579,49.579,49.579,49.579,1017,0
2014-06-23,16:15:00,49.373,49.373,49.373,49.373,153,0
2014-06-23,16:30:00,49.402,49.402,49.382,49.402,407,0
2014-06-23,16:35:00,49.392,49.392,49.392,49.392,203,0
2014-06-23,19:15:00,49.402,49.402,49.402,49.402,1017,0
2014-06-23,22:00:00,49.432,49.432,49.432,49.432,305,0
2014-06-24,18:05:00,49.717,49.717,49.717,49.717,1017,0
2014-06-24,21:15:00,49.323,49.323,49.323,49.323,1017,0
2014-06-25,16:05:00,49.491,49.491,49.461,49.461,3051,0
2014-06-26,20:50:00,49.894,49.894,49.894,49.894,508,0
2014-06-26,21:00:00,49.874,49.874,49.825,49.825,3051,0
2014-06-27,19:30:00,49.884,49.884,49.884,49.884,2034,0
2014-06-30,20:05:00,50.11,50.11,50.11,50.11,127,0
2014-07-01,16:40:00,50.395,50.395,50.395,50.395,508,0
2014-07-02,16:30:00,50.572,50.572,50.572,50.572,1017,0
2014-07-02,22:00:00,50.572,50.572,50.572,50.572,508,0
2014-07-09,21:55:00,50.857,50.857,50.847,50.847,1017,0
2014-07-09,22:00:00,50.847,50.847,50.847,50.847,508,0
2014-07-10,16:20:00,50.326,50.326,50.316,50.316,1525,0
2014-07-11,16:50:00,50.602,50.602,50.602,50.602,102,0
2014-07-11,19:20:00,50.611,50.611,50.592,50.592,1525,0
2014-07-11,19:25:00,50.602,50.602,50.602,50.602,508,0
2014-07-11,22:00:00,50.602,50.602,50.602,50.602,508,0
2014-07-18,19:25:00,50.769,50.769,50.769,50.769,102,0
2014-07-18,19:35:00,50.769,50.769,50.769,50.769,102,0
2014-07-25,15:35:00,51.064,51.064,51.064,51.064,487,0
2014-07-25,20:55:00,51.113,51.113,51.113,51.113,102,0
2014-07-25,22:00:00,51.113,51.113,51.113,51.113,102,0
2014-07-28,15:40:00,51.172,51.201,51.172,51.201,610,0
2014-07-28,22:00:00,51.201,51.201,51.201,51.201,102,0
2014-07-29,15:40:00,51.428,51.428,51.428,51.428,102,0
2014-07-29,18:55:00,51.349,51.349,51.349,51.349,102,0
2014-07-29,22:00:00,51.349,51.349,51.349,51.349,102,0
2014-07-30,17:15:00,51.31,51.31,51.31,51.31,508,0
2014-07-30,22:00:00,51.31,51.31,51.31,51.31,508,0
2014-07-31,16:15:00,50.965,50.965,50.965,50.965,508,0
2014-07-31,21:35:00,50.611,50.611,50.611,50.611,508,0
2014-07-31,21:50:00,50.631,50.631,50.631,50.631,508,0
2014-08-01,19:15:00,50.946,50.946,50.946,50.946,508,0
2014-08-04,15:35:00,51.31,51.31,51.31,51.31,203,0
2014-08-04,18:20:00,51.182,51.182,51.172,51.172,1017,0
2014-08-04,18:25:00,51.172,51.172,51.162,51.162,1017,0
2014-08-04,21:15:00,51.329,51.329,51.319,51.319,1017,0
2014-08-05,19:00:00,50.877,50.877,50.867,50.867,1017,0
2014-08-07,17:50:00,50.788,50.788,50.788,50.788,508,0
2014-08-08,15:40:00,50.887,50.887,50.818,50.818,4576,0
2014-08-08,16:10:00,50.906,50.956,50.906,50.956,7119,0
2014-08-08,18:40:00,51.064,51.064,51.064,51.064,153,0
2014-08-08,21:55:00,51.172,51.172,51.172,51.172,508,0
2014-08-11,15:35:00,51.152,51.152,51.152,51.152,1017,0
2014-08-11,18:55:00,51.319,51.359,51.319,51.359,4068,0
2014-08-11,20:00:00,51.378,51.378,51.378,51.378,407,0
2014-08-11,21:15:00,51.388,51.388,51.388,51.388,508,0
2014-08-12,15:35:00,51.064,51.064,51.064,51.064,508,0
2014-08-12,21:40:00,51.162,51.162,51.142,51.142,1017,0
2014-08-13,16:35:00,51.595,51.595,51.595,51.595,508,0
2014-08-14,15:40:00,51.732,51.732,51.723,51.723,1525,0
2014-08-15,20:45:00,51.772,51.772,51.772,51.772,203,0
2014-08-18,17:25:00,51.909,51.939,51.909,51.939,610,0
2014-08-18,21:35:00,51.919,51.919,51.919,51.919,508,0
2014-08-18,21:40:00,51.909,51.909,51.89,51.89,1017,0
2014-08-19,18:45:00,52.342,52.342,52.342,52.342,508,0
2014-08-19,21:15:00,52.401,52.401,52.401,52.401,254,0
2014-08-20,19:55:00,52.588,52.588,52.509,52.509,3051,0
2014-08-20,20:00:00,52.519,52.519,52.499,52.499,2034,0
2014-08-21,19:10:00,52.313,52.313,52.273,52.273,1017,0
2014-08-22,20:20:00,52.401,52.401,52.401,52.401,508,0
2014-08-25,16:20:00,52.539,52.539,52.539,52.539,1017,0
2014-08-26,16:50:00,52.637,52.637,52.637,52.637,102,0
2014-08-26,16:55:00,52.617,52.647,52.617,52.647,4373,0
2014-08-26,17:00:00,52.647,52.647,52.627,52.647,1525,0
2014-08-26,17:05:00,52.637,52.657,52.637,52.637,2441,0
2014-08-26,17:10:00,52.617,52.637,52.617,52.627,4068,0
2014-08-26,17:15:00,52.627,52.647,52.617,52.617,2746,0
2014-08-26,17:20:00,52.598,52.608,52.598,52.608,1525,0
2014-08-26,17:25:00,52.598,52.627,52.578,52.608,2949,0
2014-08-26,17:30:00,52.598,52.627,52.598,52.627,3153,0
2014-08-26,17:35:00,52.598,52.627,52.598,52.627,508,0
2014-08-26,17:50:00,52.617,52.617,52.617,52.617,203,0
2014-08-26,18:40:00,52.647,52.686,52.647,52.686,3559,0
2014-08-26,21:30:00,52.686,52.686,52.637,52.637,1017,0
2014-08-28,19:45:00,52.381,52.381,52.342,52.342,2034,0
2014-09-02,15:55:00,52.263,52.263,52.263,52.263,508,0
2014-09-02,17:20:00,52.254,52.254,52.254,52.254,1017,0
2014-09-03,18:55:00,52.804,52.804,52.804,52.804,1017,0
2014-09-04,18:30:00,52.765,52.765,52.765,52.765,508,0
2014-09-04,18:40:00,52.735,52.735,52.735,52.735,102,0
2014-09-04,18:50:00,52.745,52.745,52.745,52.745,102,0
2014-09-04,19:00:00,52.745,52.745,52.745,52.745,102,0
2014-09-04,19:10:00,52.735,52.735,52.735,52.735,102,0
2014-09-04,19:20:00,52.735,52.735,52.735,52.735,102,0
2014-09-04,19:30:00,52.735,52.735,52.735,52.735,102,0
2014-09-04,19:40:00,52.706,52.706,52.706,52.706,102,0
