Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-11-13,19:10:00,13.90,13.92,13.90,13.92,810,0
2014-11-13,21:05:00,13.879,13.879,13.879,13.879,100,0
2014-11-13,21:10:00,13.879,13.899,13.879,13.899,606,0
2014-11-13,21:50:00,13.919,13.929,13.919,13.929,202,0
2014-11-13,22:00:00,13.889,13.938,13.889,13.899,808,0
2014-11-14,15:45:00,13.958,13.958,13.958,13.958,100,0
2014-11-14,15:55:00,13.998,14.018,13.889,13.998,5679,0
2014-11-14,16:00:00,13.988,13.998,13.988,13.998,784,0
2014-11-14,16:10:00,13.998,13.998,13.998,13.998,548,0
2014-11-14,16:50:00,13.998,13.998,13.899,13.899,2846,0
2014-11-14,16:55:00,14.038,14.038,14.038,14.038,908,0
2014-11-14,17:35:00,13.869,13.869,13.869,13.869,100,0
2014-11-14,18:10:00,13.869,13.869,13.869,13.869,100,0
2014-11-14,18:55:00,13.869,13.869,13.869,13.869,202,0
2014-11-14,19:45:00,13.879,13.879,13.879,13.879,100,0
2014-11-14,20:30:00,13.879,13.879,13.879,13.879,100,0
2014-11-14,21:15:00,13.879,13.879,13.879,13.879,100,0
2014-11-14,21:25:00,13.938,13.958,13.938,13.958,404,0
2014-11-14,21:50:00,13.948,13.948,13.948,13.948,100,0
2014-11-14,22:00:00,13.879,13.879,13.879,13.879,185,0
2014-11-17,16:00:00,13.899,13.899,13.889,13.889,202,0
2014-11-17,16:05:00,13.978,13.978,13.978,13.978,130,0
2014-11-17,16:10:00,13.889,13.889,13.889,13.889,1015,0
2014-11-17,16:45:00,13.919,13.948,13.919,13.948,1970,0
2014-11-17,17:00:00,13.929,13.929,13.929,13.929,100,0
2014-11-17,17:05:00,13.879,13.879,13.879,13.879,302,0
2014-11-17,17:50:00,13.879,13.879,13.879,13.879,202,0
2014-11-17,18:05:00,13.879,13.879,13.83,13.83,822,0
2014-11-17,18:45:00,13.821,13.83,13.821,13.83,302,0
2014-11-17,19:40:00,13.821,13.821,13.821,13.821,155,0
2014-11-17,20:00:00,13.869,13.869,13.869,13.869,100,0
2014-11-17,20:35:00,13.811,13.811,13.811,13.811,203,0
2014-11-17,21:25:00,13.849,13.849,13.849,13.849,100,0
2014-11-17,21:30:00,13.859,13.859,13.859,13.859,963,0
2014-11-17,21:35:00,13.919,13.919,13.919,13.919,3143,0
2014-11-17,21:45:00,13.958,13.958,13.958,13.958,302,0
2014-11-17,21:55:00,13.948,13.948,13.948,13.948,100,0
2014-11-17,22:00:00,13.929,13.929,13.84,13.879,404,0
2014-11-18,15:35:00,13.859,13.859,13.859,13.859,2923,0
2014-11-18,16:00:00,13.929,13.929,13.929,13.929,202,0
2014-11-18,16:05:00,13.919,13.919,13.919,13.919,100,0
2014-11-18,16:10:00,13.929,13.929,13.929,13.929,100,0
2014-11-18,16:15:00,13.938,13.938,13.919,13.919,302,0
2014-11-18,17:40:00,13.889,13.889,13.889,13.889,202,0
2014-11-18,18:10:00,13.889,13.899,13.889,13.899,513,0
2014-11-18,18:30:00,13.938,13.948,13.938,13.948,1112,0
2014-11-18,18:40:00,13.948,13.948,13.948,13.948,406,0
2014-11-18,19:05:00,13.938,13.938,13.938,13.938,203,0
2014-11-18,19:15:00,13.948,13.948,13.948,13.948,356,0
2014-11-18,19:25:00,13.929,13.929,13.929,13.929,912,0
2014-11-18,20:15:00,13.938,13.938,13.938,13.938,710,0
2014-11-18,20:40:00,13.929,13.929,13.929,13.929,303,0
2014-11-18,21:25:00,13.929,13.929,13.929,13.929,1480,0
2014-11-18,21:45:00,13.821,13.821,13.821,13.821,608,0
2014-11-18,21:50:00,13.83,13.83,13.83,13.83,202,0
2014-11-18,21:55:00,13.84,13.84,13.84,13.84,302,0
2014-11-18,22:00:00,13.849,13.849,13.84,13.84,275,0
2014-11-19,15:55:00,13.938,13.938,13.938,13.938,100,0
2014-11-19,16:25:00,14.008,14.008,14.008,14.008,100,0
2014-11-19,16:40:00,13.968,13.968,13.968,13.968,100,0
2014-11-19,16:55:00,13.929,13.929,13.929,13.929,100,0
2014-11-19,17:10:00,13.919,13.919,13.919,13.919,100,0
2014-11-19,17:20:00,13.889,13.889,13.889,13.889,1015,0
2014-11-19,17:30:00,13.909,13.909,13.909,13.909,100,0
2014-11-19,17:55:00,13.919,13.919,13.919,13.919,100,0
2014-11-19,18:00:00,13.849,13.849,13.849,13.849,2029,0
2014-11-19,18:25:00,13.988,13.988,13.988,13.988,100,0
2014-11-19,18:40:00,13.869,13.869,13.869,13.869,609,0
2014-11-19,18:55:00,13.988,13.988,13.988,13.988,100,0
2014-11-19,19:20:00,13.988,13.988,13.988,13.988,766,0
2014-11-19,19:25:00,13.988,13.988,13.988,13.988,100,0
2014-11-19,19:55:00,13.988,13.988,13.988,13.988,100,0
2014-11-19,20:30:00,13.988,13.988,13.988,13.988,323,0
2014-11-19,20:35:00,13.909,13.909,13.909,13.909,100,0
2014-11-19,20:40:00,13.899,13.899,13.899,13.899,979,0
2014-11-19,21:50:00,13.948,13.948,13.948,13.948,100,0
2014-11-19,22:00:00,13.879,13.879,13.869,13.869,876,0
2014-11-20,15:35:00,13.998,13.998,13.998,13.998,8689,0
2014-11-20,15:40:00,13.998,13.998,13.998,13.998,506,0
2014-11-20,15:45:00,13.998,14.018,13.998,14.018,1215,0
2014-11-20,15:50:00,14.056,14.056,14.056,14.056,643,0
2014-11-20,15:55:00,14.056,14.056,14.056,14.056,100,0
2014-11-20,16:00:00,14.076,14.076,14.066,14.076,302,0
2014-11-20,16:05:00,14.046,14.046,14.046,14.046,749,0
2014-11-20,16:10:00,14.086,14.086,14.056,14.066,1718,0
2014-11-20,16:15:00,14.018,14.018,14.018,14.018,165,0
2014-11-20,16:35:00,14.056,14.056,14.028,14.028,202,0
2014-11-20,18:45:00,14.018,14.018,14.018,14.018,404,0
2014-11-20,19:40:00,14.018,14.018,14.018,14.018,100,0
2014-11-20,19:45:00,14.018,14.038,14.018,14.018,1036,0
2014-11-20,19:50:00,13.978,13.978,13.978,13.978,146,0
2014-11-20,20:00:00,13.998,13.998,13.998,13.998,505,0
2014-11-20,20:10:00,13.988,13.998,13.988,13.998,457,0
2014-11-20,20:45:00,13.998,13.998,13.998,13.998,607,0
2014-11-20,21:25:00,14.038,14.038,14.038,14.038,1063,0
2014-11-20,21:45:00,14.028,14.028,14.028,14.028,1266,0
2014-11-20,22:00:00,14.008,14.028,14.008,14.028,947,0
2014-11-21,15:35:00,13.84,13.84,13.84,13.84,371,0
2014-11-21,15:40:00,14.046,14.046,14.046,14.046,635,0
2014-11-21,15:45:00,14.046,14.066,14.046,14.066,202,0
2014-11-21,16:15:00,14.028,14.028,14.028,14.028,202,0
2014-11-21,16:20:00,14.028,14.028,13.968,13.968,608,0
2014-11-21,16:35:00,13.958,13.998,13.958,13.978,504,0
2014-11-21,16:45:00,13.948,13.988,13.948,13.958,809,0
2014-11-21,16:50:00,13.958,13.988,13.958,13.988,808,0
