Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-01-15,20:05:00,16.25,16.25,16.20,16.20,2342,0
2015-01-15,20:10:00,16.241,16.241,16.241,16.241,1005,0
2015-01-15,20:15:00,16.201,16.201,16.201,16.201,265,0
2015-01-15,20:20:00,16.261,16.261,16.251,16.251,2273,0
2015-01-15,20:30:00,16.261,16.261,16.261,16.261,502,0
2015-01-15,20:35:00,16.211,16.211,16.201,16.201,1256,0
2015-01-15,21:00:00,16.231,16.261,16.231,16.261,1507,0
2015-01-15,21:15:00,16.241,16.241,16.221,16.221,402,0
2015-01-15,21:20:00,16.221,16.231,16.201,16.201,1809,0
2015-01-15,21:45:00,16.211,16.211,16.211,16.211,201,0
2015-01-15,21:50:00,16.231,16.231,16.231,16.231,603,0
2015-01-15,22:00:00,16.231,16.241,16.161,16.161,2602,0
2015-01-16,15:55:00,16.221,16.231,16.201,16.201,7637,0
2015-01-16,16:25:00,16.201,16.201,16.201,16.201,1231,0
2015-01-16,16:35:00,16.231,16.241,16.231,16.241,1507,0
2015-01-16,16:40:00,16.241,16.241,16.221,16.221,1146,0
2015-01-16,16:45:00,16.241,16.241,16.241,16.241,1909,0
2015-01-16,16:55:00,16.221,16.221,16.211,16.211,3831,0
2015-01-16,17:00:00,16.221,16.32,16.221,16.221,11001,0
2015-01-16,17:10:00,16.271,16.271,16.271,16.271,1005,0
2015-01-16,17:25:00,16.281,16.281,16.281,16.281,402,0
2015-01-16,17:35:00,16.251,16.251,16.221,16.251,5527,0
2015-01-16,17:40:00,16.241,16.251,16.241,16.251,7034,0
2015-01-16,17:50:00,16.231,16.231,16.231,16.231,1005,0
2015-01-16,17:55:00,16.251,16.251,16.241,16.241,2460,0
2015-01-16,18:00:00,16.221,16.231,16.211,16.231,1569,0
2015-01-16,18:15:00,16.231,16.231,16.211,16.211,4055,0
2015-01-16,18:30:00,16.211,16.211,16.211,16.211,2110,0
2015-01-16,18:50:00,16.211,16.211,16.211,16.211,402,0
2015-01-16,19:15:00,16.171,16.171,16.171,16.171,2010,0
2015-01-16,19:25:00,16.171,16.171,16.171,16.171,402,0
2015-01-16,20:15:00,16.201,16.201,16.201,16.201,100,0
2015-01-16,20:30:00,16.201,16.201,16.201,16.201,603,0
2015-01-16,20:35:00,16.171,16.191,16.171,16.191,804,0
2015-01-16,20:40:00,16.201,16.201,16.181,16.191,2723,0
2015-01-16,20:55:00,16.181,16.201,16.171,16.201,8382,0
2015-01-16,21:00:00,16.171,16.201,16.171,16.201,2110,0
2015-01-16,21:15:00,16.181,16.201,16.181,16.181,7838,0
2015-01-16,21:35:00,16.201,16.201,16.201,16.201,643,0
2015-01-16,21:40:00,16.201,16.201,16.201,16.201,201,0
2015-01-16,21:45:00,16.181,16.201,16.181,16.201,15720,0
