Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-05-28,20:30:00,12.51,12.51,12.51,12.51,553,0
2014-05-29,20:45:00,12.625,12.625,12.605,12.605,796,0
2014-06-02,15:55:00,12.422,12.451,12.422,12.451,2253,0
2014-06-02,18:00:00,12.296,12.296,12.296,12.296,311,0
2014-06-02,18:05:00,12.306,12.306,12.306,12.306,1451,0
2014-06-02,19:05:00,12.267,12.267,12.267,12.267,14609,0
2014-06-03,15:45:00,12.345,12.345,12.345,12.345,1554,0
2014-06-03,17:00:00,12.325,12.335,12.325,12.335,1865,0
2014-06-03,19:35:00,12.335,12.335,12.335,12.335,207,0
2014-06-03,21:50:00,12.306,12.306,12.306,12.306,207,0
2014-06-05,15:35:00,12.441,12.441,12.441,12.441,207,0
2014-06-06,15:50:00,12.818,12.818,12.818,12.818,414,0
2014-06-06,16:10:00,12.827,12.827,12.827,12.827,1451,0
2014-06-06,16:50:00,12.798,12.808,12.798,12.808,1612,0
2014-06-06,17:00:00,12.818,12.818,12.818,12.818,1196,0
2014-06-06,17:40:00,12.818,12.818,12.818,12.818,3108,0
2014-06-09,16:00:00,12.885,12.885,12.885,12.885,1036,0
2014-06-09,16:35:00,12.885,12.933,12.885,12.933,2279,0
2014-06-09,17:00:00,13.011,13.011,13.011,13.011,311,0
2014-06-09,17:10:00,12.991,12.991,12.982,12.982,4870,0
2014-06-09,17:20:00,13.02,13.02,13.02,13.02,414,0
2014-06-09,18:10:00,13.04,13.04,13.04,13.04,207,0
2014-06-09,18:15:00,13.04,13.04,13.04,13.04,518,0
2014-06-09,19:00:00,13.04,13.04,13.03,13.03,414,0
2014-06-09,19:20:00,13.04,13.04,13.04,13.04,104,0
2014-06-09,19:55:00,13.126,13.126,13.107,13.126,2279,0
2014-06-09,21:10:00,13.117,13.117,13.117,13.117,2590,0
2014-06-09,21:25:00,13.126,13.155,13.126,13.155,4973,0
2014-06-09,21:30:00,13.136,13.136,13.136,13.136,2279,0
2014-06-09,22:00:00,13.175,13.175,13.175,13.175,207,0
2014-06-10,19:30:00,13.223,13.223,13.223,13.223,2901,0
2014-06-10,21:30:00,13.223,13.223,13.223,13.223,104,0
2014-06-11,15:35:00,13.242,13.252,13.242,13.242,3190,0
2014-06-11,15:40:00,13.242,13.242,13.233,13.233,725,0
2014-06-11,17:10:00,13.271,13.271,13.271,13.271,390,0
2014-06-11,17:15:00,13.242,13.242,13.242,13.242,414,0
2014-06-11,17:20:00,13.271,13.291,13.271,13.291,1243,0
2014-06-11,18:10:00,13.242,13.242,13.242,13.242,1140,0
2014-06-11,19:35:00,13.242,13.242,13.242,13.242,207,0
2014-06-11,19:45:00,13.223,13.223,13.223,13.223,207,0
2014-06-11,20:00:00,13.223,13.223,13.223,13.223,1865,0
2014-06-11,20:30:00,13.165,13.165,13.165,13.165,466,0
2014-06-11,21:35:00,13.146,13.146,13.146,13.146,229,0
2014-06-12,16:40:00,13.184,13.184,13.184,13.184,1036,0
2014-06-12,17:00:00,13.213,13.213,13.213,13.213,1036,0
2014-06-12,17:05:00,13.175,13.175,13.097,13.097,932,0
2014-06-12,17:45:00,13.126,13.126,13.126,13.126,1036,0
2014-06-12,19:30:00,13.059,13.059,13.059,13.059,2072,0
2014-06-12,20:25:00,13.088,13.088,13.088,13.088,622,0
2014-06-13,15:35:00,13.02,13.069,13.02,13.069,537,0
2014-06-13,16:00:00,13.088,13.088,13.088,13.088,1969,0
2014-06-13,18:45:00,13.175,13.175,13.175,13.175,2901,0
2014-06-16,17:30:00,13.175,13.175,13.175,13.175,104,0
2014-06-16,17:35:00,13.155,13.155,13.155,13.155,5595,0
2014-06-16,22:00:00,13.165,13.165,13.165,13.165,104,0
