Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-01-08,22:00:00,20.12,20.12,20.08,20.10,6924,0
2015-01-09,15:35:00,19.94,19.96,19.94,19.96,200,0
2015-01-09,15:40:00,19.95,19.95,19.95,19.95,1000,0
2015-01-09,15:45:00,20.0,20.0,19.99,19.99,1856,0
2015-01-09,16:00:00,19.9,19.9,19.9,19.9,770,0
2015-01-09,16:25:00,19.98,19.98,19.98,19.98,200,0
2015-01-09,16:35:00,20.15,20.15,20.15,20.15,400,0
2015-01-09,16:40:00,20.08,20.08,20.08,20.08,1712,0
2015-01-09,17:00:00,20.07,20.07,20.07,20.07,175,0
2015-01-09,17:05:00,19.99,19.99,19.99,19.99,100,0
2015-01-09,17:15:00,20.01,20.01,20.01,20.01,1000,0
2015-01-09,17:45:00,19.96,19.96,19.96,19.96,380,0
2015-01-09,17:50:00,19.94,19.95,19.94,19.95,550,0
2015-01-09,18:10:00,19.97,19.97,19.96,19.96,3100,0
2015-01-09,19:00:00,19.96,19.98,19.96,19.98,4482,0
2015-01-09,19:25:00,19.93,19.95,19.93,19.93,2966,0
2015-01-09,21:30:00,20.13,20.13,20.13,20.13,2768,0
2015-01-09,22:00:00,20.09,20.09,20.03,20.04,1492,0
2015-01-12,15:40:00,19.55,19.55,19.55,19.55,1105,0
2015-01-12,15:45:00,19.53,19.53,19.49,19.49,1500,0
2015-01-12,15:55:00,19.52,19.52,19.52,19.52,100,0
2015-01-12,16:15:00,19.56,19.56,19.56,19.56,100,0
2015-01-12,16:35:00,19.55,19.55,19.55,19.55,358,0
2015-01-12,16:55:00,19.58,19.6,19.57,19.6,550,0
2015-01-12,17:10:00,19.57,19.57,19.57,19.57,300,0
2015-01-12,17:15:00,19.57,19.57,19.51,19.51,700,0
2015-01-12,17:20:00,19.5,19.5,19.5,19.5,800,0
2015-01-12,18:10:00,19.57,19.57,19.57,19.57,2400,0
2015-01-12,19:05:00,19.55,19.55,19.51,19.51,7500,0
2015-01-12,19:25:00,19.5,19.5,19.5,19.5,4400,0
2015-01-12,19:50:00,19.47,19.48,19.47,19.48,600,0
2015-01-12,20:10:00,19.49,19.49,19.49,19.49,200,0
2015-01-12,20:20:00,19.48,19.48,19.48,19.48,6000,0
2015-01-12,20:30:00,19.47,19.47,19.47,19.47,484,0
2015-01-12,20:35:00,19.47,19.47,19.47,19.47,800,0
2015-01-12,21:00:00,19.45,19.46,19.4,19.4,2856,0
2015-01-12,21:50:00,19.5,19.53,19.48,19.53,6720,0
2015-01-12,21:55:00,19.55,19.55,19.55,19.55,100,0
2015-01-12,22:00:00,19.54,19.55,19.52,19.54,3618,0
2015-01-13,15:55:00,19.69,19.7,19.69,19.7,400,0
2015-01-13,16:05:00,19.72,19.72,19.72,19.72,100,0
2015-01-13,16:10:00,19.71,19.71,19.71,19.71,2400,0
