Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-02-02,21:35:00,13.21,13.21,13.15,13.15,32466,0
2015-02-02,21:40:00,13.16,13.17,13.14,13.14,19794,0
2015-02-02,21:45:00,13.14,13.18,13.13,13.18,37116,0
2015-02-02,21:50:00,13.18,13.18,13.18,13.18,10280,0
2015-02-02,21:55:00,13.18,13.19,13.16,13.18,34612,0
2015-02-02,22:00:00,13.18,13.18,13.15,13.15,57302,0
2015-02-03,15:35:00,13.16,13.19,13.14,13.15,13744,0
2015-02-03,15:40:00,13.13,13.14,13.13,13.14,9090,0
2015-02-03,15:45:00,13.12,13.14,13.1,13.11,19120,0
2015-02-03,15:50:00,13.12,13.12,13.11,13.12,14378,0
2015-02-03,15:55:00,13.12,13.14,13.11,13.12,19600,0
2015-02-03,16:00:00,13.12,13.13,13.11,13.12,17794,0
2015-02-03,16:05:00,13.13,13.13,13.12,13.13,8416,0
2015-02-03,16:10:00,13.13,13.14,13.12,13.14,9128,0
2015-02-03,16:15:00,13.14,13.14,13.12,13.13,11900,0
2015-02-03,16:20:00,13.11,13.15,13.11,13.15,65234,0
2015-02-03,16:25:00,13.14,13.15,13.13,13.15,1580,0
2015-02-03,16:30:00,13.14,13.14,13.12,13.13,31766,0
2015-02-03,16:35:00,13.13,13.13,13.05,13.05,29667,0
2015-02-03,16:40:00,13.05,13.06,13.03,13.06,26381,0
2015-02-03,16:45:00,13.06,13.08,13.05,13.05,9800,0
2015-02-03,16:50:00,13.06,13.07,13.04,13.04,13043,0
2015-02-03,16:55:00,13.04,13.06,13.02,13.04,22863,0
2015-02-03,17:00:00,13.05,13.06,13.05,13.06,6509,0
2015-02-03,17:05:00,13.04,13.04,13.0,13.0,20206,0
2015-02-03,17:10:00,13.01,13.04,13.0,13.02,12295,0
2015-02-03,17:15:00,13.03,13.03,13.02,13.02,4088,0
2015-02-03,17:20:00,13.03,13.05,13.02,13.05,9200,0
2015-02-03,17:25:00,13.04,13.05,13.03,13.04,20759,0
2015-02-03,17:30:00,13.05,13.07,13.05,13.07,6200,0
2015-02-03,17:35:00,13.07,13.07,13.06,13.06,6381,0
2015-02-03,17:40:00,13.07,13.07,13.05,13.06,3875,0
2015-02-03,17:45:00,13.06,13.06,13.04,13.04,5980,0
2015-02-03,17:50:00,13.04,13.04,13.03,13.03,4695,0
2015-02-03,17:55:00,13.03,13.05,13.03,13.05,7175,0
2015-02-03,18:00:00,13.04,13.07,13.04,13.06,7571,0
2015-02-03,18:05:00,13.08,13.08,13.04,13.05,9399,0
2015-02-03,18:10:00,13.06,13.06,13.04,13.05,4788,0
2015-02-03,18:15:00,13.05,13.06,13.05,13.06,3600,0
2015-02-03,18:20:00,13.05,13.05,13.03,13.03,4500,0
2015-02-03,18:25:00,13.03,13.03,13.03,13.03,9725,0
2015-02-03,18:30:00,13.03,13.04,13.03,13.04,9104,0
2015-02-03,18:35:00,13.04,13.04,13.03,13.04,4588,0
2015-02-03,18:40:00,13.05,13.06,13.04,13.06,6652,0
2015-02-03,18:45:00,13.06,13.06,13.05,13.05,1400,0
2015-02-03,18:50:00,13.06,13.08,13.05,13.08,5725,0
2015-02-03,18:55:00,13.07,13.07,13.06,13.06,1900,0
2015-02-03,19:00:00,13.07,13.08,13.06,13.06,5010,0
2015-02-03,19:05:00,13.05,13.05,13.03,13.04,3300,0
2015-02-03,19:10:00,13.04,13.05,13.03,13.04,14650,0
2015-02-03,19:15:00,13.04,13.06,13.03,13.05,14697,0
2015-02-03,19:20:00,13.06,13.06,13.04,13.04,8135,0
2015-02-03,19:25:00,13.05,13.06,13.04,13.06,6751,0
2015-02-03,19:30:00,13.06,13.07,13.05,13.07,13681,0
2015-02-03,19:35:00,13.07,13.09,13.07,13.09,14572,0
2015-02-03,19:40:00,13.09,13.1,13.08,13.09,10775,0
2015-02-03,19:45:00,13.09,13.11,13.09,13.11,7491,0
2015-02-03,19:50:00,13.12,13.15,13.1,13.1,31534,0
2015-02-03,19:55:00,13.11,13.13,13.1,13.1,15632,0
2015-02-03,20:00:00,13.1,13.1,13.08,13.09,14284,0
2015-02-03,20:05:00,13.09,13.1,13.08,13.08,10085,0
2015-02-03,20:10:00,13.09,13.09,13.07,13.07,7449,0
2015-02-03,20:15:00,13.07,13.1,13.07,13.09,12752,0
2015-02-03,20:20:00,13.1,13.1,13.09,13.1,8402,0
2015-02-03,20:25:00,13.09,13.09,13.07,13.07,9207,0
2015-02-03,20:30:00,13.06,13.07,13.05,13.06,17544,0
2015-02-03,20:35:00,13.07,13.07,13.05,13.05,2606,0
2015-02-03,20:40:00,13.06,13.07,13.05,13.07,4244,0
2015-02-03,20:45:00,13.06,13.07,13.06,13.07,3550,0
2015-02-03,20:50:00,13.06,13.06,13.05,13.05,3400,0
2015-02-03,20:55:00,13.05,13.07,13.05,13.06,2778,0
2015-02-03,21:00:00,13.05,13.07,13.05,13.06,6955,0
2015-02-03,21:05:00,13.06,13.07,13.06,13.06,4179,0
2015-02-03,21:10:00,13.07,13.08,13.05,13.05,12073,0
2015-02-03,21:15:00,13.05,13.05,13.03,13.03,5937,0
2015-02-03,21:20:00,13.04,13.04,13.02,13.02,5110,0
2015-02-03,21:25:00,13.02,13.03,12.98,12.99,46766,0
2015-02-03,21:30:00,12.99,13.0,12.98,12.99,5232,0
2015-02-03,21:35:00,12.99,12.99,12.97,12.98,16400,0
2015-02-03,21:40:00,12.98,12.98,12.97,12.98,5995,0
2015-02-03,21:45:00,12.98,12.99,12.9,12.92,133939,0
2015-02-03,21:50:00,12.91,12.92,12.9,12.91,25244,0
2015-02-03,21:55:00,12.9,12.92,12.89,12.9,23901,0
2015-02-03,22:00:00,12.89,12.92,12.88,12.91,45284,0
2015-02-04,15:35:00,13.0,13.0,12.97,12.97,5310,0
2015-02-04,15:40:00,12.99,13.03,12.98,13.03,14162,0
2015-02-04,15:45:00,13.03,13.04,13.03,13.04,4395,0
2015-02-04,15:50:00,13.04,13.08,13.04,13.08,16953,0
2015-02-04,15:55:00,13.08,13.08,13.06,13.06,3900,0
2015-02-04,16:00:00,13.07,13.12,13.07,13.12,2770,0
2015-02-04,16:05:00,13.13,13.14,13.11,13.11,7192,0
2015-02-04,16:10:00,13.13,13.19,13.13,13.15,14940,0
2015-02-04,16:15:00,13.16,13.16,13.13,13.14,6108,0
2015-02-04,16:20:00,13.14,13.15,13.14,13.14,3688,0
2015-02-04,16:25:00,13.13,13.14,13.09,13.09,13338,0
2015-02-04,16:30:00,13.11,13.11,13.09,13.09,6700,0
2015-02-04,16:35:00,13.09,13.09,13.01,13.01,24210,0
2015-02-04,16:40:00,13.01,13.03,12.99,13.02,15848,0
2015-02-04,16:45:00,13.01,13.01,13.01,13.01,4100,0
2015-02-04,16:50:00,13.03,13.03,13.03,13.03,5600,0
2015-02-04,16:55:00,13.03,13.03,13.02,13.02,1277,0
2015-02-04,17:00:00,13.02,13.02,13.02,13.02,4277,0
2015-02-04,17:05:00,13.01,13.02,13.01,13.02,5750,0
2015-02-04,17:10:00,13.01,13.01,13.0,13.0,1705,0
2015-02-04,17:15:00,13.0,13.02,13.0,13.02,5027,0
2015-02-04,17:20:00,13.04,13.05,13.04,13.05,11714,0
2015-02-04,17:25:00,13.04,13.04,13.0,13.01,5619,0
2015-02-04,17:30:00,13.02,13.03,13.01,13.03,6595,0
2015-02-04,17:35:00,13.02,13.02,13.02,13.02,639,0
2015-02-04,17:40:00,13.01,13.01,12.99,13.01,5820,0
2015-02-04,17:45:00,13.01,13.01,13.01,13.01,2310,0
2015-02-04,17:50:00,13.02,13.03,13.02,13.03,950,0
2015-02-04,17:55:00,13.03,13.04,13.03,13.04,6325,0
2015-02-04,18:00:00,13.05,13.05,13.02,13.03,3585,0
2015-02-04,18:10:00,13.04,13.04,13.04,13.04,500,0
2015-02-04,18:15:00,13.03,13.03,13.03,13.03,400,0
2015-02-04,18:20:00,13.03,13.03,13.03,13.03,100,0
2015-02-04,18:25:00,13.02,13.03,13.02,13.02,3385,0
2015-02-04,18:30:00,13.01,13.01,13.0,13.0,1250,0
2015-02-04,18:35:00,13.01,13.02,13.01,13.02,4345,0
2015-02-04,18:40:00,13.01,13.02,13.01,13.01,2586,0
2015-02-04,18:45:00,13.02,13.02,13.02,13.02,1084,0
2015-02-04,18:50:00,13.02,13.02,13.02,13.02,200,0
2015-02-04,18:55:00,13.02,13.03,13.01,13.02,5261,0
2015-02-04,19:00:00,13.01,13.01,12.98,12.98,16846,0
2015-02-04,19:05:00,12.98,12.98,12.97,12.97,11930,0
2015-02-04,19:10:00,12.97,12.97,12.97,12.97,1500,0
2015-02-04,19:15:00,12.97,12.99,12.97,12.98,14415,0
2015-02-04,19:20:00,12.99,12.99,12.99,12.99,1200,0
2015-02-04,19:25:00,12.99,13.0,12.99,13.0,3600,0
2015-02-04,19:30:00,13.01,13.01,13.01,13.01,1300,0
2015-02-04,19:35:00,13.01,13.02,13.01,13.02,3407,0
2015-02-04,19:40:00,13.01,13.02,13.01,13.01,8428,0
2015-02-04,19:45:00,13.01,13.01,12.99,13.0,22196,0
2015-02-04,19:50:00,13.0,13.0,12.98,12.98,1450,0
2015-02-04,19:55:00,12.98,12.99,12.98,12.98,5611,0
2015-02-04,20:00:00,12.99,13.01,12.99,13.01,13300,0
2015-02-04,20:05:00,13.01,13.01,13.0,13.0,3058,0
2015-02-04,20:10:00,13.01,13.01,13.0,13.0,868,0
2015-02-04,20:15:00,13.01,13.03,13.01,13.02,49945,0
2015-02-04,20:20:00,13.02,13.04,13.02,13.04,8521,0
2015-02-04,20:25:00,13.04,13.07,13.04,13.07,11538,0
2015-02-04,20:30:00,13.08,13.09,13.08,13.09,4296,0
2015-02-04,20:35:00,13.08,13.1,13.08,13.08,24983,0
2015-02-04,20:40:00,13.08,13.09,13.08,13.08,1766,0
2015-02-04,20:45:00,13.09,13.1,13.09,13.1,5223,0
2015-02-04,20:50:00,13.1,13.1,13.1,13.1,800,0
2015-02-04,20:55:00,13.09,13.12,13.09,13.12,23552,0
2015-02-04,21:00:00,13.11,13.12,13.11,13.11,14275,0
2015-02-04,21:05:00,13.11,13.11,13.1,13.1,5000,0
2015-02-04,21:10:00,13.1,13.1,13.09,13.09,3740,0
2015-02-04,21:15:00,13.09,13.11,13.09,13.11,7450,0
2015-02-04,21:20:00,13.1,13.11,13.1,13.11,6480,0
2015-02-04,21:25:00,13.11,13.11,13.1,13.1,2105,0
