Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-04-01,21:55:00,3.60,3.60,3.60,3.60,200,0
2014-04-01,22:00:00,3.62,3.62,3.55,3.55,500,0
2014-04-02,17:00:00,3.59,3.59,3.59,3.59,500,0
2014-04-02,17:20:00,3.43,3.43,3.43,3.43,100,0
2014-04-02,21:35:00,3.57,3.57,3.57,3.57,100,0
2014-04-02,22:00:00,3.47,3.59,3.47,3.54,300,0
2014-04-03,17:15:00,3.5,3.5,3.5,3.5,900,0
2014-04-03,18:10:00,3.52,3.55,3.52,3.55,4800,0
2014-04-03,18:15:00,3.57,3.58,3.56,3.56,1204,0
2014-04-03,18:20:00,3.5,3.5,3.5,3.5,200,0
2014-04-03,18:25:00,3.57,3.58,3.51,3.51,2532,0
2014-04-03,18:35:00,3.57,3.59,3.57,3.59,400,0
2014-04-03,18:40:00,3.59,3.6,3.59,3.6,600,0
2014-04-03,18:45:00,3.6,3.6,3.6,3.6,1444,0
2014-04-03,18:50:00,3.6,3.6,3.6,3.6,1000,0
2014-04-03,18:55:00,3.63,3.63,3.63,3.63,200,0
2014-04-03,19:00:00,3.64,3.67,3.64,3.67,900,0
2014-04-03,19:05:00,3.66,3.67,3.66,3.67,1200,0
2014-04-03,19:10:00,3.67,3.67,3.67,3.67,2000,0
2014-04-03,20:10:00,3.56,3.63,3.56,3.63,1396,0
2014-04-03,20:50:00,3.74,3.92,3.72,3.92,3603,0
2014-04-03,20:55:00,3.92,3.98,3.8,3.8,5400,0
2014-04-03,21:00:00,3.8,3.98,3.77,3.77,4695,0
2014-04-03,21:05:00,3.77,3.83,3.77,3.77,2326,0
2014-04-03,21:10:00,3.76,3.83,3.76,3.76,4300,0
2014-04-03,21:15:00,3.76,3.81,3.7,3.7,3615,0
2014-04-03,21:20:00,3.71,3.71,3.7,3.71,800,0
2014-04-03,21:25:00,3.71,3.71,3.66,3.66,3785,0
2014-04-03,21:30:00,3.69,3.69,3.68,3.69,1400,0
2014-04-03,21:35:00,3.69,3.69,3.66,3.66,3324,0
2014-04-03,21:40:00,3.64,3.64,3.64,3.64,2727,0
2014-04-04,15:40:00,3.62,3.62,3.62,3.62,2138,0
2014-04-04,17:00:00,3.5,3.5,3.48,3.48,1000,0
2014-04-04,17:05:00,3.5,3.5,3.49,3.49,400,0
2014-04-04,17:15:00,3.49,3.49,3.49,3.49,200,0
2014-04-04,17:20:00,3.49,3.5,3.49,3.49,4600,0
2014-04-04,22:00:00,3.53,3.53,3.53,3.53,100,0
2014-04-07,16:20:00,3.62,3.62,3.62,3.62,1000,0
2014-04-07,20:15:00,3.45,3.45,3.43,3.43,500,0
2014-04-07,20:25:00,3.41,3.42,3.41,3.42,500,0
2014-04-07,21:10:00,3.49,3.49,3.49,3.49,800,0
2014-04-07,21:40:00,3.5,3.5,3.5,3.5,200,0
2014-04-08,18:50:00,3.39,3.39,3.35,3.36,1100,0
2014-04-08,19:20:00,3.36,3.36,3.36,3.36,200,0
2014-04-08,19:40:00,3.49,3.49,3.46,3.46,600,0
2014-04-08,21:15:00,3.36,3.36,3.36,3.36,300,0
2014-04-09,15:35:00,3.44,3.57,3.44,3.57,1700,0
2014-04-09,15:40:00,3.61,3.61,3.54,3.54,3350,0
2014-04-09,15:45:00,3.5,3.5,3.5,3.5,100,0
2014-04-09,16:30:00,3.46,3.48,3.46,3.48,200,0
2014-04-09,18:30:00,3.5,3.5,3.5,3.5,100,0
2014-04-09,20:15:00,3.5,3.5,3.5,3.5,100,0
2014-04-09,21:30:00,3.5,3.5,3.5,3.5,200,0
2014-04-09,21:35:00,3.47,3.47,3.47,3.47,100,0
2014-04-09,22:00:00,3.48,3.48,3.48,3.48,200,0
2014-04-10,17:00:00,3.42,3.43,3.4,3.42,1900,0
2014-04-10,17:35:00,3.4,3.4,3.4,3.4,100,0
2014-04-10,19:20:00,3.49,3.49,3.48,3.49,8002,0
2014-04-10,19:25:00,3.5,3.5,3.5,3.5,200,0
2014-04-10,20:20:00,3.51,3.51,3.51,3.51,1000,0
2014-04-10,21:05:00,3.49,3.49,3.48,3.48,200,0
2014-04-10,21:40:00,3.49,3.49,3.49,3.49,800,0
2014-04-11,20:55:00,3.46,3.46,3.46,3.46,1000,0
2014-04-11,21:50:00,3.41,3.41,3.41,3.41,200,0
2014-04-14,15:40:00,3.43,3.43,3.43,3.43,200,0
2014-04-14,16:40:00,3.47,3.47,3.47,3.47,100,0
2014-04-14,16:45:00,3.47,3.47,3.47,3.47,100,0
2014-04-15,15:35:00,3.42,3.42,3.41,3.41,1600,0
2014-04-17,20:15:00,3.28,3.28,3.28,3.28,108,0
2014-04-17,21:40:00,3.38,3.38,3.38,3.38,100,0
2014-04-17,21:45:00,3.38,3.38,3.38,3.38,100,0
2014-04-17,21:50:00,3.31,3.31,3.31,3.31,100,0
2014-04-22,18:35:00,3.33,3.33,3.16,3.32,1300,0
2014-04-22,19:00:00,3.3,3.3,3.3,3.3,100,0
2014-04-22,20:35:00,3.31,3.32,3.31,3.32,200,0
2014-04-22,22:00:00,3.26,3.26,3.26,3.26,100,0
2014-04-23,18:40:00,3.25,3.25,3.11,3.11,900,0
2014-04-23,18:50:00,3.15,3.15,3.13,3.13,200,0
2014-04-23,21:35:00,3.2,3.2,3.2,3.2,900,0
2014-04-23,22:00:00,3.18,3.18,3.18,3.18,100,0
2014-04-25,20:10:00,3.2,3.2,3.2,3.2,215,0
2014-04-25,22:00:00,3.21,3.21,3.21,3.21,100,0
2014-04-30,22:00:00,3.2,3.2,3.2,3.2,300,0
2014-05-01,21:55:00,3.2,3.2,3.2,3.2,200,0
2014-05-02,21:10:00,3.3,3.3,3.3,3.3,100,0
