Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-01-27,18:25:00,0.15,0.15,0.15,0.15,200,0
2015-01-27,18:30:00,0.15,0.15,0.15,0.15,107200,0
2015-01-27,18:40:00,0.15,0.15,0.15,0.15,400,0
2015-01-27,18:50:00,0.15,0.15,0.15,0.15,4952,0
2015-01-27,19:00:00,0.15,0.15,0.15,0.15,6300,0
2015-01-27,19:10:00,0.15,0.15,0.15,0.15,200,0
2015-01-27,19:15:00,0.15,0.15,0.15,0.15,200,0
2015-01-27,19:30:00,0.15,0.15,0.15,0.15,400,0
2015-01-27,19:40:00,0.15,0.15,0.15,0.15,1000,0
2015-01-27,19:45:00,0.15,0.15,0.15,0.15,200,0
2015-01-27,19:55:00,0.15,0.15,0.15,0.15,1000,0
2015-01-27,20:00:00,0.15,0.15,0.15,0.15,400,0
2015-01-27,20:05:00,0.15,0.15,0.15,0.15,30720,0
2015-01-27,20:25:00,0.15,0.15,0.15,0.15,1850,0
2015-01-27,20:35:00,0.15,0.15,0.15,0.15,1000,0
2015-01-27,20:40:00,0.15,0.15,0.15,0.15,6500,0
2015-01-27,20:50:00,0.15,0.15,0.15,0.15,5800,0
2015-01-27,20:55:00,0.15,0.15,0.15,0.15,5600,0
2015-01-27,21:05:00,0.15,0.15,0.15,0.15,500,0
2015-01-27,21:15:00,0.15,0.15,0.15,0.15,40800,0
2015-01-27,21:25:00,0.15,0.15,0.15,0.15,3000,0
2015-01-27,21:30:00,0.15,0.15,0.15,0.15,1200,0
2015-01-27,21:50:00,0.15,0.15,0.15,0.15,1055,0
2015-01-27,22:00:00,0.15,0.15,0.15,0.15,24700,0
2015-01-28,15:35:00,0.16,0.16,0.15,0.15,4100,0
2015-01-28,15:40:00,0.15,0.15,0.15,0.15,300,0
2015-01-28,15:45:00,0.15,0.15,0.15,0.15,2800,0
2015-01-28,15:50:00,0.15,0.15,0.15,0.15,36874,0
2015-01-28,15:55:00,0.15,0.15,0.15,0.15,1700,0
2015-01-28,16:10:00,0.15,0.15,0.15,0.15,76417,0
2015-01-28,16:20:00,0.15,0.15,0.15,0.15,2700,0
2015-01-28,16:35:00,0.15,0.15,0.15,0.15,42606,0
2015-01-28,16:40:00,0.15,0.15,0.15,0.15,2400,0
2015-01-28,16:45:00,0.15,0.15,0.15,0.15,7500,0
2015-01-28,16:55:00,0.15,0.15,0.15,0.15,1800,0
2015-01-28,17:05:00,0.15,0.15,0.15,0.15,100,0
2015-01-28,17:15:00,0.15,0.15,0.15,0.15,2500,0
2015-01-28,17:20:00,0.15,0.15,0.15,0.15,5100,0
2015-01-28,17:30:00,0.15,0.15,0.15,0.15,200,0
2015-01-28,17:40:00,0.15,0.15,0.15,0.15,2300,0
2015-01-28,17:55:00,0.15,0.15,0.15,0.15,700,0
2015-01-28,18:00:00,0.15,0.15,0.15,0.15,25100,0
2015-01-28,18:05:00,0.15,0.15,0.15,0.15,500,0
2015-01-28,18:15:00,0.15,0.15,0.15,0.15,100,0
2015-01-28,18:20:00,0.15,0.15,0.15,0.15,100,0
2015-01-28,18:25:00,0.15,0.15,0.15,0.15,100,0
2015-01-28,18:35:00,0.15,0.15,0.15,0.15,1404,0
2015-01-28,18:40:00,0.15,0.15,0.15,0.15,200,0
2015-01-28,18:45:00,0.15,0.15,0.15,0.15,100,0
2015-01-28,19:15:00,0.15,0.15,0.15,0.15,100,0
2015-01-28,19:30:00,0.15,0.15,0.15,0.15,200,0
2015-01-28,19:35:00,0.15,0.15,0.15,0.15,300,0
2015-01-28,19:50:00,0.15,0.15,0.15,0.15,200,0
2015-01-28,20:00:00,0.15,0.15,0.15,0.15,1600,0
2015-01-28,20:05:00,0.15,0.15,0.15,0.15,100,0
2015-01-28,20:10:00,0.15,0.15,0.15,0.15,7850,0
2015-01-28,20:20:00,0.15,0.15,0.15,0.15,1000,0
2015-01-28,20:25:00,0.15,0.15,0.15,0.15,700,0
2015-01-28,20:35:00,0.15,0.15,0.15,0.15,400,0
2015-01-28,20:40:00,0.15,0.15,0.15,0.15,3400,0
2015-01-28,20:45:00,0.15,0.15,0.15,0.15,800,0
2015-01-28,20:50:00,0.15,0.15,0.15,0.15,400,0
2015-01-28,20:55:00,0.15,0.15,0.15,0.15,400,0
2015-01-28,21:00:00,0.15,0.15,0.15,0.15,4000,0
2015-01-28,21:05:00,0.15,0.15,0.15,0.15,4000,0
2015-01-28,21:10:00,0.15,0.15,0.15,0.15,1100,0
2015-01-28,21:20:00,0.15,0.15,0.15,0.15,35652,0
2015-01-28,21:25:00,0.15,0.15,0.14,0.15,34628,0
2015-01-28,21:35:00,0.14,0.14,0.14,0.14,500,0
2015-01-28,21:40:00,0.14,0.14,0.14,0.14,200,0
2015-01-28,21:45:00,0.14,0.14,0.14,0.14,100,0
2015-01-28,21:55:00,0.14,0.14,0.14,0.14,475,0
2015-01-28,22:00:00,0.15,0.15,0.14,0.14,30700,0
2015-01-29,15:35:00,0.15,0.15,0.15,0.15,2200,0
2015-01-29,15:40:00,0.15,0.15,0.15,0.15,2000,0
2015-01-29,15:45:00,0.14,0.14,0.14,0.14,100,0
2015-01-29,15:50:00,0.15,0.15,0.14,0.14,144873,0
2015-01-29,15:55:00,0.15,0.15,0.15,0.15,12000,0
2015-01-29,16:10:00,0.15,0.15,0.15,0.15,7000,0
2015-01-29,16:15:00,0.14,0.14,0.14,0.14,300,0
2015-01-29,16:20:00,0.15,0.15,0.15,0.15,13600,0
2015-01-29,16:25:00,0.14,0.14,0.14,0.14,100,0
2015-01-29,16:40:00,0.14,0.14,0.14,0.14,200,0
2015-01-29,16:50:00,0.14,0.14,0.14,0.14,3000,0
2015-01-29,16:55:00,0.14,0.14,0.14,0.14,2345,0
2015-01-29,17:00:00,0.14,0.14,0.14,0.14,4160,0
2015-01-29,17:05:00,0.14,0.14,0.14,0.14,3476,0
2015-01-29,17:10:00,0.14,0.14,0.14,0.14,5200,0
2015-01-29,17:15:00,0.14,0.14,0.14,0.14,400,0
2015-01-29,17:20:00,0.14,0.14,0.14,0.14,200,0
2015-01-29,17:30:00,0.14,0.14,0.14,0.14,5000,0
2015-01-29,17:35:00,0.14,0.14,0.14,0.14,9000,0
2015-01-29,17:45:00,0.14,0.14,0.14,0.14,100,0
2015-01-29,17:55:00,0.14,0.14,0.14,0.14,2500,0
2015-01-29,18:00:00,0.14,0.14,0.14,0.14,2300,0
2015-01-29,18:05:00,0.14,0.14,0.14,0.14,100,0
2015-01-29,18:10:00,0.14,0.14,0.14,0.14,500,0
2015-01-29,18:20:00,0.14,0.14,0.14,0.14,570,0
2015-01-29,18:25:00,0.14,0.14,0.14,0.14,11100,0
2015-01-29,18:30:00,0.14,0.14,0.14,0.14,272,0
2015-01-29,18:35:00,0.14,0.14,0.14,0.14,200,0
2015-01-29,18:55:00,0.14,0.14,0.14,0.14,100,0
2015-01-29,19:00:00,0.14,0.14,0.14,0.14,100,0
2015-01-29,19:05:00,0.14,0.14,0.14,0.14,200,0
2015-01-29,19:15:00,0.14,0.14,0.14,0.14,7300,0
2015-01-29,19:20:00,0.14,0.14,0.14,0.14,3100,0
2015-01-29,19:40:00,0.14,0.14,0.14,0.14,100,0
2015-01-29,19:50:00,0.14,0.14,0.14,0.14,100,0
2015-01-29,19:55:00,0.14,0.14,0.14,0.14,300,0
2015-01-29,20:05:00,0.14,0.14,0.14,0.14,200,0
2015-01-29,20:15:00,0.14,0.14,0.14,0.14,100,0
2015-01-29,20:30:00,0.14,0.14,0.14,0.14,200,0
2015-01-29,20:35:00,0.14,0.14,0.14,0.14,100,0
2015-01-29,20:45:00,0.14,0.14,0.14,0.14,77193,0
2015-01-29,20:50:00,0.14,0.14,0.14,0.14,500,0
2015-01-29,20:55:00,0.14,0.14,0.14,0.14,100,0
2015-01-29,21:00:00,0.14,0.14,0.14,0.14,100,0
2015-01-29,21:05:00,0.14,0.14,0.14,0.14,6000,0
2015-01-29,21:10:00,0.14,0.14,0.14,0.14,200,0
2015-01-29,21:15:00,0.14,0.14,0.14,0.14,1000,0
2015-01-29,21:30:00,0.14,0.14,0.14,0.14,12709,0
2015-01-29,21:35:00,0.14,0.14,0.14,0.14,1900,0
2015-01-30,15:35:00,0.15,0.15,0.15,0.15,14200,0
2015-01-30,15:40:00,0.15,0.15,0.14,0.14,27000,0
