Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-01-14,20:35:00,25.88,25.95,25.88,25.95,27400,0
2015-01-14,20:40:00,25.94,25.95,25.94,25.95,873,0
2015-01-14,20:45:00,25.92,25.92,25.92,25.92,1792,0
2015-01-14,20:55:00,25.9,25.9,25.9,25.9,448,0
2015-01-14,21:00:00,25.87,25.87,25.87,25.87,940,0
2015-01-14,21:05:00,25.9,25.9,25.85,25.85,1625,0
2015-01-14,21:20:00,25.93,25.95,25.93,25.95,1100,0
2015-01-14,21:25:00,25.95,25.98,25.95,25.97,900,0
2015-01-14,21:30:00,25.96,25.96,25.93,25.93,3692,0
2015-01-14,21:35:00,25.97,26.0,25.97,26.0,1220,0
2015-01-14,21:50:00,25.97,25.97,25.96,25.96,362,0
2015-01-14,22:00:00,25.99,25.99,25.99,25.99,800,0
2015-01-15,15:40:00,26.06,26.06,26.0,26.0,1029,0
2015-01-15,15:45:00,25.93,25.93,25.93,25.93,100,0
2015-01-15,15:50:00,25.9,25.9,25.9,25.9,200,0
2015-01-15,15:55:00,25.88,25.96,25.88,25.96,3301,0
2015-01-15,16:00:00,25.88,25.92,25.86,25.92,1264,0
2015-01-15,16:05:00,25.89,25.89,25.89,25.89,300,0
2015-01-15,16:15:00,25.91,25.91,25.91,25.91,600,0
2015-01-15,16:20:00,26.0,26.0,26.0,26.0,500,0
2015-01-15,16:35:00,26.04,26.04,26.04,26.04,1000,0
2015-01-15,16:55:00,26.01,26.02,26.01,26.02,1400,0
2015-01-15,17:10:00,25.96,25.97,25.96,25.97,309,0
2015-01-15,17:15:00,25.96,25.97,25.96,25.97,500,0
2015-01-15,17:25:00,25.88,25.88,25.88,25.88,400,0
2015-01-15,17:30:00,25.87,25.87,25.87,25.87,867,0
2015-01-15,17:45:00,25.88,25.88,25.88,25.88,200,0
2015-01-15,17:50:00,25.93,25.93,25.93,25.93,218,0
2015-01-15,18:05:00,25.92,25.92,25.92,25.92,114,0
2015-01-15,18:15:00,25.91,25.91,25.91,25.91,1254,0
2015-01-15,18:40:00,25.87,25.87,25.85,25.85,1150,0
2015-01-15,18:50:00,25.79,25.79,25.79,25.79,848,0
2015-01-15,19:05:00,25.83,25.83,25.83,25.83,200,0
2015-01-15,19:15:00,25.92,25.94,25.92,25.94,1200,0
2015-01-15,19:40:00,25.82,25.82,25.82,25.82,929,0
2015-01-15,19:50:00,25.83,25.83,25.83,25.83,100,0
2015-01-15,19:55:00,25.9,25.9,25.9,25.9,600,0
2015-01-15,20:10:00,25.88,25.88,25.88,25.88,500,0
2015-01-15,20:15:00,25.88,25.9,25.88,25.9,2320,0
2015-01-15,20:20:00,25.9,25.9,25.9,25.9,4643,0
2015-01-15,20:25:00,25.9,25.9,25.88,25.88,4320,0
2015-01-15,20:30:00,25.89,25.89,25.89,25.89,309,0
2015-01-15,20:40:00,25.91,25.93,25.91,25.93,660,0
2015-01-15,21:10:00,25.96,25.96,25.96,25.96,100,0
2015-01-15,21:15:00,25.91,25.91,25.88,25.88,5000,0
2015-01-15,21:20:00,25.88,25.88,25.86,25.86,36460,0
2015-01-15,21:35:00,25.94,25.94,25.94,25.94,2000,0
2015-01-15,21:40:00,25.92,25.92,25.88,25.88,1800,0
2015-01-15,21:55:00,25.9,25.91,25.9,25.91,3600,0
2015-01-15,22:00:00,25.83,25.86,25.83,25.86,600,0
2015-01-16,16:00:00,25.8,25.8,25.8,25.8,400,0
2015-01-16,16:10:00,25.85,25.85,25.8,25.8,620,0
2015-01-16,16:20:00,25.74,25.8,25.74,25.8,800,0
2015-01-16,16:30:00,25.9,25.9,25.9,25.9,500,0
2015-01-16,16:35:00,25.88,25.9,25.88,25.9,1560,0
2015-01-16,16:50:00,25.88,25.88,25.88,25.88,400,0
2015-01-16,17:00:00,25.95,25.95,25.95,25.95,1080,0
2015-01-16,17:05:00,25.99,25.99,25.99,25.99,500,0
2015-01-16,17:10:00,25.98,25.98,25.98,25.98,2400,0
2015-01-16,17:30:00,25.93,25.93,25.93,25.93,311,0
2015-01-16,17:35:00,25.94,25.94,25.94,25.94,143,0
2015-01-16,17:40:00,25.95,25.95,25.94,25.94,2000,0
2015-01-16,17:45:00,25.95,25.95,25.95,25.95,388,0
2015-01-16,17:55:00,25.93,25.93,25.93,25.93,1469,0
2015-01-16,18:00:00,25.9,25.9,25.9,25.9,250,0
2015-01-16,18:05:00,25.98,25.98,25.98,25.98,2600,0
2015-01-16,18:10:00,25.97,25.97,25.93,25.94,546,0
2015-01-16,18:15:00,25.94,25.95,25.94,25.95,914,0
2015-01-16,18:25:00,25.95,25.96,25.95,25.96,1400,0
2015-01-16,19:40:00,26.01,26.01,26.01,26.01,673,0
2015-01-16,19:45:00,26.02,26.02,26.02,26.02,1504,0
2015-01-16,19:55:00,26.01,26.04,26.01,26.04,4670,0
2015-01-16,20:20:00,25.99,25.99,25.99,25.99,400,0
2015-01-16,20:30:00,26.02,26.02,26.02,26.02,2492,0
2015-01-16,21:05:00,26.03,26.03,26.03,26.03,200,0
2015-01-16,21:10:00,26.03,26.03,26.03,26.03,1975,0
2015-01-16,21:15:00,26.01,26.01,26.0,26.0,1376,0
2015-01-16,21:25:00,26.01,26.03,26.01,26.03,800,0
2015-01-16,21:35:00,26.06,26.06,26.06,26.06,500,0
2015-01-16,21:40:00,26.06,26.06,26.06,26.06,500,0
2015-01-16,21:50:00,26.14,26.14,26.14,26.14,228,0
2015-01-20,15:35:00,26.7,26.7,26.2,26.2,400,0
2015-01-20,15:40:00,26.18,26.18,26.18,26.18,2200,0
2015-01-20,15:45:00,26.14,26.17,26.1,26.1,2060,0
2015-01-20,15:55:00,26.01,26.01,26.01,26.01,2100,0
2015-01-20,16:05:00,26.0,26.0,26.0,26.0,1350,0
