Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-01-28,21:45:00,2.70,2.70,2.69,2.69,2931,0
2015-01-28,21:50:00,2.6865,2.6964,2.6865,2.6964,6356,0
2015-01-28,21:55:00,2.6865,2.6865,2.6865,2.6865,5789,0
2015-01-28,22:00:00,2.6865,2.6964,2.6865,2.6865,8575,0
2015-01-29,15:35:00,2.6964,2.6964,2.6964,2.6964,2222,0
2015-01-29,15:40:00,2.6964,2.6964,2.6865,2.6964,3230,0
2015-01-29,15:45:00,2.6964,2.6964,2.6865,2.6964,14324,0
2015-01-29,15:50:00,2.6964,2.6964,2.6964,2.6964,1414,0
2015-01-29,15:55:00,2.6964,2.6964,2.6964,2.6964,2121,0
2015-01-29,16:00:00,2.6964,2.6964,2.6964,2.6964,606,0
2015-01-29,16:05:00,2.6964,2.6964,2.6964,2.6964,542,0
2015-01-29,16:10:00,2.6964,2.7063,2.6964,2.7063,3834,0
2015-01-29,16:25:00,2.7063,2.7063,2.7063,2.7063,807,0
2015-01-29,16:35:00,2.6964,2.7063,2.6964,2.7063,2623,0
2015-01-29,16:40:00,2.6964,2.7063,2.6964,2.7063,5246,0
2015-01-29,16:55:00,2.7063,2.7063,2.7063,2.7063,327,0
2015-01-29,17:00:00,2.7063,2.7063,2.6964,2.7063,14931,0
2015-01-29,17:05:00,2.6964,2.6964,2.6964,2.6964,101,0
2015-01-29,17:10:00,2.6964,2.7063,2.6865,2.6865,14625,0
2015-01-29,17:30:00,2.6865,2.6865,2.6865,2.6865,2421,0
2015-01-29,17:35:00,2.6964,2.6964,2.6964,2.6964,1060,0
2015-01-29,17:55:00,2.6865,2.6865,2.6865,2.6865,178,0
2015-01-29,18:00:00,2.6964,2.6964,2.6964,2.6964,787,0
2015-01-29,18:05:00,2.6964,2.6964,2.6964,2.6964,606,0
2015-01-29,18:10:00,2.6964,2.6964,2.6964,2.6964,3261,0
2015-01-29,18:40:00,2.6964,2.6964,2.6964,2.6964,505,0
2015-01-29,18:45:00,2.6865,2.6865,2.6865,2.6865,304,0
2015-01-29,18:50:00,2.6865,2.6865,2.6865,2.6865,20724,0
2015-01-29,18:55:00,2.6865,2.6865,2.6865,2.6865,606,0
2015-01-29,19:00:00,2.6865,2.6865,2.6865,2.6865,606,0
2015-01-29,19:05:00,2.6865,2.6865,2.6865,2.6865,606,0
2015-01-29,19:10:00,2.6865,2.6865,2.6865,2.6865,1614,0
2015-01-29,19:15:00,2.6865,2.6865,2.6865,2.6865,707,0
2015-01-29,19:20:00,2.6865,2.6865,2.6865,2.6865,808,0
2015-01-29,19:25:00,2.6865,2.6964,2.6865,2.6865,3835,0
2015-01-29,19:30:00,2.6865,2.6865,2.6865,2.6865,2573,0
2015-01-29,19:35:00,2.6865,2.6865,2.6865,2.6865,1998,0
2015-01-29,19:40:00,2.6865,2.6865,2.6865,2.6865,808,0
2015-01-29,19:45:00,2.6865,2.6964,2.6865,2.6865,2020,0
2015-01-29,19:50:00,2.6865,2.6865,2.6865,2.6865,808,0
