Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-01-14,17:20:00,64.19,64.19,63.98,63.98,3024,0
2015-01-14,17:25:00,63.98,63.98,63.98,63.98,600,0
2015-01-14,17:35:00,64.13,64.13,64.0,64.0,3020,0
2015-01-14,17:40:00,63.86,63.86,63.86,63.86,200,0
2015-01-14,17:45:00,63.9,63.9,63.9,63.9,3500,0
2015-01-14,17:55:00,64.2,64.23,64.2,64.23,2150,0
2015-01-14,18:00:00,64.31,64.31,64.3,64.3,900,0
2015-01-14,18:05:00,64.32,64.32,64.26,64.26,716,0
2015-01-14,18:10:00,64.28,64.28,64.23,64.23,400,0
2015-01-14,18:15:00,64.41,64.41,64.41,64.41,200,0
2015-01-14,18:20:00,64.43,64.43,64.43,64.43,200,0
2015-01-14,18:25:00,64.23,64.23,64.23,64.23,400,0
2015-01-14,18:30:00,64.1,64.1,64.09,64.09,1300,0
2015-01-14,18:35:00,63.85,63.85,63.85,63.85,209,0
2015-01-14,18:40:00,63.84,63.84,63.73,63.73,7000,0
2015-01-14,19:55:00,63.49,63.49,63.49,63.49,800,0
2015-01-14,20:15:00,63.0,63.03,62.65,62.65,1445,0
2015-01-14,20:20:00,62.23,62.36,61.75,61.75,2400,0
2015-01-14,20:25:00,62.1,62.1,61.97,61.98,7373,0
2015-01-14,20:30:00,61.74,61.74,60.34,60.34,32329,0
2015-01-14,20:35:00,60.22,60.22,60.0,60.1,7156,0
2015-01-14,20:45:00,61.23,61.42,61.13,61.42,36800,0
2015-01-14,20:50:00,61.29,61.39,61.15,61.15,3667,0
2015-01-14,20:55:00,61.33,61.42,61.32,61.34,4622,0
2015-01-14,21:00:00,61.34,61.34,61.23,61.23,1100,0
2015-01-14,21:10:00,60.83,60.83,60.83,60.83,1000,0
2015-01-14,21:15:00,61.03,61.09,61.03,61.09,200,0
2015-01-14,21:20:00,61.02,61.02,60.95,61.0,1620,0
2015-01-14,21:25:00,61.14,61.14,61.14,61.14,1496,0
2015-01-14,21:30:00,61.09,61.09,61.09,61.09,2000,0
2015-01-14,21:45:00,61.01,61.01,61.01,61.01,1000,0
2015-01-14,21:50:00,61.01,61.01,60.92,60.96,1814,0
2015-01-14,21:55:00,60.9,60.9,60.75,60.79,1681,0
2015-01-14,22:00:00,60.73,60.73,60.7,60.7,900,0
2015-01-15,15:35:00,59.47,60.03,59.47,59.8,11456,0
2015-01-15,15:45:00,60.28,60.69,60.28,60.69,1000,0
2015-01-15,15:50:00,61.01,61.01,60.76,60.77,2300,0
2015-01-15,15:55:00,60.63,60.64,60.4,60.4,900,0
2015-01-15,16:00:00,60.8,60.8,60.8,60.8,1208,0
2015-01-15,16:05:00,61.13,61.13,60.93,61.09,1472,0
