Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-10-23,18:10:00,14.62,14.62,14.62,14.62,400,0
2014-10-23,19:00:00,14.6,14.6,14.6,14.6,300,0
2014-10-23,20:10:00,14.65,14.65,14.65,14.65,300,0
2014-10-23,20:15:00,14.63,14.64,14.63,14.64,3300,0
2014-10-23,20:20:00,14.65,14.65,14.63,14.63,200,0
2014-10-23,20:30:00,14.65,14.65,14.65,14.65,1452,0
2014-10-23,21:30:00,14.61,14.61,14.61,14.61,700,0
2014-10-23,21:40:00,14.62,14.62,14.62,14.62,1872,0
2014-10-24,15:40:00,14.65,14.65,14.65,14.65,679,0
2014-10-24,15:50:00,14.64,14.64,14.64,14.64,500,0
2014-10-24,16:00:00,14.61,14.61,14.61,14.61,800,0
2014-10-24,16:25:00,14.61,14.61,14.61,14.61,200,0
2014-10-24,17:00:00,14.7,14.7,14.7,14.7,200,0
2014-10-24,17:05:00,14.7,14.7,14.7,14.7,100,0
2014-10-27,14:35:00,14.73,14.73,14.69,14.69,985,0
2014-10-27,14:50:00,14.72,14.72,14.72,14.72,197,0
2014-10-27,14:55:00,14.7,14.7,14.7,14.7,100,0
2014-10-27,18:05:00,14.68,14.68,14.68,14.68,115,0
2014-10-27,20:05:00,14.74,14.74,14.74,14.74,3132,0
2014-10-28,14:40:00,14.86,14.86,14.82,14.86,1350,0
2014-10-28,15:10:00,14.79,14.79,14.79,14.79,300,0
2014-10-28,15:40:00,14.77,14.77,14.77,14.77,350,0
2014-10-28,16:35:00,14.79,14.79,14.79,14.79,300,0
2014-10-28,18:50:00,14.74,14.74,14.74,14.74,2997,0
2014-10-28,20:50:00,14.83,14.83,14.83,14.83,650,0
2014-10-28,20:55:00,14.82,14.82,14.82,14.82,1100,0
2014-10-29,14:45:00,14.87,14.93,14.87,14.87,2510,0
2014-10-29,17:30:00,14.88,14.88,14.86,14.86,2585,0
2014-10-29,19:30:00,14.88,14.88,14.88,14.88,100,0
2014-10-29,19:35:00,14.86,14.86,14.86,14.86,100,0
2014-10-30,14:35:00,14.87,14.87,14.86,14.86,4400,0
2014-10-30,15:30:00,14.81,14.81,14.81,14.81,170,0
2014-10-30,15:35:00,14.82,14.82,14.82,14.82,500,0
2014-10-30,15:40:00,14.78,14.87,14.78,14.87,600,0
2014-10-30,16:25:00,15.03,15.03,15.01,15.01,5000,0
2014-10-30,16:30:00,14.83,14.83,14.83,14.83,235,0
2014-10-30,17:25:00,14.85,14.85,14.85,14.85,500,0
2014-10-30,17:50:00,14.76,14.78,14.76,14.78,1200,0
2014-10-30,17:55:00,14.82,14.82,14.82,14.82,300,0
2014-10-30,18:25:00,14.7,14.7,14.7,14.7,605,0
2014-10-30,19:15:00,14.87,14.87,14.87,14.87,200,0
2014-10-30,19:20:00,14.91,14.91,14.91,14.91,1000,0
2014-10-30,19:50:00,14.86,14.86,14.86,14.86,100,0
2014-10-30,20:20:00,14.85,14.85,14.85,14.85,3110,0
2014-10-30,20:55:00,14.86,14.86,14.86,14.86,100,0
2014-10-31,14:35:00,14.98,14.98,14.98,14.98,1403,0
2014-10-31,15:00:00,15.01,15.01,15.01,15.01,200,0
2014-10-31,15:15:00,15.01,15.01,15.01,15.01,200,0
2014-10-31,15:40:00,15.0,15.0,15.0,15.0,350,0
2014-10-31,15:45:00,15.03,15.04,15.03,15.03,6300,0
2014-10-31,16:15:00,15.04,15.04,15.04,15.04,106,0
2014-10-31,16:35:00,15.04,15.04,15.04,15.04,600,0
2014-10-31,17:10:00,15.05,15.05,15.05,15.05,400,0
2014-10-31,17:15:00,15.05,15.07,15.05,15.07,3081,0
2014-10-31,17:20:00,15.06,15.06,15.06,15.06,200,0
2014-10-31,17:25:00,15.08,15.08,15.08,15.08,600,0
2014-10-31,17:35:00,15.07,15.08,15.04,15.04,6447,0
2014-10-31,18:30:00,15.08,15.08,15.08,15.08,300,0
