Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-01-12,16:00:00,41.38,41.38,41.38,41.38,600,0
2015-01-12,16:05:00,41.36,41.36,41.36,41.36,1600,0
2015-01-12,16:40:00,41.4,41.4,41.4,41.4,2000,0
2015-01-12,16:50:00,41.46,41.46,41.46,41.46,380,0
2015-01-12,17:30:00,41.6,41.6,41.6,41.6,1104,0
2015-01-12,17:45:00,41.57,41.57,41.57,41.57,117,0
2015-01-12,17:50:00,41.65,41.65,41.65,41.65,460,0
2015-01-12,18:05:00,41.64,41.64,41.64,41.64,700,0
2015-01-12,18:15:00,41.6,41.6,41.6,41.6,400,0
2015-01-12,18:30:00,41.52,41.52,41.52,41.52,300,0
2015-01-12,18:55:00,41.51,41.51,41.51,41.51,200,0
2015-01-12,19:00:00,41.55,41.55,41.55,41.55,200,0
2015-01-12,19:30:00,41.52,41.52,41.52,41.52,366,0
2015-01-12,19:40:00,41.51,41.51,41.51,41.51,600,0
2015-01-12,19:55:00,41.52,41.61,41.52,41.52,2555,0
2015-01-12,20:10:00,41.56,41.56,41.56,41.56,300,0
2015-01-12,20:15:00,41.57,41.57,41.52,41.52,749,0
2015-01-12,20:25:00,41.52,41.52,41.52,41.52,200,0
2015-01-12,20:30:00,41.5,41.5,41.5,41.5,600,0
2015-01-12,21:05:00,41.46,41.47,41.46,41.47,1770,0
2015-01-12,21:10:00,41.52,41.52,41.52,41.52,1000,0
2015-01-12,21:35:00,41.49,41.49,41.49,41.49,156,0
2015-01-12,21:40:00,41.41,41.41,41.4,41.4,3191,0
2015-01-12,22:00:00,41.49,41.49,41.48,41.48,1098,0
2015-01-13,15:35:00,41.94,42.04,41.94,42.04,1216,0
2015-01-13,15:40:00,42.05,42.05,42.04,42.04,738,0
2015-01-13,16:00:00,42.0,42.01,41.97,41.97,300,0
2015-01-13,16:05:00,42.01,42.01,42.0,42.01,1686,0
2015-01-13,16:10:00,42.0,42.0,42.0,42.0,300,0
2015-01-13,16:15:00,42.0,42.0,42.0,42.0,334,0
2015-01-13,16:30:00,41.97,41.97,41.97,41.97,770,0
2015-01-13,17:05:00,42.07,42.07,42.07,42.07,1000,0
2015-01-13,17:10:00,41.99,41.99,41.99,41.99,300,0
2015-01-13,17:30:00,42.01,42.05,42.01,42.02,2771,0
2015-01-13,17:35:00,42.06,42.06,42.06,42.06,240,0
2015-01-13,17:55:00,42.05,42.05,42.05,42.05,100,0
2015-01-13,18:00:00,41.97,41.97,41.97,41.97,200,0
2015-01-13,18:05:00,42.04,42.04,42.04,42.04,200,0
2015-01-13,18:15:00,41.95,41.95,41.95,41.95,100,0
2015-01-13,18:20:00,41.92,41.97,41.92,41.97,1200,0
2015-01-13,18:45:00,41.9,41.95,41.9,41.92,1233,0
2015-01-13,18:50:00,41.9,41.9,41.9,41.9,715,0
2015-01-13,19:00:00,41.93,41.93,41.9,41.92,900,0
2015-01-13,19:05:00,41.89,41.89,41.89,41.89,614,0
2015-01-13,19:10:00,41.94,41.94,41.94,41.94,200,0
2015-01-13,19:25:00,41.89,41.89,41.82,41.82,200,0
2015-01-13,19:30:00,41.79,41.79,41.75,41.75,200,0
2015-01-13,19:35:00,41.71,41.71,41.71,41.71,370,0
2015-01-13,19:55:00,41.55,41.56,41.5,41.5,9631,0
2015-01-13,20:00:00,41.47,41.47,41.47,41.47,861,0
2015-01-13,20:05:00,41.47,41.49,41.47,41.49,438,0
2015-01-13,20:10:00,41.43,41.43,41.43,41.43,200,0
2015-01-13,20:15:00,41.45,41.45,41.45,41.45,200,0
2015-01-13,20:25:00,41.51,41.51,41.44,41.44,478,0
2015-01-13,20:45:00,41.57,41.57,41.57,41.57,200,0
2015-01-13,21:05:00,41.43,41.43,41.43,41.43,235,0
2015-01-13,21:10:00,41.45,41.45,41.45,41.45,100,0
2015-01-13,21:15:00,41.46,41.49,41.46,41.49,4595,0
2015-01-13,21:20:00,41.64,41.64,41.64,41.64,300,0
2015-01-13,21:40:00,41.65,41.65,41.65,41.65,210,0
2015-01-13,21:45:00,41.77,41.77,41.75,41.75,830,0
2015-01-13,21:50:00,41.74,41.74,41.74,41.74,200,0
2015-01-13,22:00:00,41.66,41.66,41.62,41.63,26700,0
2015-01-14,15:35:00,41.49,41.51,41.48,41.49,3065,0
2015-01-14,15:45:00,41.47,41.48,41.47,41.48,700,0
2015-01-14,16:00:00,41.44,41.44,41.44,41.44,300,0
2015-01-14,16:25:00,41.6,41.6,41.6,41.6,582,0
2015-01-14,16:35:00,41.57,41.57,41.55,41.56,600,0
