Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-02-03,16:35:00,12.47,12.87,12.47,12.83,439926,0
2015-02-03,16:40:00,12.84,12.93,12.65,12.69,269143,0
2015-02-03,16:45:00,12.7,12.77,12.59,12.62,136004,0
2015-02-03,16:50:00,12.61,12.74,12.6,12.68,132351,0
2015-02-03,16:55:00,12.7,12.84,12.69,12.77,184682,0
2015-02-03,17:00:00,12.78,12.85,12.71,12.83,160943,0
2015-02-03,17:05:00,12.83,12.93,12.82,12.9,186636,0
2015-02-03,17:10:00,12.91,12.97,12.76,12.77,216175,0
2015-02-03,17:15:00,12.79,12.84,12.68,12.72,116193,0
2015-02-03,17:20:00,12.72,12.75,12.62,12.64,176233,0
2015-02-03,17:25:00,12.63,12.71,12.58,12.59,86258,0
2015-02-03,17:30:00,12.6,12.64,12.42,12.47,218804,0
2015-02-03,17:35:00,12.46,12.58,12.43,12.53,169028,0
2015-02-03,17:40:00,12.53,12.72,12.5,12.7,141962,0
2015-02-03,17:45:00,12.68,12.7,12.53,12.62,100438,0
2015-02-03,17:50:00,12.63,12.7,12.62,12.66,79395,0
2015-02-03,17:55:00,12.65,12.74,12.6,12.7,56140,0
2015-02-03,18:00:00,12.7,12.71,12.52,12.52,79536,0
2015-02-03,18:05:00,12.54,12.59,12.5,12.53,65106,0
2015-02-03,18:10:00,12.54,12.66,12.53,12.62,53875,0
2015-02-03,18:15:00,12.62,12.69,12.59,12.69,64469,0
2015-02-03,18:20:00,12.68,12.78,12.67,12.72,134761,0
2015-02-03,18:25:00,12.72,12.72,12.6,12.68,107860,0
2015-02-03,18:30:00,12.68,12.74,12.65,12.67,58745,0
2015-02-03,18:35:00,12.69,12.74,12.64,12.68,53285,0
2015-02-03,18:40:00,12.68,12.71,12.56,12.59,81436,0
2015-02-03,18:45:00,12.59,12.7,12.58,12.64,101078,0
2015-02-03,18:50:00,12.65,12.69,12.54,12.59,69303,0
2015-02-03,18:55:00,12.6,12.65,12.55,12.57,55003,0
2015-02-03,19:00:00,12.56,12.62,12.53,12.62,57019,0
2015-02-03,19:05:00,12.64,12.66,12.57,12.62,46691,0
2015-02-03,19:10:00,12.6,12.65,12.6,12.65,34655,0
2015-02-03,19:15:00,12.62,12.62,12.45,12.47,109164,0
2015-02-03,19:20:00,12.48,12.48,12.38,12.45,130626,0
2015-02-03,19:25:00,12.43,12.48,12.38,12.43,64644,0
2015-02-03,19:30:00,12.4,12.42,12.24,12.33,153062,0
2015-02-03,19:35:00,12.3,12.3,12.0,12.06,225992,0
2015-02-03,19:40:00,12.08,12.27,12.08,12.15,170710,0
2015-02-03,19:45:00,12.14,12.18,11.91,11.91,280872,0
2015-02-03,19:50:00,11.91,12.04,11.9,11.97,210423,0
2015-02-03,19:55:00,11.97,12.02,11.91,11.97,196803,0
2015-02-03,20:00:00,11.97,12.07,11.96,11.99,132067,0
2015-02-03,20:05:00,11.98,11.98,11.85,11.87,158011,0
2015-02-03,20:10:00,11.88,11.95,11.86,11.95,137446,0
2015-02-03,20:15:00,11.94,12.0,11.94,11.97,187031,0
2015-02-03,20:20:00,11.99,11.99,11.88,11.93,70645,0
2015-02-03,20:25:00,11.93,12.0,11.93,11.96,91664,0
2015-02-03,20:30:00,11.96,12.0,11.92,11.93,99555,0
2015-02-03,20:35:00,11.93,12.06,11.93,12.03,129514,0
2015-02-03,20:40:00,12.03,12.15,12.01,12.02,159963,0
2015-02-03,20:45:00,12.02,12.04,11.96,11.99,104040,0
2015-02-03,20:50:00,11.98,12.2,11.97,12.2,180316,0
2015-02-03,20:55:00,12.2,12.32,12.13,12.3,176809,0
2015-02-03,21:00:00,12.29,12.32,12.21,12.29,72186,0
2015-02-03,21:05:00,12.28,12.3,12.23,12.25,90649,0
2015-02-03,21:10:00,12.25,12.5,12.25,12.48,283829,0
2015-02-03,21:15:00,12.48,12.58,12.45,12.55,164397,0
2015-02-03,21:20:00,12.54,12.58,12.52,12.53,141299,0
2015-02-03,21:25:00,12.55,12.59,12.51,12.59,125263,0
2015-02-03,21:30:00,12.59,12.73,12.59,12.73,116603,0
2015-02-03,21:35:00,12.71,12.73,12.6,12.62,143506,0
2015-02-03,21:40:00,12.62,12.72,12.62,12.66,112383,0
2015-02-03,21:45:00,12.66,12.74,12.66,12.7,170672,0
2015-02-03,21:50:00,12.72,12.72,12.55,12.59,209738,0
2015-02-03,21:55:00,12.59,12.6,12.52,12.56,128127,0
2015-02-03,22:00:00,12.55,12.72,12.55,12.72,320850,0
2015-02-04,15:35:00,12.25,12.48,12.17,12.25,165408,0
2015-02-04,15:40:00,12.27,12.27,12.07,12.13,227319,0
2015-02-04,15:45:00,12.14,12.27,12.12,12.23,122861,0
2015-02-04,15:50:00,12.25,12.42,12.22,12.29,166499,0
2015-02-04,15:55:00,12.3,12.41,12.29,12.38,157092,0
2015-02-04,16:00:00,12.37,12.41,12.14,12.14,182716,0
2015-02-04,16:05:00,12.16,12.34,12.13,12.33,118410,0
2015-02-04,16:10:00,12.33,12.34,12.0,12.15,368765,0
2015-02-04,16:15:00,12.15,12.16,12.05,12.07,209209,0
2015-02-04,16:20:00,12.08,12.11,12.01,12.1,134771,0
2015-02-04,16:25:00,12.1,12.24,12.08,12.12,107842,0
2015-02-04,16:30:00,12.11,12.27,12.11,12.23,163527,0
2015-02-04,16:35:00,12.25,12.54,12.24,12.49,537863,0
2015-02-04,16:40:00,12.49,12.7,12.41,12.41,308163,0
2015-02-04,16:45:00,12.42,12.54,12.42,12.51,157922,0
2015-02-04,16:50:00,12.5,12.52,12.42,12.45,140745,0
2015-02-04,16:55:00,12.46,12.52,12.42,12.47,75344,0
2015-02-04,17:00:00,12.45,12.51,12.42,12.43,110750,0
2015-02-04,17:05:00,12.43,12.47,12.26,12.37,189214,0
2015-02-04,17:10:00,12.38,12.4,12.3,12.34,61482,0
2015-02-04,17:15:00,12.35,12.48,12.35,12.37,52950,0
2015-02-04,17:20:00,12.37,12.42,12.23,12.4,139222,0
2015-02-04,17:25:00,12.39,12.48,12.29,12.48,57863,0
2015-02-04,17:30:00,12.46,12.47,12.4,12.44,47674,0
2015-02-04,17:35:00,12.43,12.49,12.41,12.45,50221,0
2015-02-04,17:40:00,12.43,12.45,12.32,12.35,50679,0
2015-02-04,17:45:00,12.34,12.39,12.27,12.28,60120,0
2015-02-04,17:50:00,12.29,12.3,12.22,12.25,124874,0
2015-02-04,17:55:00,12.25,12.26,12.2,12.2,126986,0
2015-02-04,18:00:00,12.2,12.28,12.2,12.22,63721,0
2015-02-04,18:05:00,12.22,12.23,12.13,12.13,118679,0
2015-02-04,18:10:00,12.14,12.2,12.12,12.14,72341,0
2015-02-04,18:15:00,12.15,12.18,12.13,12.16,57460,0
2015-02-04,18:20:00,12.15,12.21,12.13,12.19,86993,0
2015-02-04,18:25:00,12.19,12.29,12.18,12.25,91159,0
2015-02-04,18:30:00,12.25,12.31,12.23,12.28,103294,0
2015-02-04,18:35:00,12.29,12.29,12.18,12.22,137917,0
2015-02-04,18:40:00,12.23,12.28,12.23,12.25,32200,0
2015-02-04,18:45:00,12.26,12.37,12.25,12.35,102614,0
2015-02-04,18:50:00,12.34,12.38,12.29,12.38,75746,0
2015-02-04,18:55:00,12.38,12.38,12.26,12.34,49688,0
2015-02-04,19:00:00,12.33,12.42,12.3,12.4,46308,0
2015-02-04,19:05:00,12.38,12.45,12.34,12.34,56580,0
2015-02-04,19:10:00,12.33,12.43,12.33,12.38,28398,0
2015-02-04,19:15:00,12.37,12.46,12.37,12.44,57580,0
2015-02-04,19:20:00,12.43,12.46,12.35,12.35,58589,0
2015-02-04,19:25:00,12.35,12.37,12.3,12.32,89068,0
2015-02-04,19:30:00,12.31,12.32,12.22,12.23,81935,0
2015-02-04,19:35:00,12.23,12.24,12.18,12.19,79081,0
2015-02-04,19:40:00,12.2,12.25,12.18,12.23,43675,0
2015-02-04,19:45:00,12.23,12.25,12.18,12.19,96424,0
2015-02-04,19:50:00,12.19,12.24,12.18,12.24,59586,0
2015-02-04,19:55:00,12.24,12.3,12.22,12.24,67520,0
2015-02-04,20:00:00,12.24,12.29,12.23,12.27,54262,0
2015-02-04,20:05:00,12.27,12.28,12.15,12.15,148005,0
2015-02-04,20:10:00,12.15,12.15,12.1,12.1,153597,0
2015-02-04,20:15:00,12.1,12.11,12.0,12.07,246797,0
2015-02-04,20:20:00,12.08,12.13,12.02,12.03,75202,0
2015-02-04,20:25:00,12.03,12.04,11.95,12.02,217999,0
2015-02-04,20:30:00,12.01,12.02,11.95,11.97,115937,0
2015-02-04,20:35:00,11.97,12.02,11.95,11.96,90112,0
2015-02-04,20:40:00,11.96,11.97,11.84,11.85,238300,0
2015-02-04,20:45:00,11.85,11.91,11.84,11.91,108705,0
2015-02-04,20:50:00,11.91,11.91,11.85,11.85,66429,0
2015-02-04,20:55:00,11.85,11.87,11.74,11.74,259733,0
2015-02-04,21:00:00,11.76,11.83,11.72,11.76,230233,0
2015-02-04,21:05:00,11.77,11.86,11.75,11.77,111217,0
2015-02-04,21:10:00,11.78,11.83,11.75,11.76,88716,0
2015-02-04,21:15:00,11.77,11.8,11.7,11.71,263432,0
2015-02-04,21:20:00,11.72,11.79,11.66,11.78,153167,0
2015-02-04,21:25:00,11.79,11.83,11.77,11.81,146369,0
2015-02-04,21:30:00,11.81,11.89,11.79,11.8,101662,0
2015-02-04,21:35:00,11.81,11.81,11.69,11.72,169924,0
2015-02-04,21:40:00,11.72,11.92,11.72,11.92,139651,0
2015-02-04,21:45:00,11.92,11.96,11.86,11.87,322229,0
2015-02-04,21:50:00,11.86,11.87,11.75,11.83,283976,0
2015-02-04,21:55:00,11.83,11.94,11.78,11.88,173613,0
2015-02-04,22:00:00,11.89,12.03,11.86,11.94,913890,0
2015-02-05,15:45:00,12.3,12.36,12.21,12.35,219624,0
2015-02-05,15:50:00,12.35,12.36,12.13,12.2,279566,0
2015-02-05,15:55:00,12.18,12.19,12.05,12.15,147854,0
2015-02-05,16:00:00,12.15,12.25,12.11,12.22,180464,0
2015-02-05,16:05:00,12.21,12.31,12.16,12.2,207375,0
2015-02-05,16:10:00,12.18,12.19,12.09,12.09,283892,0
2015-02-05,16:15:00,12.1,12.13,11.86,11.91,273795,0
2015-02-05,16:20:00,11.91,12.0,11.79,11.97,235529,0
2015-02-05,16:25:00,11.97,12.06,11.9,11.91,199501,0
2015-02-05,16:30:00,11.91,12.01,11.87,11.91,121685,0
2015-02-05,16:35:00,11.9,11.93,11.8,11.85,120897,0
