Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-10-28,19:00:00,62.54,62.54,62.39,62.44,1049,0
2014-10-28,19:05:00,62.259,62.468,62.249,62.363,1364,0
2014-10-28,19:20:00,62.363,62.363,62.363,62.363,105,0
2014-10-28,19:25:00,62.44,62.44,62.249,62.249,944,0
2014-10-28,19:30:00,62.468,62.468,62.468,62.468,315,0
2014-10-28,19:35:00,62.468,62.468,62.468,62.468,315,0
2014-10-28,19:40:00,62.354,62.468,62.249,62.468,839,0
2014-10-28,19:45:00,62.468,62.468,62.468,62.468,210,0
2014-10-28,19:50:00,62.402,62.402,62.402,62.402,210,0
2014-10-28,19:55:00,62.211,62.468,62.201,62.468,629,0
2014-10-28,20:00:00,62.468,62.468,61.944,62.468,1049,0
2014-10-28,20:05:00,62.468,62.468,62.402,62.402,210,0
2014-10-28,20:10:00,62.335,62.468,61.944,62.468,1364,0
2014-10-28,20:15:00,62.468,62.468,62.44,62.44,420,0
2014-10-28,20:20:00,62.201,62.449,61.944,62.44,944,0
2014-10-28,20:25:00,62.44,62.459,61.944,62.211,2308,0
2014-10-28,20:30:00,62.211,62.421,62.144,62.344,1993,0
2014-10-28,20:35:00,62.268,62.268,61.954,61.963,1993,0
2014-10-28,20:40:00,62.259,62.259,61.963,62.106,1154,0
2014-10-28,20:45:00,61.963,62.249,61.954,62.249,944,0
2014-10-28,20:50:00,62.011,62.039,62.011,62.039,944,0
2014-10-28,20:55:00,62.049,62.564,61.896,62.564,2203,0
2014-10-28,21:00:00,62.735,62.735,61.944,62.068,1621,0
2014-10-29,15:05:00,63.917,64.194,63.917,64.194,2098,0
2014-10-29,15:40:00,63.25,63.25,63.117,63.117,420,0
2014-10-29,17:00:00,63.26,63.26,63.26,63.26,105,0
2014-10-29,17:45:00,63.393,63.441,63.383,63.441,1259,0
2014-10-29,17:50:00,63.536,63.536,63.383,63.536,2526,0
2014-10-29,18:15:00,63.393,63.393,63.393,63.393,420,0
2014-10-29,18:20:00,63.107,63.107,63.107,63.107,210,0
2014-10-29,19:35:00,62.44,62.526,62.44,62.526,1259,0
2014-10-29,19:40:00,62.344,62.621,62.344,62.392,7133,0
2014-10-29,19:45:00,62.058,62.106,61.934,62.02,10903,0
2014-10-29,19:50:00,62.163,62.163,62.135,62.135,1259,0
2014-10-29,19:55:00,62.383,62.43,62.383,62.43,420,0
2014-10-30,14:45:00,62.993,63.002,62.993,63.002,629,0
2014-10-30,17:00:00,63.87,63.87,63.87,63.87,315,0
2014-10-30,17:05:00,63.927,63.927,63.87,63.87,2518,0
2014-10-30,17:15:00,63.631,63.631,63.631,63.631,2098,0
2014-10-30,17:20:00,63.631,63.631,63.631,63.631,2518,0
2014-10-30,18:35:00,63.631,63.631,63.631,63.631,1049,0
2014-10-30,19:00:00,63.86,63.87,63.86,63.87,625,0
